tscriptid,ottdartid,ensdartid
ZDB-TSCRIPT-090929-10354,OTTDART00000027811,ENSDART00000140547.2
ZDB-TSCRIPT-090929-10357,OTTDART00000027814,ENSDART00000141919.3
ZDB-TSCRIPT-090929-10358,OTTDART00000027815,ENSDART00000139392.2
ZDB-TSCRIPT-090929-10361,OTTDART00000027818,ENSDART00000142856.2
ZDB-TSCRIPT-090929-10362,OTTDART00000027819,ENSDART00000145331.2
ZDB-TSCRIPT-090929-10366,OTTDART00000027823,
ZDB-TSCRIPT-090929-10373,OTTDART00000027831,ENSDART00000135439.3
ZDB-TSCRIPT-090929-10382,OTTDART00000027840,ENSDART00000131906.2
ZDB-TSCRIPT-090929-10385,OTTDART00000027843,ENSDART00000133754.2
ZDB-TSCRIPT-090929-1039,OTTDART00000007785,
ZDB-TSCRIPT-090929-1040,OTTDART00000007786,ENSDART00000135889.2
ZDB-TSCRIPT-090929-10402,OTTDART00000027863,ENSDART00000136042.2
ZDB-TSCRIPT-090929-10414,OTTDART00000027875,ENSDART00000132683.2
ZDB-TSCRIPT-090929-10437,OTTDART00000027899,ENSDART00000146294.2
ZDB-TSCRIPT-090929-10438,OTTDART00000027900,ENSDART00000139146.3
ZDB-TSCRIPT-090929-10445,OTTDART00000027907,ENSDART00000140600.2
ZDB-TSCRIPT-090929-10448,OTTDART00000027911,ENSDART00000138451.2
ZDB-TSCRIPT-090929-10451,OTTDART00000027914,ENSDART00000131850.3
ZDB-TSCRIPT-090929-10452,OTTDART00000027915,ENSDART00000140560.2
ZDB-TSCRIPT-090929-10456,OTTDART00000027919,ENSDART00000142650.2
ZDB-TSCRIPT-090929-10482,OTTDART00000027949,ENSDART00000165240.2
ZDB-TSCRIPT-090929-10487,OTTDART00000027954,ENSDART00000148135
ZDB-TSCRIPT-090929-10488,OTTDART00000027955,ENSDART00000148135.3
ZDB-TSCRIPT-090929-10490,OTTDART00000027957,ENSDART00000146109.3
ZDB-TSCRIPT-090929-10506,OTTDART00000027973,ENSDART00000145303.2
ZDB-TSCRIPT-090929-10515,OTTDART00000027982,ENSDART00000081046.5
ZDB-TSCRIPT-090929-1052,OTTDART00000007809,ENSDART00000141333.2
ZDB-TSCRIPT-090929-10521,OTTDART00000027988,ENSDART00000165708
ZDB-TSCRIPT-090929-10529,OTTDART00000027996,ENSDART00000168829
ZDB-TSCRIPT-090929-10547,OTTDART00000028014,ENSDART00000139625.2
ZDB-TSCRIPT-090929-10565,OTTDART00000028034,ENSDART00000145270.3
ZDB-TSCRIPT-090929-10571,OTTDART00000028040,ENSDART00000146659.2
ZDB-TSCRIPT-090929-10581,OTTDART00000028050,ENSDART00000146179.2
ZDB-TSCRIPT-090929-10583,OTTDART00000028052,ENSDART00000145464.3
ZDB-TSCRIPT-090929-10589,OTTDART00000028058,ENSDART00000147394.2
ZDB-TSCRIPT-090929-10597,OTTDART00000028067,ENSDART00000136948.2
ZDB-TSCRIPT-090929-10599,OTTDART00000028069,ENSDART00000147432.2
ZDB-TSCRIPT-090929-10600,OTTDART00000028070,ENSDART00000137313.2
ZDB-TSCRIPT-090929-10603,OTTDART00000028073,ENSDART00000143230.2
ZDB-TSCRIPT-090929-10604,OTTDART00000028074,ENSDART00000131689.3
ZDB-TSCRIPT-090929-10606,OTTDART00000028076,ENSDART00000143346.2
ZDB-TSCRIPT-090929-10613,OTTDART00000028083,
ZDB-TSCRIPT-090929-10616,OTTDART00000028087,ENSDART00000146729.2
ZDB-TSCRIPT-090929-10623,OTTDART00000028094,ENSDART00000085294.6
ZDB-TSCRIPT-090929-10624,OTTDART00000028095,ENSDART00000139118.3
ZDB-TSCRIPT-090929-10625,OTTDART00000028096,ENSDART00000140836.2
ZDB-TSCRIPT-090929-10637,OTTDART00000028108,ENSDART00000145597.2
ZDB-TSCRIPT-090929-10653,OTTDART00000028125,ENSDART00000169665.2
ZDB-TSCRIPT-090929-10657,OTTDART00000028130,ENSDART00000138283.2
ZDB-TSCRIPT-090929-10674,OTTDART00000028159,ENSDART00000146569.2
ZDB-TSCRIPT-090929-10684,OTTDART00000028169,ENSDART00000135956.2
ZDB-TSCRIPT-090929-10685,OTTDART00000028170,ENSDART00000132937.2
ZDB-TSCRIPT-090929-10698,OTTDART00000028184,ENSDART00000147494.2
ZDB-TSCRIPT-090929-10700,OTTDART00000028186,
ZDB-TSCRIPT-090929-10705,OTTDART00000028191,
ZDB-TSCRIPT-090929-10706,OTTDART00000028192,
ZDB-TSCRIPT-090929-10707,OTTDART00000028193,
ZDB-TSCRIPT-090929-10729,OTTDART00000028215,
ZDB-TSCRIPT-090929-10730,OTTDART00000028216,ENSDART00000123248.3
ZDB-TSCRIPT-090929-10754,OTTDART00000028243,ENSDART00000144607.2
ZDB-TSCRIPT-090929-10755,OTTDART00000028244,ENSDART00000132144.3
ZDB-TSCRIPT-090929-10786,OTTDART00000028279,ENSDART00000142480
ZDB-TSCRIPT-090929-10788,OTTDART00000028281,ENSDART00000139134.2
ZDB-TSCRIPT-090929-10789,OTTDART00000028282,ENSDART00000142723.4
ZDB-TSCRIPT-090929-10791,OTTDART00000028284,ENSDART00000138298.2
ZDB-TSCRIPT-090929-10796,OTTDART00000028293,ENSDART00000138456.3
ZDB-TSCRIPT-090929-10803,OTTDART00000028303,ENSDART00000082295.6
ZDB-TSCRIPT-090929-10810,OTTDART00000028311,ENSDART00000143768.2
ZDB-TSCRIPT-090929-10814,OTTDART00000028315,ENSDART00000131313.2
ZDB-TSCRIPT-090929-10818,OTTDART00000028319,ENSDART00000047220.9
ZDB-TSCRIPT-090929-10821,OTTDART00000028323,ENSDART00000137780.2
ZDB-TSCRIPT-090929-10823,OTTDART00000028325,ENSDART00000147693.2
ZDB-TSCRIPT-090929-10829,OTTDART00000028331,ENSDART00000144397.2
ZDB-TSCRIPT-090929-10841,OTTDART00000028343,ENSDART00000142677.2
ZDB-TSCRIPT-090929-10849,OTTDART00000028352,
ZDB-TSCRIPT-090929-10854,OTTDART00000028357,ENSDART00000141781.2
ZDB-TSCRIPT-090929-10855,OTTDART00000028358,ENSDART00000144224.3
ZDB-TSCRIPT-090929-10864,OTTDART00000028368,ENSDART00000144017.2
ZDB-TSCRIPT-090929-10867,OTTDART00000028371,ENSDART00000143611.2
ZDB-TSCRIPT-090929-10873,OTTDART00000028377,ENSDART00000144966.2
ZDB-TSCRIPT-090929-10879,OTTDART00000028383,ENSDART00000159895.2
ZDB-TSCRIPT-090929-10885,OTTDART00000028389,ENSDART00000147698.2
ZDB-TSCRIPT-090929-10894,OTTDART00000028399,ENSDART00000079922.4
ZDB-TSCRIPT-090929-10897,OTTDART00000028402,ENSDART00000137923
ZDB-TSCRIPT-090929-10901,OTTDART00000028406,ENSDART00000147215.2
ZDB-TSCRIPT-090929-10915,OTTDART00000028422,ENSDART00000138414.2
ZDB-TSCRIPT-090929-10920,OTTDART00000028427,ENSDART00000167670
ZDB-TSCRIPT-090929-10921,OTTDART00000028428,ENSDART00000165691.2
ZDB-TSCRIPT-090929-10923,OTTDART00000028430,ENSDART00000171291.2
ZDB-TSCRIPT-090929-10950,OTTDART00000028459,ENSDART00000144878.2
ZDB-TSCRIPT-090929-10952,OTTDART00000028461,ENSDART00000148113
ZDB-TSCRIPT-090929-10976,OTTDART00000028486,ENSDART00000147310.2
ZDB-TSCRIPT-090929-11014,OTTDART00000028526,ENSDART00000140338.3
ZDB-TSCRIPT-090929-11024,OTTDART00000028537,ENSDART00000140617.2
ZDB-TSCRIPT-090929-11029,OTTDART00000028542,ENSDART00000133935.2
ZDB-TSCRIPT-090929-11040,OTTDART00000028554,ENSDART00000132822.2
ZDB-TSCRIPT-090929-11043,OTTDART00000028557,ENSDART00000016672.9
ZDB-TSCRIPT-090929-11065,OTTDART00000028579,
ZDB-TSCRIPT-090929-11077,OTTDART00000028595,ENSDART00000135661.2
ZDB-TSCRIPT-090929-11078,OTTDART00000028596,ENSDART00000135813.2
ZDB-TSCRIPT-090929-1108,OTTDART00000007960,ENSDART00000124470
ZDB-TSCRIPT-090929-11090,OTTDART00000028611,ENSDART00000133505.2
ZDB-TSCRIPT-090929-11094,OTTDART00000028619,ENSDART00000132644.2
ZDB-TSCRIPT-090929-11120,OTTDART00000028647,
ZDB-TSCRIPT-090929-11122,OTTDART00000028649,ENSDART00000134705.2
ZDB-TSCRIPT-090929-11125,OTTDART00000028653,ENSDART00000134143.2
ZDB-TSCRIPT-090929-11130,OTTDART00000028658,
ZDB-TSCRIPT-090929-11131,OTTDART00000028659,ENSDART00000019858.8
ZDB-TSCRIPT-090929-11137,OTTDART00000028667,ENSDART00000164858.2
ZDB-TSCRIPT-090929-11153,OTTDART00000028686,ENSDART00000059012.7
ZDB-TSCRIPT-090929-11171,OTTDART00000028719,ENSDART00000138478.2
ZDB-TSCRIPT-090929-11182,OTTDART00000028733,ENSDART00000138380.2
ZDB-TSCRIPT-090929-11196,OTTDART00000028751,ENSDART00000136454.2
ZDB-TSCRIPT-090929-11206,OTTDART00000028761,ENSDART00000141337.2
ZDB-TSCRIPT-090929-11218,OTTDART00000028773,ENSDART00000167954.2
ZDB-TSCRIPT-090929-11230,OTTDART00000028785,ENSDART00000162177.2
ZDB-TSCRIPT-090929-11271,OTTDART00000028829,ENSDART00000136375.2
ZDB-TSCRIPT-090929-11278,OTTDART00000028836,ENSDART00000143838.2
ZDB-TSCRIPT-090929-11288,OTTDART00000028847,ENSDART00000172209.2
ZDB-TSCRIPT-090929-11298,OTTDART00000028857,ENSDART00000147761.2
ZDB-TSCRIPT-090929-11307,OTTDART00000028866,ENSDART00000141825.2
ZDB-TSCRIPT-090929-1131,OTTDART00000008021,ENSDART00000141826.2
ZDB-TSCRIPT-090929-11311,OTTDART00000028870,ENSDART00000141710.2
ZDB-TSCRIPT-090929-11319,OTTDART00000028878,ENSDART00000133704.3
ZDB-TSCRIPT-090929-11331,OTTDART00000028895,ENSDART00000124123.3
ZDB-TSCRIPT-090929-11339,OTTDART00000028905,ENSDART00000136500.2
ZDB-TSCRIPT-090929-11342,OTTDART00000028908,ENSDART00000136614.2
ZDB-TSCRIPT-090929-11364,OTTDART00000028930,ENSDART00000147115.2
ZDB-TSCRIPT-090929-11368,OTTDART00000028934,ENSDART00000125274.3
ZDB-TSCRIPT-090929-11401,OTTDART00000028967,ENSDART00000131287.2
ZDB-TSCRIPT-090929-11404,OTTDART00000028973,ENSDART00000135646.3
ZDB-TSCRIPT-090929-11405,OTTDART00000028974,ENSDART00000135325.2
ZDB-TSCRIPT-090929-11406,OTTDART00000028975,ENSDART00000139335.2
ZDB-TSCRIPT-090929-11418,OTTDART00000028987,ENSDART00000141619.2
ZDB-TSCRIPT-090929-11435,OTTDART00000029004,ENSDART00000144961.2
ZDB-TSCRIPT-090929-11445,OTTDART00000029014,ENSDART00000131886.2
ZDB-TSCRIPT-090929-11446,OTTDART00000029015,ENSDART00000137948.2
ZDB-TSCRIPT-090929-11448,OTTDART00000029017,ENSDART00000144748.2
ZDB-TSCRIPT-090929-11452,OTTDART00000029021,ENSDART00000142340.2
ZDB-TSCRIPT-090929-11465,OTTDART00000029034,ENSDART00000134948.2
ZDB-TSCRIPT-090929-11467,OTTDART00000029036,ENSDART00000146117.2
ZDB-TSCRIPT-090929-11508,OTTDART00000029078,ENSDART00000145877.2
ZDB-TSCRIPT-090929-11534,OTTDART00000029107,ENSDART00000140903.2
ZDB-TSCRIPT-090929-11535,OTTDART00000029108,ENSDART00000134227.2
ZDB-TSCRIPT-090929-11557,OTTDART00000029131,ENSDART00000003211.10
ZDB-TSCRIPT-090929-11568,OTTDART00000029142,ENSDART00000164560.2
ZDB-TSCRIPT-090929-11572,OTTDART00000029147,ENSDART00000139061.2
ZDB-TSCRIPT-090929-11581,OTTDART00000029157,ENSDART00000171471.2
ZDB-TSCRIPT-090929-11585,OTTDART00000029161,ENSDART00000166766.2
ZDB-TSCRIPT-090929-11597,OTTDART00000029174,ENSDART00000171894.2
ZDB-TSCRIPT-090929-11598,OTTDART00000029175,ENSDART00000160656.2
ZDB-TSCRIPT-090929-11605,OTTDART00000029182,ENSDART00000140372.2
ZDB-TSCRIPT-090929-11614,OTTDART00000029191,ENSDART00000128658.3
ZDB-TSCRIPT-090929-11620,OTTDART00000029197,ENSDART00000146274.2
ZDB-TSCRIPT-090929-11621,OTTDART00000029198,ENSDART00000146999.2
ZDB-TSCRIPT-090929-11647,OTTDART00000029225,ENSDART00000136008.2
ZDB-TSCRIPT-090929-11660,OTTDART00000029241,ENSDART00000135736.2
ZDB-TSCRIPT-090929-11661,OTTDART00000029242,ENSDART00000134414.2
ZDB-TSCRIPT-090929-11662,OTTDART00000029243,ENSDART00000091959.5
ZDB-TSCRIPT-090929-11682,OTTDART00000029264,ENSDART00000145274.3
ZDB-TSCRIPT-090929-11683,OTTDART00000029265,ENSDART00000140155.2
ZDB-TSCRIPT-090929-11696,OTTDART00000029282,ENSDART00000142930.2
ZDB-TSCRIPT-090929-11707,OTTDART00000029297,ENSDART00000148161.2
ZDB-TSCRIPT-090929-11709,OTTDART00000029299,ENSDART00000133164.2
ZDB-TSCRIPT-090929-11714,OTTDART00000029304,ENSDART00000139935.2
ZDB-TSCRIPT-090929-11728,OTTDART00000029319,ENSDART00000131798.3
ZDB-TSCRIPT-090929-11729,OTTDART00000029320,ENSDART00000141815
ZDB-TSCRIPT-090929-11749,OTTDART00000029347,ENSDART00000131569.2
ZDB-TSCRIPT-090929-11753,OTTDART00000029352,ENSDART00000102901.5
ZDB-TSCRIPT-090929-11758,OTTDART00000029360,ENSDART00000138917.2
ZDB-TSCRIPT-090929-11761,OTTDART00000029363,ENSDART00000121970.3
ZDB-TSCRIPT-090929-11795,OTTDART00000029400,ENSDART00000131345.3
ZDB-TSCRIPT-090929-11796,OTTDART00000029401,ENSDART00000137415.2
ZDB-TSCRIPT-090929-11797,OTTDART00000029402,ENSDART00000140142.3
ZDB-TSCRIPT-090929-11799,OTTDART00000029404,ENSDART00000134486.2
ZDB-TSCRIPT-090929-11804,OTTDART00000029409,ENSDART00000108764.4
ZDB-TSCRIPT-090929-11809,OTTDART00000029414,ENSDART00000140417
ZDB-TSCRIPT-090929-11811,OTTDART00000029416,ENSDART00000134716.2
ZDB-TSCRIPT-090929-11812,OTTDART00000029417,ENSDART00000131843.2
ZDB-TSCRIPT-090929-11813,OTTDART00000029418,ENSDART00000140130.3
ZDB-TSCRIPT-090929-11827,OTTDART00000029432,ENSDART00000142319.2
ZDB-TSCRIPT-090929-11840,OTTDART00000029446,ENSDART00000122128
ZDB-TSCRIPT-090929-11844,OTTDART00000029450,ENSDART00000144556.2
ZDB-TSCRIPT-090929-11848,OTTDART00000029454,ENSDART00000135282.2
ZDB-TSCRIPT-090929-11849,OTTDART00000029455,ENSDART00000141327.2
ZDB-TSCRIPT-090929-11854,OTTDART00000029460,ENSDART00000143542.2
ZDB-TSCRIPT-090929-11855,OTTDART00000029461,ENSDART00000148003
ZDB-TSCRIPT-090929-11859,OTTDART00000029465,ENSDART00000142283.2
ZDB-TSCRIPT-090929-11869,OTTDART00000029478,ENSDART00000146405.3
ZDB-TSCRIPT-090929-11870,OTTDART00000029479,ENSDART00000147994.2
ZDB-TSCRIPT-090929-11872,OTTDART00000029481,ENSDART00000134132.3
ZDB-TSCRIPT-090929-11886,OTTDART00000029495,ENSDART00000133317.4
ZDB-TSCRIPT-090929-11903,OTTDART00000029513,ENSDART00000109906.3
ZDB-TSCRIPT-090929-11921,OTTDART00000029532,ENSDART00000133884.2
ZDB-TSCRIPT-090929-11923,OTTDART00000029534,ENSDART00000134000.2
ZDB-TSCRIPT-090929-11938,OTTDART00000029552,ENSDART00000108951.4
ZDB-TSCRIPT-090929-11971,OTTDART00000029587,ENSDART00000131807.2
ZDB-TSCRIPT-090929-11974,OTTDART00000029590,ENSDART00000138189
ZDB-TSCRIPT-090929-11976,OTTDART00000029592,ENSDART00000148041.2
ZDB-TSCRIPT-090929-12000,OTTDART00000029617,ENSDART00000144038.2
ZDB-TSCRIPT-090929-12009,OTTDART00000029626,ENSDART00000133327.2
ZDB-TSCRIPT-090929-12020,OTTDART00000029637,ENSDART00000132990.2
ZDB-TSCRIPT-090929-12027,OTTDART00000029644,
ZDB-TSCRIPT-090929-12033,OTTDART00000029650,ENSDART00000139595.2
ZDB-TSCRIPT-090929-12040,OTTDART00000029657,ENSDART00000126835.4
ZDB-TSCRIPT-090929-12041,OTTDART00000029658,ENSDART00000134354.2
ZDB-TSCRIPT-090929-12056,OTTDART00000029675,ENSDART00000141134.2
ZDB-TSCRIPT-090929-12060,OTTDART00000029680,ENSDART00000143643
ZDB-TSCRIPT-090929-12071,OTTDART00000029691,ENSDART00000138166.2
ZDB-TSCRIPT-090929-12081,OTTDART00000029701,
ZDB-TSCRIPT-090929-12085,OTTDART00000029705,ENSDART00000145016.3
ZDB-TSCRIPT-090929-12094,OTTDART00000029714,ENSDART00000147538.2
ZDB-TSCRIPT-090929-12096,OTTDART00000029716,ENSDART00000133857.2
ZDB-TSCRIPT-090929-12107,OTTDART00000029727,ENSDART00000143506.2
ZDB-TSCRIPT-090929-12110,OTTDART00000029730,ENSDART00000145398.2
ZDB-TSCRIPT-090929-12112,OTTDART00000029732,ENSDART00000060025
ZDB-TSCRIPT-090929-12113,OTTDART00000029733,ENSDART00000105222.4
ZDB-TSCRIPT-090929-12115,OTTDART00000029735,ENSDART00000143491.3
ZDB-TSCRIPT-090929-12124,OTTDART00000029744,ENSDART00000147934.2
ZDB-TSCRIPT-090929-12132,OTTDART00000029752,ENSDART00000133072.2
ZDB-TSCRIPT-090929-12139,OTTDART00000029759,ENSDART00000141748.2
ZDB-TSCRIPT-090929-12174,OTTDART00000029794,ENSDART00000145359.2
ZDB-TSCRIPT-090929-12179,OTTDART00000029799,ENSDART00000128644.3
ZDB-TSCRIPT-090929-12180,OTTDART00000029800,ENSDART00000137495.2
ZDB-TSCRIPT-090929-12195,OTTDART00000029815,ENSDART00000134622.2
ZDB-TSCRIPT-090929-12196,OTTDART00000029818,ENSDART00000142609
ZDB-TSCRIPT-090929-12216,OTTDART00000029843,ENSDART00000170944.2
ZDB-TSCRIPT-090929-12235,OTTDART00000029876,
ZDB-TSCRIPT-090929-12243,OTTDART00000029884,
ZDB-TSCRIPT-090929-1225,OTTDART00000008530,ENSDART00000137867.2
ZDB-TSCRIPT-090929-12250,OTTDART00000029891,ENSDART00000123742.3
ZDB-TSCRIPT-090929-12255,OTTDART00000029897,ENSDART00000133881.2
ZDB-TSCRIPT-090929-1227,OTTDART00000008532,ENSDART00000139984.2
ZDB-TSCRIPT-090929-12273,OTTDART00000029934,ENSDART00000135165.2
ZDB-TSCRIPT-090929-12285,OTTDART00000029954,ENSDART00000145286.2
ZDB-TSCRIPT-090929-1229,OTTDART00000008534,ENSDART00000133603
ZDB-TSCRIPT-090929-12293,OTTDART00000029965,ENSDART00000140503
ZDB-TSCRIPT-090929-12297,OTTDART00000029971,ENSDART00000142433.2
ZDB-TSCRIPT-090929-12298,OTTDART00000029972,ENSDART00000133672.2
ZDB-TSCRIPT-090929-12299,OTTDART00000029973,ENSDART00000137199.2
ZDB-TSCRIPT-090929-12367,OTTDART00000030095,ENSDART00000023262
ZDB-TSCRIPT-090929-1238,OTTDART00000008570,
ZDB-TSCRIPT-090929-12382,OTTDART00000030122,ENSDART00000136009
ZDB-TSCRIPT-090929-12384,OTTDART00000030124,ENSDART00000138973.2
ZDB-TSCRIPT-090929-12385,OTTDART00000030125,ENSDART00000135021.2
ZDB-TSCRIPT-090929-12386,OTTDART00000030126,ENSDART00000137581.2
ZDB-TSCRIPT-090929-1239,OTTDART00000008571,ENSDART00000047929.7
ZDB-TSCRIPT-090929-12396,OTTDART00000030137,ENSDART00000132356
ZDB-TSCRIPT-090929-12402,OTTDART00000030144,ENSDART00000139998.2
ZDB-TSCRIPT-090929-12400,OTTDART00000030142,ENSDART00000146742.2
ZDB-TSCRIPT-090929-12413,OTTDART00000030155,ENSDART00000137963.2
ZDB-TSCRIPT-090929-12412,OTTDART00000030154,ENSDART00000142604.3
ZDB-TSCRIPT-090929-12415,OTTDART00000030157,ENSDART00000141759.2
ZDB-TSCRIPT-090929-12421,OTTDART00000030163,ENSDART00000132609.2
ZDB-TSCRIPT-090929-12433,OTTDART00000030177,ENSDART00000128813.3
ZDB-TSCRIPT-090929-12437,OTTDART00000030181,ENSDART00000146336.2
ZDB-TSCRIPT-090929-12438,OTTDART00000030182,ENSDART00000142425
ZDB-TSCRIPT-090929-12490,OTTDART00000030236,ENSDART00000146223.3
ZDB-TSCRIPT-090929-12491,OTTDART00000030237,ENSDART00000135533.2
ZDB-TSCRIPT-090929-12494,OTTDART00000030240,ENSDART00000137988.3
ZDB-TSCRIPT-090929-12495,OTTDART00000030241,ENSDART00000132525.2
ZDB-TSCRIPT-090929-12496,OTTDART00000030242,ENSDART00000137409.3
ZDB-TSCRIPT-090929-12531,OTTDART00000030292,ENSDART00000142727.2
ZDB-TSCRIPT-090929-12542,OTTDART00000030305,ENSDART00000136359.2
ZDB-TSCRIPT-090929-12541,OTTDART00000030304,ENSDART00000142469.3
ZDB-TSCRIPT-130528-19,OTTDART00000058221,ENSDART00000143812.3
ZDB-TSCRIPT-090929-12540,OTTDART00000030303,ENSDART00000137594.3
ZDB-TSCRIPT-090929-1255,OTTDART00000008620,
ZDB-TSCRIPT-090929-12552,OTTDART00000030318,ENSDART00000134828.2
ZDB-TSCRIPT-090929-1261,OTTDART00000008626,ENSDART00000132650.2
ZDB-TSCRIPT-090929-12614,OTTDART00000030395,ENSDART00000148104.2
ZDB-TSCRIPT-090929-12615,OTTDART00000030396,ENSDART00000135546.2
ZDB-TSCRIPT-090929-12645,OTTDART00000030427,ENSDART00000141224.2
ZDB-TSCRIPT-090929-12646,OTTDART00000030428,ENSDART00000134636.2
ZDB-TSCRIPT-090929-12669,OTTDART00000030471,ENSDART00000139708.2
ZDB-TSCRIPT-090929-12673,OTTDART00000030475,ENSDART00000124597.4
ZDB-TSCRIPT-090929-12674,OTTDART00000030476,ENSDART00000104466.4
ZDB-TSCRIPT-120213-1001,OTTDART00000053756,ENSDART00000151082.2
ZDB-TSCRIPT-090929-12681,OTTDART00000030483,ENSDART00000146128.2
ZDB-TSCRIPT-090929-12686,OTTDART00000030488,ENSDART00000147465.2
ZDB-TSCRIPT-090929-12687,OTTDART00000030489,ENSDART00000137284.2
ZDB-TSCRIPT-090929-12688,OTTDART00000030490,ENSDART00000141874.2
ZDB-TSCRIPT-090929-12695,OTTDART00000030497,ENSDART00000143066.2
ZDB-TSCRIPT-090929-12703,OTTDART00000030505,ENSDART00000144043.2
ZDB-TSCRIPT-090929-12727,OTTDART00000030536,ENSDART00000138970.2
ZDB-TSCRIPT-090929-12734,OTTDART00000030545,ENSDART00000161772.2
ZDB-TSCRIPT-090929-12735,OTTDART00000030546,ENSDART00000163626.2
ZDB-TSCRIPT-090929-12750,OTTDART00000030578,ENSDART00000132825.2
ZDB-TSCRIPT-090929-12780,OTTDART00000030619,ENSDART00000147391.2
ZDB-TSCRIPT-090929-12781,OTTDART00000030620,ENSDART00000136716.3
ZDB-TSCRIPT-090929-12787,OTTDART00000030626,ENSDART00000103665.5
ZDB-TSCRIPT-090929-12822,OTTDART00000030662,ENSDART00000137157.2
ZDB-TSCRIPT-131113-4595,OTTDART00000059374 ,ENSDART00000148499.2
ZDB-TSCRIPT-090929-12838,OTTDART00000030683,ENSDART00000132840.2
ZDB-TSCRIPT-090929-12841,OTTDART00000030693,ENSDART00000134859.2
ZDB-TSCRIPT-090929-1032,OTTDART00000007753,ENSDART00000140509.2
ZDB-TSCRIPT-090929-1031,OTTDART00000007752,ENSDART00000146403.3
ZDB-TSCRIPT-090929-12855,OTTDART00000030714,ENSDART00000144580.2
ZDB-TSCRIPT-090929-12854,OTTDART00000030713,ENSDART00000135038.2
ZDB-TSCRIPT-130528-547,OTTDART00000058291 ,ENSDART00000153169.2
ZDB-TSCRIPT-090929-12860,OTTDART00000030738,ENSDART00000135017.2
ZDB-TSCRIPT-090929-12863,OTTDART00000030743,ENSDART00000139696
