"sfclg_chromosome","sfclg_data_zdb_id","sfclg_pk_id","sfclg_acc_num","sfclg_start","sfclg_end","sfclg_location_source","sfclg_location_subsource","sfclg_fdb_db_id","sfclg_pub_zdb_id","sfclg_assembly","sfclg_gbrowse_track","sfclg_evidence_code"
"1","ZDB-BAC-050218-8","573597819","BX005261.9","8712080","8891853","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070726-1","573597820","CT573178.6","8891854","8959318","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-11","573597821","CU467110.6","8959319","9006162","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-6","573597822","BX004779.16","9006163","9200198","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-7","573597823","BX323038.3","9200199","9285746","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-071002-2","573597824","CT826402.8","9285747","9295875","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-5","573597825","AL954703.8","9295876","9477948","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-449","573597826","CU914772.16","9477949","9521036","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-7","573597827","CU104756.12","9521037","9680107","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-21","573597828","BX649473.9","9680108","9817998","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-746","573597829","BX927386.11","9817999","9896966","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-20","573597830","BX548256.7","9896967","10076238","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-447","573597831","CU861508.9","10076239","10140520","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-745","573597832","CR854964.10","10140521","10319489","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-19","573597833","AL935188.7","10319490","10478435","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-18","573597834","AL953910.14","10478436","10667228","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-446","573597835","CU915827.5","10667229","10722293","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-9","573597836","CU468726.9","10722294","10812297","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-14","573597837","BX323090.7","10812298","10976197","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-13","573597838","BX004756.8","10976198","11063552","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-744","573597839","BX323020.9","11063553","11142371","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-12","573597840","BX323995.14","11142372","11297774","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-8","573597841","CU468965.4","11297775","11352560","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-445","573597842","CU929103.7","11352561","11420653","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100920-157","573597843","CU929043.6","11420654","11438918","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-197","573597844","CU929311.5","11466560","11503058","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-198","573597845","FP085438.1","11503059","11528268","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-24","573597846","BX569798.16","11528269","11742661","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-25","573597847","BX569778.16","11742662","11880919","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-071002-6","573597895","CT573266.11","17115489","17183647","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-40","573597896","BX511093.3","17183648","17393233","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060614-213","573597897","BX908758.16","17393234","17427030","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-41","573597898","BX537280.12","17427031","17588181","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070608-1","573597899","CT033830.15","17588182","17650638","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-758","573597900","CR759951.21","17650639","17769359","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-759","573597901","CR774194.4","17769360","17927479","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060614-214","573597902","CR391953.15","17927480","18060195","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-46","573597903","AL929210.4","18060196","18226578","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-47","573597904","CR392335.5","18226579","18327749","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070608-2","573597905","CR762406.12","18327750","18466348","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-460","573597906","CT827866.7","18466349","18524953","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070404-71","573597907","CR391938.18","18524954","18591807","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-48","573597908","BX323883.14","18591808","18785057","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-760","573597909","CR933519.4","18785058","18860646","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-761","573597910","CR936846.7","18860647","18938706","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-49","573597911","BX323984.7","18938707","19113786","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-50","573597912","BX629341.9","19113787","19141255","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-51","573597913","BX546494.9","19141256","19313756","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-762","573597914","BX901913.8","19313757","19454126","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-763","573597915","CR926462.3","19454127","19462816","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-52","573597916","BX548248.10","19462817","19656436","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-54","573597917","BX323590.9","19656437","19818759","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-764","573597918","CR387920.13","19818760","19887707","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-766","573597919","BX511083.18","19887708","20074620","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-56","573597920","BX511095.9","20074621","20224988","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-2263","573597921","BX248500.14","20224989","20412709","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070404-171","573597922","CR927456.9","20412710","20565750","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-237","573597923","CR381587.14","20565751","20732960","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070726-6","573597924","CT573182.6","20732961","20756788","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-59","573597925","BX119983.5","20756789","20906293","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070608-3","573597926","CT583646.5","20906294","20944293","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-768","573597927","BX323083.29","20944294","21119810","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-784","573597928","CR762427.15","21119911","21328913","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070404-73","573597929","CT573191.7","21328914","21415946","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070726-8","573597930","CU075714.6","21415947","21432962","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-65","573597931","BX284619.11","21432963","21627893","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-786","573597932","CR786570.9","21627894","21697012","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-66","573597933","BX511134.8","21697013","21836107","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-206","573597934","CU929557.4","21836108","21843002","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100920-3","573597935","FP017148.7","21843003","21867251","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-205","573597936","CU929184.4","21867252","21892031","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-18","573597937","CU468286.4","21892032","21991241","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-204","573597938","FP016190.3","21991242","22000508","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070404-74","573597939","CT827864.4","22000509","22094256","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-774","573597940","CR388092.29","22094257","22220523","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070608-6","573597941","CT955997.5","22220524","22222612","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070726-12","573597989","CT573253.10","27456605","27584696","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-95","573597990","AL974309.17","27584697","27797026","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-061122-272","573597991","BX548034.15","27797027","27815029","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-94","573597992","BX294104.7","27815030","27976347","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-465","573597993","CU915815.13","27976348","28045815","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-061122-94","573597994","BX936424.23","28045816","28068558","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070608-7","573597995","CR933539.13","28068559","28166905","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-100","573597996","BX571828.6","28166906","28377334","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-090114-4","573597997","CU459183.9","28377335","28401825","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-466","573597998","CU915565.7","28401826","28475203","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050419-5","573597999","BX901881.9","28666210","28833085","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-893","573598000","CU571087.5","28833086","28860137","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-613","573598001","CU929263.4","28860138","28885972","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-21","573598002","CU469541.4","28890605","28913012","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-463","573598003","CU570895.8","28913013","28979353","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-111","573598004","BX248514.3","28979354","29143046","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-0462","573598005","CU929441.5","29143047","29151557","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-800","573598006","BX908780.7","29159782","29359460","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-801","573598007","CR293506.10","29359461","29427502","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070608-8","573598008","CT573186.9","29427503","29498387","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-802","573598009","CR774189.11","29498388","29581512","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-118","573598010","BX005426.17","29581513","29769032","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-119","573598011","BX088652.6","29769033","29928373","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060614-218","573598012","CR391947.14","29928374","30053364","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-20","573598013","CU468285.5","30053365","30115547","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-113","573598014","BX255890.6","30115548","30289037","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-115","573598015","BX005120.3","30289038","30316366","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
