tscriptid,tscriptname,ottdartid,status,ensdartid,tname,comments
ZDB-TSCRIPT-090929-10273,rbfox1-002,OTTDART00000027727,retained intron,ENSDART00000055534.6,rbfox1-201,
ZDB-TSCRIPT-090929-10275,dhrs7cb-002,OTTDART00000027729,retained intron,ENSDART00000143232.2,dhrs7cb-202,
ZDB-TSCRIPT-090929-10278,gsg1l-002,OTTDART00000027732,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10281,arl2-002,OTTDART00000027735,retained intron,ENSDART00000148108.2,arl2-203,
ZDB-TSCRIPT-090929-10282,arl2-003,OTTDART00000027736,retained intron,ENSDART00000135179.3,arl2-202,
ZDB-TSCRIPT-090929-10287,gatb-002,OTTDART00000027741,retained intron,ENSDART00000131938.2,gatb-202,
ZDB-TSCRIPT-090929-10301,ndufb6-002,OTTDART00000027756,retained intron,ENSDART00000166226.2,ndufb6-202,
ZDB-TSCRIPT-090929-10309,fgg-002,OTTDART00000027764,retained intron,ENSDART00000109646.4,fgg-202,
ZDB-TSCRIPT-090929-1031,fam228a-002,OTTDART00000007752,retained intron,ENSDART00000146403.3,fam228a-204,
ZDB-TSCRIPT-090929-10317,cbsa-002,OTTDART00000027774,retained intron,ENSDART00000141522.2,cbsa-203,
ZDB-TSCRIPT-090929-10318,cbsa-003,OTTDART00000027775,NMD,ENSDART00000126746.3,cbsa-202,
ZDB-TSCRIPT-090929-1032,fam228a-003,OTTDART00000007753,retained intron,ENSDART00000140509.2,fam228a-203,
ZDB-TSCRIPT-090929-10321,hsd17b14-002,OTTDART00000027778,retained intron,ENSDART00000137509.2,hsd17b14-202,
ZDB-TSCRIPT-090929-10333,exoc6-003,OTTDART00000027790,retained intron,ENSDART00000022163.9,exoc6-201,
ZDB-TSCRIPT-090929-10338,mpp2b-002,OTTDART00000027795,retained intron,ENSDART00000132515.2,mpp2b-202,
ZDB-TSCRIPT-090929-10341,zc3h13-002,OTTDART00000027798,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10343,cpb2-002,OTTDART00000027800,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10349,bora-004,OTTDART00000027806,retained intron,ENSDART00000143897.3,bora-204,
ZDB-TSCRIPT-090929-10352,psmc5-002,OTTDART00000027809,retained intron,ENSDART00000141507.2,psmc5-202,
ZDB-TSCRIPT-090929-10354,cox6a2-002,OTTDART00000027811,retained intron,ENSDART00000140547.2,cox6a2-201,
ZDB-TSCRIPT-090929-10357,rras-003,OTTDART00000027814,retained intron,ENSDART00000141919.3,rras-204,
ZDB-TSCRIPT-090929-10358,rras-004,OTTDART00000027815,retained intron,ENSDART00000139392.2,rras-202,
ZDB-TSCRIPT-090929-10361,zgc:92066-002,OTTDART00000027818,retained intron,ENSDART00000142856.2,fthl27-202,
ZDB-TSCRIPT-090929-10362,zgc:92066-003,OTTDART00000027819,retained intron,ENSDART00000145331.2,fthl27-203,
ZDB-TSCRIPT-090929-10366,gab1-002,OTTDART00000027823,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10373,rnls-002,OTTDART00000027831,retained intron,ENSDART00000135439.3,rnls-202,
ZDB-TSCRIPT-090929-10382,zgc:77439-006,OTTDART00000027840,retained intron,ENSDART00000131906.2,zgc:77349-202,
ZDB-TSCRIPT-090929-10385,zgc:109934-002,OTTDART00000027843,retained intron,ENSDART00000133754.2,fthl31-203,
ZDB-TSCRIPT-090929-1039,ivns1abpa-002,OTTDART00000007785,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-1040,ivns1abpa-003,OTTDART00000007786,retained intron,ENSDART00000135889.2,ivns1abpa-202,
ZDB-TSCRIPT-090929-10402,rab18a-002,OTTDART00000027863,NMD,ENSDART00000136042.2,,
ZDB-TSCRIPT-090929-10414,rps13-002,OTTDART00000027875,NMD,ENSDART00000132683.2,,
ZDB-TSCRIPT-090929-10437,rpl23-002,OTTDART00000027899,retained intron,ENSDART00000146294.2,rpl23-203,
ZDB-TSCRIPT-090929-10438,rpl23-003,OTTDART00000027900,retained intron,ENSDART00000139146.3,rpl23-202,
ZDB-TSCRIPT-090929-10445,ablim1b-007,OTTDART00000027907,retained intron,ENSDART00000140600.2,ablim1b-204,
ZDB-TSCRIPT-090929-10448,rnf25-002,OTTDART00000027911,retained intron,ENSDART00000138451.2,rnf25-203,
ZDB-TSCRIPT-090929-10451,thoc6-002,OTTDART00000027914,retained intron,ENSDART00000131850.3,thoc6-202,
ZDB-TSCRIPT-090929-10452,thoc6-003,OTTDART00000027915,retained intron,ENSDART00000140560.2,thoc6-203,
ZDB-TSCRIPT-090929-10456,fus-002,OTTDART00000027919,retained intron,ENSDART00000142650.2,fus-202,
ZDB-TSCRIPT-090929-10482,glyr1-002,OTTDART00000027949,retained intron,ENSDART00000165240.2,glyr1-201,
ZDB-TSCRIPT-090929-10487,slc25a36a-002,OTTDART00000027954,NMD,ENSDART00000148135,,
ZDB-TSCRIPT-090929-10488,slc25a36a-003,OTTDART00000027955,retained intron,ENSDART00000148135.3,slc25a36a-203,
ZDB-TSCRIPT-090929-10490,camk2g1-002,OTTDART00000027957,retained intron,ENSDART00000146109.3,camk2g1-203,
ZDB-TSCRIPT-090929-10506,b9d1-002,OTTDART00000027973,retained intron,ENSDART00000145303.2,b9d1-202,
ZDB-TSCRIPT-090929-10515,ttyh2-001,OTTDART00000027982,retained intron,ENSDART00000081046.5,ttyh2-202,
ZDB-TSCRIPT-090929-1052,snx14-002,OTTDART00000007809,retained intron,ENSDART00000141333.2,snx14-203,
ZDB-TSCRIPT-090929-10521,micall2a-001,OTTDART00000027988,NMD,ENSDART00000165708,,
ZDB-TSCRIPT-090929-10529,kdm8-001,OTTDART00000027996,NMD,ENSDART00000168829,,
ZDB-TSCRIPT-090929-10547,acta1a-002,OTTDART00000028014,retained intron,ENSDART00000139625.2,acta1a-202,
ZDB-TSCRIPT-090929-10565,zgc:136864-002,OTTDART00000028034,retained intron,ENSDART00000145270.3,zgc:136864-202,
ZDB-TSCRIPT-090929-10571,metap1-003,OTTDART00000028040,retained intron,ENSDART00000146659.2,metap1-203,
ZDB-TSCRIPT-090929-10581,lrrc23-002,OTTDART00000028050,retained intron,ENSDART00000146179.2,lrrc23-202,
ZDB-TSCRIPT-090929-10583,bgnb-002,OTTDART00000028052,retained intron,ENSDART00000145464.3,bgnb-203,
ZDB-TSCRIPT-090929-10589,rcvrna-002,OTTDART00000028058,retained intron,ENSDART00000147394.2,rcvrna-202,
ZDB-TSCRIPT-090929-10597,szrd1-002,OTTDART00000028067,NMD,ENSDART00000136948.2,szrd1-202,
ZDB-TSCRIPT-090929-10599,ctdsp2-002,OTTDART00000028069,retained intron,ENSDART00000147432.2,ctdsp2-203,
ZDB-TSCRIPT-090929-10600,ctdsp2-003,OTTDART00000028070,retained intron,ENSDART00000137313.2,ctdsp2-202,
ZDB-TSCRIPT-090929-10603,kansl2-003,OTTDART00000028073,retained intron,ENSDART00000143230.2,kansl2-204,
ZDB-TSCRIPT-090929-10604,kansl2-004,OTTDART00000028074,retained intron,ENSDART00000131689.3,kansl2-203,
ZDB-TSCRIPT-090929-10606,kansl2-006,OTTDART00000028076,retained intron,ENSDART00000143346.2,kansl2-205,
ZDB-TSCRIPT-090929-10613,ppm1k-003,OTTDART00000028083,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10616,ttpal-002,OTTDART00000028087,retained intron,ENSDART00000146729.2,ttpal-202,
ZDB-TSCRIPT-090929-10623,tnfrsf9a-001,OTTDART00000028094,retained intron,ENSDART00000085294.6,tnfrsf9a-201,
ZDB-TSCRIPT-090929-10624,tnfrsf9a-002,OTTDART00000028095,retained intron,ENSDART00000139118.3,tnfrsf9a-202,
ZDB-TSCRIPT-090929-10625,tnfrsf9a-003,OTTDART00000028096,retained intron,ENSDART00000140836.2,tnfrsf9a-203,
ZDB-TSCRIPT-090929-10637,cmtr1-003,OTTDART00000028108,retained intron,ENSDART00000145597.2,cmtr1-203,
ZDB-TSCRIPT-090929-10653,ccdc77-005,OTTDART00000028125,retained intron,ENSDART00000169665.2,ccdc77-206,
ZDB-TSCRIPT-090929-10657,dtd1-002,OTTDART00000028130,retained intron,ENSDART00000138283.2,dtd1-202,
ZDB-TSCRIPT-090929-10674,zgc:92027-002,OTTDART00000028159,retained intron,ENSDART00000146569.2,GCA-201,
ZDB-TSCRIPT-090929-10684,efcab7-002,OTTDART00000028169,retained intron,ENSDART00000135956.2,GCA-202,
ZDB-TSCRIPT-090929-10685,efcab7-003,OTTDART00000028170,retained intron,ENSDART00000132937.2,efcab7-202,
ZDB-TSCRIPT-090929-10698,akr1a1b-007,OTTDART00000028184,retained intron,ENSDART00000147494.2,akra1b-206,
ZDB-TSCRIPT-090929-10700,psmf1-001,OTTDART00000028186,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10705,uqcrc1-002,OTTDART00000028191,retained intron,,,no Ensembl ID match
ZDB-TSCRIPT-090929-10706,uqcrc1-003,OTTDART00000028192,retained intron,,,no Ensembl ID match
ZDB-TSCRIPT-090929-10707,uqcrc1-004,OTTDART00000028193,retained intron,,,no Ensembl ID match
ZDB-TSCRIPT-090929-10729,zranb2-002,OTTDART00000028215,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10730,zranb2-003,OTTDART00000028216,retained intron,ENSDART00000123248.3,zranb2-202,
ZDB-TSCRIPT-090929-10754,ccdc174-002,OTTDART00000028243,retained intron,ENSDART00000144607.2,ccdc174-203,
ZDB-TSCRIPT-090929-10755,ccdc174-003,OTTDART00000028244,retained intron,ENSDART00000132144.3,ccdc174-202,
ZDB-TSCRIPT-090929-10786,sltm-002,OTTDART00000028279,NMD,ENSDART00000142480,,
ZDB-TSCRIPT-090929-10788,sltm-004,OTTDART00000028281,retained intron,ENSDART00000139134.2,sltm-202,
ZDB-TSCRIPT-090929-10789,sltm-005,OTTDART00000028282,retained intron,ENSDART00000142723.4,sltm-206,
ZDB-TSCRIPT-090929-10791,sltm-007,OTTDART00000028284,retained intron,ENSDART00000138298.2,sltm-201,
ZDB-TSCRIPT-090929-10796,eif3jb-003,OTTDART00000028293,retained intron,ENSDART00000138456.3,eif3jb-203,
ZDB-TSCRIPT-090929-10803,zgc:113274-002,OTTDART00000028303,NMD,ENSDART00000082295.6,zgc113274-201,
ZDB-TSCRIPT-090929-10810,mns1-002,OTTDART00000028311,retained intron,ENSDART00000143768.2,mns1-202,
ZDB-TSCRIPT-090929-10814,arhgap1-002,OTTDART00000028315,retained intron,ENSDART00000131313.2,arhgap1-202,
ZDB-TSCRIPT-090929-10818,fbxo3-002,OTTDART00000028319,NMD,ENSDART00000047220.9,fbxo3-201,
ZDB-TSCRIPT-090929-10821,uxt-002,OTTDART00000028323,NMD,ENSDART00000137780.2,uxt-202,
ZDB-TSCRIPT-090929-10823,smc5-002,OTTDART00000028325,retained intron,ENSDART00000147693.2,smc5-205,
ZDB-TSCRIPT-090929-10829,c6ast4-002,OTTDART00000028331,retained intron,ENSDART00000144397.2,c6ast4-203,
ZDB-TSCRIPT-090929-10841,ambp-002,OTTDART00000028343,retained intron,ENSDART00000142677.2,ambp-205,
ZDB-TSCRIPT-090929-10849,sardh-002,OTTDART00000028352,artifact,,,
ZDB-TSCRIPT-090929-10854,anxa3b-002,OTTDART00000028357,retained intron,ENSDART00000141781.2,anxa3b-202,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10855,anxa3b-003,OTTDART00000028358,retained intron,ENSDART00000144224.3,anxa3b-203,
ZDB-TSCRIPT-090929-10864,vdac3-003,OTTDART00000028368,retained intron,ENSDART00000144017.2,vdac3-203,
ZDB-TSCRIPT-090929-10867,cnep1r1-003,OTTDART00000028371,retained intron,ENSDART00000143611.2,cnep1r1-203,
ZDB-TSCRIPT-090929-10873,nt5c2l1-003,OTTDART00000028377,retained intron,ENSDART00000144966.2,nt5c2l1-203,
ZDB-TSCRIPT-090929-10879,ottdart00000028383,OTTDART00000028383,retained intron,ENSDART00000159895.2,mtmr3-203,
ZDB-TSCRIPT-090929-10885,heatr3-002,OTTDART00000028389,retained intron,ENSDART00000147698.2,heatr3-202,
ZDB-TSCRIPT-090929-10894,pbdc1-002,OTTDART00000028399,retained intron,ENSDART00000079922.4,pbdc1-201,
ZDB-TSCRIPT-090929-10897,spata6-002,OTTDART00000028402,NMD,ENSDART00000137923,,
ZDB-TSCRIPT-090929-10901,fbxw11b-002,OTTDART00000028406,retained intron,ENSDART00000147215.2,fbxw11b-203,
ZDB-TSCRIPT-090929-10915,grpel1-002,OTTDART00000028422,retained intron,ENSDART00000138414.2,grpel1-202,
ZDB-TSCRIPT-090929-10920,pop4-002,OTTDART00000028427,NMD,ENSDART00000167670,,
ZDB-TSCRIPT-090929-10921,pop4-003,OTTDART00000028428,retained intron,ENSDART00000165691.2,pop4-203,
ZDB-TSCRIPT-090929-10923,zgc:101715-002,OTTDART00000028430,retained intron,ENSDART00000171291.2,zgc:101715-203,
ZDB-TSCRIPT-090929-10950,rassf7b-005,OTTDART00000028459,retained intron,ENSDART00000144878.2,rassf7b-205,
ZDB-TSCRIPT-090929-10952,hrasb-002,OTTDART00000028461,NMD,ENSDART00000148113,,
ZDB-TSCRIPT-090929-10976,rasl11a-002,OTTDART00000028486,retained intron,ENSDART00000147310.2,rasl11a-202,
ZDB-TSCRIPT-090929-11014,tcf12-004,OTTDART00000028526,retained intron,ENSDART00000140338.3,tcf12-206,
ZDB-TSCRIPT-090929-11024,ngrn-002,OTTDART00000028537,retained intron,ENSDART00000140617.2,ngrn-202,
ZDB-TSCRIPT-090929-11029,eps8l3b-003,OTTDART00000028542,retained intron,ENSDART00000133935.2,eps8l3b-201,
ZDB-TSCRIPT-090929-11040,pon2-002,OTTDART00000028554,retained intron,ENSDART00000132822.2,pon2-202,
ZDB-TSCRIPT-090929-11043,capza1b-002,OTTDART00000028557,retained intron,ENSDART00000016672.9,capza1b-201,
ZDB-TSCRIPT-090929-11065,rxfp2a-002,OTTDART00000028579,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-11077,slc20a1a-002,OTTDART00000028595,retained intron,ENSDART00000135661.2,slc20a1a-202,
ZDB-TSCRIPT-090929-11078,slc20a1a-003,OTTDART00000028596,retained intron,ENSDART00000135813.2,slc20a1a-203,
ZDB-TSCRIPT-090929-1108,ints7-002,OTTDART00000007960,NMD,ENSDART00000124470,,
ZDB-TSCRIPT-090929-11090,dnajb13-003,OTTDART00000028611,retained intron,ENSDART00000133505.2,dnajb13-202,
ZDB-TSCRIPT-090929-11094,lipg-003,OTTDART00000028619,retained intron,ENSDART00000132644.2,lipg-202,
ZDB-TSCRIPT-090929-11120,dusp11-002,OTTDART00000028647,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-11122,tmem120b-002,OTTDART00000028649,retained intron,ENSDART00000134705.2,tmem120b-204,
ZDB-TSCRIPT-090929-11125,nudt17-002,OTTDART00000028653,retained intron,ENSDART00000134143.2,nudt17-203,
ZDB-TSCRIPT-090929-11130,golga1-004,OTTDART00000028658,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-11131,golga1-002,OTTDART00000028659,retained intron,ENSDART00000019858.8,golga1-201,
ZDB-TSCRIPT-090929-11137,sh3d21-005,OTTDART00000028667,retained intron,ENSDART00000164858.2,sh3d21-203,
ZDB-TSCRIPT-090929-11153,zgc:136254-002,OTTDART00000028686,retained intron,ENSDART00000059012.7,zgc:136254-201,
ZDB-TSCRIPT-090929-11171,tmco1-003,OTTDART00000028719,retained intron,ENSDART00000138478.2,tmco1-203,
ZDB-TSCRIPT-090929-11182,msi1-002,OTTDART00000028733,retained intron,ENSDART00000138380.2,msi1-203,
ZDB-TSCRIPT-090929-11196,tead1a-003,OTTDART00000028751,retained intron,ENSDART00000136454.2,tead1a-203,
ZDB-TSCRIPT-090929-11206,dnajc15-002,OTTDART00000028761,retained intron,ENSDART00000141337.2,dnajc15-202,
ZDB-TSCRIPT-090929-11218,ubxn8-002,OTTDART00000028773,retained intron,ENSDART00000167954.2,ubxn8-202,
ZDB-TSCRIPT-090929-11230,csnk1g1-003,OTTDART00000028785,retained intron,ENSDART00000162177.2,csnk1g1-202,
ZDB-TSCRIPT-090929-11271,pdrg1-002,OTTDART00000028829,retained intron,ENSDART00000136375.2,pdrg1-201,
ZDB-TSCRIPT-090929-11278,zgc:111976-002,OTTDART00000028836,retained intron,ENSDART00000143838.2,zgc:111976-202,
ZDB-TSCRIPT-090929-11288,prelid1a-002,OTTDART00000028847,retained intron,ENSDART00000172209.2,prelid1a-202,
ZDB-TSCRIPT-090929-11298,vsg1-002,OTTDART00000028857,retained intron,ENSDART00000147761.2,plvap1b-202,
ZDB-TSCRIPT-090929-11307,gamt-002,OTTDART00000028866,retained intron,ENSDART00000141825.2,gamt-202,
ZDB-TSCRIPT-090929-1131,mettl24-002,OTTDART00000008021,retained intron,ENSDART00000141826.2,mettl24-202,
ZDB-TSCRIPT-090929-11311,itih3a-003,OTTDART00000028870,retained intron,ENSDART00000141710.2,itih3a-203,
ZDB-TSCRIPT-090929-11319,ankha-001,OTTDART00000028878,NMD,ENSDART00000133704.3,ankha-203,
ZDB-TSCRIPT-090929-11331,neil1-002,OTTDART00000028895,retained intron,ENSDART00000124123.3,neil1-202,
ZDB-TSCRIPT-090929-11339,zgc:66433-005,OTTDART00000028905,retained intron,ENSDART00000136500.2,zgc:66433-204,
ZDB-TSCRIPT-090929-11342,zfand1-002,OTTDART00000028908,retained intron,ENSDART00000136614.2,zfand1-202,
ZDB-TSCRIPT-090929-11364,rpf1-002,OTTDART00000028930,retained intron,ENSDART00000147115.2,rpf1-202,
ZDB-TSCRIPT-090929-11368,rad9a-002,OTTDART00000028934,retained intron,ENSDART00000125274.3,rad9a-202,
ZDB-TSCRIPT-090929-11401,gnpda1-003,OTTDART00000028967,retained intron,ENSDART00000131287.2,gnpda1-202,
ZDB-TSCRIPT-090929-11404,ngdn-002,OTTDART00000028973,retained intron,ENSDART00000135646.3,ngdn-203,
ZDB-TSCRIPT-090929-11405,ngdn-003,OTTDART00000028974,retained intron,ENSDART00000135325.2,ngdn-202,
ZDB-TSCRIPT-090929-11406,ngdn-004,OTTDART00000028975,retained intron,ENSDART00000139335.2,ngdn-204,
ZDB-TSCRIPT-090929-11418,nedd1-002,OTTDART00000028987,retained intron,ENSDART00000141619.2,nedd1-203,
ZDB-TSCRIPT-090929-11435,slc51a-002,OTTDART00000029004,retained intron,ENSDART00000144961.2,slc51a-202,
ZDB-TSCRIPT-090929-11445,slc25a48-002,OTTDART00000029014,NMD,ENSDART00000131886.2,slc25a48-202,
ZDB-TSCRIPT-090929-11446,slc25a48-003,OTTDART00000029015,retained intron,ENSDART00000137948.2,slc25a48-203,
ZDB-TSCRIPT-090929-11448,ergic2-002,OTTDART00000029017,retained intron,ENSDART00000144748.2,ergic2-202,
ZDB-TSCRIPT-090929-11452,g3bp1-004,OTTDART00000029021,retained intron,ENSDART00000142340.2,g3bp1-203,
ZDB-TSCRIPT-090929-11465,plekha3-002,OTTDART00000029034,retained intron,ENSDART00000134948.2,plekha3-202,
ZDB-TSCRIPT-090929-11467,pir-002,OTTDART00000029036,retained intron,ENSDART00000146117.2,pir-202,
ZDB-TSCRIPT-090929-11508,decr2-002,OTTDART00000029078,retained intron,ENSDART00000145877.2,decr2-203,
ZDB-TSCRIPT-090929-11534,accs-002,OTTDART00000029107,retained intron,ENSDART00000140903.2,accs-204,
ZDB-TSCRIPT-090929-11535,accs-003,OTTDART00000029108,retained intron,ENSDART00000134227.2,accs-203,
ZDB-TSCRIPT-090929-11557,sh2d5-002,OTTDART00000029131,NMD,ENSDART00000003211.10,sh2d5-201,
ZDB-TSCRIPT-090929-11568,tctex1d1-002,OTTDART00000029142,retained intron,ENSDART00000164560.2,tctex1d1-201,
ZDB-TSCRIPT-090929-11572,fam213b-002,OTTDART00000029147,retained intron,ENSDART00000139061.2,prxl2b-201,
ZDB-TSCRIPT-090929-11581,tbce-003,OTTDART00000029157,retained intron,ENSDART00000171471.2,tbce-202,
ZDB-TSCRIPT-090929-11585,dhrs13l1-002,OTTDART00000029161,NMD,ENSDART00000166766.2,dhrs13l-202,
ZDB-TSCRIPT-090929-11597,afmid-004,OTTDART00000029174,retained intron,ENSDART00000171894.2,afmid-206,
ZDB-TSCRIPT-090929-11598,afmid-005,OTTDART00000029175,retained intron,ENSDART00000160656.2,afmid-201,
ZDB-TSCRIPT-090929-11605,mrpl10-002,OTTDART00000029182,retained intron,ENSDART00000140372.2,mrpl10-202,
ZDB-TSCRIPT-090929-11614,fam122b-002,OTTDART00000029191,retained intron,ENSDART00000128658.3,fam122b-202,
ZDB-TSCRIPT-090929-11620,rpl39-002,OTTDART00000029197,retained intron,ENSDART00000146274.2,rpl39-202,
ZDB-TSCRIPT-090929-11621,rpl39-003,OTTDART00000029198,retained intron,ENSDART00000146999.2,rpl39-203,
ZDB-TSCRIPT-090929-11647,mtmr1b-004,OTTDART00000029225,retained intron,ENSDART00000136008.2,mtmr1b-202,
ZDB-TSCRIPT-090929-11660,clk4b-002,OTTDART00000029241,retained intron,ENSDART00000135736.2,clk4b-203,
ZDB-TSCRIPT-090929-11661,clk4b-003,OTTDART00000029242,retained intron,ENSDART00000134414.2,clk4b-202,
ZDB-TSCRIPT-090929-11662,clk4b-004,OTTDART00000029243,retained intron,ENSDART00000091959.5,clk4b-201,
ZDB-TSCRIPT-090929-11682,cel.1-002,OTTDART00000029264,retained intron,ENSDART00000145274.3,cel.1-203,
ZDB-TSCRIPT-090929-11683,cel.1-003,OTTDART00000029265,retained intron,ENSDART00000140155.2,cel.1-201,
ZDB-TSCRIPT-090929-11696,neil3-002,OTTDART00000029282,retained intron,ENSDART00000142930.2,neil3-203,
ZDB-TSCRIPT-090929-11707,slc29a2-002,OTTDART00000029297,retained intron,ENSDART00000148161.2,slc29a2-202,
ZDB-TSCRIPT-090929-11709,zgc:77938-002,OTTDART00000029299,retained intron,ENSDART00000133164.2,zgc:77938-202,
ZDB-TSCRIPT-090929-11714,mzt2b-003,OTTDART00000029304,retained intron,ENSDART00000139935.2,mzt2b-202,
ZDB-TSCRIPT-090929-11728,gsr-004,OTTDART00000029319,retained intron,ENSDART00000131798.3,gsr-203,
ZDB-TSCRIPT-090929-11729,gsr-005,OTTDART00000029320,NMD,ENSDART00000141815,,
ZDB-TSCRIPT-090929-11749,rnf180-002,OTTDART00000029347,retained intron,ENSDART00000131569.2,rnf180-202,
ZDB-TSCRIPT-090929-11753,polh-002,OTTDART00000029352,retained intron,ENSDART00000102901.5,polh-201,
ZDB-TSCRIPT-090929-11758,arl13a-002,OTTDART00000029360,retained intron,ENSDART00000138917.2,arl13a-202,
ZDB-TSCRIPT-090929-11761,pno1-002,OTTDART00000029363,retained intron,ENSDART00000121970.3,pno1-202,
ZDB-TSCRIPT-090929-11795,zgc:110319-002,OTTDART00000029400,retained intron,ENSDART00000131345.3,zgc:110319-202,
ZDB-TSCRIPT-090929-11796,zgc:110319-003,OTTDART00000029401,retained intron,ENSDART00000137415.2,zgc:110319-205,
ZDB-TSCRIPT-090929-11797,zgc:110319-004,OTTDART00000029402,retained intron,ENSDART00000140142.3,zgc:110319-206,
ZDB-TSCRIPT-090929-11799,zgc:110319-006,OTTDART00000029404,retained intron,ENSDART00000134486.2,zgc:110319-204,
ZDB-TSCRIPT-090929-11804,eif4e1c-005,OTTDART00000029409,NMD,ENSDART00000108764.4,eif4e1c-202,
ZDB-TSCRIPT-090929-11809,zgc:92249-004,OTTDART00000029414,NMD,ENSDART00000140417,,
ZDB-TSCRIPT-090929-11811,eif1ad-002,OTTDART00000029416,retained intron,ENSDART00000134716.2,eif1ad-203,
