aliasid,clonealias,cloneid
FR432,FR432,ZDB-CDNA-040425-2214
FR267,FR267,ZDB-CDNA-040425-1071
FR453,FR453,ZDB-CDNA-040425-539
FR329,FR329,ZDB-CDNA-040425-1278
FR239,FR239,ZDB-CDNA-040425-3079
FR186,FR186,ZDB-CDNA-040425-3585
FR162,FR162,ZDB-CDNA-040425-2685
FR394,FR394,ZDB-CDNA-040425-2439
FR311,FR311,ZDB-CDNA-040425-3113
FR509,FR509,ZDB-CDNA-040425-3870
FR353,FR353,ZDB-CDNA-040425-3615
FR466,FR466,ZDB-CDNA-040425-1007
FR572,FR572,ZDB-CDNA-040425-3803
FR360,FR360,ZDB-CDNA-040425-3131
FR73,FR73,ZDB-CDNA-040425-2588
FR85,FR85,ZDB-CDNA-040425-2909
FR63,FR63,ZDB-CDNA-040425-2920
FR376,FR376,ZDB-CDNA-040425-3100
FR262,FR262,ZDB-CDNA-040425-2326
FR21,FR21,ZDB-CDNA-040425-574
FR70,FR70,ZDB-CDNA-040425-1533
FR145,FR145,ZDB-CDNA-040425-2688
FR345,FR345,ZDB-CDNA-040425-604
FR598,FR598,ZDB-CDNA-040425-608
FR342,FR342,ZDB-CDNA-040425-3606
FR53,FR53,ZDB-CDNA-040425-835
FR233,FR233,ZDB-CDNA-040425-623
FR125,FR125,ZDB-CDNA-040425-2607
FR130,FR130,ZDB-CDNA-040425-2727
FR102,FR102,ZDB-CDNA-040425-2678
FR387,FR387,ZDB-CDNA-040425-2366
FR540,FR540,ZDB-CDNA-040425-2507
FR423,FR423,ZDB-CDNA-040425-2232
FR507,FR507,ZDB-CDNA-040425-664
FR71,FR71,ZDB-CDNA-040425-2635
FR434,FR434,ZDB-CDNA-040425-3600
FR51,FR51,ZDB-CDNA-040425-2718
FR597,FR597,ZDB-CDNA-040425-2494
FR354,FR354,ZDB-CDNA-040425-531
FR333,FR333,ZDB-CDNA-040425-694
FR212,FR212,ZDB-CDNA-040425-2261
FR479,FR479,ZDB-CDNA-040425-2378
FR367,FR367,ZDB-CDNA-040425-702
FR19,FR19,ZDB-CDNA-040425-1258
FR361,FR361,ZDB-CDNA-040425-2412
FR347,FR347,ZDB-CDNA-040425-2421
FR171,FR171,ZDB-CDNA-040425-2278
FR366,FR366,ZDB-CDNA-040425-727
FR67,FR67,ZDB-CDNA-040425-2596
FR46,FR46,ZDB-CDNA-040425-2602
FR441,FR441,ZDB-CDNA-040425-2211
FR364,FR364,ZDB-CDNA-040425-1000
FR18,FR18,ZDB-CDNA-040425-1178
FR122,FR122,ZDB-CDNA-040425-754
FR118,FR118,ZDB-CDNA-040425-2610
FR348,FR348,ZDB-CDNA-040425-2415
FR48,FR48,ZDB-CDNA-040425-1022
FR132,FR132,ZDB-CDNA-040425-2728
FR92,FR92,ZDB-CDNA-040425-2646
FR138,FR138,ZDB-CDNA-040425-1036
FR56,FR56,ZDB-CDNA-040425-763
FR230,FR230,ZDB-CDNA-040425-2248
FR189,FR189,ZDB-CDNA-040425-3582
FR30,FR30,ZDB-CDNA-040425-772
FR534,FR534,ZDB-CDNA-040425-773
FR105,FR105,ZDB-CDNA-040425-2619
FR379,FR379,ZDB-CDNA-040425-2430
FR39,FR39,ZDB-CDNA-040425-2665
FR505,FR505,ZDB-CDNA-040425-806
FR299,FR299,ZDB-CDNA-040425-1131
FR480,FR480,ZDB-CDNA-040425-2402
FR524,FR524,ZDB-CDNA-040425-2897
FR433,FR433,ZDB-CDNA-040425-824
FR207,FR207,ZDB-CDNA-040425-2256
FR143,FR143,ZDB-CDNA-040425-2647
FR195,FR195,ZDB-CDNA-040425-2262
FR323,FR323,ZDB-CDNA-040425-3072
FR111,FR111,ZDB-CDNA-040425-2613
FR161,FR161,ZDB-CDNA-040425-850
FR266,FR266,ZDB-CDNA-040425-1297
FR536,FR536,ZDB-CDNA-040425-2506
FR581,FR581,ZDB-EST-040908-1
FR97,FR97,ZDB-CDNA-040425-2649
FR75,FR75,ZDB-CDNA-040425-865
FR116,FR116,ZDB-CDNA-040425-867
FR476,FR476,ZDB-CDNA-040425-2463
FR300,FR300,ZDB-CDNA-040425-1166
FR327,FR327,ZDB-CDNA-040425-874
FR298,FR298,ZDB-CDNA-040425-2312
FR183,FR183,ZDB-CDNA-040425-2290
FR412,FR412,ZDB-CDNA-040425-3604
FR495,FR495,ZDB-CDNA-040425-3082
FR530,FR530,ZDB-CDNA-040425-2485
FR382,FR382,ZDB-CDNA-040425-2433
FR5,FR5,ZDB-CDNA-040425-3679
FR134,FR134,ZDB-CDNA-040425-1173
FR167,FR167,ZDB-CDNA-040425-2294
FR88,FR88,ZDB-CDNA-040425-2910
FR487,FR487,ZDB-CDNA-040425-896
FR496,FR496,ZDB-CDNA-040425-897
FR123,FR123,ZDB-CDNA-040425-2687
FR219,FR219,ZDB-CDNA-040425-1521
FR93,FR93,ZDB-CDNA-040425-2686
FR146,FR146,ZDB-CDNA-040425-2616
FR352,FR352,ZDB-CDNA-040425-915
FR413,FR413,ZDB-CDNA-040425-917
FR392,FR392,ZDB-CDNA-040425-3602
FR431,FR431,ZDB-CDNA-040425-2219
FR180,FR180,ZDB-CDNA-040425-2293
FR135,FR135,ZDB-CDNA-040425-2919
FR28,FR28,ZDB-CDNA-040425-2923
FR341,FR341,ZDB-CDNA-040425-1154
FR94,FR94,ZDB-CDNA-040425-1531
FR158,FR158,ZDB-CDNA-040425-2674
FR205,FR205,ZDB-CDNA-040425-2260
FR79,FR79,ZDB-CDNA-040425-2586
FR398,FR398,ZDB-CDNA-040425-944
FR223,FR223,ZDB-CDNA-040425-949
FR308,FR308,ZDB-CDNA-040425-952
FR370,FR370,ZDB-CDNA-040425-955
FR603,FR603,ZDB-CDNA-040425-3628
FR512,FR512,ZDB-CDNA-040425-1379
FR231,FR231,ZDB-CDNA-040425-2251
FR521,FR521,ZDB-CDNA-040425-1585
FR191,FR191,ZDB-CDNA-040425-1157
FR109,FR109,ZDB-CDNA-040425-2916
FR136,FR136,ZDB-CDNA-040425-1534
FR47,FR47,ZDB-CDNA-040425-2637
FR501,FR501,ZDB-CDNA-040425-994
FR60,FR60,ZDB-CDNA-040425-967
FR163,FR163,ZDB-CDNA-040425-2682
FR277,FR277,ZDB-CDNA-040425-1267
FR38,FR38,ZDB-CDNA-040425-970
FR469,FR469,ZDB-CDNA-040425-975
FR444,FR444,ZDB-CDNA-040425-1601
FR259,FR259,ZDB-CDNA-040425-3107
FR54,FR54,ZDB-CDNA-040425-1088
FR334,FR334,ZDB-CDNA-040425-3074
FR552,FR552,ZDB-CDNA-040425-1611
FR578,FR578,ZDB-CDNA-040425-2149
FR460,FR460,ZDB-CDNA-040425-2206
FR465,FR465,ZDB-CDNA-040425-2208
FR461,FR461,ZDB-CDNA-040425-2209
FR451,FR451,ZDB-CDNA-040425-2218
FR470,FR470,ZDB-CDNA-040425-2225
FR427,FR427,ZDB-CDNA-040425-2227
FR447,FR447,ZDB-CDNA-040425-3612
FR448,FR448,ZDB-CDNA-040425-2238
FR229,FR229,ZDB-CDNA-040425-1345
FR498,FR498,ZDB-CDNA-040425-2253
FR238,FR238,ZDB-CDNA-040425-2254
FR216,FR216,ZDB-CDNA-040425-2255
FR194,FR194,ZDB-CDNA-040425-1496
FR204,FR204,ZDB-CDNA-040425-2259
FR192,FR192,ZDB-CDNA-040425-1535
FR209,FR209,ZDB-CDNA-040425-3590
FR196,FR196,ZDB-CDNA-040425-2263
FR221,FR221,ZDB-CDNA-040425-2264
FR215,FR215,ZDB-CDNA-040425-2265
FR237,FR237,ZDB-CDNA-040425-2268
FR199,FR199,ZDB-CDNA-040425-2270
FR187,FR187,ZDB-CDNA-040425-1568
FR190,FR190,ZDB-CDNA-040425-2272
FR188,FR188,ZDB-CDNA-040425-2273
FR185,FR185,ZDB-CDNA-040425-2274
FR198,FR198,ZDB-CDNA-040425-2275
FR224,FR224,ZDB-CDNA-040425-2276
FR170,FR170,ZDB-CDNA-040425-2280
FR178,FR178,ZDB-CDNA-040425-2282
FR174,FR174,ZDB-CDNA-040425-3125
FR173,FR173,ZDB-CDNA-040425-2283
FR175,FR175,ZDB-CDNA-040425-2284
FR251,FR251,ZDB-CDNA-040425-2289
FR166,FR166,ZDB-CDNA-040425-3114
FR254,FR254,ZDB-CDNA-040425-2301
FR314,FR314,ZDB-CDNA-040425-3101
FR310,FR310,ZDB-CDNA-040425-2303
FR260,FR260,ZDB-CDNA-040425-2306
FR295,FR295,ZDB-CDNA-040425-1193
FR302,FR302,ZDB-CDNA-040425-2315
FR283,FR283,ZDB-CDNA-040425-2316
FR264,FR264,ZDB-CDNA-040425-3084
FR275,FR275,ZDB-CDNA-040425-1024
FR242,FR242,ZDB-CDNA-040425-2319
FR261,FR261,ZDB-CDNA-040425-2323
FR244,FR244,ZDB-CDNA-040425-2324
FR291,FR291,ZDB-CDNA-040425-2327
FR336,FR336,ZDB-CDNA-040425-1426
FR289,FR289,ZDB-CDNA-040425-2331
FR499,FR499,ZDB-CDNA-040425-1498
FR324,FR324,ZDB-CDNA-040425-2340
FR319,FR319,ZDB-CDNA-040425-2342
FR330,FR330,ZDB-CDNA-040425-1532
FR405,FR405,ZDB-CDNA-040425-2362
FR381,FR381,ZDB-CDNA-040425-1324
FR369,FR369,ZDB-CDNA-040425-1222
FR365,FR365,ZDB-CDNA-040425-3080
FR477,FR477,ZDB-CDNA-040425-2376
FR485,FR485,ZDB-CDNA-040425-1074
FR486,FR486,ZDB-CDNA-040425-2382
FR474,FR474,ZDB-CDNA-040425-2398
FR483,FR483,ZDB-CDNA-040425-3067
FR372,FR372,ZDB-CDNA-040425-2444
FR371,FR371,ZDB-CDNA-040425-2445
FR390,FR390,ZDB-CDNA-040425-3111
FR493,FR493,ZDB-CDNA-040425-2460
FR559,FR559,ZDB-CDNA-040425-2476
FR519,FR519,ZDB-CDNA-040425-1463
FR549,FR549,ZDB-CDNA-040425-2480
FR546,FR546,ZDB-CDNA-040425-2481
FR537,FR537,ZDB-CDNA-040425-3788
FR548,FR548,ZDB-CDNA-040425-1554
FR587,FR587,ZDB-CDNA-040425-3654
FR589,FR589,ZDB-CDNA-040425-2497
FR583,FR583,ZDB-CDNA-040425-3620
FR551,FR551,ZDB-CDNA-040425-2505
FR538,FR538,ZDB-CDNA-040425-3784
FR571,FR571,ZDB-CDNA-040425-2509
FR508,FR508,ZDB-CDNA-040425-2510
FR542,FR542,ZDB-CDNA-040425-1250
FR541,FR541,ZDB-CDNA-040425-2515
FR553,FR553,ZDB-CDNA-040425-1057
FR535,FR535,ZDB-CDNA-040425-2516
FR522,FR522,ZDB-CDNA-040425-2517
FR533,FR533,ZDB-CDNA-040425-2518
FR526,FR526,ZDB-CDNA-040425-2519
FR532,FR532,ZDB-CDNA-040425-2520
FR531,FR531,ZDB-CDNA-040425-2521
FR593,FR593,ZDB-CDNA-040425-2877
FR590,FR590,ZDB-CDNA-040425-2544
FR594,FR594,ZDB-CDNA-040425-2546
FR599,FR599,ZDB-CDNA-040425-1326
FR582,FR582,ZDB-CDNA-040425-997
FR579,FR579,ZDB-CDNA-040425-3619
FR580,FR580,ZDB-CDNA-040425-2554
FR575,FR575,ZDB-CDNA-040425-2555
FR576,FR576,ZDB-CDNA-040425-2556
FR514,FR514,ZDB-CDNA-040425-1369
FR558,FR558,ZDB-CDNA-040425-2577
FR565,FR565,ZDB-CDNA-040425-2578
FR560,FR560,ZDB-CDNA-040425-3880
FR556,FR556,ZDB-CDNA-040425-1382
FR515,FR515,ZDB-CDNA-040425-1384
FR555,FR555,ZDB-CDNA-040425-1385
FR562,FR562,ZDB-CDNA-040425-1394
FR544,FR544,ZDB-CDNA-040425-1395
FR567,FR567,ZDB-CDNA-040425-1397
FR570,FR570,ZDB-CDNA-040425-1226
FR50,FR50,ZDB-CDNA-040425-2590
FR34,FR34,ZDB-CDNA-040425-2594
FR66,FR66,ZDB-CDNA-040425-2597
FR35,FR35,ZDB-CDNA-040425-2924
FR15,FR15,ZDB-CDNA-040425-3669
FR157,FR157,ZDB-CDNA-040425-1483
FR127,FR127,ZDB-CDNA-040425-1220
FR155,FR155,ZDB-CDNA-040425-1495
FR150,FR150,ZDB-CDNA-040425-2612
FR112,FR112,ZDB-CDNA-040425-2614
FR87,FR87,ZDB-CDNA-040425-2620
FR100,FR100,ZDB-CDNA-040425-1577
FR58,FR58,ZDB-CDNA-040425-2935
FR59,FR59,ZDB-CDNA-040425-1572
FR26,FR26,ZDB-CDNA-040425-2638
FR77,FR77,ZDB-CDNA-040425-1180
FR69,FR69,ZDB-CDNA-040425-2929
FR52,FR52,ZDB-CDNA-040425-2662
FR68,FR68,ZDB-CDNA-040425-2663
FR61,FR61,ZDB-CDNA-040425-2925
FR37,FR37,ZDB-CDNA-040425-1553
FR65,FR65,ZDB-CDNA-040425-2666
FR6,FR6,ZDB-CDNA-040425-1482
FR64,FR64,ZDB-CDNA-040425-3680
FR41,FR41,ZDB-CDNA-040425-3676
FR27,FR27,ZDB-CDNA-040425-2669
FR22,FR22,ZDB-CDNA-040425-2670
FR14,FR14,ZDB-CDNA-040425-2672
FR3,FR3,ZDB-CDNA-040425-2675
FR159,FR159,ZDB-CDNA-040425-1195
FR113,FR113,ZDB-CDNA-040425-2676
FR124,FR124,ZDB-CDNA-040425-2677
FR164,FR164,ZDB-CDNA-040425-2681
FR144,FR144,ZDB-CDNA-040425-2684
FR108,FR108,ZDB-CDNA-040425-1147
FR142,FR142,ZDB-CDNA-040425-2913
FR140,FR140,ZDB-CDNA-040425-532
FR152,FR152,ZDB-CDNA-040425-2689
FR96,FR96,ZDB-CDNA-040425-1200
FR153,FR153,ZDB-CDNA-040425-2690
FR107,FR107,ZDB-CDNA-040425-1202
FR106,FR106,ZDB-CDNA-040425-2695
FR78,FR78,ZDB-CDNA-040425-2716
FR57,FR57,ZDB-CDNA-040425-2719
FR72,FR72,ZDB-CDNA-040425-2720
FR43,FR43,ZDB-CDNA-040425-3677
FR10,FR10,ZDB-CDNA-040425-1480
FR13,FR13,ZDB-CDNA-040425-2721
FR11,FR11,ZDB-CDNA-040425-2722
FR12,FR12,ZDB-CDNA-040425-2723
FR8,FR8,ZDB-CDNA-040425-3672
FR160,FR160,ZDB-CDNA-040425-2724
FR4,FR4,ZDB-CDNA-040425-2725
FR1,FR1,ZDB-CDNA-040425-370
FR129,FR129,ZDB-CDNA-040425-1127
FR86,FR86,ZDB-CDNA-040425-2729
FR82,FR82,ZDB-CDNA-040425-2730
FR139,FR139,ZDB-CDNA-040425-2908
FR388,FR388,ZDB-CDNA-040425-3584
FR393,FR393,ZDB-CDNA-040425-3601
FR351,FR351,ZDB-CDNA-040425-2418
FR16,FR16,ZDB-CDNA-040425-1044
FR128,FR128,ZDB-CDNA-040425-3668
FR547,FR547,ZDB-CDNA-040425-2974
FR40,FR40,ZDB-CDNA-040425-3675
,,
FR621,FR621,ZDB-CDNA-040425-18
FR457,FR457,ZDB-CDNA-040425-21
FR404,FR404,ZDB-CDNA-040425-22
FR1189,FR1189,ZDB-EST-040914-108
FR208,FR208,ZDB-CDNA-040425-36
FR733,FR733,ZDB-CDNA-040425-54
FR1098,FR1098,ZDB-EST-040914-51
FR1159,FR1159,ZDB-EST-040914-90
FR396,FR396,ZDB-CDNA-040425-75
FR1154,FR1154,ZDB-EST-040914-86
FR768,FR768,ZDB-CDNA-040425-89
FR633,FR633,ZDB-CDNA-040425-90
FR660,FR660,ZDB-CDNA-040425-3869
FR1291,FR1291,ZDB-EST-040914-168
FR1156,FR1156,ZDB-EST-040914-88
FR384,FR384,ZDB-CDNA-040425-1060
FR420,FR420,ZDB-CDNA-040425-2221
FR1220,FR1220,ZDB-EST-040914-128
FR744,FR744,ZDB-CDNA-040425-3828
FR375,FR375,ZDB-CDNA-040425-115
FR757,FR757,ZDB-CDNA-040425-131
FR402,FR402,ZDB-CDNA-040425-132
FR1306,FR1306,ZDB-EST-040914-175
FR279,FR279,ZDB-CDNA-040425-3122
FR674,FR674,ZDB-CDNA-040425-146
FR692,FR692,ZDB-CDNA-040425-149
FR294,FR294,ZDB-CDNA-040425-169
FR759,FR759,ZDB-CDNA-040425-189
FR1120,FR1120,ZDB-EST-040914-67
FR745,FR745,ZDB-CDNA-040425-3849
FR213,FR213,ZDB-CDNA-040425-3592
FR728,FR728,ZDB-CDNA-040425-3831
FR627,FR627,ZDB-CDNA-040425-258
FR1091,FR1091,ZDB-EST-040914-45
FR1141,FR1141,ZDB-EST-040914-82
FR1125,FR1125,ZDB-EST-040914-71
FR303,FR303,ZDB-CDNA-040425-1587
FR1224,FR1224,ZDB-EST-040914-130
FR317,FR317,ZDB-CDNA-040425-299
FR686,FR686,ZDB-CDNA-040425-1261
FR605,FR605,ZDB-CDNA-040425-304
FR481,FR481,ZDB-CDNA-040425-307
FR430,FR430,ZDB-CDNA-040425-311
FR344,FR344,ZDB-CDNA-040425-324
FR766,FR766,ZDB-CDNA-040425-1638
FR380,FR380,ZDB-CDNA-040425-2435
FR1206,FR1206,ZDB-EST-040914-121
FR1014,FR1014,ZDB-EST-040914-3
FR1021,FR1021,ZDB-EST-040914-8
FR782,FR782,ZDB-CDNA-040425-1632
FR1054,FR1054,ZDB-EST-040914-26
FR638,FR638,ZDB-CDNA-040425-2873
FR268,FR268,ZDB-CDNA-040425-378
FR489,FR489,ZDB-CDNA-040425-379
FR1013,FR1013,ZDB-EST-040914-2
FR297,FR297,ZDB-CDNA-040425-3086
FR1307,FR1307,ZDB-EST-040914-176
FR276,FR276,ZDB-CDNA-040425-3119
FR456,FR456,ZDB-CDNA-040425-3613
FR1348,FR1348,ZDB-EST-040914-201
FR246,FR246,ZDB-CDNA-040425-2321
FR1335,FR1335,ZDB-EST-040914-191
FR1302,FR1302,ZDB-EST-040914-173
FR473,FR473,ZDB-CDNA-040425-486
FR698,FR698,ZDB-CDNA-040425-495
FR751,FR751,ZDB-CDNA-040425-1436
FR446,FR446,ZDB-CDNA-040425-518
FR488,FR488,ZDB-CDNA-040425-527
FR484,FR484,ZDB-CDNA-040425-543
FR669,FR669,ZDB-CDNA-040425-545
FR1279,FR1279,ZDB-EST-040914-162
FR284,FR284,ZDB-CDNA-040425-550
FR668,FR668,ZDB-CDNA-040425-564
FR1110,FR1110,ZDB-EST-040914-59
FR1259,FR1259,ZDB-EST-040914-149
FR739,FR739,ZDB-CDNA-040425-3822
FR676,FR676,ZDB-CDNA-040425-618
FR1304,FR1304,ZDB-EST-040914-174
FR270,FR270,ZDB-CDNA-040425-648
FR436,FR436,ZDB-CDNA-040425-654
FR711,FR711,ZDB-CDNA-040425-1373
FR643,FR643,ZDB-CDNA-040425-3659
FR718,FR718,ZDB-CDNA-040425-1225
FR749,FR749,ZDB-CDNA-040425-686
FR780,FR780,ZDB-CDNA-040425-687
FR252,FR252,ZDB-CDNA-040425-688
FR637,FR637,ZDB-CDNA-040425-696
FR1071,FR1071,ZDB-EST-040914-35
FR1087,FR1087,ZDB-EST-040914-43
FR653,FR653,ZDB-CDNA-040425-708
FR491,FR491,ZDB-CDNA-040425-2374
FR687,FR687,ZDB-CDNA-040425-725
FR222,FR222,ZDB-CDNA-040425-3129
FR1096,FR1096,ZDB-EST-040914-49
FR672,FR672,ZDB-CDNA-040425-1380
FR1155,FR1155,ZDB-EST-040914-87
FR1045,FR1045,ZDB-EST-040914-19
FR1012,FR1012,ZDB-EST-040914-1
FR1283,FR1283,ZDB-EST-040914-164
FR1119,FR1119,ZDB-EST-040914-66
FR1126,FR1126,ZDB-EST-040914-72
FR1243,FR1243,ZDB-EST-040914-142
FR253,FR253,ZDB-CDNA-040425-853
FR1107,FR1107,ZDB-EST-040914-57
FR747,FR747,ZDB-CDNA-040425-855
FR683,FR683,ZDB-CDNA-040425-856
FR1094,FR1094,ZDB-EST-040914-47
FR490,FR490,ZDB-CDNA-040425-3077
FR332,FR332,ZDB-CDNA-040425-878
FR1238,FR1238,ZDB-EST-040914-137
FR769,FR769,ZDB-CDNA-040425-888
FR203,FR203,ZDB-CDNA-040425-2267
FR1118,FR1118,ZDB-EST-040914-65
FR1295,FR1295,ZDB-EST-040914-171
FR1082,FR1082,ZDB-EST-040914-39
FR1099,FR1099,ZDB-EST-040914-52
FR1171,FR1171,ZDB-EST-040914-96
FR752,FR752,ZDB-CDNA-040425-910
FR673,FR673,ZDB-CDNA-040425-1051
FR326,FR326,ZDB-CDNA-040425-925
FR408,FR408,ZDB-CDNA-040425-927
FR723,FR723,ZDB-CDNA-040425-928
FR1079,FR1079,ZDB-EST-040914-37
FR1019,FR1019,ZDB-EST-040914-6
FR1095,FR1095,ZDB-EST-040914-48
FR241,FR241,ZDB-CDNA-040425-1584
FR363,FR363,ZDB-CDNA-040425-973
FR1148,FR1148,ZDB-EST-040914-84
FR1040,FR1040,ZDB-EST-040914-15
FR727,FR727,ZDB-CDNA-040425-1556
FR677,FR677,ZDB-CDNA-040425-1357
FR696,FR696,ZDB-CDNA-040425-3895
FR697,FR697,ZDB-CDNA-040425-1613
FR721,FR721,ZDB-CDNA-040425-1360
FR699,FR699,ZDB-CDNA-040425-3891
FR693,FR693,ZDB-CDNA-040425-1367
FR1016,FR1016,ZDB-EST-040914-4
FR684,FR684,ZDB-CDNA-040425-1254
FR717,FR717,ZDB-CDNA-040425-1617
FR716,FR716,ZDB-CDNA-040425-1618
FR695,FR695,ZDB-CDNA-040425-3887
FR714,FR714,ZDB-CDNA-040425-1619
FR680,FR680,ZDB-CDNA-040425-3886
FR713,FR713,ZDB-CDNA-040425-1622
FR688,FR688,ZDB-CDNA-040425-1091
FR665,FR665,ZDB-CDNA-040425-1623
FR670,FR670,ZDB-CDNA-040425-1624
FR663,FR663,ZDB-CDNA-040425-3875
FR667,FR667,ZDB-CDNA-040425-1396
FR662,FR662,ZDB-CDNA-040425-1626
FR671,FR671,ZDB-CDNA-040425-1401
FR706,FR706,ZDB-CDNA-040425-1403
FR702,FR702,ZDB-CDNA-040425-1408
FR661,FR661,ZDB-CDNA-040425-1627
FR772,FR772,ZDB-CDNA-040425-3862
FR787,FR787,ZDB-CDNA-040425-3861
FR775,FR775,ZDB-CDNA-040425-3860
FR776,FR776,ZDB-CDNA-040425-3859
FR1123,FR1123,ZDB-EST-040914-69
FR784,FR784,ZDB-CDNA-040425-3868
FR760,FR760,ZDB-CDNA-040425-1419
FR1111,FR1111,ZDB-EST-040914-60
FR761,FR761,ZDB-CDNA-040425-1634
