dblink_linked_recid,dblink_acc_num,dblink_info,dblink_zdb_id,dblink_acc_num_display,dblink_length,dblink_fdbcont_zdb_id,incoming_info,incoming_length,incoming_length_matches
ZDB-GENE-030131-890,A0A8M1RF06,,ZDB-DBLINK-230525-9,A0A8M1RF06,877,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,877,TRUE
ZDB-GENE-030131-9298,A0A0G2KIJ4,,ZDB-DBLINK-170623-12,A0A0G2KIJ4,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,557,FALSE
ZDB-GENE-030131-940,H9GX78,,ZDB-DBLINK-180417-1,H9GX78,426,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,901,FALSE
ZDB-GENE-030131-9710,Q1L8J7,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-214,Q1L8J7,442,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,442,TRUE
ZDB-GENE-030131-9808,X1WGX5,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-151,X1WGX5,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,629,FALSE
ZDB-GENE-030219-187,E7F533,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-664,E7F533,979,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,979,TRUE
ZDB-GENE-030219-43,E7FET0,,ZDB-DBLINK-170221-56,E7FET0,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,335,FALSE
ZDB-GENE-030429-9,A0A8M2BC86,,ZDB-DBLINK-230510-2,A0A8M2BC86,3356,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,3356,TRUE
ZDB-GENE-030616-588,F1QMF9,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-293,F1QMF9,89,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,89,TRUE
ZDB-GENE-030916-3,Q8AW81,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-97742,Q8AW81,1305,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1305,TRUE
ZDB-GENE-031006-3,A0A8M3BDW6,,ZDB-DBLINK-230503-1,A0A8M3BDW6,2363,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,2363,TRUE
ZDB-GENE-031009-1,Q08C47,Kenneth Frazer 03/26/2010,ZDB-DBLINK-100326-3,Q08C47,491,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,491,TRUE
ZDB-GENE-031018-3,A0PJS8,,ZDB-DBLINK-100113-51,A0PJS8,241,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,241,TRUE
ZDB-GENE-040116-7,E7F7N8,,ZDB-DBLINK-221005-3,E7F7N8,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,360,FALSE
ZDB-GENE-040219-13,A0A8M1QHF1,,ZDB-DBLINK-230214-6,A0A8M1QHF1,1019,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1019,TRUE
ZDB-GENE-040420-2,F1REP3,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-61,F1REP3,280,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,280,TRUE
ZDB-GENE-040420-2,Q05AP0,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-60,Q05AP0,274,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,274,TRUE
ZDB-GENE-040426-1064,A0A9F2UUN9,,ZDB-DBLINK-230629-3,A0A9F2UUN9,971,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,971,TRUE
ZDB-GENE-040426-1064,A0A9F2Y9R0,,ZDB-DBLINK-230629-4,A0A9F2Y9R0,964,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,964,TRUE
ZDB-GENE-040426-1704,A0A0R4IS75,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-794,A0A0R4IS75,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,203,FALSE
ZDB-GENE-040426-1973,Q6PBK0,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-56,Q6PBK0,130,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,130,TRUE
ZDB-GENE-040426-2149,A8E7F4,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-473,A8E7F4,398,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,398,TRUE
ZDB-GENE-040426-2491,A0A8M3AJY3,,ZDB-DBLINK-230629-6,A0A8M3AJY3,416,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,416,TRUE
ZDB-GENE-040426-2836,F1RCY6,,ZDB-DBLINK-220725-13,F1RCY6,1100,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1100,TRUE
ZDB-GENE-040426-750,Q803K8,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-387,Q803K8,318,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,318,TRUE
ZDB-GENE-040625-38,Q6IQM2,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-111,Q6IQM2,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,104,FALSE
ZDB-GENE-040625-66,Q6IQ69,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-217398,Q6IQ69,220,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,220,TRUE
ZDB-GENE-040718-249,Q6DGE4,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-115482,Q6DGE4,526,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,526,TRUE
ZDB-GENE-040718-464,Q6DH84,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-201503,Q6DH84,266,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,266,TRUE
ZDB-GENE-040718-62,Q6DHD5,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-118182,Q6DHD5,323,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,323,TRUE
ZDB-GENE-040718-92,Q1L8F4,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-25336,Q1L8F4,294,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,294,TRUE
ZDB-GENE-040724-70,Q5SNS7,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-301,Q5SNS7,413,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,413,TRUE
ZDB-GENE-040724-9,A0A0G2KD92,,ZDB-DBLINK-170222-1,A0A0G2KD92,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,332,FALSE
ZDB-GENE-040801-181,Q6DHB6,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-339,Q6DHB6,466,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,466,TRUE
ZDB-GENE-040801-254,F1QRD8,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-131,F1QRD8,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,282,FALSE
ZDB-GENE-040801-267,Q6DC92,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-243,Q6DC92,207,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,207,TRUE
ZDB-GENE-040914-42,A0A0G2L677,,ZDB-DBLINK-170328-2,A0A0G2L677,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,65,FALSE
ZDB-GENE-041001-9,Q5VTP5,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-345,Q5VTP5,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,194,FALSE
ZDB-GENE-041010-44,A0A0R4IN28,,ZDB-DBLINK-181204-3,A0A0R4IN28,1731,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1969,FALSE
ZDB-GENE-041014-165,F8W4J0,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-521,F8W4J0,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,158,FALSE
ZDB-GENE-041014-208,Q0VA84,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-501,Q0VA84,615,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,615,TRUE
ZDB-GENE-041111-178,E7EZP2,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-69308,E7EZP2,527,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,527,TRUE
ZDB-GENE-041210-15,Q5RHX9,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-381,Q5RHX9,526,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,526,TRUE
ZDB-GENE-041212-36,Q5PR61,Kenneth Frazer 02/08/2010,ZDB-DBLINK-100208-8,Q5PR61,541,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,541,TRUE
ZDB-GENE-041212-56,Q49TU3,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-368,Q49TU3,243,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,243,TRUE
ZDB-GENE-050202-3,F1QIY1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-74,F1QIY1,787,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,939,FALSE
ZDB-GENE-050208-695,A8WG67,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-279,A8WG67,155,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,155,TRUE
ZDB-GENE-050208-760,Q1LVW4,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-463,Q1LVW4,128,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,128,TRUE
ZDB-GENE-050208-785,Q1LW50,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-180,Q1LW50,320,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,320,TRUE
ZDB-GENE-050222-2,Q5R205,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-171213,Q5R205,432,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,432,TRUE
ZDB-GENE-050306-11,P0C928,,ZDB-DBLINK-170921-2,P0C928,1177,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1177,TRUE
ZDB-GENE-050417-142,Q568C9,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-41404,Q568C9,242,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,242,TRUE
ZDB-GENE-050417-153,Q6DNI1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-226,Q6DNI1,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,224,FALSE
ZDB-GENE-050417-261,F1R9Z2,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-299,F1R9Z2,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1029,FALSE
ZDB-GENE-050417-327,Q568F0,,ZDB-DBLINK-230620-1,Q568F0,462,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,462,TRUE
ZDB-GENE-050417-335,Q567K3,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-109,Q567K3,437,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,437,TRUE
ZDB-GENE-050506-148,E7EXC4,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-118,E7EXC4,456,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,437,FALSE
ZDB-GENE-050506-76,E7FFC4,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-550,E7FFC4,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,373,FALSE
ZDB-GENE-050809-120,A0A0R4IED7,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-768,A0A0R4IED7,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,441,FALSE
ZDB-GENE-050923-1,B3DJX7,"Doug Howe, Ph.D. 05/28/2009",ZDB-DBLINK-090528-4,B3DJX7,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,397,FALSE
ZDB-GENE-060126-3,Q08CS6,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-90434,Q08CS6,572,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,572,TRUE
ZDB-GENE-060126-3,R4GDM3,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-19591,R4GDM3,564,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,564,TRUE
ZDB-GENE-060414-4,X1WCJ9,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-115,X1WCJ9,350,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,353,FALSE
ZDB-GENE-060419-1,P0CH95,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-353,P0CH95,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1032,FALSE
ZDB-GENE-060428-1,A0A0R4IL45,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-640,A0A0R4IL45,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,663,FALSE
ZDB-GENE-060503-16,A0A8M3B5N2,,ZDB-DBLINK-230614-3,A0A8M3B5N2,754,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,754,TRUE
ZDB-GENE-060503-16,A0A8M9PDK2,,ZDB-DBLINK-230614-2,A0A8M9PDK2,336,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,336,TRUE
ZDB-GENE-060503-201,Q1MT11,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-216,Q1MT11,451,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,451,TRUE
ZDB-GENE-060503-583,F1Q4S1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-324,F1Q4S1,1125,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1125,TRUE
ZDB-GENE-060503-667,F1Q5C9,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-260,F1Q5C9,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,248,FALSE
ZDB-GENE-060503-775,Q1LY51,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-363,Q1LY51,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,501,FALSE
ZDB-GENE-060503-811,E7F3U0,,ZDB-DBLINK-170221-117,E7F3U0,1420,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1420,TRUE
ZDB-GENE-060503-826,Q1LX31,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-410,Q1LX31,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,939,FALSE
ZDB-GENE-060508-1,Q1X874,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-9480,Q1X874,1375,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1375,TRUE
ZDB-GENE-060526-261,F1QFU0,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-356,F1QFU0,720,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,935,FALSE
ZDB-GENE-060526-61,A5PF44,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-639,A5PF44,1015,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1015,TRUE
ZDB-GENE-060526-8,F1Q8E5,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-366,F1Q8E5,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,851,FALSE
ZDB-GENE-060531-144,F1QV06,,ZDB-DBLINK-170221-28,F1QV06,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,594,FALSE
ZDB-GENE-060606-4,E7FFX7,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-60304,E7FFX7,742,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,742,TRUE
ZDB-GENE-060720-30,A0A0R4IHW0,,ZDB-DBLINK-180216-5,A0A0R4IHW0,117,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,117,TRUE
ZDB-GENE-060810-28,A0A8N7TDD3,,ZDB-DBLINK-230502-3,A0A8N7TDD3,2021,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,2021,TRUE
