ENSDARG00000088995|ENSDART00000122214|CABZ01030692.1|
ENSDARG00000075483|ENSDART00000110557|BX649314.1|
ENSDARG00000088529|ENSDART00000128389|CABZ01114193.1|
ENSDARG00000088529|ENSDART00000113636|CABZ01114193.1|
ENSDARG00000091120|ENSDART00000124021|LONP2 (1 of 2)|
ENSDARG00000077720|ENSDART00000106044|CABZ01062422.1|
ENSDARG00000088249|ENSDART00000124619|CABZ01062423.1|
ENSDARG00000087889|ENSDART00000127752|slc25a47b|
ENSDARG00000087125|ENSDART00000109864|zgc:77614|
ENSDARG00000088094|ENSDART00000122791|CABZ01088598.1|
ENSDARG00000015257|ENSDART00000053894|plcb4|
ENSDARG00000091587|ENSDART00000124940|CABZ01076758.1|
ENSDARG00000087246|ENSDART00000130060|CABZ01055715.1|
ENSDARG00000086787|ENSDART00000127146|CABZ01084877.1|
ENSDARG00000086375|ENSDART00000121830|CABZ01111793.1|
ENSDARG00000088037|ENSDART00000124394|USP30 (1 of 3)|
ENSDARG00000089253|ENSDART00000130244|ESYT2 (1 of 3)|
ENSDARG00000087850|ENSDART00000125530|CABZ01080397.1|
ENSDARG00000086976|ENSDART00000129552|USP30 (2 of 3)|
ENSDARG00000089155|ENSDART00000123060|CABZ01038979.1|
ENSDARG00000090786|ENSDART00000123462|YBEY (2 of 2)|
ENSDARG00000037566|ENSDART00000054706|FIG4 (2 of 2)|
ENSDARG00000090046|ENSDART00000122537||
ENSDARG00000011135|ENSDART00000003878|CABZ01021063.1|
ENSDARG00000088391|ENSDART00000125940||
ENSDARG00000090090|ENSDART00000128449|CU302413.2|
ENSDARG00000090932|ENSDART00000123772|CT025651.2|
ENSDARG00000088858|ENSDART00000125684|GPC5|
ENSDARG00000087587|ENSDART00000127121|CT025651.1|
ENSDARG00000087744|ENSDART00000125510|CU302413.1|
ENSDARG00000078808|ENSDART00000109374|zgc:173619|
ENSDARG00000057127|ENSDART00000079729|MORC4|
ENSDARG00000070367|ENSDART00000127731|BCAM (2 of 2)|
ENSDARG00000091157|ENSDART00000121547|FCHSD2 (4 of 5)|
ENSDARG00000052780|ENSDART00000127240|zgc:113098|
ENSDARG00000052780|ENSDART00000074703|zgc:113098|
ENSDARG00000068975|ENSDART00000099981|CU207245.1|
ENSDARG00000089984|ENSDART00000122541|CU207245.3|
ENSDARG00000091077|ENSDART00000057015|CABZ01080599.2|
ENSDARG00000086353|ENSDART00000127541|CU207245.2|
ENSDARG00000078664|ENSDART00000114844|CABZ01080599.1|
ENSDARG00000092747|ENSDART00000146429||
ENSDARG00000076498|ENSDART00000109191|golim4a|
ENSDARG00000076498|ENSDART00000127546|golim4a|
ENSDARG00000092340|ENSDART00000140911|CU457816.1|
ENSDARG00000086581|ENSDART00000122950|CABZ01023254.1|
ENSDARG00000052776|ENSDART00000099838|CABZ01023255.1|
ENSDARG00000067857|ENSDART00000097767|pmt|
ENSDARG00000093184|ENSDART00000133741|CT737182.3|
ENSDARG00000089577|ENSDART00000127315|CABZ01079804.2|
ENSDARG00000088988|ENSDART00000121455|CABZ01079804.1|
ENSDARG00000075464|ENSDART00000109028|MAP4 (1 of 3)|
ENSDARG00000088236|ENSDART00000110156|LRRC31 (1 of 15)|
ENSDARG00000089406|ENSDART00000125166|BX548067.2|
ENSDARG00000086793|ENSDART00000127529|BX548067.1|
ENSDARG00000088707|ENSDART00000129545|BX649556.2|
ENSDARG00000088936|ENSDART00000106382|BX649556.3|
ENSDARG00000091701|ENSDART00000125488|BX649556.5|
ENSDARG00000095075|ENSDART00000133790|BX649556.6|
ENSDARG00000079298|ENSDART00000111851|CABZ01081359.1|
ENSDARG00000060557|ENSDART00000085358|CABZ01117349.1|
ENSDARG00000087182|ENSDART00000114843|BX649556.1|
ENSDARG00000091357|ENSDART00000129123|BX649556.4|
ENSDARG00000086719|ENSDART00000128076|CT737182.1|
ENSDARG00000090055|ENSDART00000124473||
ENSDARG00000095738|ENSDART00000136369|BX649331.2|
ENSDARG00000095742|ENSDART00000140915|BX548067.4|
ENSDARG00000077923|ENSDART00000114257|zgc:174311|
ENSDARG00000092753|ENSDART00000148078|CT573263.3|
ENSDARG00000090798|ENSDART00000123594|BX548067.3|
ENSDARG00000090446|ENSDART00000124879|CABZ01086544.1|
ENSDARG00000091689|ENSDART00000124408|CABZ01111623.1|
ENSDARG00000018935|ENSDART00000020215|GABRB2 (2 of 2)|
ENSDARG00000091229|ENSDART00000123472|CT573263.1|
ENSDARG00000092268|ENSDART00000133975|CT573263.2|
ENSDARG00000061380|ENSDART00000087478|HUS1B|
ENSDARG00000090005|ENSDART00000125562|BX572103.2|
ENSDARG00000053243|ENSDART00000077959|CR388047.1|
ENSDARG00000093894|ENSDART00000138839|BX572103.3|
ENSDARG00000093276|ENSDART00000137405|CR388047.4|
ENSDARG00000094412|ENSDART00000144537|BX572103.4|
ENSDARG00000086083|ENSDART00000124658|CR388047.2|
ENSDARG00000086496|ENSDART00000121663|CR388047.3|
ENSDARG00000095658|ENSDART00000142711|BX572103.5|
ENSDARG00000086229|ENSDART00000124058|CABZ01075684.1|
ENSDARG00000086434|ENSDART00000099553|CABZ01075684.2|
ENSDARG00000068740|ENSDART00000099540|CR936856.1|
ENSDARG00000078148|ENSDART00000111988|HEATR2 (1 of 2)|
ENSDARG00000054502|ENSDART00000067127|BX088712.1|
ENSDARG00000091295|ENSDART00000123543|BX088712.3|
ENSDARG00000091661|ENSDART00000127229|CABZ01074886.1|
ENSDARG00000074206|ENSDART00000114889|BX511215.1|
ENSDARG00000059032|ENSDART00000082033|CABZ01074888.1|
ENSDARG00000029351|ENSDART00000082016||
ENSDARG00000090109|ENSDART00000129896|BX649308.2|
ENSDARG00000086987|ENSDART00000122312|BX649308.1|
ENSDARG00000068238|ENSDART00000098580||
ENSDARG00000058599|ENSDART00000081490|CABZ01084942.1|
ENSDARG00000091224|ENSDART00000128138|DUSP13 (3 of 3)|
ENSDARG00000076936|ENSDART00000099577|BX908777.1|
ENSDARG00000086013|ENSDART00000121420|SEC14L1 (1 of 2)|
ENSDARG00000091920|ENSDART00000138352|BX908777.2|
ENSDARG00000093555|ENSDART00000140286|CT573234.2|
ENSDARG00000075801|ENSDART00000129126|EIF4G1 (3 of 3)|
ENSDARG00000091815|ENSDART00000114594|CT573234.1|
ENSDARG00000087718|ENSDART00000122759|CABZ01074982.1|
ENSDARG00000087310|ENSDART00000128983|CABZ01092925.1|
ENSDARG00000038245|ENSDART00000127961|DENND6A (2 of 2)|
ENSDARG00000060357|ENSDART00000010885||
ENSDARG00000091844|ENSDART00000126385||
ENSDARG00000088603|ENSDART00000122886|RHO (2 of 3)|
ENSDARG00000039143|ENSDART00000057172|CABZ01059923.1|
ENSDARG00000086878|ENSDART00000129735|PDZRN4 (1 of 2)|
ENSDARG00000087582|ENSDART00000121593|CABZ01112387.1|
ENSDARG00000088056|ENSDART00000124522|KMO (2 of 2)|
ENSDARG00000091094|ENSDART00000129152||
ENSDARG00000079617|ENSDART00000034692|zgc:101560|
ENSDARG00000090313|ENSDART00000123133|CABZ01047284.1|
ENSDARG00000091480|ENSDART00000130587|CR354372.1|
ENSDARG00000090841|ENSDART00000127134|TMEM241 (2 of 2)|
ENSDARG00000028343|ENSDART00000124395|zgc:101560|
ENSDARG00000028343|ENSDART00000104309|zgc:101560|
ENSDARG00000086680|ENSDART00000123196|tec|
ENSDARG00000091202|ENSDART00000128861|CABZ01047286.1|
ENSDARG00000095220|ENSDART00000133040|CU182107.2|
ENSDARG00000058980|ENSDART00000019953|cyp1c1|
ENSDARG00000090578|ENSDART00000128708|zgc:171497|
ENSDARG00000089410|ENSDART00000126539|ASTN2 (3 of 3)|
ENSDARG00000086696|ENSDART00000128611|RBFOX3 (2 of 3)|
ENSDARG00000076553|ENSDART00000111216|trim32|
ENSDARG00000091604|ENSDART00000126717|CABZ01079302.1|
ENSDARG00000093566|ENSDART00000135491|CU182107.1|
ENSDARG00000089023|ENSDART00000126980||
ENSDARG00000095207|ENSDART00000137403|CABZ01060496.1|
ENSDARG00000076684|ENSDART00000111693|MUC2 (2 of 2)|
ENSDARG00000075258|ENSDART00000110036|zgc:112970|
ENSDARG00000089568|ENSDART00000124620|CABZ01073099.1|
ENSDARG00000010511|ENSDART00000121678|prc1a|
ENSDARG00000010511|ENSDART00000129850|prc1a|
ENSDARG00000039048|ENSDART00000024841|CABZ01061890.1|
ENSDARG00000091553|ENSDART00000130727|CABZ01088718.1|
ENSDARG00000077110|ENSDART00000112431|zgc:174680|
ENSDARG00000010073|ENSDART00000059404|rab3ip|
ENSDARG00000087189|ENSDART00000127242|CABZ01060491.1|
ENSDARG00000090644|ENSDART00000130646|COL21A1 (2 of 2)|
ENSDARG00000040581|ENSDART00000059397|CZv9_scaffold3562H12orf28|
ENSDARG00000091482|ENSDART00000128563|CABZ01073098.2|
ENSDARG00000004965|ENSDART00000019239|bmp5|
ENSDARG00000035227|ENSDART00000097192|SLC37A3|
ENSDARG00000090070|ENSDART00000123885|CABZ01060490.2|
ENSDARG00000092969|ENSDART00000132403|CABZ01060490.3|
ENSDARG00000086610|ENSDART00000125144|CABZ01060490.1|
ENSDARG00000089975|ENSDART00000111459|CABZ01086639.3|
ENSDARG00000063315|ENSDART00000092422|CABZ01064968.1|
ENSDARG00000063315|ENSDART00000128033|CABZ01064968.1|
ENSDARG00000089818|ENSDART00000121896|CABZ01064968.2|
ENSDARG00000090576|ENSDART00000123566|CABZ01064968.3|
ENSDARG00000090894|ENSDART00000106119|CABZ01064972.2|
ENSDARG00000070622|ENSDART00000103889|CABZ01064972.1|
ENSDARG00000091311|ENSDART00000125464|CABZ01064973.2|
ENSDARG00000068735|ENSDART00000127160|CABZ01064973.1|
ENSDARG00000089923|ENSDART00000124670|LRRN3|
ENSDARG00000088613|ENSDART00000129935|CABZ01006178.1|
ENSDARG00000074413|ENSDART00000112478|MYO9B (2 of 3)|
ENSDARG00000077538|ENSDART00000108604|PGBD4 (6 of 7)|
ENSDARG00000074825|ENSDART00000113848|zgc:171422|
ENSDARG00000090994|ENSDART00000127566|CABZ01086639.4|
ENSDARG00000035225|ENSDART00000051030|tmem19|
ENSDARG00000091380|ENSDART00000074826|CABZ01100379.1|
ENSDARG00000033954|ENSDART00000047811|CABZ01020188.1|
ENSDARG00000086303|ENSDART00000130220|CABZ01020188.2|
ENSDARG00000010378|ENSDART00000006922|CTRL (2 of 3)|
ENSDARG00000004148|ENSDART00000019920|aplp1|
ENSDARG00000060754|ENSDART00000085942|CU915738.1|
ENSDARG00000019473|ENSDART00000113050|kirrel3l|
ENSDARG00000019473|ENSDART00000045399|kirrel3l|
ENSDARG00000019473|ENSDART00000125405|kirrel3l|
ENSDARG00000089817|ENSDART00000129419|NPTN (2 of 3)|
ENSDARG00000074958|ENSDART00000109802|SSTR3 (2 of 2)|
ENSDARG00000075320|ENSDART00000111787|asmt|
ENSDARG00000075738|ENSDART00000111175|CUTA|
ENSDARG00000003384|ENSDART00000112327|akap17a|
ENSDARG00000077944|ENSDART00000076287|LAMP1 (2 of 2)|
ENSDARG00000088971|ENSDART00000126893|CABZ01061146.1|
ENSDARG00000079195|ENSDART00000065267|WDR48 (1 of 3)|
ENSDARG00000058527|ENSDART00000104285|si:busm1-37i06.3|
ENSDARG00000094122|ENSDART00000146187|zgc:77614|
ENSDARG00000088921|ENSDART00000121695|CABZ01072143.1|
ENSDARG00000091010|ENSDART00000130946|AL929029.1|
ENSDARG00000056425|ENSDART00000079354|CABZ01072487.1|
ENSDARG00000090683|ENSDART00000126612|CABZ01072488.1|
ENSDARG00000090448|ENSDART00000127893|CABZ01075078.1|
ENSDARG00000036900|ENSDART00000129892|CFI|
ENSDARG00000036900|ENSDART00000053577|CFI|
ENSDARG00000036900|ENSDART00000129111|CFI|
ENSDARG00000086736|ENSDART00000122293|CABZ01118266.1|
ENSDARG00000089160|ENSDART00000128228|CABZ01079864.1|
ENSDARG00000074281|ENSDART00000110939|ADAMTS20|
ENSDARG00000091256|ENSDART00000126482|CABZ01007829.1|
ENSDARG00000090490|ENSDART00000125292|zgc:171695|
ENSDARG00000090490|ENSDART00000123551|zgc:171695|
ENSDARG00000087791|ENSDART00000130959|BX276122.1|
ENSDARG00000076948|ENSDART00000110733|CT027690.3|
ENSDARG00000091363|ENSDART00000122802|BX276122.3|
ENSDARG00000074856|ENSDART00000111258|FCGBP|
ENSDARG00000091375|ENSDART00000097512|CABZ01002349.1|
ENSDARG00000089116|ENSDART00000123014|CT027690.4|
ENSDARG00000017554|ENSDART00000015507|SLC44A2 (2 of 2)|
ENSDARG00000087283|ENSDART00000128750|CR361561.1|
ENSDARG00000087283|ENSDART00000123582|CR361561.1|
ENSDARG00000087283|ENSDART00000123537|CR361561.1|
ENSDARG00000074181|ENSDART00000057160|LRRC24 (2 of 2)|
ENSDARG00000088527|ENSDART00000128403|TTC39A (2 of 2)|
ENSDARG00000094592|ENSDART00000142093|CR450840.3|
ENSDARG00000087342|ENSDART00000123394|CABZ01117094.1|
ENSDARG00000091146|ENSDART00000126532|CR361561.3|
ENSDARG00000068889|ENSDART00000062791|FAM49A (2 of 2)|
ENSDARG00000090954|ENSDART00000115096|CR450840.1|
ENSDARG00000090594|ENSDART00000122572|CR361561.2|
ENSDARG00000091316|ENSDART00000126944|BX276122.2|
ENSDARG00000091566|ENSDART00000124783|CR361561.4|
ENSDARG00000094076|ENSDART00000131853|CR450840.2|
ENSDARG00000074797|ENSDART00000113872|CT027690.2|
ENSDARG00000088413|ENSDART00000113338|CU466240.1|
ENSDARG00000088734|ENSDART00000125186|BX470149.1|
ENSDARG00000094054|ENSDART00000138091|BX324142.2|
ENSDARG00000068884|ENSDART00000099775|FBXO16 (2 of 2)|
ENSDARG00000092265|ENSDART00000136396|BX324142.1|
ENSDARG00000092265|ENSDART00000135611|BX324142.1|
ENSDARG00000095247|ENSDART00000137753|BX324142.3|
ENSDARG00000091541|ENSDART00000122804|CABZ01022575.2|
ENSDARG00000088134|ENSDART00000130971|ZGPAT (2 of 2)|
ENSDARG00000087172|ENSDART00000122027|LEPROTL1|
ENSDARG00000095604|ENSDART00000141531|BX324142.4|
ENSDARG00000095367|ENSDART00000133448|zgc:77614|
ENSDARG00000088336|ENSDART00000130598|BX294653.3|
ENSDARG00000087355|ENSDART00000123751|BX294653.2|
ENSDARG00000086431|ENSDART00000111920|BX294653.1|
ENSDARG00000092817|ENSDART00000138521|BX294653.4|
ENSDARG00000094358|ENSDART00000143651|BX294653.5|
ENSDARG00000086800|ENSDART00000040430|BX324155.1|
ENSDARG00000094917|ENSDART00000147163|BX324155.2|
ENSDARG00000090898|ENSDART00000129508|BX321887.1|
ENSDARG00000076607|ENSDART00000101501|CU138503.4|
ENSDARG00000009017|ENSDART00000007671|SCYL1 (1 of 2)|
ENSDARG00000020659|ENSDART00000105403|CU138503.3|
ENSDARG00000071326|ENSDART00000105402|zgc:154040|
ENSDARG00000093293|ENSDART00000140984|CU466240.2|
ENSDARG00000091110|ENSDART00000128111|CABZ01072815.1|
ENSDARG00000070417|ENSDART00000103304|XXYLT1 (2 of 2)|
ENSDARG00000077189|ENSDART00000109483|INTS5 (2 of 2)|
ENSDARG00000037448|ENSDART00000054512||
ENSDARG00000093329|ENSDART00000135751|zgc:77614|
ENSDARG00000079701|ENSDART00000113271|GANAB (2 of 3)|
ENSDARG00000075947|ENSDART00000112973|PIK3CA (2 of 2)|
ENSDARG00000087039|ENSDART00000059370|CABZ01111449.1|
ENSDARG00000091054|ENSDART00000130578|VPS13B|
ENSDARG00000094049|ENSDART00000139238|zgc:77614|
ENSDARG00000010690|ENSDART00000021944|CU138503.2|
ENSDARG00000093935|ENSDART00000147206|zgc:77614|
ENSDARG00000086797|ENSDART00000123760|ubxn1|
ENSDARG00000091809|ENSDART00000123102|EHD1 (2 of 3)|
ENSDARG00000079492|ENSDART00000088367|KDM5A|
ENSDARG00000092698|ENSDART00000131699|CT737209.2|
ENSDARG00000095490|ENSDART00000138118|zgc:77614|
ENSDARG00000067652|ENSDART00000097417|im:7150988|
ENSDARG00000087217|ENSDART00000122830|USP15|
ENSDARG00000090911|ENSDART00000108824|CABZ01024842.1|
ENSDARG00000070248|ENSDART00000129186|CABZ01024848.1|
ENSDARG00000070248|ENSDART00000112672|CABZ01024848.1|
ENSDARG00000070248|ENSDART00000108516|CABZ01024848.1|
ENSDARG00000077514|ENSDART00000112983|SLITRK1|
ENSDARG00000091056|ENSDART00000125517|CABZ01099929.1|
ENSDARG00000093920|ENSDART00000147749|zgc:77614|
ENSDARG00000093736|ENSDART00000136310|zgc:77614|
ENSDARG00000093017|ENSDART00000145493|zgc:77614|
ENSDARG00000091620|ENSDART00000110576|CABZ01074309.1|
ENSDARG00000091620|ENSDART00000126120|CABZ01074309.1|
ENSDARG00000091328|ENSDART00000108490|ADAMTS2 (2 of 2)|
ENSDARG00000090660|ENSDART00000128553|si:ch211-69i3.3|
ENSDARG00000091324|ENSDART00000129610|mfsd7|
ENSDARG00000088803|ENSDART00000130935|CT737138.1|
ENSDARG00000087824|ENSDART00000125985|BX324179.2|
ENSDARG00000095166|ENSDART00000135152|zgc:77614|
ENSDARG00000088239|ENSDART00000129962|BX324179.3|
ENSDARG00000086632|ENSDART00000064307|BX324179.1|
ENSDARG00000086632|ENSDART00000127437|BX324179.1|
ENSDARG00000088994|ENSDART00000130334|CR450780.4|
ENSDARG00000087462|ENSDART00000129790|CR450780.3|
ENSDARG00000087314|ENSDART00000110893|CR450780.2|
ENSDARG00000094363|ENSDART00000137186|zgc:77614|
ENSDARG00000074446|ENSDART00000110153|zgc:173714|
ENSDARG00000076331|ENSDART00000112148|CR450780.1|
ENSDARG00000076331|ENSDART00000130649|CR450780.1|
ENSDARG00000088237|ENSDART00000127928|CABZ01072312.1|
ENSDARG00000088237|ENSDART00000125777|CABZ01072312.1|
ENSDARG00000087885|ENSDART00000098333|CABZ01044157.1|
ENSDARG00000088604|ENSDART00000124281|zgc:77614|
ENSDARG00000012772|ENSDART00000008337|zgc:153845|
ENSDARG00000036524|ENSDART00000053076|PRPSAP1|
ENSDARG00000086538|ENSDART00000114832|CABZ01078634.1|
ENSDARG00000091487|ENSDART00000128517|CABZ01078634.2|
ENSDARG00000088555|ENSDART00000122278|AP1S2 (1 of 2)|
ENSDARG00000087959|ENSDART00000128627|CABZ01003343.1|
ENSDARG00000090377|ENSDART00000128219|CABZ01003344.1|
ENSDARG00000091142|ENSDART00000127701|CABZ01003346.1|
ENSDARG00000086961|ENSDART00000110493||
ENSDARG00000088887|ENSDART00000130885|MCHR2 (2 of 2)|
ENSDARG00000089695|ENSDART00000085100|GAPVD1|
ENSDARG00000074416|ENSDART00000112094|CABZ01088013.1|
ENSDARG00000090043|ENSDART00000125817|CABZ01054392.1|
ENSDARG00000089633|ENSDART00000099176|BX942821.2|
ENSDARG00000074616|ENSDART00000105198||
ENSDARG00000088670|ENSDART00000109271|BX942821.1|
ENSDARG00000089056|ENSDART00000108667|SSH3 (2 of 2)|
ENSDARG00000079349|ENSDART00000109944|E2F1|
ENSDARG00000053830|ENSDART00000110521||
ENSDARG00000087158|ENSDART00000123919|DNAJC13 (1 of 2)|
ENSDARG00000086156|ENSDART00000122237|SYNPO|
ENSDARG00000088478|ENSDART00000114063||
ENSDARG00000088618|ENSDART00000122723|CABZ01086542.1|
ENSDARG00000090665|ENSDART00000128479|CABZ01063203.1|
ENSDARG00000087668|ENSDART00000130631|CABZ01061549.1|
ENSDARG00000079749|ENSDART00000114834|ZNF341|
ENSDARG00000077486|ENSDART00000110838|PLXNA4|
ENSDARG00000087101|ENSDART00000130193||
ENSDARG00000089194|ENSDART00000125001|TACO1 (2 of 2)|
ENSDARG00000086799|ENSDART00000124684|MDGA2 (3 of 3)|
ENSDARG00000091021|ENSDART00000124805|CABZ01001466.1|
ENSDARG00000076149|ENSDART00000087334|ITCH (1 of 2)|
ENSDARG00000090441|ENSDART00000122840|MDGA2 (1 of 3)|
ENSDARG00000089677|ENSDART00000126306|CABZ01117603.1|
ENSDARG00000089151|ENSDART00000110194|tlr8a|
ENSDARG00000090611|ENSDART00000130451|CASKIN2 (2 of 3)|
ENSDARG00000019478|ENSDART00000023484|SLC10A7|
ENSDARG00000075246|ENSDART00000065424|PACS1 (2 of 3)|
ENSDARG00000086887|ENSDART00000122076|RIIAD1|
ENSDARG00000028412|ENSDART00000115315|LOX (1 of 2)|
ENSDARG00000089504|ENSDART00000123406|CABZ01117605.1|
ENSDARG00000075657|ENSDART00000109721|SNCAIP|
ENSDARG00000053597|ENSDART00000114717||
ENSDARG00000091427|ENSDART00000128864||
ENSDARG00000089946|ENSDART00000122643|CST7|
ENSDARG00000075204|ENSDART00000110840|SYNDIG1|
ENSDARG00000088730|ENSDART00000128142|ARHGAP6|
ENSDARG00000088845|ENSDART00000125639|CABZ01085177.1|
ENSDARG00000019669|ENSDART00000048631||
ENSDARG00000076706|ENSDART00000124743|CABZ01038708.1|
ENSDARG00000077693|ENSDART00000112252|CABZ01079241.1|
ENSDARG00000037926|ENSDART00000055274|CPNE8 (1 of 2)|
ENSDARG00000037926|ENSDART00000127507|CPNE8 (1 of 2)|
ENSDARG00000053356|ENSDART00000075387|SNX2|
ENSDARG00000086728|ENSDART00000126599|CZv9_scaffold3516HXorf58|
ENSDARG00000046154|ENSDART00000121857|apooa|
ENSDARG00000046154|ENSDART00000127710|apooa|
ENSDARG00000046154|ENSDART00000067863|apooa|
ENSDARG00000073938|ENSDART00000057346|CABZ01080545.1|
ENSDARG00000091681|ENSDART00000123175|CABZ01002345.1|
ENSDARG00000074142|ENSDART00000046576|MUC2 (1 of 2)|
ENSDARG00000091049|ENSDART00000126159|CABZ01002339.1|
ENSDARG00000087221|ENSDART00000126647|CR391997.1|
ENSDARG00000078110|ENSDART00000111352|BX649303.1|
ENSDARG00000090067|ENSDART00000129968|CR391997.2|
ENSDARG00000093341|ENSDART00000135227|BX901894.2|
ENSDARG00000090437|ENSDART00000130254|CABZ01099890.1|
ENSDARG00000002837|ENSDART00000011776|LACTB2|
ENSDARG00000090065|ENSDART00000121903|CABZ01109599.1|
ENSDARG00000088620|ENSDART00000122163||
ENSDARG00000088414|ENSDART00000127375|ate1|
ENSDARG00000075322|ENSDART00000113571|zgc:174178|
ENSDARG00000041883|ENSDART00000061377|MPP7 (2 of 3)|
ENSDARG00000088325|ENSDART00000122783|CABZ01034082.1|
ENSDARG00000092019|ENSDART00000144437||
ENSDARG00000090057|ENSDART00000126389|CABZ01038802.1|
ENSDARG00000087976|ENSDART00000122013|CABZ01045755.1|
ENSDARG00000054766|ENSDART00000077021|SMOC2 (2 of 2)|
ENSDARG00000002702|ENSDART00000097949|surf4|
ENSDARG00000022744|ENSDART00000028357|PIGB|
ENSDARG00000062840|ENSDART00000091274|DTX1|
ENSDARG00000090445|ENSDART00000082051|CABZ01075923.1|
ENSDARG00000053363|ENSDART00000045290|edar|
ENSDARG00000086830|ENSDART00000098235|CABZ01068060.1|
ENSDARG00000088279|ENSDART00000130362|BX537144.1|
ENSDARG00000088279|ENSDART00000128408|BX537144.1|
ENSDARG00000091505|ENSDART00000130889|BX005448.2|
ENSDARG00000087721|ENSDART00000126398|BX004873.1|
ENSDARG00000089173|ENSDART00000123690|BX004873.2|
ENSDARG00000089391|ENSDART00000125194|BX004873.3|
ENSDARG00000092828|ENSDART00000139987|BX004873.4|
ENSDARG00000091401|ENSDART00000130435|HMGXB4 (2 of 2)|
ENSDARG00000086575|ENSDART00000126774|CU929113.1|
ENSDARG00000057934|ENSDART00000080696|cep72|
ENSDARG00000089100|ENSDART00000125114|OFCC1|
ENSDARG00000090354|ENSDART00000129368|MLLT4 (2 of 2)|
ENSDARG00000042781|ENSDART00000062798|ppp4r1|
ENSDARG00000075575|ENSDART00000113165|zgc:193711|
ENSDARG00000039784|ENSDART00000058174|toporsa|
ENSDARG00000039785|ENSDART00000058176|CABZ01078610.1|
ENSDARG00000086063|ENSDART00000130653|CABZ01067743.1|
ENSDARG00000090350|ENSDART00000129706|CABZ01000592.1|
ENSDARG00000059555|ENSDART00000082893|PXMP4|
ENSDARG00000076937|ENSDART00000111290|CZv9_NA429H14orf28|
ENSDARG00000079091|ENSDART00000114418|MPHOSPH9|
ENSDARG00000074155|ENSDART00000109821|tgm5l|
ENSDARG00000090691|ENSDART00000127287|CABZ01024333.1|
ENSDARG00000077051|ENSDART00000113202|WNK4|
ENSDARG00000046136|ENSDART00000067828|BRPF1|
ENSDARG00000046136|ENSDART00000125388|BRPF1|
ENSDARG00000090296|ENSDART00000128432|BX005448.1|
ENSDARG00000088221|ENSDART00000127278|CABZ01078611.1|
ENSDARG00000089380|ENSDART00000130124|RASAL1 (1 of 2)|
ENSDARG00000091747|ENSDART00000126130|NEDD4 (1 of 2)|
ENSDARG00000063447|ENSDART00000092737|KLHL28|
ENSDARG00000067585|ENSDART00000097289|TPPP|
ENSDARG00000039197|ENSDART00000057266|FAM179B|
ENSDARG00000090554|ENSDART00000125823|CCDC138|
ENSDARG00000069365|ENSDART00000100879|zgc:171310|
ENSDARG00000095036|ENSDART00000134508|CR762480.5|
ENSDARG00000043692|ENSDART00000064157|vstm2l|
ENSDARG00000091315|ENSDART00000111057|CR762480.2|
ENSDARG00000088822|ENSDART00000110406|CR762480.1|
ENSDARG00000089827|ENSDART00000126633|BX465848.2|
ENSDARG00000093828|ENSDART00000140192|CR762480.4|
