ftr,cons
sa45259,splice_site_variant
sa45259,
sa45259,
sa45259,
sa45259,splice_site_variant
sa45260,stop_gained
sa45260,stop_gained
sa45261,stop_gained
sa45262,splice_site_variant
sa45263,stop_gained
sa45263,
sa45264,splice_site_variant
sa45265,splice_site_variant
sa45265,splice_site_variant
sa45265,splice_site_variant
sa45266,splice_site_variant
sa45267,splice_site_variant
sa45268,stop_gained
sa45269,splice_site_variant
sa45270,
sa45270,splice_site_variant
sa45270,
sa45271,stop_gained
sa45272,splice_site_variant
sa45273,stop_gained
sa45273,
sa45274,stop_gained
sa45275,stop_gained
sa45276,stop_gained
sa45277,stop_gained
sa45278,
sa45278,splice_site_variant
sa45278,
sa45278,
sa45279,splice_site_variant
sa45280,stop_gained
sa45280,
sa45280,
sa45281,stop_gained
sa45281,stop_gained
sa45281,stop_gained
sa45282,
sa45282,splice_site_variant
sa45282,splice_site_variant
sa45282,splice_site_variant
sa45283,splice_site_variant
sa45283,splice_site_variant
sa45284,stop_gained
sa45285,splice_site_variant
sa45286,stop_gained
sa45287,splice_site_variant
sa45288,stop_gained
sa45289,stop_gained
sa45290,stop_gained
sa45291,stop_gained
sa45291,stop_gained
sa45292,stop_gained
sa45293,stop_gained
sa45294,splice_site_variant
sa45295,stop_gained
sa45295,stop_gained
sa45295,stop_gained
sa45296,stop_gained
sa45297,stop_gained
sa45297,stop_gained
sa45298,stop_gained
sa45298,
sa45298,
sa45298,
sa45298,
sa45298,stop_gained
sa45299,stop_gained
sa45299,
sa45299,stop_gained
sa45300,splice_site_variant
sa45301,splice_site_variant
sa45301,
sa45302,stop_gained
sa45302,stop_gained
sa45303,
sa45303,splice_site_variant
sa45304,stop_gained
sa45305,
sa45305,missense_variant
sa45305,stop_gained
sa45305,missense_variant
sa45305,missense_variant
sa45305,missense_variant
sa45306,stop_gained
sa45307,splice_site_variant
sa45307,
sa45308,stop_gained
sa45309,splice_site_variant
sa45310,stop_gained
sa45310,stop_gained
sa45310,stop_gained
sa45311,splice_site_variant
sa45312,splice_site_variant
sa45313,splice_site_variant
sa45313,
sa45313,splice_site_variant
sa45314,splice_site_variant
sa45314,
sa45314,
sa45314,splice_site_variant
sa45314,
sa45315,
sa45315,
sa45315,
sa45315,stop_gained
sa45315,
sa45316,stop_gained
sa45316,stop_gained
sa45316,
sa45316,
sa45317,stop_gained
sa45318,stop_gained
sa45318,stop_gained
sa45319,
sa45319,
sa45319,splice_site_variant
sa45319,splice_site_variant
sa45319,
sa45320,stop_gained
sa45320,stop_gained
sa45320,stop_gained
sa45320,stop_gained
sa45321,stop_gained
sa45322,stop_gained
sa45322,stop_gained
sa45322,
sa45323,stop_gained
sa45324,splice_site_variant
sa45325,stop_gained
sa45325,stop_gained
sa45326,splice_site_variant
sa45326,splice_site_variant
sa45326,
sa45327,
sa45327,stop_gained
sa45328,stop_gained
sa45329,stop_gained
sa45329,
sa45329,
sa45330,splice_site_variant
sa45330,splice_site_variant
sa45331,stop_gained
sa45332,
sa45332,
sa45332,stop_gained
sa45333,
sa45333,stop_gained
sa45333,
sa45333,stop_gained
sa45333,
sa45334,stop_gained
sa45334,stop_gained
sa45334,
sa45335,stop_gained
sa45336,stop_gained
sa45336,stop_gained
sa45337,stop_gained
sa45337,stop_gained
sa45337,stop_gained
sa45338,stop_gained
sa45338,stop_gained
sa45339,splice_site_variant
sa45340,stop_gained
sa45341,stop_gained
sa45341,stop_gained
sa45341,stop_gained
sa45342,stop_gained
sa45343,
sa45343,
sa45343,stop_gained
sa45344,stop_gained
sa45345,stop_gained
sa45345,stop_gained
sa45346,stop_gained
sa45346,stop_gained
sa45347,
sa45347,
sa45347,
sa45347,splice_site_variant
sa45347,splice_site_variant
sa45348,stop_gained
sa45348,stop_gained
sa45349,stop_gained
sa45350,stop_gained
sa45350,
sa45350,stop_gained
sa45350,
sa45350,
sa45351,stop_gained
sa45352,splice_site_variant
sa45353,
sa45353,stop_gained
sa45353,stop_gained
sa45354,
sa45354,stop_gained
sa45354,
sa45354,stop_gained
sa45354,
sa45354,
sa45355,
sa45355,stop_gained
sa45355,
sa45355,
sa45355,
sa45355,
sa45356,splice_site_variant
sa45356,splice_site_variant
sa45357,
sa45357,
sa45357,stop_gained
sa45357,
sa45357,
sa45357,stop_gained
sa45358,splice_site_variant
sa45358,splice_site_variant
sa45359,stop_gained
sa45360,stop_gained
sa45360,stop_gained
sa45360,stop_gained
sa45360,stop_gained
sa45360,stop_gained
sa45361,splice_site_variant
sa45361,
sa45361,
sa45362,
sa45362,splice_site_variant
sa45362,splice_site_variant
sa45363,splice_site_variant
sa45363,
sa45364,stop_gained
sa45364,stop_gained
sa45365,splice_site_variant
sa45366,stop_gained
sa45366,stop_gained
sa45367,splice_site_variant
sa45367,splice_site_variant
sa45368,stop_gained
sa45368,stop_gained
sa45368,stop_gained
sa45369,splice_site_variant
sa45369,splice_site_variant
sa45370,stop_gained
sa45370,stop_gained
sa45370,
sa45370,
sa45371,stop_gained
sa45371,stop_gained
sa45371,
sa45371,
sa45372,stop_gained
sa45372,stop_gained
sa45372,
sa45372,
sa45373,stop_gained
sa45373,
sa45373,
sa45373,stop_gained
sa45373,
sa45373,stop_gained
sa45374,stop_gained
sa45374,
sa45374,
sa45374,stop_gained
sa45374,
sa45374,stop_gained
sa45375,splice_site_variant
sa45375,
sa45375,
sa45375,splice_site_variant
sa45375,
sa45375,splice_site_variant
sa45376,stop_gained
sa45376,
sa45376,
sa45376,stop_gained
sa45376,
sa45376,stop_gained
sa45377,stop_gained
sa45378,stop_gained
sa45378,stop_gained
sa45379,
sa45379,stop_gained
sa45380,stop_gained
sa45380,
sa45380,stop_gained
sa45381,stop_gained
sa45382,stop_gained
sa45382,
sa45383,stop_gained
sa45383,stop_gained
sa45384,
sa45384,stop_gained
sa45384,
sa45384,
sa45384,
sa45385,stop_gained
sa45385,stop_gained
sa45386,splice_site_variant
sa45386,splice_site_variant
sa45387,stop_gained
sa45388,stop_gained
sa45389,
sa45389,
sa45389,stop_gained
sa45389,
sa45389,
sa45389,
sa45390,splice_site_variant
sa45390,splice_site_variant
sa45391,stop_gained
sa45392,splice_site_variant
sa45392,
sa45393,splice_site_variant
sa45393,splice_site_variant
sa45394,stop_gained
sa45394,stop_gained
sa45394,
sa45395,stop_gained
sa45396,
sa45396,splice_site_variant
sa45397,stop_gained
sa45397,stop_gained
sa45398,stop_gained
sa45398,stop_gained
sa45399,stop_gained
sa45399,stop_gained
sa45399,stop_gained
sa45399,stop_gained
sa45400,stop_gained
sa45401,stop_gained
sa45402,stop_gained
sa45403,stop_gained
sa45404,stop_gained
sa45405,stop_gained
sa45405,stop_gained
sa45406,splice_site_variant
sa45407,stop_gained
sa45408,
sa45408,
sa45408,stop_gained
sa45409,
sa45409,splice_site_variant
sa45410,stop_gained
sa45410,stop_gained
sa45412,
sa45412,stop_gained
sa45412,
sa45413,stop_gained
sa45414,stop_gained
sa45414,stop_gained
sa45415,stop_gained
sa45415,stop_gained
sa45416,stop_gained
sa45417,splice_site_variant
sa45418,stop_gained
sa45419,splice_site_variant
sa45420,stop_gained
sa45421,splice_site_variant
sa45422,stop_gained
sa45423,stop_gained
sa45424,
sa45424,stop_gained
sa45424,
sa45425,stop_gained
sa45426,splice_site_variant
sa45426,splice_site_variant
sa45427,stop_gained
sa45428,stop_gained
sa45428,stop_gained
sa45428,stop_gained
sa45428,stop_gained
sa45429,stop_gained
sa45429,stop_gained
sa45429,
sa45429,stop_gained
sa45430,stop_gained
sa45431,splice_site_variant
sa45432,stop_gained
sa45433,splice_site_variant
sa45434,stop_gained
sa45435,splice_site_variant
sa45435,splice_site_variant
sa45436,splice_site_variant
sa45436,splice_site_variant
sa45436,splice_site_variant
sa45437,stop_gained
sa45438,splice_site_variant
sa45439,splice_site_variant
sa45440,splice_site_variant
sa45441,stop_gained
sa45442,stop_gained
sa45443,splice_site_variant
sa45444,splice_site_variant
sa45445,stop_gained
sa45446,splice_site_variant
sa45446,splice_site_variant
sa45446,splice_site_variant
sa45447,splice_site_variant
sa45447,splice_site_variant
sa45448,
sa45448,stop_gained
sa45449,stop_gained
sa45449,stop_gained
sa45449,stop_gained
sa45450,stop_gained
sa45451,stop_gained
sa45452,splice_site_variant
sa45452,splice_site_variant
sa45453,stop_gained
sa45454,stop_gained
sa45455,splice_site_variant
sa45455,splice_site_variant
sa45456,
sa45456,splice_site_variant
sa45456,
sa45457,splice_site_variant
sa45458,splice_site_variant
sa45459,splice_site_variant
sa45460,stop_gained
sa45460,stop_gained
sa45461,stop_gained
sa45462,
sa45462,splice_site_variant
sa45463,
sa45463,splice_site_variant
sa45464,stop_gained
sa45465,
sa45465,
sa45465,stop_gained
sa45466,splice_site_variant
sa45467,stop_gained
sa45468,stop_gained
sa45469,splice_site_variant
sa45470,stop_gained
sa45471,splice_site_variant
sa45471,
sa45472,stop_gained
sa45473,splice_site_variant
sa45474,stop_gained
sa45475,stop_gained
sa45476,stop_gained
sa45477,splice_site_variant
sa45478,splice_site_variant
sa45479,splice_site_variant
sa45479,splice_site_variant
sa45480,stop_gained
sa45481,splice_site_variant
sa45482,stop_gained
sa45483,splice_site_variant
sa45483,
sa45484,stop_gained
sa45484,stop_gained
sa45485,
sa45485,stop_gained
sa45485,stop_gained
sa45486,stop_gained
sa45487,splice_site_variant
sa45488,
sa45488,stop_gained
sa45488,
sa45489,splice_site_variant
sa45489,splice_site_variant
sa45490,
sa45490,stop_gained
sa45490,
sa45491,
sa45491,splice_site_variant
sa45491,
sa45491,
sa45491,
sa45492,stop_gained
sa45493,
sa45493,
sa45493,splice_site_variant
sa45493,
sa45493,splice_site_variant
sa45493,
sa45494,stop_gained
sa45495,stop_gained
sa45495,
sa45496,stop_gained
sa45496,
sa45496,
sa45497,stop_gained
sa45497,stop_gained
sa45498,splice_site_variant
sa45498,splice_site_variant
sa45499,splice_site_variant
sa45499,splice_site_variant
sa45500,stop_gained
sa45501,
sa45501,stop_gained
sa45502,stop_gained
sa45503,splice_site_variant
sa45504,stop_gained
sa45505,splice_site_variant
sa45505,
sa45505,splice_site_variant
sa45506,stop_gained
sa45507,splice_site_variant
sa45507,
sa45508,stop_gained
sa45509,splice_site_variant
sa45509,
sa45510,stop_gained
sa45511,stop_gained
sa45511,stop_gained
sa45512,stop_gained
sa45512,stop_gained
sa45512,stop_gained
sa45513,stop_gained
sa45514,splice_site_variant
sa45515,splice_site_variant
sa45516,stop_gained
sa45517,stop_gained
sa45518,
sa45518,
sa45518,stop_gained
sa45519,stop_gained
sa45520,stop_gained
sa45521,stop_gained
sa45522,splice_site_variant
sa45522,splice_site_variant
sa45523,stop_gained
sa45523,stop_gained
sa45523,stop_gained
sa45524,stop_gained
sa45524,stop_gained
sa45525,stop_gained
sa45526,splice_site_variant
sa45527,stop_gained
sa45528,stop_gained
sa45528,stop_gained
sa45529,stop_gained
sa45530,splice_site_variant
sa45530,splice_site_variant
sa45531,stop_gained
sa45532,stop_gained
sa45533,splice_site_variant
sa45534,splice_site_variant
sa45535,stop_gained
sa45536,splice_site_variant
sa45537,stop_gained
sa45538,splice_site_variant
sa45539,
sa45539,splice_site_variant
sa45539,splice_site_variant
sa45539,
sa45540,stop_gained
sa45540,stop_gained
sa45541,stop_gained
sa45542,stop_gained
sa45543,splice_site_variant
sa45544,stop_gained
sa45544,stop_gained
sa45545,stop_gained
sa45546,stop_gained
sa45547,stop_gained
sa45547,stop_gained
sa45548,stop_gained
sa45548,stop_gained
sa45549,stop_gained
sa45550,stop_gained
sa45552,stop_gained
sa45553,stop_gained
sa45554,splice_site_variant
sa45555,splice_site_variant
sa45556,splice_site_variant
sa45557,stop_gained
sa45558,
sa45558,
sa45558,splice_site_variant
sa45559,splice_site_variant
sa45559,splice_site_variant
sa45560,stop_gained
sa45560,stop_gained
sa45561,
sa45561,
sa45561,
sa45561,
sa45561,splice_site_variant
sa45562,
sa45562,stop_gained
sa45563,splice_site_variant
sa45564,splice_site_variant
sa45565,stop_gained
sa45565,stop_gained
sa45566,splice_site_variant
sa45566,
sa45567,splice_site_variant
sa45567,splice_site_variant
sa45568,stop_gained
sa45568,
sa45568,stop_gained
sa45568,
sa45569,splice_site_variant
sa45569,splice_site_variant
sa45570,stop_gained
sa45570,stop_gained
sa45570,
sa45570,
sa45571,splice_site_variant
sa45571,splice_site_variant
sa45572,
sa45572,
sa45572,
sa45572,splice_site_variant
sa45573,splice_site_variant
sa45573,splice_site_variant
sa45574,stop_gained
sa45574,stop_gained
sa45575,splice_site_variant
sa45576,stop_gained
sa45577,stop_gained
sa45578,stop_gained
sa45579,stop_gained
sa45580,stop_gained
sa45581,splice_site_variant
sa45582,splice_site_variant
sa45583,stop_gained
sa45583,
sa45583,stop_gained
sa45584,stop_gained
sa45584,
sa45584,stop_gained
sa45585,stop_gained
sa45586,stop_gained
sa45587,splice_site_variant
sa45588,stop_gained
sa45589,stop_gained
sa45590,stop_gained
sa45591,stop_gained
sa45592,stop_gained
sa45593,stop_gained
sa45594,stop_gained
sa45594,stop_gained
sa45595,splice_site_variant
sa45596,splice_site_variant
sa45596,splice_site_variant
sa45596,splice_site_variant
sa45596,splice_site_variant
sa45597,stop_gained
sa45598,stop_gained
sa45600,splice_site_variant
sa45601,splice_site_variant
sa45602,stop_gained
sa45603,stop_gained
sa45604,stop_gained
sa45605,stop_gained
sa45606,splice_site_variant
sa45607,stop_gained
sa45608,stop_gained
sa45608,stop_gained
sa45609,splice_site_variant
sa45609,splice_site_variant
sa45610,stop_gained
sa45611,stop_gained
sa45611,stop_gained
sa45612,stop_gained
sa45612,stop_gained
sa45612,stop_gained
sa45613,stop_gained
sa45614,stop_gained
sa45614,stop_gained
sa45614,stop_gained
sa45615,stop_gained
sa45616,stop_gained
sa45617,stop_gained
sa45618,stop_gained
sa45619,splice_site_variant
sa45619,splice_site_variant
sa45619,splice_site_variant
sa45619,splice_site_variant
sa45619,splice_site_variant
sa45620,stop_gained
sa45621,splice_site_variant
sa45622,splice_site_variant
sa45623,
sa45623,stop_gained
sa45623,stop_gained
sa45624,stop_gained
sa45625,
sa45625,stop_gained
sa45625,
sa45626,stop_gained
sa45626,stop_gained
sa45626,
sa45627,
sa45627,
sa45627,
sa45627,splice_site_variant
sa45627,
sa45627,splice_site_variant
sa45628,splice_site_variant
sa45628,splice_site_variant
sa45629,splice_site_variant
sa45629,splice_site_variant
sa45630,stop_gained
sa45630,stop_gained
sa45631,
sa45631,
sa45631,stop_gained
sa45632,stop_gained
sa45633,splice_site_variant
sa45634,stop_gained
sa45634,stop_gained
sa45635,stop_gained
sa45635,
sa45636,splice_site_variant
sa45636,splice_site_variant
sa45637,stop_gained
sa45637,stop_gained
sa45637,
sa45638,splice_site_variant
sa45639,stop_gained
sa45640,splice_site_variant
sa45641,splice_site_variant
sa45642,
sa45642,
sa45642,splice_site_variant
sa45642,
sa45643,stop_gained
sa45643,stop_gained
sa45643,
sa45643,
sa45644,stop_gained
sa45644,stop_gained
sa45645,splice_site_variant
sa45645,splice_site_variant
sa45645,splice_site_variant
sa45646,stop_gained
sa45646,stop_gained
sa45647,
sa45647,splice_site_variant
sa45647,splice_site_variant
sa45647,splice_site_variant
sa45647,splice_site_variant
sa45647,splice_site_variant
sa45648,splice_site_variant
sa45649,stop_gained
sa45649,
sa45649,
sa45650,stop_gained
sa45650,
sa45650,
sa45651,splice_site_variant
sa45651,splice_site_variant
sa45652,splice_site_variant
sa45654,
sa45654,stop_gained
sa45655,splice_site_variant
sa45655,splice_site_variant
sa45656,stop_gained
sa45656,stop_gained
sa45656,
sa45657,stop_gained
sa45657,stop_gained
sa45658,
sa45658,
sa45658,
sa45658,splice_site_variant
sa45659,stop_gained
sa45660,
sa45660,stop_gained
sa45660,stop_gained
sa45660,
sa45660,stop_gained
sa45661,stop_gained
sa45661,stop_gained
sa45662,
sa45662,stop_gained
sa45662,stop_gained
sa45663,stop_gained
sa45664,stop_gained
sa45664,stop_gained
sa45665,stop_gained
sa45665,stop_gained
sa45666,splice_site_variant
sa45667,splice_site_variant
sa45667,
sa45667,splice_site_variant
sa45668,
sa45668,stop_gained
sa45669,splice_site_variant
sa45669,
sa45670,stop_gained
sa45672,stop_gained
sa45672,stop_gained
sa45673,splice_site_variant
sa45674,splice_site_variant
sa45674,splice_site_variant
sa45675,stop_gained
sa45676,
sa45676,
sa45676,splice_site_variant
sa45678,stop_gained
sa45679,
sa45679,
sa45679,
sa45679,
sa45679,
sa45679,stop_gained
sa45679,
sa45680,splice_site_variant
sa45680,splice_site_variant
sa45680,splice_site_variant
sa45680,
sa45680,splice_site_variant
sa45681,stop_gained
sa45681,stop_gained
sa45682,splice_site_variant
sa45683,
sa45683,
sa45683,stop_gained
sa45684,stop_gained
sa45685,stop_gained
sa45686,stop_gained
sa45686,
sa45688,stop_gained
sa45689,missense_variant
sa45689,
sa45689,splice_site_variant
sa45690,
sa45690,splice_site_variant
sa45691,stop_gained
sa45692,splice_site_variant
sa45693,splice_site_variant
sa45693,
sa45694,stop_gained
sa45694,
sa45694,
sa45694,stop_gained
sa45695,stop_gained
sa45695,stop_gained
sa45696,splice_site_variant
sa45696,splice_site_variant
sa45696,splice_site_variant
sa45697,stop_gained
sa45697,stop_gained
sa45698,stop_gained
sa45698,stop_gained
sa45699,stop_gained
sa45700,stop_gained
sa45700,stop_gained
sa45701,stop_gained
sa45702,splice_site_variant
sa45702,splice_site_variant
sa45703,splice_site_variant
sa45704,stop_gained
sa45705,stop_gained
sa45706,splice_site_variant
sa45706,splice_site_variant
sa45706,splice_site_variant
sa45707,
sa45707,stop_gained
sa45708,stop_gained
sa45708,stop_gained
sa45708,
sa45709,splice_site_variant
sa45709,splice_site_variant
sa45710,stop_gained
sa45711,
sa45711,splice_site_variant
sa45712,stop_gained
sa45712,stop_gained
sa45712,stop_gained
sa45714,stop_gained
sa45714,stop_gained
sa45715,stop_gained
sa45715,stop_gained
sa45716,splice_site_variant
sa45716,
sa45716,
sa45716,splice_site_variant
sa45717,stop_gained
sa45718,splice_site_variant
sa45718,splice_site_variant
sa45718,splice_site_variant
sa45719,splice_site_variant
sa45720,stop_gained
sa45720,stop_gained
sa45721,splice_site_variant
sa45721,splice_site_variant
sa45721,splice_site_variant
sa45722,stop_gained
sa45722,stop_gained
sa45723,splice_site_variant
sa45724,stop_gained
sa45724,stop_gained
sa45725,stop_gained
sa45726,
sa45726,splice_site_variant
sa45727,splice_site_variant
sa45727,splice_site_variant
sa45728,
sa45728,
sa45728,stop_gained
sa45729,
sa45729,stop_gained
sa45729,stop_gained
sa45730,stop_gained
sa45730,stop_gained
sa45731,stop_gained
sa45731,
sa45731,stop_gained
sa45731,
sa45731,stop_gained
sa45732,stop_gained
sa45732,stop_gained
sa45732,stop_gained
sa45732,stop_gained
sa45733,
sa45733,splice_site_variant
sa45733,
sa45734,
sa45734,splice_site_variant
sa45734,splice_site_variant
sa45735,stop_gained
sa45735,stop_gained
sa45736,stop_gained
sa45736,stop_gained
sa45737,stop_gained
sa45737,stop_gained
sa45737,stop_gained
sa45737,stop_gained
sa45737,stop_gained
sa45738,splice_site_variant
sa45738,
sa45738,
sa45739,splice_site_variant
sa45739,splice_site_variant
sa45740,
sa45740,
sa45740,splice_site_variant
sa45740,splice_site_variant
sa45741,stop_gained
sa45742,splice_site_variant
sa45742,splice_site_variant
sa45743,stop_gained
sa45744,stop_gained
sa45744,stop_gained
sa45745,stop_gained
sa45745,stop_gained
sa45745,stop_gained
sa45746,stop_gained
sa45746,stop_gained
sa45749,stop_gained
sa45750,splice_site_variant
sa45751,stop_gained
sa45752,stop_gained
sa45752,
sa45752,
sa45753,stop_gained
sa45753,
sa45754,
sa45754,stop_gained
sa45755,stop_gained
sa45756,splice_site_variant
sa45757,splice_site_variant
sa45757,splice_site_variant
sa45758,stop_gained
sa45759,stop_gained
sa45760,
sa45760,splice_site_variant
sa45761,
sa45761,stop_gained
sa45762,stop_gained
sa45763,splice_site_variant
sa45764,stop_gained
sa45765,stop_gained
sa45766,
sa45766,stop_gained
sa45766,stop_gained
sa45767,splice_site_variant
sa45767,
sa45767,splice_site_variant
sa45768,splice_site_variant
sa45769,stop_gained
sa45769,stop_gained
sa45770,splice_site_variant
sa45771,splice_site_variant
sa45771,
