tscriptid,ottdartid,ensdartid
vamp5-003,OTTDART00000019794,ENSDART00000132070.2
si:ch211-147a11.3-003,OTTDART00000020262,ENSDART00000138966.2
si:ch211-147a11.3-005,OTTDART00000020264,ENSDART00000134033.2
si:ch211-147a11.3-006,OTTDART00000020265,ENSDART00000126059.3
gpd1c-002,OTTDART00000020355,ENSDART00000147635.2
gpd1c-003,OTTDART00000020356,ENSDART00000133451.3
glmp-002,OTTDART00000020377,ENSDART00000140119.2
ckbb-003,OTTDART00000005302,ENSDART00000142618
ckbb-004,OTTDART00000005303,ENSDART00000136592.2
ckbb-005,OTTDART00000058168,ENSDART00000152781.3
ckbb-006,OTTDART00000058169,ENSDART00000152288.2
cnot3b-002,OTTDART00000020549,
ndufv1-003,OTTDART00000020568,ENSDART00000146218.3
tktb-002,OTTDART00000020679,
tktb-003,OTTDART00000039465,ENSDART00000134582.3
tktb-004,OTTDART00000039466,ENSDART00000147725.3
tktb-005,OTTDART00000039467,ENSDART00000146888.2
tktb-006,OTTDART00000039468,ENSDART00000144708.2
ints8-002,OTTDART00000020707,ENSDART00000135266.3
ints8-004,OTTDART00000053760,
si:ch211-39a7.1-002,OTTDART00000020718,ENSDART00000141649.2
cd9b-005,OTTDART00000020746,ENSDART00000147804.2
si:dkey-222f8.3-002,OTTDART00000020747,ENSDART00000138651.2
xbp1-002,OTTDART00000020978,ENSDART00000124002
xbp1-003,OTTDART00000022843,ENSDART00000139390.2
zc4h2-002,OTTDART00000021017,ENSDART00000147484.2
rab5aa-002,OTTDART00000021078,ENSDART00000142127.2
zgc:77752-002,OTTDART00000021125,ENSDART00000121689.3
rabl2-002,OTTDART00000021131,ENSDART00000132369.2
ighmbp2-002,OTTDART00000021361,
fam92a1-002,OTTDART00000021389,ENSDART00000134045.2
fam92a1-003,OTTDART00000021390,ENSDART00000146559.2
mibp-002,OTTDART00000021409,ENSDART00000171113.2
mibp-004,OTTDART00000021411,ENSDART00000170589.2
srsf4-003,OTTDART00000021429,ENSDART00000160531.2
tcf25-006,OTTDART00000050131,
tcf25-004,OTTDART00000021436,
fam151b-002,OTTDART00000021503,ENSDART00000148201.2
anxa1a-004,OTTDART00000021544,ENSDART00000146194.3
anxa1a-002,OTTDART00000021542,ENSDART00000136134.2
anxa1a-006,OTTDART00000021546,ENSDART00000136868.2
zgc:153740-002,OTTDART00000021552,ENSDART00000134916.2
ophn1-002,OTTDART00000021715,ENSDART00000144654.2
fbp1b-002,OTTDART00000021720,ENSDART00000139381.2
si:dkey-58f10.4-003,OTTDART00000021812,ENSDART00000138916.2
si:ch211-198o12.4-002,OTTDART00000021921,ENSDART00000135809.2
foxp2-001,OTTDART00000022012,
foxp2-003,OTTDART00000022013,
foxp2-005,OTTDART00000022014,ENSDART00000136572.3
foxp2-009,OTTDART00000051361,ENSDART00000150774.2
znf451-002,OTTDART00000022028,ENSDART00000135523
actb2-002,OTTDART00000022043,ENSDART00000148290
actb2-004,OTTDART00000022045,ENSDART00000134924.2
actb2-003,OTTDART00000022044,ENSDART00000134020.3
actb2-005,OTTDART00000022046,ENSDART00000135971.3
actb2-006,OTTDART00000022047,ENSDART00000132497.3
tial1-003,OTTDART00000022086,ENSDART00000147774.2
tial1-004,OTTDART00000022087,ENSDART00000133619.2
si:dkey-51a16.9-003,OTTDART00000022091,ENSDART00000136043.2
si:rp71-45g20.4-002,OTTDART00000022104,ENSDART00000141116.2
si:rp71-45g20.4-004,OTTDART00000022106,ENSDART00000141281
si:rp71-45g20.4-005,OTTDART00000022107,ENSDART00000137660.3
si:rp71-45g20.4-006,OTTDART00000022108,ENSDART00000135346.3
si:rp71-45g20.4-007,OTTDART00000022109,ENSDART00000140753.2
si:rp71-45g20.4-008,OTTDART00000022110,ENSDART00000138466.3
si:rp71-45g20.4-009,OTTDART00000022111,ENSDART00000142231.3
si:rp71-45g20.10-004,OTTDART00000022136,ENSDART00000142630.2
si:rp71-45g20.10-006,OTTDART00000022138,ENSDART00000144604.2
si:rp71-45g20.10-007,OTTDART00000022139,ENSDART00000131803.3
si:rp71-45g20.10-008,OTTDART00000022140,ENSDART00000138476.2
si:rp71-45g20.10-009,OTTDART00000022141,ENSDART00000139640.3
si:rp71-45g20.10-005,OTTDART00000022137,ENSDART00000141022.3
si:rp71-45g20.10-003,OTTDART00000022142,ENSDART00000132510.3
si:rp71-45g20.11-003,OTTDART00000022149,ENSDART00000136511.3
si:rp71-45g20.11-205,OTTDART00000022150,ENSDART00000141360.2
si:rp71-45g20.11-005,OTTDART00000022151,ENSDART00000147150.3
si:rp71-45g20.11-006,OTTDART00000022152,ENSDART00000144698.2
si:rp71-45g20.11-007,OTTDART00000022153,ENSDART00000139468.3
hnrpl-004,OTTDART00000022303,ENSDART00000142960.2
hnrpl-006,OTTDART00000022305,ENSDART00000138697.2
hnrpl-003,OTTDART00000022302,ENSDART00000136413.3
hnrpl-005,OTTDART00000022304,ENSDART00000141613.3
srsf7a-006,OTTDART00000022314,ENSDART00000132912.2
srsf7a-007,OTTDART00000022315,ENSDART00000131303.3
srsf7a-010,OTTDART00000022318,ENSDART00000147803
srsf7a-012,OTTDART00000056181,ENSDART00000152044.3
alkbh6-002,OTTDART00000022342,
alkbh6-003,OTTDART00000022378,ENSDART00000147667.2
micu2-005,OTTDART00000022367,ENSDART00000132756
rnd3b-002,OTTDART00000022380,ENSDART00000122036.3
eaf2-002,OTTDART00000022383,ENSDART00000139424.2
eaf2-003,OTTDART00000022384,ENSDART00000134869.2
eaf2-004,OTTDART00000022401,ENSDART00000134119.2
mccc2-002,OTTDART00000022449,ENSDART00000140649.2
si:ch211-204c21.3-003,OTTDART00000022452,ENSDART00000142537.2
si:ch211-204c21.3-002,OTTDART00000022451,ENSDART00000137303.3
si:ch211-204c21.3-004,OTTDART00000022453,ENSDART00000147786.2
nos2a-002,OTTDART00000022462,ENSDART00000139182.2
nos2a-003,OTTDART00000022463,ENSDART00000143982.2
pimr201-002,OTTDART00000022466,ENSDART00000133777.2
eral1-003,OTTDART00000022471,ENSDART00000083778.5
eral1-004,OTTDART00000022472,ENSDART00000140295.2
eral1-002,OTTDART00000022470,ENSDART00000138908.3
fancg-002,OTTDART00000022534,ENSDART00000125915.3
eef2l2-002,OTTDART00000022536,ENSDART00000121840.3
eef2l2-003,OTTDART00000022537,ENSDART00000131676.2
dmrt1-004,OTTDART00000022549,ENSDART00000130918.3
dmrt1-003,OTTDART00000022548,ENSDART00000128373.4
dmrt1-005,OTTDART00000022550,ENSDART00000141316.2
ottdart00000022606,OTTDART00000022606,ENSDART00000160459.2
dapk1-002,OTTDART00000022610,ENSDART00000136642.2
tmem150ab-002,OTTDART00000022702,ENSDART00000147143.2
si:ch211-209a2.1-002,OTTDART00000022787,ENSDART00000141488.3
si:ch211-209a2.1-003,OTTDART00000022788,ENSDART00000136917.3
si:ch211-209a2.1-004,OTTDART00000022789,ENSDART00000138513.2
si:ch211-209a2.1-001,OTTDART00000022786,ENSDART00000145442.3
xbp1-003,OTTDART00000022843,ENSDART00000139390.2
mtmr8-003,OTTDART00000022846,ENSDART00000146519.2
mtmr8-002,OTTDART00000021021,ENSDART00000146519.2
kctd10-002,OTTDART00000022867,ENSDART00000141268.2
limk2-002,OTTDART00000022868,ENSDART00000139260.2
si:ch211-114c12.2-003,OTTDART00000022889,ENSDART00000144295.2
kat5a-005,OTTDART00000022890,ENSDART00000147889.2
gbgt1l1-003,OTTDART00000022895,ENSDART00000142064
phf23a-002,OTTDART00000022896,ENSDART00000143724.2
gabarapa-002,OTTDART00000022899,ENSDART00000124379.3
adam28-002,OTTDART00000022913,ENSDART00000137132.2
sepw1-002,OTTDART00000022935,ENSDART00000145833.2
si:dkey-220o10.1-001,OTTDART00000022969,ENSDART00000148077.3
si:dkey-220o10.1-002,OTTDART00000022970,ENSDART00000140964.3
si:dkey-220o10.1-003,OTTDART00000022971,ENSDART00000135210.3
si:dkey-220o10.1-004,OTTDART00000022972,ENSDART00000140821.2
pax6b-002,OTTDART00000022985,
rsrc2-002,OTTDART00000022992,ENSDART00000137972.3
rsrc2-003,OTTDART00000022993,ENSDART00000132872.2
rsrc2-004,OTTDART00000022994,ENSDART00000142696
rsrc2-005,OTTDART00000022995,ENSDART00000147053
rsrc2-006,OTTDART00000022996,ENSDART00000137916
rsrc2-007,OTTDART00000022997,ENSDART00000135438.2
zcchc8-003,OTTDART00000023002,ENSDART00000062373.5
hira-002,OTTDART00000023018,ENSDART00000145623.2
gtf3aa-002,OTTDART00000023062,ENSDART00000131665
abhd10a-002,OTTDART00000023065,ENSDART00000169254.2
abhd10a-003,OTTDART00000023066,ENSDART00000166142.2
her7-002,OTTDART00000023079,ENSDART00000146654.2
aven-002,OTTDART00000006098,ENSDART00000147064.3
si:ch211-198e13.3-001,OTTDART00000023107,ENSDART00000132188.3
si:ch211-198e13.3-002,OTTDART00000023108,ENSDART00000134390.3
si:ch211-198e13.3-004,OTTDART00000023110,ENSDART00000144834.2
si:ch211-198e13.3-003,OTTDART00000023109,ENSDART00000138407.2
rpl12-003,OTTDART00000023183,ENSDART00000135459.3
rpl12-004,OTTDART00000023184,ENSDART00000144695.2
rpl12-002,OTTDART00000023182,ENSDART00000141676.3
cfap73-001,OTTDART00000023232,ENSDART00000135519.2
wnt16-002,OTTDART00000023277,ENSDART00000102543
rbm25b-002,OTTDART00000023301,ENSDART00000147413
hip1rb-002,OTTDART00000023309,ENSDART00000161483.2
si:dkey-105f21.1-001,OTTDART00000023350,ENSDART00000169435.2
si:dkey-105f21.1-002,OTTDART00000023351,ENSDART00000162939.2
si:dkey-105f21.1-003,OTTDART00000023352,ENSDART00000163658.2
si:dkey-105f21.1-004,OTTDART00000023353,ENSDART00000160689.2
si:dkey-105f21.1-005,OTTDART00000023354,ENSDART00000168407.2
si:dkey-105f21.1-006,OTTDART00000023355,ENSDART00000171290.2
fosl1a-002,OTTDART00000023371,ENSDART00000146767.2
btr26-002,OTTDART00000023389,ENSDART00000163125.2
gria3a-003,OTTDART00000023407,ENSDART00000147621.2
si:dkey-266f7.1-004,OTTDART00000023417,ENSDART00000151391.2
si:dkey-266f7.1-003,OTTDART00000023418,ENSDART00000136704.3
si:dkey-266f7.1-002,OTTDART00000023419,ENSDART00000146691.2
clasp2-006,OTTDART00000023469,ENSDART00000138735.2
rpl7l1-002,OTTDART00000006179,ENSDART00000143627.2
znf326-002,OTTDART00000023502,ENSDART00000165170.2
hfm1-002,OTTDART00000023525,ENSDART00000162295.2
srsf3a-002,OTTDART00000002070,ENSDART00000154587
cep70-003,OTTDART00000023561,ENSDART00000131619.3
fam207a-002,OTTDART00000023570,
rnf13-002,OTTDART00000023581,ENSDART00000131952.3
papolg-002,OTTDART00000023742,ENSDART00000142640.2
xpr1b-002,OTTDART00000023771,ENSDART00000133383.2
acy3.2-004,OTTDART00000023791,ENSDART00000136085.2
acy3.2-005,OTTDART00000023792,ENSDART00000139600
acy3.1-002,OTTDART00000023795,ENSDART00000148264.2
acy3.1-004,OTTDART00000023797,ENSDART00000137885.2
mboat2b-002,OTTDART00000006230,
ucp1-002,OTTDART00000023841,ENSDART00000133737.2
ucp1-003,OTTDART00000023842,ENSDART00000146235.2
ucp1-004,OTTDART00000023843,ENSDART00000143299.2
zgc:111983-003,OTTDART00000023847,ENSDART00000136995.2
qdprb1-002,OTTDART00000023862,ENSDART00000142288.2
smox-002,OTTDART00000023903,ENSDART00000124874.4
smox-003,OTTDART00000023904,ENSDART00000145170.2
smox-004,OTTDART00000023905,ENSDART00000136879.3
rps3a-002,OTTDART00000023917,ENSDART00000137066.2
rps3a-003,OTTDART00000023918,ENSDART00000143428.2
znf395-003,OTTDART00000006255,,ENSDART00000147320.2
znf395-004,OTTDART00000006256,ENSDART00000131974.3
meis1a-003,OTTDART00000023942,ENSDART00000139705.2
znf330-003,OTTDART00000023957,ENSDART00000143294.2
il15-002,OTTDART00000023959,ENSDART00000074196
sod1-002,OTTDART00000023982,ENSDART00000135058.2
si:dkey-245p14.7-002,OTTDART00000023998,ENSDART00000146455.2
si:dkey-245p14.7-003,OTTDART00000046561,ENSDART00000131614.2
ucp2-003,OTTDART00000024004,ENSDART00000131922.2
ucp2-004,OTTDART00000024005,ENSDART00000137561.3
ucp2-002,OTTDART00000024003,ENSDART00000135686.3
ucp2-005,OTTDART00000024006,ENSDART00000131474.2
rab6a-003,OTTDART00000024010,ENSDART00000167735.2
rab6a-004,OTTDART00000024011,ENSDART00000166992.2
ilk-002,OTTDART00000024015,ENSDART00000145587.2
tpte-002,OTTDART00000024017,ENSDART00000144710.2
tpte-003,OTTDART00000024018,ENSDART00000139930.2
dbh-002,OTTDART00000024020,ENSDART00000139403.2
npm1a-002,OTTDART00000024024,ENSDART00000132888.3
npm1a-004,OTTDART00000024026,ENSDART00000139208.2
npm1a-003,OTTDART00000024025 ,ENSDART00000143461.2
stambpa-002,OTTDART00000024030,ENSDART00000073631
hadh-002,OTTDART00000024086,ENSDART00000143556.2
cltca-002,OTTDART00000024100,ENSDART00000136176.2
cltca-003,OTTDART00000024101,ENSDART00000136864.2
lhx8a-003,OTTDART00000024126,ENSDART00000132313.2
sh3glb1b-002,OTTDART00000024141,ENSDART00000131840.2
atp1b3a-002,OTTDART00000024143,ENSDART00000147830.2
glula-002,OTTDART00000024147,ENSDART00000172148.2
glula-003,OTTDART00000024148,ENSDART00000163822.2
rab2a-002,OTTDART00000024154,ENSDART00000137538.2
ilf3b-002,OTTDART00000024159,ENSDART00000165808
riok1-002,OTTDART00000024181,ENSDART00000140922
agxtb-002,OTTDART00000024199,ENSDART00000135663.2
agxtb-003,OTTDART00000031829,ENSDART00000128008.3
cacnb1-004,OTTDART00000024255,ENSDART00000127275.3
rpl19-002,OTTDART00000024260,ENSDART00000137396.2
nfatc2ip-002,OTTDART00000024263,ENSDART00000136712.2
msrb1a-002,OTTDART00000024278,ENSDART00000145904
kdelr2a-002,OTTDART00000024300,ENSDART00000132801.2
kri1-002,OTTDART00000024304,ENSDART00000110548.4
kri1-003,OTTDART00000024305,ENSDART00000125397.3
sec23b-002,OTTDART00000024320,ENSDART00000146293.2
sec23b-003,OTTDART00000024321,ENSDART00000135105.2
sec23b-004,OTTDART00000024322,ENSDART00000132371.2
trnau1apb-002,OTTDART00000024346,ENSDART00000143416.3
trnau1apb-006,OTTDART00000024350,ENSDART00000146170.3
trnau1apb-007,OTTDART00000024351,ENSDART00000146021.2
trnau1apb-008,OTTDART00000024352,ENSDART00000138230.2
trnau1apb-009,OTTDART00000024353,ENSDART00000134627.2
trnau1apb-003,OTTDART00000024347,ENSDART00000147008.3
trnau1apb-005,OTTDART00000024349,ENSDART00000131393.3
vmhcl-006,OTTDART00000033364,ENSDART00000138076.2
vmhcl-007,OTTDART00000033365,ENSDART00000124461.3
vmhcl-003,OTTDART00000024357,ENSDART00000146213.2
ifi30-002,OTTDART00000024360,ENSDART00000078866.5
slc2a2-002,OTTDART00000024371,ENSDART00000138979.2
rps8a-002,OTTDART00000024374,ENSDART00000131292.3
rps8a-006,OTTDART00000024378,ENSDART00000146173.2
rps8a-003,OTTDART00000024375,ENSDART00000141010.3
rps8a-004,OTTDART00000024376,ENSDART00000148010.2
rps8a-005,OTTDART00000024377,ENSDART00000136937.3
acadm-003,OTTDART00000024381,ENSDART00000135585.2
cpsf3-002,OTTDART00000006434,ENSDART00000139469.2
ttpa-002,OTTDART00000024384,
ttpa-003,OTTDART00000024385,ENSDART00000037692.9
ndc1-002,OTTDART00000024388,ENSDART00000140005.2
cdc27-002,OTTDART00000024392,
cdc27-003,OTTDART00000024393,ENSDART00000143197.2
cdc27-005,OTTDART00000024395,ENSDART00000139384.2
dlg1-002,OTTDART00000024435,
dlg1-003,OTTDART00000024438,ENSDART00000132170.3
dlg1-005,OTTDART00000024439,ENSDART00000137198.2
asph-003,OTTDART00000024444,ENSDART00000133083.2
cahz-002,OTTDART00000024452,ENSDART00000138073.2
atp6v1h-003,OTTDART00000024461,ENSDART00000139697.2
atp6v1h-004,OTTDART00000024462,ENSDART00000138122 
fam49ba-004,OTTDART00000024483,ENSDART00000133591.2
rps15a-002,OTTDART00000024551,ENSDART00000018822.7
eef2kmt-002,OTTDART00000024580,ENSDART00000138648.2
ddx5-005,OTTDART00000024586,ENSDART00000145315.2
ddx5-003,OTTDART00000024584,ENSDART00000147965.2
ccdc24-002,OTTDART00000024600,ENSDART00000056656
bin2b-003,OTTDART00000024622,ENSDART00000132798.2
pfdn5-002,OTTDART00000024634,ENSDART00000145113.3
pfdn5-003,OTTDART00000024635,ENSDART00000140701.2
fkbp5-002,OTTDART00000024639,ENSDART00000143741.2
emc3-002,OTTDART00000024650,ENSDART00000133647.2
sec61a1l-002,OTTDART00000024658,ENSDART00000143910.2
slc25a22-004,OTTDART00000024692,ENSDART00000143900.3
slc25a22-005,OTTDART00000024693,ENSDART00000133579.2
slc25a22-002,OTTDART00000024690,ENSDART00000143369.3
slc25a22-003,OTTDART00000024691,ENSDART00000141042.3
slc25a22-006,OTTDART00000024694,ENSDART00000146645.2
tomm34-002,OTTDART00000024707,ENSDART00000133554.2
tomm34-003,OTTDART00000024708,ENSDART00000147754.2
tomm34-004,OTTDART00000024709,ENSDART00000139105.3
cyc1-004,OTTDART00000024711,ENSDART00000137519.3
arl6ip1-003,OTTDART00000024743,ENSDART00000145382.2
sec62-002,OTTDART00000024756,ENSDART00000143311.2
copa-002,OTTDART00000024759,ENSDART00000136159.3
copa-004,OTTDART00000024761,ENSDART00000111382.4
copa-003,OTTDART00000024760,ENSDART00000138874.2
gadd45bb-002,OTTDART00000024807,ENSDART00000143915.2
ccnl1b-002,OTTDART00000024809,ENSDART00000137738.3
ccnl1b-003,OTTDART00000024810,ENSDART00000146221.2
ccnl1b-004,OTTDART00000024811,ENSDART00000138365.2
ccnl1b-005,OTTDART00000024812,ENSDART00000140415.3
polr2c-002,OTTDART00000024842,ENSDART00000144414.2
pih1d3-002,OTTDART00000024883,ENSDART00000145388.3
pih1d3-003,OTTDART00000024884,ENSDART00000136858.2
prpf38b-002,OTTDART00000024886,ENSDART00000131872
prpf38b-003,OTTDART00000024887,ENSDART00000133598.3
prpf38b-004,OTTDART00000024888,ENSDART00000135665.2
prpf38b-005,OTTDART00000024889,ENSDART00000137126.2
hes6-002,OTTDART00000024893,ENSDART00000131573.2
hes6-003,OTTDART00000024894,ENSDART00000146818.2
mpz-002,OTTDART00000024899,ENSDART00000137253.2
cul1a-002,OTTDART00000024912,ENSDART00000143477.2
exoc3-002,OTTDART00000024914,ENSDART00000139686.2
eef1da-006,OTTDART00000024920,ENSDART00000168485.2
coa1-002,OTTDART00000024931,ENSDART00000145483.2
suz12a-002,OTTDART00000024935,ENSDART00000135957.2
suz12a-003,OTTDART00000024936,ENSDART00000138879.2
sf3a2-002,OTTDART00000024938,ENSDART00000143973.2
sf3a2-003,OTTDART00000024939,ENSDART00000133055.2
ccdc94-002,OTTDART00000024945,ENSDART00000146897.2
cyb5d1-002,OTTDART00000024971,
dnajc3b-002,OTTDART00000024973,
dnajc3b-001,OTTDART00000024972,
slc3a2a-002,OTTDART00000024975,ENSDART00000135109.2
pik3c3-002,OTTDART00000024998,ENSDART00000127155
chst10-002,OTTDART00000025002,ENSDART00000133844.3
srp54-002,OTTDART00000025010,ENSDART00000172697.2
atp2a2a-002,OTTDART00000025012,ENSDART00000145436
tnfsf10l-002,OTTDART00000025018,ENSDART00000124674.3
ift81-002,OTTDART00000025021,ENSDART00000139745.2
med27-002,OTTDART00000025027,ENSDART00000138111.2
hsd3b7-002,OTTDART00000025046,ENSDART00000053683.7
seta-002,OTTDART00000025051,ENSDART00000139532.2
seta-003,OTTDART00000034897,ENSDART00000141641.2
slc25a25a-002,OTTDART00000025054,ENSDART00000134289.2
ext2-002,OTTDART00000025057,ENSDART00000140669.2
ext2-003,OTTDART00000025058,ENSDART00000140299.2
polb-002,OTTDART00000025064,ENSDART00000140900.2
rhoaa-003,OTTDART00000025073,ENSDART00000126432.3
aph1b-003,OTTDART00000025087,ENSDART00000145129.2
aph1b-002,OTTDART00000025086,ENSDART00000146655.3
nmt1a-002,OTTDART00000025107,ENSDART00000102678
anxa2b-003,OTTDART00000025114,ENSDART00000144465.2
lipca-002,OTTDART00000025119,ENSDART00000133262.3
ccnb2-002,OTTDART00000025121,ENSDART00000147170.2
nfkbiab-002,OTTDART00000025128,ENSDART00000143133.2
nfkbiab-003,OTTDART00000025129,ENSDART00000146744.2
tle3b-002,OTTDART00000025143,ENSDART00000144345.2
ythdf1-002,OTTDART00000025154,ENSDART00000145684.2
ppdpfa-002,OTTDART00000025171,ENSDART00000139442.2
mtch2-002,OTTDART00000025186,ENSDART00000138760.2
f2-003,OTTDART00000025194,ENSDART00000146934.3
f2-006,OTTDART00000025197,ENSDART00000133207.2
npsn-004,OTTDART00000025202,ENSDART00000148018.2
ptprn2-003,OTTDART00000025251,ENSDART00000145787.2
ptprn2-002,OTTDART00000025250,ENSDART00000141254.2
ptprn2-004,OTTDART00000063921,ENSDART00000173916.2
rpl10a-003,OTTDART00000025256,ENSDART00000141110.3
mmp9-002,OTTDART00000025259,ENSDART00000141129.2
tnnt3b-007,OTTDART00000025270,ENSDART00000141049.2
atp5f1-002,OTTDART00000025285,ENSDART00000147329.2
rbpms2b-005,OTTDART00000025293,ENSDART00000136708.2
rbpms2b-006,OTTDART00000025294,ENSDART00000139279.3
rbpms2b-008,OTTDART00000025296,ENSDART00000135671.2
rbpms2b-007,OTTDART00000025295,ENSDART00000134832
tbc1d19-002,OTTDART00000025307,ENSDART00000141016.2
hdac8-002,OTTDART00000025309,ENSDART00000132716.2
rps4x-003,OTTDART00000025312,ENSDART00000007957.9
rps4x-002,OTTDART00000025311,ENSDART00000133105.2
h3f3a-002,OTTDART00000025330,ENSDART00000145937.2
nqo1-002,OTTDART00000025337,ENSDART00000140530.2
rpl34-003,OTTDART00000025352,ENSDART00000146384.2
rpl34-004,OTTDART00000025353,ENSDART00000128496.3
srsf6b-002,OTTDART00000025356,ENSDART00000139079.2
srsf6b-203,OTTDART00000025357,ENSDART00000143814.3
srsf6b-004,OTTDART00000025358,ENSDART00000147311.2
jupa-002,OTTDART00000025402,ENSDART00000146512.2
mrpl45-001,OTTDART00000025409,ENSDART00000133236
ptgesl-002,OTTDART00000025413,ENSDART00000139674.2
sepp1a-002,OTTDART00000025436,ENSDART00000135101.2
