Transcript stable ID,Transcript name,Transcript type
ENSDART00000173307,,retained_intron
ENSDART00000172965,,retained_intron
ENSDART00000156526,ap5b1-202,protein_coding
ENSDART00000113185,ap5b1-201,protein_coding
ENSDART00000148548,nhej1-201,protein_coding
ENSDART00000171123,nhej1-203,protein_coding
ENSDART00000148879,nhej1-202,retained_intron
ENSDART00000145410,,protein_coding
ENSDART00000149204,,protein_coding
ENSDART00000153303,,processed_transcript
ENSDART00000149732,,protein_coding
ENSDART00000153121,,protein_coding
ENSDART00000090171,nlgn3b-201,protein_coding
ENSDART00000132028,pitpnaa-203,protein_coding
ENSDART00000057257,pitpnaa-201,protein_coding
ENSDART00000057697,pitpnaa-202,protein_coding
ENSDART00000164426,ctu1-202,protein_coding
ENSDART00000017850,ctu1-201,protein_coding
ENSDART00000161797,nitr12-201,protein_coding
ENSDART00000173668,nitr12-202,protein_coding
ENSDART00000173934,nitr12-203,protein_coding
ENSDART00000124091,wfdc2-201,protein_coding
ENSDART00000163388,,protein_coding
ENSDART00000146315,stx5al-202,protein_coding
ENSDART00000021121,stx5al-201,protein_coding
ENSDART00000183937,si:dkeyp-68b7.12-202,protein_coding
ENSDART00000111512,si:dkeyp-68b7.12-201,protein_coding
ENSDART00000172678,,protein_coding
ENSDART00000151899,,protein_coding
ENSDART00000152066,,nonsense_mediated_decay
ENSDART00000170377,,processed_transcript
ENSDART00000160232,,processed_transcript
ENSDART00000041577,kif7-201,protein_coding
ENSDART00000166519,kif7-202,processed_transcript
ENSDART00000155768,,antisense
ENSDART00000156592,,antisense
ENSDART00000147618,narf-203,processed_transcript
ENSDART00000142716,narf-202,protein_coding
ENSDART00000007053,narf-201,protein_coding
ENSDART00000149293,,processed_transcript
ENSDART00000126984,nrap-202,protein_coding
ENSDART00000124920,nrap-201,protein_coding
ENSDART00000162639,or41a1-201,protein_coding
ENSDART00000186786,gpr155a-202,protein_coding
ENSDART00000147034,gpr155a-201,protein_coding
ENSDART00000021092,snx27b-201,protein_coding
ENSDART00000101204,alcamb-201,protein_coding
ENSDART00000167332,hamp-201,protein_coding
ENSDART00000168861,hamp-202,protein_coding
ENSDART00000143325,nt5c1ba-201,protein_coding
ENSDART00000076696,araf-202,protein_coding
ENSDART00000140081,araf-205,protein_coding
ENSDART00000164542,araf-206,protein_coding
ENSDART00000138182,araf-204,protein_coding
ENSDART00000076687,araf-201,protein_coding
ENSDART00000136342,araf-203,protein_coding
ENSDART00000138269,,lincRNA
ENSDART00000154863,isca2-202,protein_coding
ENSDART00000055611,isca2-201,protein_coding
ENSDART00000173471,si:dkey-33c9.6-202,protein_coding
ENSDART00000173809,si:dkey-33c9.6-203,protein_coding
ENSDART00000052906,si:dkey-33c9.6-201,protein_coding
ENSDART00000183048,rptor-204,protein_coding
ENSDART00000181577,rptor-203,protein_coding
ENSDART00000170597,rptor-201,protein_coding
ENSDART00000172709,rptor-202,protein_coding
ENSDART00000170143,,protein_coding
ENSDART00000164348,,protein_coding
ENSDART00000191414,,protein_coding
ENSDART00000187058,,protein_coding
ENSDART00000152231,,sense_intronic
ENSDART00000054843,ints15-201,protein_coding
ENSDART00000138630,ints15-202,protein_coding
ENSDART00000179964,camkva-202,protein_coding
ENSDART00000154333,camkva-201,protein_coding
ENSDART00000155267,si:ch211-149e23.4-201,protein_coding
ENSDART00000173213,,lincRNA
ENSDART00000141352,,processed_transcript
ENSDART00000106488,plod2-202,protein_coding
ENSDART00000140035,plod2-204,retained_intron
ENSDART00000005901,plod2-201,protein_coding
ENSDART00000128182,plod2-203,retained_intron
ENSDART00000133077,,protein_coding
ENSDART00000052086,tmem54b-201,protein_coding
ENSDART00000124471,rpgrb-202,protein_coding
ENSDART00000088624,rpgrb-201,protein_coding
ENSDART00000099647,crfb16-201,protein_coding
ENSDART00000138443,crfb16-202,protein_coding
ENSDART00000139813,tor1-202,protein_coding
ENSDART00000111699,tor1-201,protein_coding
ENSDART00000152246,flrt2-201,protein_coding
ENSDART00000064968,rasgef1bb-201,protein_coding
ENSDART00000151672,,protein_coding
ENSDART00000138049,pxmp2-202,processed_transcript
ENSDART00000026516,pxmp2-201,protein_coding
ENSDART00000150852,tmem214-204,retained_intron
ENSDART00000150594,tmem214-202,retained_intron
ENSDART00000150812,tmem214-203,retained_intron
ENSDART00000128743,tmem214-201,protein_coding
ENSDART00000189645,fa2h-203,protein_coding
ENSDART00000165510,fa2h-202,protein_coding
ENSDART00000121859,fa2h-201,protein_coding
ENSDART00000190959,fa2h-204,protein_coding
ENSDART00000142069,ndufb7-202,protein_coding
ENSDART00000043933,ndufb7-201,protein_coding
ENSDART00000148516,ctdp1-201,protein_coding
ENSDART00000169072,ankhd1-202,protein_coding
ENSDART00000147947,ankhd1-201,protein_coding
ENSDART00000155119,,antisense
ENSDART00000057464,trim35-31-201,protein_coding
ENSDART00000176133,trim35-31-202,protein_coding
ENSDART00000162187,,TR_J_gene
ENSDART00000172882,cyp27b1-201,protein_coding
ENSDART00000163138,si:ch73-281i18.6-202,protein_coding
ENSDART00000129570,si:ch73-281i18.6-201,protein_coding
ENSDART00000170007,si:ch73-281i18.6-203,nonsense_mediated_decay
ENSDART00000075782,slc7a10a-201,protein_coding
ENSDART00000060594,mrpl51-201,protein_coding
ENSDART00000097540,mrpl51-202,protein_coding
ENSDART00000154409,,protein_coding
ENSDART00000184251,,lincRNA
ENSDART00000140999,,protein_coding
ENSDART00000067423,frs2a-201,protein_coding
ENSDART00000122735,usp43b-201,protein_coding
ENSDART00000150875,,protein_coding
ENSDART00000086885,asmt2-201,protein_coding
ENSDART00000173826,,unprocessed_pseudogene
ENSDART00000112659,ipp-201,processed_transcript
ENSDART00000168247,ipp-202,processed_transcript
ENSDART00000156364,usp3-202,retained_intron
ENSDART00000155698,usp3-201,protein_coding
ENSDART00000163680,hmgcs1-203,protein_coding
ENSDART00000167613,hmgcs1-204,protein_coding
ENSDART00000162628,hmgcs1-202,protein_coding
ENSDART00000190025,hmgcs1-205,protein_coding
ENSDART00000159216,hmgcs1-201,protein_coding
ENSDART00000098806,ugt5c3-201,protein_coding
ENSDART00000161350,,TR_J_gene
ENSDART00000160071,,protein_coding
ENSDART00000143398,sgms2a-204,protein_coding
ENSDART00000133392,sgms2a-201,processed_transcript
ENSDART00000141476,sgms2a-203,protein_coding
ENSDART00000138301,sgms2a-202,protein_coding
ENSDART00000136016,hapln4-201,protein_coding
ENSDART00000111052,olig3-201,protein_coding
ENSDART00000109990,abhd15a-201,protein_coding
ENSDART00000186706,abhd15a-202,protein_coding
ENSDART00000169589,zgc:171695-201,protein_coding
ENSDART00000136672,TAFA1-201,protein_coding
ENSDART00000112735,TAFA1-202,protein_coding
ENSDART00000153006,ankef1a-201,protein_coding
ENSDART00000191797,ankef1a-202,protein_coding
ENSDART00000099479,crfb4-201,protein_coding
ENSDART00000063138,vmo1a-201,protein_coding
ENSDART00000140321,lsm11-202,processed_transcript
ENSDART00000129676,lsm11-201,protein_coding
ENSDART00000079210,cdk5-201,protein_coding
ENSDART00000171376,,antisense
ENSDART00000163411,helz2c-203,protein_coding
ENSDART00000004476,helz2c-201,processed_transcript
ENSDART00000144897,helz2c-202,protein_coding
ENSDART00000172119,lonrf1-202,protein_coding
ENSDART00000144516,lonrf1-201,protein_coding
ENSDART00000133277,prf1.2-201,protein_coding
ENSDART00000131410,hoxb3a-202,protein_coding
ENSDART00000078466,hoxb3a-201,protein_coding
ENSDART00000143981,hoxb3a-203,protein_coding
ENSDART00000174580,hoxb3a-205,protein_coding
ENSDART00000187409,hoxb3a-208,protein_coding
ENSDART00000182247,hoxb3a-206,protein_coding
ENSDART00000153512,hoxb3a-204,protein_coding
ENSDART00000184299,hoxb3a-207,protein_coding
ENSDART00000153168,slc16a5a-202,protein_coding
ENSDART00000045186,slc16a5a-201,protein_coding
ENSDART00000147917,gpr176-201,protein_coding
ENSDART00000061577,fhl2a-201,protein_coding
ENSDART00000179893,fhl2a-203,protein_coding
ENSDART00000122279,fhl2a-202,protein_coding
ENSDART00000193421,fhl2a-204,protein_coding
ENSDART00000139924,golph3l-202,protein_coding
ENSDART00000183848,golph3l-203,protein_coding
ENSDART00000138837,golph3l-201,protein_coding
ENSDART00000079691,iqch-201,protein_coding
ENSDART00000147470,iqch-203,protein_coding
ENSDART00000135049,iqch-202,protein_coding
ENSDART00000154540,,protein_coding
ENSDART00000180384,,protein_coding
ENSDART00000175024,,protein_coding
ENSDART00000184486,,protein_coding
ENSDART00000156372,shpk-202,protein_coding
ENSDART00000020044,shpk-201,protein_coding
ENSDART00000101292,si:dkey-238c7.16-201,protein_coding
ENSDART00000065139,gfi1ab-201,protein_coding
ENSDART00000144257,pdyn-202,protein_coding
ENSDART00000141484,pdyn-201,protein_coding
ENSDART00000160276,si:ch73-109d9.3-201,protein_coding
ENSDART00000139285,b3gnt3.3-201,protein_coding
ENSDART00000149911,agtr1b-202,protein_coding
ENSDART00000066834,agtr1b-201,protein_coding
ENSDART00000188808,si:ch73-106l15.3-203,protein_coding
ENSDART00000187511,si:ch73-106l15.3-202,protein_coding
ENSDART00000081894,si:ch73-106l15.3-201,protein_coding
ENSDART00000077800,tfdp1a-201,protein_coding
ENSDART00000140851,tfdp1a-203,retained_intron
ENSDART00000121828,tfdp1a-202,protein_coding
ENSDART00000142347,tfdp1a-204,protein_coding
ENSDART00000136219,,lincRNA
ENSDART00000153505,,lincRNA
ENSDART00000181891,si:dkeyp-100h4.1-204,protein_coding
ENSDART00000102949,si:dkeyp-100h4.1-201,protein_coding
ENSDART00000183998,si:dkeyp-100h4.1-205,protein_coding
ENSDART00000180528,si:dkeyp-100h4.1-203,protein_coding
ENSDART00000135262,si:dkeyp-100h4.1-202,protein_coding
ENSDART00000170471,,protein_coding
ENSDART00000167251,ss18l2-201,processed_transcript
ENSDART00000167841,ss18l2-202,protein_coding
ENSDART00000006927,use1-201,protein_coding
ENSDART00000126664,use1-202,protein_coding
ENSDART00000160463,,protein_coding
ENSDART00000161238,,protein_coding
ENSDART00000172136,,protein_coding
ENSDART00000190736,,protein_coding
ENSDART00000149067,fes-201,nonsense_mediated_decay
ENSDART00000180985,fes-204,protein_coding
ENSDART00000149591,fes-202,retained_intron
ENSDART00000149938,fes-203,protein_coding
ENSDART00000162837,zgc:123103-201,protein_coding
ENSDART00000170821,zgc:123103-202,retained_intron
ENSDART00000131463,,protein_coding
ENSDART00000184111,idh3b-202,protein_coding
ENSDART00000149371,idh3b-201,protein_coding
ENSDART00000019733,irf4a-201,protein_coding
ENSDART00000172754,,antisense
ENSDART00000163876,,antisense
ENSDART00000173304,,antisense
ENSDART00000112778,gpr183b-201,protein_coding
ENSDART00000025562,cdh18a-201,protein_coding
ENSDART00000184362,cdh18a-204,protein_coding
ENSDART00000168957,cdh18a-203,protein_coding
ENSDART00000099157,cdh18a-202,protein_coding
ENSDART00000128788,mtg2-201,protein_coding
ENSDART00000144769,pkig-203,protein_coding
ENSDART00000138731,pkig-202,processed_transcript
ENSDART00000124963,pkig-201,protein_coding
ENSDART00000141283,mief2-203,protein_coding
ENSDART00000103626,mief2-201,protein_coding
ENSDART00000121439,mief2-202,protein_coding
ENSDART00000149429,boka-201,protein_coding
ENSDART00000168277,boka-202,protein_coding
ENSDART00000156512,si:ch211-129o18.4-201,protein_coding
ENSDART00000154820,,lincRNA
ENSDART00000083442,SRCIN1-203,protein_coding
ENSDART00000148107,SRCIN1-201,protein_coding
ENSDART00000174685,SRCIN1-202,protein_coding
ENSDART00000140935,si:rp71-17i16.6-201,protein_coding
ENSDART00000156683,,lincRNA
ENSDART00000079283,tmeff1b-201,protein_coding
ENSDART00000039510,tap2t-201,protein_coding
ENSDART00000153401,tap2t-202,protein_coding
ENSDART00000159602,,protein_coding
ENSDART00000147667,alkbh6-202,processed_transcript
ENSDART00000111414,alkbh6-201,protein_coding
ENSDART00000154459,,lincRNA
ENSDART00000167022,,protein_coding
ENSDART00000182248,,protein_coding
ENSDART00000169144,,protein_coding
ENSDART00000192977,,protein_coding
ENSDART00000184208,,protein_coding
ENSDART00000164445,TNNT2-201,protein_coding
ENSDART00000166902,setbp1-202,protein_coding
ENSDART00000143276,setbp1-201,protein_coding
ENSDART00000146584,,processed_transcript
ENSDART00000051070,golph3a-201,protein_coding
ENSDART00000074781,golph3a-202,protein_coding
ENSDART00000004842,dusp23a-201,protein_coding
ENSDART00000152853,henmt1-203,retained_intron
ENSDART00000139202,henmt1-202,retained_intron
ENSDART00000015000,henmt1-201,protein_coding
ENSDART00000162892,zgc:109986-202,processed_transcript
ENSDART00000166081,zgc:109986-203,protein_coding
ENSDART00000161574,zgc:109986-201,protein_coding
ENSDART00000022179,prkag1-201,protein_coding
ENSDART00000025356,haus5-201,protein_coding
ENSDART00000146192,pip4p1a-201,protein_coding
ENSDART00000147430,,protein_coding
ENSDART00000165180,,protein_coding
ENSDART00000145961,,processed_transcript
ENSDART00000131801,,processed_transcript
ENSDART00000128561,ecscr-201,protein_coding
ENSDART00000044115,med6-201,protein_coding
ENSDART00000133072,med6-202,nonsense_mediated_decay
ENSDART00000110137,si:ch211-247j9.1-201,protein_coding
ENSDART00000161723,si:ch211-247j9.1-203,protein_coding
ENSDART00000154105,si:ch211-247j9.1-202,protein_coding
ENSDART00000135845,ak9-202,protein_coding
ENSDART00000038535,ak9-201,protein_coding
ENSDART00000169912,gab2-201,protein_coding
ENSDART00000172094,,processed_transcript
ENSDART00000171291,C7H18H19orf12-203,retained_intron
ENSDART00000157602,C7H18H19orf12-202,protein_coding
ENSDART00000166983,C7H18H19orf12-201,protein_coding
ENSDART00000180481,,protein_coding
ENSDART00000113332,,protein_coding
ENSDART00000173541,,protein_coding
ENSDART00000173660,,protein_coding
ENSDART00000173580,,protein_coding
ENSDART00000173770,,protein_coding
ENSDART00000184585,,protein_coding
ENSDART00000188749,,protein_coding
ENSDART00000186956,,protein_coding
ENSDART00000168397,,antisense
ENSDART00000141231,,protein_coding
ENSDART00000099602,ube2l3b-202,protein_coding
ENSDART00000004539,ube2l3b-201,protein_coding
ENSDART00000146136,ube2l3b-203,protein_coding
ENSDART00000161638,,protein_coding
ENSDART00000159446,,lincRNA
ENSDART00000180637,,lincRNA
ENSDART00000172719,,lincRNA
ENSDART00000167055,,lincRNA
ENSDART00000169902,,lincRNA
ENSDART00000148874,,processed_transcript
ENSDART00000073936,acvr1bb-201,protein_coding
ENSDART00000156716,acvr1bb-203,protein_coding
ENSDART00000155659,acvr1bb-202,protein_coding
ENSDART00000144054,,protein_coding
ENSDART00000147482,,protein_coding
ENSDART00000132541,,protein_coding
ENSDART00000101765,rbm44-201,protein_coding
ENSDART00000144480,rbm44-204,processed_transcript
ENSDART00000136249,rbm44-202,protein_coding
ENSDART00000139270,rbm44-203,protein_coding
ENSDART00000173222,gpr101-201,protein_coding
ENSDART00000146909,chchd10-202,protein_coding
ENSDART00000024858,chchd10-201,protein_coding
ENSDART00000012759,yipf3-201,protein_coding
ENSDART00000056655,klf17-201,protein_coding
ENSDART00000135478,,processed_transcript
ENSDART00000137446,,processed_transcript
ENSDART00000140533,,processed_transcript
ENSDART00000148186,,processed_transcript
ENSDART00000003621,sinup-201,protein_coding
ENSDART00000132356,sinup-202,nonsense_mediated_decay
ENSDART00000148013,GFRA2-201,protein_coding
ENSDART00000080430,GFRA2-202,protein_coding
ENSDART00000165399,acp5b-201,protein_coding
ENSDART00000173375,arap3-202,retained_intron
ENSDART00000173056,arap3-201,protein_coding
ENSDART00000138142,chchd6a-202,processed_transcript
ENSDART00000176139,chchd6a-206,protein_coding
ENSDART00000123925,chchd6a-201,protein_coding
ENSDART00000143933,chchd6a-205,protein_coding
ENSDART00000143339,chchd6a-204,processed_transcript
ENSDART00000140977,chchd6a-203,processed_transcript
ENSDART00000173993,,lincRNA
ENSDART00000149320,arl8a-201,protein_coding
ENSDART00000033848,brf1a-201,protein_coding
ENSDART00000158709,brf1a-203,protein_coding
ENSDART00000139650,brf1a-202,protein_coding
ENSDART00000065057,,protein_coding
ENSDART00000155016,DGKZ-201,protein_coding
ENSDART00000154229,rtraf-202,retained_intron
ENSDART00000005355,rtraf-201,protein_coding
ENSDART00000156520,rtraf-204,retained_intron
ENSDART00000156262,rtraf-203,retained_intron
ENSDART00000143657,acmsd-201,protein_coding
ENSDART00000169911,acmsd-202,protein_coding
ENSDART00000054209,cdkn2a/b-201,protein_coding
ENSDART00000193973,cdkn2a/b-202,protein_coding
ENSDART00000148075,adgre10-201,protein_coding
ENSDART00000054689,atoh8-201,protein_coding
ENSDART00000056893,ubap1lb-201,protein_coding
ENSDART00000172811,ubap1lb-202,protein_coding
ENSDART00000133049,QRFPR-201,protein_coding
ENSDART00000041026,QRFPR-202,protein_coding
ENSDART00000053153,mhc1zba-201,protein_coding
ENSDART00000188322,pcdh15a-203,protein_coding
ENSDART00000163331,pcdh15a-201,protein_coding
ENSDART00000164732,pcdh15a-202,protein_coding
ENSDART00000144822,hnrnpa3-204,protein_coding
ENSDART00000135273,hnrnpa3-202,protein_coding
ENSDART00000137210,hnrnpa3-203,protein_coding
ENSDART00000102934,hnrnpa3-201,protein_coding
ENSDART00000173484,,antisense
ENSDART00000059038,itga8-201,protein_coding
ENSDART00000141061,itga8-202,protein_coding
ENSDART00000031425,cdk5rap2-201,protein_coding
ENSDART00000160503,slc15a4-201,protein_coding
ENSDART00000147395,,processed_transcript
ENSDART00000135238,,protein_coding
ENSDART00000189792,,protein_coding
ENSDART00000140126,,protein_coding
ENSDART00000192764,,protein_coding
ENSDART00000091695,cacng7a-201,protein_coding
ENSDART00000147128,cacng7a-202,protein_coding
ENSDART00000157205,,nonsense_mediated_decay
ENSDART00000156827,,protein_coding
ENSDART00000137504,P2RY8-201,protein_coding
ENSDART00000185718,,lincRNA
ENSDART00000185083,,lincRNA
ENSDART00000174069,,lincRNA
ENSDART00000033574,slc24a5-201,protein_coding
ENSDART00000146237,fsta-202,protein_coding
ENSDART00000051065,fsta-201,protein_coding
ENSDART00000137388,SRBD1-201,protein_coding
ENSDART00000169076,SRBD1-202,protein_coding
ENSDART00000082121,ms4a17a.4-201,protein_coding
ENSDART00000165067,abhd14b-201,protein_coding
ENSDART00000168712,si:ch73-299h12.6-201,protein_coding
ENSDART00000077804,slc22a15-201,protein_coding
ENSDART00000154756,slc22a15-202,retained_intron
ENSDART00000106072,si:dkey-26g8.5-201,protein_coding
ENSDART00000141359,ADGRB1-202,retained_intron
ENSDART00000179342,ADGRB1-203,protein_coding
ENSDART00000143118,ADGRB1-201,protein_coding
ENSDART00000138340,,processed_transcript
ENSDART00000077245,tor4ab-201,protein_coding
ENSDART00000183196,tor4ab-202,protein_coding
ENSDART00000073734,ciao2b-201,protein_coding
ENSDART00000144591,ciao2b-203,protein_coding
ENSDART00000124342,ciao2b-202,protein_coding
ENSDART00000191291,ciao2b-204,protein_coding
ENSDART00000168665,sh3bgrl3-201,protein_coding
ENSDART00000135257,,protein_coding
ENSDART00000137386,,unprocessed_pseudogene
ENSDART00000149116,prr36a-202,protein_coding
ENSDART00000143363,prr36a-201,protein_coding
ENSDART00000147568,,protein_coding
ENSDART00000144218,,protein_coding
ENSDART00000150048,itgb3b-202,protein_coding
ENSDART00000006908,itgb3b-201,protein_coding
ENSDART00000145198,steap4-201,protein_coding
ENSDART00000137420,ccl34b.1-201,retained_intron
ENSDART00000165760,ccl34b.1-203,protein_coding
ENSDART00000145829,ccl34b.1-202,protein_coding
ENSDART00000134689,plg-202,protein_coding
ENSDART00000045816,plg-201,protein_coding
ENSDART00000005944,rpl5a-201,protein_coding
ENSDART00000140469,deptor-203,protein_coding
ENSDART00000059984,deptor-201,protein_coding
ENSDART00000133566,deptor-202,protein_coding
ENSDART00000167411,deptor-204,protein_coding
ENSDART00000161627,gnb5a-201,retained_intron
ENSDART00000168016,gnb5a-202,protein_coding
ENSDART00000134928,nfatc3b-201,protein_coding
ENSDART00000172612,,protein_coding
ENSDART00000109440,adamts9-201,protein_coding
ENSDART00000138964,adamts9-202,protein_coding
ENSDART00000132384,matcap2-201,protein_coding
ENSDART00000174834,matcap2-202,protein_coding
ENSDART00000135518,,lincRNA
ENSDART00000141768,,lincRNA
ENSDART00000143051,,lincRNA
ENSDART00000140090,,lincRNA
ENSDART00000104222,b3gntl1-202,protein_coding
ENSDART00000063750,b3gntl1-201,protein_coding
ENSDART00000143018,b3gntl1-203,processed_transcript
ENSDART00000140432,phyhd1-202,protein_coding
ENSDART00000147187,phyhd1-203,protein_coding
ENSDART00000025612,phyhd1-201,protein_coding
ENSDART00000148910,phyhd1-204,protein_coding
ENSDART00000160681,agtrap-203,retained_intron
ENSDART00000111284,agtrap-201,protein_coding
ENSDART00000157703,agtrap-202,protein_coding
ENSDART00000134308,zzz3-202,protein_coding
ENSDART00000114471,zzz3-201,protein_coding
ENSDART00000139829,zzz3-204,retained_intron
ENSDART00000137768,zzz3-203,protein_coding
ENSDART00000022325,parp16-201,protein_coding
ENSDART00000152580,nlgn4xa-203,protein_coding
ENSDART00000113818,nlgn4xa-201,protein_coding
ENSDART00000128317,nlgn4xa-202,protein_coding
ENSDART00000150147,zgc:113298-203,protein_coding
ENSDART00000106104,zgc:113298-201,protein_coding
ENSDART00000149907,zgc:113298-202,protein_coding
ENSDART00000138738,,unprocessed_pseudogene
ENSDART00000157333,,protein_coding
ENSDART00000156417,sparcl2-201,protein_coding
ENSDART00000145657,,retained_intron
ENSDART00000142233,,protein_coding
ENSDART00000190891,,protein_coding
ENSDART00000144851,,protein_coding
ENSDART00000133880,,protein_coding
ENSDART00000176877,,protein_coding
ENSDART00000075299,zgc:153911-201,protein_coding
ENSDART00000137156,pudp-202,protein_coding
ENSDART00000135078,pudp-201,protein_coding
ENSDART00000126808,,protein_coding
ENSDART00000059264,mxd4-201,protein_coding
ENSDART00000152633,tyw1-202,nonsense_mediated_decay
ENSDART00000142870,tyw1-201,protein_coding
ENSDART00000135645,ambp-204,processed_transcript
ENSDART00000193648,ambp-206,protein_coding
ENSDART00000135457,ambp-203,processed_transcript
ENSDART00000027026,ambp-201,protein_coding
ENSDART00000130283,ambp-202,processed_transcript
ENSDART00000142677,ambp-205,retained_intron
ENSDART00000058336,arpp19b-201,protein_coding
ENSDART00000131415,arpp19b-202,protein_coding
ENSDART00000154802,rps28-204,protein_coding
ENSDART00000052063,rps28-201,protein_coding
ENSDART00000143732,rps28-203,retained_intron
ENSDART00000133109,rps28-202,protein_coding
ENSDART00000060015,chka-201,protein_coding
ENSDART00000060184,chka-202,protein_coding
ENSDART00000031173,rps27.1-201,protein_coding
ENSDART00000160097,,protein_coding
ENSDART00000148416,tacr3a-202,protein_coding
ENSDART00000145044,tacr3a-201,protein_coding
ENSDART00000051886,si:dkey-103j14.5-201,protein_coding
ENSDART00000132828,si:dkey-103j14.5-202,protein_coding
ENSDART00000172231,,protein_coding
ENSDART00000111858,mrpl42-201,protein_coding
ENSDART00000047916,ctslb-203,protein_coding
ENSDART00000138331,,processed_transcript
ENSDART00000152549,,protein_coding
ENSDART00000173961,,processed_transcript
ENSDART00000132552,,processed_transcript
ENSDART00000058546,ebag9-201,protein_coding
ENSDART00000184049,f13a1b-204,protein_coding
ENSDART00000149510,f13a1b-202,protein_coding
ENSDART00000182530,f13a1b-203,protein_coding
ENSDART00000102535,f13a1b-201,protein_coding
ENSDART00000025019,colec11-201,protein_coding
ENSDART00000187252,colec11-202,protein_coding
ENSDART00000043484,,protein_coding
ENSDART00000142684,,protein_coding
ENSDART00000135766,,protein_coding
ENSDART00000105315,hsd11b1la-202,protein_coding
ENSDART00000061739,hsd11b1la-201,protein_coding
ENSDART00000143677,grm6b-203,protein_coding
ENSDART00000114226,grm6b-202,protein_coding
ENSDART00000033657,grm6b-201,protein_coding
ENSDART00000141433,,processed_transcript
ENSDART00000127270,thy1-202,processed_transcript
ENSDART00000045410,thy1-201,protein_coding
ENSDART00000145570,ctslb-201,protein_coding
ENSDART00000182074,ctslb-202,protein_coding
ENSDART00000054092,,protein_coding
ENSDART00000152180,,protein_coding
ENSDART00000185383,mybl2b-204,protein_coding
ENSDART00000040577,mybl2b-201,protein_coding
ENSDART00000121489,mybl2b-202,protein_coding
ENSDART00000137479,mybl2b-203,protein_coding
ENSDART00000159900,ccsapa-202,protein_coding
ENSDART00000037729,ccsapa-201,protein_coding
ENSDART00000155590,,lincRNA
ENSDART00000173946,btr06-202,protein_coding
ENSDART00000076318,btr06-201,protein_coding
ENSDART00000078792,ahcyl1-201,protein_coding
ENSDART00000078795,ahcyl1-202,protein_coding
ENSDART00000181407,mif4gda-203,protein_coding
ENSDART00000168236,mif4gda-202,protein_coding
