tscriptid,tscriptname,ottdartid,status,ensdartid,tname,comments
ZDB-TSCRIPT-131113-1617,mob1a-002,OTTDART00000030058,retained intron,ENSDART00000159851.2,mob1a-202,
ZDB-TSCRIPT-131113-1620,map4k3b-002,OTTDART00000032496,retained intron,ENSDART00000153571.2,map4k3b-201,
ZDB-TSCRIPT-131113-1622,mta1-002,OTTDART00000032787,retained intron,ENSDART00000157183.3,mta1-203,
ZDB-TSCRIPT-131113-1649,mov10a-002,OTTDART00000043794,retained intron,ENSDART00000156356.2,mov10a-202,
ZDB-TSCRIPT-131113-1657,si:ch211-287n14.3-007,OTTDART00000044704,NMD,ENSDART00000148560,,
ZDB-TSCRIPT-131113-1664,nr4a2b-002,OTTDART00000047380,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-1665,si:ch211-215k15.4-001,OTTDART00000047599,NMD,ENSDART00000153484,,
ZDB-TSCRIPT-131113-1666,si:ch211-135n15.2-003,OTTDART00000047604,retained intron,ENSDART00000156601.2,si:ch211-135n15.2-202,
ZDB-TSCRIPT-131113-1669,si:dkey-7j14.5-003,OTTDART00000047613,retained intron,ENSDART00000153783.2,si:dkey-7j14.5-201,
ZDB-TSCRIPT-131113-167,si:dkey-16p21.8-003,OTTDART00000049622,retained intron,ENSDART00000155757.3,si:dkey-16p21.8-202,
ZDB-TSCRIPT-131113-3360,si:dkey-16p21.8-004,OTTDART00000049624,,ENSDART00000154239.2,si:dkey-16p21.8-201,
ZDB-TSCRIPT-131113-1686,si:zfos-1192g2.3-003,OTTDART00000047713,retained intron,ENSDART00000157304.2,si:zfos-1192g2.3-203,
ZDB-TSCRIPT-131113-171,prrg2-005,OTTDART00000049634,retained intron,ENSDART00000155946.2,prrg2-203,
ZDB-TSCRIPT-131113-1719,si:dkey-56f14.4-003,OTTDART00000048549,retained intron,ENSDART00000154870.2,si:dkey-56f14.4-202,
ZDB-TSCRIPT-131113-172,si:ch211-195b15.7-002,OTTDART00000049638,retained intron,ENSDART00000154950.2,si:ch211-195b15.7-201,
ZDB-TSCRIPT-131113-1733,desmb-002,OTTDART00000048706,retained intron,ENSDART00000153465.2,desmb-202,
ZDB-TSCRIPT-131113-174,dock6-002,OTTDART00000049656,retained intron,ENSDART00000154168.2,dock6-202,
ZDB-TSCRIPT-131113-1749,kansl1b-004,OTTDART00000048790,retained intron,ENSDART00000154620.2,kansl1b-203,
ZDB-TSCRIPT-131113-156,kansl1b-003,OTTDART00000048789,,ENSDART00000154622.2,kansl1b-204,
ZDB-TSCRIPT-131113-1757,rbm5-001,OTTDART00000049144,retained intron,ENSDART00000170084.2,rbm5-204,
ZDB-TSCRIPT-131113-1761,ap2a1-002,OTTDART00000049626,retained intron,ENSDART00000155416.2,ap2a1-202,
ZDB-TSCRIPT-131113-1773,il2rb-003,OTTDART00000049721,retained intron,ENSDART00000156528.2,il2rb-203,
ZDB-TSCRIPT-131113-1775,top3a-002,OTTDART00000049739,retained intron,ENSDART00000155667.2,top3a-202,
ZDB-TSCRIPT-131113-1796,alyref-003,OTTDART00000049984,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-1822,cdk5rap1-002,OTTDART00000050272,retained intron,ENSDART00000155655.2,cdk5rap1-202,
ZDB-TSCRIPT-131113-1824,eif4a3-003,OTTDART00000050278,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-1827,zc3h11a-003,OTTDART00000050306,retained intron,ENSDART00000155697.2,zc3h11a-203,
ZDB-TSCRIPT-131113-1828,chia.3-003,OTTDART00000050309,retained intron,ENSDART00000156017.2,chia.3-204,
ZDB-TSCRIPT-131113-1831,reep6-003,OTTDART00000050332,NMD,ENSDART00000153470,,
ZDB-TSCRIPT-131113-1837,card19-002,OTTDART00000050435,retained intron,ENSDART00000157335.2,card19-202,
ZDB-TSCRIPT-131113-1839,suox-002,OTTDART00000050441,retained intron,ENSDART00000154530.2,suox-202,
ZDB-TSCRIPT-131113-269,pecr-002,OTTDART00000050593,,ENSDART00000156315.2,pecr-203,
ZDB-TSCRIPT-131113-1855,pecr-003,OTTDART00000050594,retained intron,ENSDART00000154610.2,pecr-202,
ZDB-TSCRIPT-131113-1859,uba3-003,OTTDART00000050628,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-1865,isy1-002,OTTDART00000050665,retained intron,ENSDART00000156205.2,isy1-202,
ZDB-TSCRIPT-131113-1871,myo18ab-002,OTTDART00000051007,retained intron,ENSDART00000156944.2,myo18ab-203,
ZDB-TSCRIPT-131113-288,si:dkey-54n8.2-003,OTTDART00000051059,,ENSDART00000153611.2,si:dkey-54n8.2-202,
ZDB-TSCRIPT-131113-1877,si:dkey-54n8.2-002,OTTDART00000051060,NMD,ENSDART00000154733,,
ZDB-TSCRIPT-131113-1880,arfgap3-002,OTTDART00000051146,NMD,ENSDART00000155587,,
ZDB-TSCRIPT-131113-19,rps27a-003,OTTDART00000028134,retained intron,ENSDART00000156817.3,rps27a-203,
ZDB-TSCRIPT-131113-1900,stk19-002,OTTDART00000051843,NMD,ENSDART00000129481,,
ZDB-TSCRIPT-131113-1912,si:dkey-146c18.2-002,OTTDART00000052197,NMD,ENSDART00000163069,,
ZDB-TSCRIPT-131113-1919,si:ch211-108c17.2-002,OTTDART00000052242,retained intron,ENSDART00000166948.2,si:ch211-108c17.2-201,
ZDB-TSCRIPT-131113-1920,slco1d1-002,OTTDART00000052253,retained intron,ENSDART00000167575.2,slco1d1-202,
ZDB-TSCRIPT-131113-344,si:ch211-129p6.2-002,OTTDART00000052333,,ENSDART00000159231.2,si:ch211-76m11.8-203,
ZDB-TSCRIPT-131113-1928,si:ch211-129p6.2-004,OTTDART00000052337,retained intron,ENSDART00000170540.2,si:ch211-76m11.8-208,
ZDB-TSCRIPT-131113-1931,trim108-002,OTTDART00000052486,retained intron,ENSDART00000153660.2,trim108-203,
ZDB-TSCRIPT-131113-194,ube2ia-005,OTTDART00000049804,retained intron,ENSDART00000154609.2,ube2ia-203,
ZDB-TSCRIPT-131113-1951,selk-002,OTTDART00000052621,retained intron,ENSDART00000158621.2,selenok-201,
ZDB-TSCRIPT-131113-1956,necap2-003,OTTDART00000052682,retained intron,ENSDART00000153488.2,necap2-202,
ZDB-TSCRIPT-131113-1967,lmcd1-003,OTTDART00000052768,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-1979,fam57ba-007,OTTDART00000052964,retained intron,ENSDART00000156707.2,fam57ba-207,
ZDB-TSCRIPT-131113-1990,si:dkey-202l16.5-002,OTTDART00000053384,retained intron,ENSDART00000155705.2,tmc5-202,
ZDB-TSCRIPT-131113-1991,emp2-002,OTTDART00000053404,retained intron,ENSDART00000153969.2,emp2-202,
ZDB-TSCRIPT-131113-3594,atf7ip2-004,OTTDART00000053411,,ENSDART00000156778.2,atf7ip2-205,
ZDB-TSCRIPT-131113-1992,atf7ip2-003,OTTDART00000053407,retained intron,ENSDART00000155760.2,atf7ip2-201,
ZDB-TSCRIPT-131113-2001,ttyh3a-002,OTTDART00000053763,retained intron,ENSDART00000156266.2,ttyh3a-202,
ZDB-TSCRIPT-131113-426,si:ch211-129i21.3-001,OTTDART00000053786,,ENSDART00000155798.3,CR392042.1-203,
ZDB-TSCRIPT-131113-3608,si:ch211-129i21.3-002,OTTDART00000053788,,ENSDART00000156441.2,CR392042.1-201,
ZDB-TSCRIPT-131113-2005,si:ch211-129i21.3-003,OTTDART00000053787,retained intron,ENSDART00000155625.3,CR392042.1-204,
ZDB-TSCRIPT-131113-2010,epn3a-002,OTTDART00000053853,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2011,zgc:103625-002,OTTDART00000053856,NMD,ENSDART00000154502.2,zgc:103625-203,
ZDB-TSCRIPT-131113-2014,gcgra-002,OTTDART00000053866,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-461,uqcrc2a-002,OTTDART00000054017,,ENSDART00000154547.2,uqcrc2a-202,
ZDB-TSCRIPT-131113-2038,uqcrc2a-004,OTTDART00000054015,retained intron,ENSDART00000156221.3,uqcrc2a-204,
ZDB-TSCRIPT-131113-2050,helz-002,OTTDART00000054097,retained intron,ENSDART00000154211.2,helz-203,
ZDB-TSCRIPT-131113-2059,polr3h-002,OTTDART00000054166,retained intron,ENSDART00000167689.2,polr3h-202,
ZDB-TSCRIPT-131113-2062,ottdart00000054220,OTTDART00000054220,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2070,catip-002,OTTDART00000054307,NMD,ENSDART00000157372,,
ZDB-TSCRIPT-131113-2095,si:dkey-259g19.1-002,OTTDART00000054574,retained intron,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-520,si:dkey-259g19.1-001,OTTDART00000054576,,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-2096,si:dkey-259g19.1-004,OTTDART00000054577,,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-2097,si:dkey-259g19.2-001,OTTDART00000054586,,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-521,si:dkey-259g19.2-002,OTTDART00000054588,,,,no Ensembl ID match.  Transcript and gene withdrawn?
DB-TSCRIPT-131113-3698,si:dkey-259g19.2-004,OTTDART00000054590,,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-2098,si:dkey-259g19.2-003,OTTDART00000054589,retained intron,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-2121,dnajc6-002,OTTDART00000054686,retained intron,ENSDART00000156106.2,dnajc6-202,
ZDB-TSCRIPT-131113-2128,adcyap1r1b-002,OTTDART00000054741,retained intron,ENSDART00000154592.2,adcyap1r1a-201,
ZDB-TSCRIPT-131113-3729,si:ch73-239g21.2-001,OTTDART00000054781,,ENSDART00000155141.3,CU137680.2-204,
ZDB-TSCRIPT-131113-553,si:ch73-239g21.2-002,OTTDART00000054782,,ENSDART00000157009.3,CU137680.2-205,
ZDB-TSCRIPT-131113-2132,si:ch73-239g21.2-003,OTTDART00000054780,,ENSDART00000156966.3,CU137680.2-203,
ZDB-TSCRIPT-131113-2133,si:ch73-239g21.2-004,OTTDART00000054783,retained intron,ENSDART00000153753.3,CU137680.2-202,
ZDB-TSCRIPT-131113-3730,si:ch73-239g21.2-005,OTTDART00000054784,,ENSDART00000156888.2,CU137680.2-201,
ZDB-TSCRIPT-131113-2142,ddx3b-006,OTTDART00000054849,retained intron,ENSDART00000154000.2,ddx3xb-202,
ZDB-TSCRIPT-131113-2144,soat2-002,OTTDART00000054856,retained intron,ENSDART00000155397.2,soat2-203,
ZDB-TSCRIPT-131113-2158,mybphb-004,OTTDART00000054904,retained intron,ENSDART00000172526.2,mybphb-206,
ZDB-TSCRIPT-131113-2179,tespa1-002,OTTDART00000054985,retained intron,ENSDART00000157296.2,tespa1-202,
ZDB-TSCRIPT-131113-2182,ca16b-002,OTTDART00000054994,retained intron,ENSDART00000153489.2,ca16b-202,
ZDB-TSCRIPT-131113-2198,srgap3-002,OTTDART00000055045,retained intron,ENSDART00000157169.2,srgap3-204,
ZDB-TSCRIPT-131113-3817,ip6k2b-002,OTTDART00000055120,,ENSDART00000153956.2,ip6k2b-202,
ZDB-TSCRIPT-131113-3868,ptp4a2a-005,OTTDART00000055303,,ENSDART00000156723.3,ptp4a2a-205,
ZDB-TSCRIPT-131113-221,jmjd6-002,OTTDART00000050034,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2222,ip6k2b-003,OTTDART00000055119,retained intron,ENSDART00000155327.2,ip6k2b-203,
ZDB-TSCRIPT-131113-2243,si:ch211-189e2.2-002,OTTDART00000055191,NMD,ENSDART00000155643,,
ZDB-TSCRIPT-131113-2248,shprh-002,OTTDART00000055218,retained intron,ENSDART00000155703.2,shprh-201,
ZDB-TSCRIPT-131113-2249,ccdc170-002,OTTDART00000055221,retained intron,ENSDART00000156771.2,ccdc170-202,
ZDB-TSCRIPT-131113-2260,fbxo34-002,OTTDART00000055256,retained intron,ENSDART00000157062.2,fbxo34-202,
ZDB-TSCRIPT-131113-2276,ptp4a2a-003,OTTDART00000055305,retained intron,ENSDART00000156612.2,ptp4a2a-204,
ZDB-TSCRIPT-131113-2278,zgc:56576-004,OTTDART00000055311,retained intron,ENSDART00000156520.2,rtraf-204,
ZDB-TSCRIPT-131113-2285,si:ch211-266g18.6-002,OTTDART00000055335,retained intron,ENSDART00000156623.2,si:ch211-266g18.6-202,
ZDB-TSCRIPT-131113-3887,nrxn3a-005,OTTDART00000055366,,ENSDART00000155341.2,nrxn3a-206,
ZDB-TSCRIPT-131113-2294,nrxn3a-004,OTTDART00000055365,retained intron,ENSDART00000156391.2,nrxn3a-207,
ZDB-TSCRIPT-131113-2308,si:ch73-306e8.2-003,OTTDART00000055407,NMD,ENSDART00000155573,,
ZDB-TSCRIPT-131113-3899,si:ch73-306e8.2-005,OTTDART00000055411,,ENSDART00000153762.2,si:ch73-306e8.2-203,
ZDB-TSCRIPT-131113-2321,kif20ba-002,OTTDART00000055460,retained intron,ENSDART00000157186.2,kif20ba-205,
ZDB-TSCRIPT-131113-2335,acss1-003,OTTDART00000055527,retained intron,ENSDART00000154789.2,acss1-203,
ZDB-TSCRIPT-131113-2349,si:dkey-28g23.6-002,OTTDART00000055578,NMD,ENSDART00000155176,,
ZDB-TSCRIPT-131113-2364,cinp-003,OTTDART00000055633,retained intron,ENSDART00000154506.2,cinp-202,
ZDB-TSCRIPT-131113-2369,gcfc2-002,OTTDART00000055648,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-238,eif4a3-002,OTTDART00000050277,NMD,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-793,si:ch73-167o17.1-001,OTTDART00000055714,,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-2388,si:ch73-167o17.1-002,OTTDART00000055715,retained intron,,,no Ensembl ID match.  Transcript and gene withdrawn?
ZDB-TSCRIPT-131113-2406,si:ch211-202f3.3-002,OTTDART00000055771,retained intron,ENSDART00000153922.2,si:ch211-202f3.3-202,
ZDB-TSCRIPT-131113-2408,vcpkmt-003,OTTDART00000055777,NMD,ENSDART00000129009,,
ZDB-TSCRIPT-131113-2421,hs1bp3-002,OTTDART00000055818,retained intron,ENSDART00000155447.2,hs1bp3-202,
ZDB-TSCRIPT-131113-2423,orc3-003,OTTDART00000055825,retained intron,ENSDART00000157381.2,orc3-203,
ZDB-TSCRIPT-131113-244,chia.3-004,OTTDART00000050311,retained intron,ENSDART00000154337.2,chia.3-203,
ZDB-TSCRIPT-131113-2443,meis2a-003,OTTDART00000055900,retained intron,ENSDART00000171700.2,meis2a-207,
ZDB-TSCRIPT-131113-2445,ddx24-002,OTTDART00000055910,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2474,pus3-002,OTTDART00000056111,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2475,pus3-005,OTTDART00000056114,retained intron,ENSDART00000154242.2,pus3-202,
ZDB-TSCRIPT-131113-2504,yars2-002,OTTDART00000056262,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2532,ucmab-002,OTTDART00000056357,NMD,ENSDART00000003665,,
ZDB-TSCRIPT-131113-2534,dhtkd1-002,OTTDART00000056363,retained intron,ENSDART00000160713.2,dhtkd1-202,
ZDB-TSCRIPT-131113-2540,unc45a-003,OTTDART00000056382,retained intron,ENSDART00000170316.2,unc45a-204,
ZDB-TSCRIPT-131113-2547,si:ch211-107e6.6-001,OTTDART00000056403,NMD,ENSDART00000155157,,
ZDB-TSCRIPT-131113-2548,ppp6r3-007,OTTDART00000056406,retained intron,ENSDART00000155729.2,ppp6r3-207,
ZDB-TSCRIPT-131113-955,ppp6r3-008,OTTDART00000056408,,ENSDART00000155500.2,ppp6r3-206,
ZDB-TSCRIPT-131113-2569,kdm7ab-003,OTTDART00000056497,retained intron,ENSDART00000155482.2,kdm7ab-202,
ZDB-TSCRIPT-131113-2575,xrn1-002,OTTDART00000056534,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2581,si:dkeyp-19h3.8-001,OTTDART00000056558,NMD,ENSDART00000155569,,
ZDB-TSCRIPT-131113-2602,si:dkey-42p14.6-001,OTTDART00000056632,NMD,ENSDART00000156254,,
ZDB-TSCRIPT-131113-2603,pot1-002,OTTDART00000056635,retained intron,ENSDART00000154522.2,pot1-203,
ZDB-TSCRIPT-131113-2614,ube2q2-001,OTTDART00000056683,NMD,ENSDART00000155506,,
ZDB-TSCRIPT-131113-1025,si:ch211-167m1.5-001,OTTDART00000056713,,ENSDART00000157049.3,BX005048.1-201,
ZDB-TSCRIPT-131113-2623,si:ch211-167m1.5-003,OTTDART00000056714,retained intron,ENSDART00000155250.2,BX005048.1-202,
ZDB-TSCRIPT-131113-263,gas8-002,OTTDART00000050534,retained intron,ENSDART00000165126.2,gas8-201,
ZDB-TSCRIPT-131113-2646,snx20-003,OTTDART00000056785,NMD,ENSDART00000157334,,
ZDB-TSCRIPT-131113-2657,ddx46-005,OTTDART00000056858,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-2667,alox5b.3-003,OTTDART00000056890,retained intron,ENSDART00000153719.2,alox5b.3-202,
ZDB-TSCRIPT-131113-2685,nnr-002,OTTDART00000056948,retained intron,ENSDART00000154160.2,nnr-202,
ZDB-TSCRIPT-131113-2687,rabgef1l-003,OTTDART00000056954,retained intron,ENSDART00000157032.2,rabgef1l-203,
ZDB-TSCRIPT-131113-2690,taf15-004,OTTDART00000056964,,ENSDART00000156283.2,taf15-205,
ZDB-TSCRIPT-131113-2689,taf15-006,OTTDART00000056961,retained intron,ENSDART00000155779.2,taf15-204,
ZDB-TSCRIPT-131113-270,map4k3a-002,OTTDART00000050596,NMD,ENSDART00000155877,,
ZDB-TSCRIPT-131113-2700,tfdp2-005,OTTDART00000056995,retained intron,ENSDART00000154297.3,tfdp2-203,
ZDB-TSCRIPT-131113-2701,tfdp2-007,OTTDART00000056998,retained intron,ENSDART00000155945.3,tfdp2-205,
ZDB-TSCRIPT-131113-2708,si:ch73-281n10.2-002,OTTDART00000057020,retained intron,ENSDART00000153671.3,si:ch73-281n10.2-201,
ZDB-TSCRIPT-131113-2721,si:dkey-202l22.4-004,OTTDART00000057069,retained intron,ENSDART00000158700.2,CR848025.1-210,
ZDB-TSCRIPT-131113-2723,si:dkey-202l22.4-010,OTTDART00000057075,retained intron,ENSDART00000168482.2,CR848025.1-205,
ZDB-TSCRIPT-131113-4320,si:dkey-202l22.5-001,OTTDART00000057076,,ENSDART00000151505.3,CR848025.2-203,
ZDB-TSCRIPT-131113-2724,si:dkey-202l22.5-003,OTTDART00000057078,retained intron,ENSDART00000168226.2,CR848025.2-202,
ZDB-TSCRIPT-131113-2761,si:ch211-217n8.3-004,OTTDART00000057250,retained intron,ENSDART00000155019.3,CR848791.2-201,
ZDB-TSCRIPT-131113-277,qrich1-004,OTTDART00000050633,retained intron,ENSDART00000155776.2,qrich1-203,
ZDB-TSCRIPT-131113-2773,ulk2-002,OTTDART00000057293,retained intron,ENSDART00000156563.2,ulk2-203,
ZDB-TSCRIPT-131113-2778,gkup-002,OTTDART00000057321,retained intron,ENSDART00000154581.2,gkup-202,
ZDB-TSCRIPT-131113-2783,ttc12-002,OTTDART00000057342,retained intron,ENSDART00000157380.2,ttc12-202,
ZDB-TSCRIPT-131113-4397,si:ch211-229g11.5-001,OTTDART00000057488,,ENSDART00000153757.3,AL954322.3-210,
ZDB-TSCRIPT-131113-2803,si:ch211-229g11.5-002,OTTDART00000057490,,ENSDART00000155420.,AL954322.3-207,
ZDB-TSCRIPT-131113-4398,si:ch211-229g11.5-005,OTTDART00000057491,,ENSDART00000154128.3,AL954322.3-208,
ZDB-TSCRIPT-131113-1204,si:ch211-229g11.5-006,OTTDART00000057489,,ENSDART00000156379.3,AL954322.3-211,
ZDB-TSCRIPT-131113-2804,si:ch211-229g11.5-008,OTTDART00000057493,retained intron,ENSDART00000155627.3,AL954322.3-204,
ZDB-TSCRIPT-131113-2805,si:ch211-229g11.5-007,OTTDART00000057497,retained intron,ENSDART00000154027.2,AL954322.3-201,
ZDB-TSCRIPT-131113-1206,si:ch211-229g11.5-009,OTTDART00000057496,,ENSDART00000156217.2,AL954322.3-203,
ZDB-TSCRIPT-131113-1205,si:ch211-229g11.5-010,OTTDART00000057492,,ENSDART00000155944.3,AL954322.3-209,
ZDB-TSCRIPT-131113-2806,si:ch211-229g11.5-011,OTTDART00000057500,,ENSDART00000154800.2,AL954322.3-205,
ZDB-TSCRIPT-131113-2814,gdpd5b-001,OTTDART00000057534,NMD,ENSDART00000154790,,
ZDB-TSCRIPT-131113-2832,hsph1-002,OTTDART00000057613,retained intron,ENSDART00000155806.2,hsph1-202,
ZDB-TSCRIPT-131113-2851,zgc:158328-002,OTTDART00000057682,retained intron,ENSDART00000155809.2,zgc:158328-202,
ZDB-TSCRIPT-131113-2880,si:ch211-281l24.3-003,OTTDART00000057826,retained intron,ENSDART00000154471.2,si:ch211-281l24.3-201,
ZDB-TSCRIPT-131113-2946,ubxn7-002,OTTDART00000059089,retained intron,ENSDART00000171666.2,ubxn7-202,
ZDB-TSCRIPT-131113-2956,si:ch211-265m20.8-002,OTTDART00000059125,retained intron,ENSDART00000156626.3,BX005309.1-202,
ZDB-TSCRIPT-131113-297,ikbip-002,OTTDART00000051148,retained intron,ENSDART00000157138.2,ikbip-203,
ZDB-TSCRIPT-131113-298,terfa-002,OTTDART00000051151,retained intron,ENSDART00000155022.2,terfa-203,
ZDB-TSCRIPT-131113-2981,si:dkey-15h8.16-009,OTTDART00000059215,retained intron,ENSDART00000172159.2,zgc:174222-209,
ZDB-TSCRIPT-131113-300,sypl1-002,OTTDART00000051195,retained intron,ENSDART00000153696.2,sypl1-201,
ZDB-TSCRIPT-131113-3008,parp4-002,OTTDART00000059389,artifact,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-3009,arhgap21a-004,OTTDART00000059392,retained intron,ENSDART00000166216.2,arhgap21a-203,
ZDB-TSCRIPT-131113-3015,tm6sf2-002,OTTDART00000059411,retained intron,ENSDART00000040601.7,tm6sf2-201,
ZDB-TSCRIPT-131113-3018,hsp90aa1.2-002,OTTDART00000059426,retained intron,ENSDART00000154307.2,hsp90aa1.2-202,
ZDB-TSCRIPT-131113-3029,ottdart00000059482,OTTDART00000059482,retained intron,,,no Ensembl ID match.  transcript withdrawn?
ZDB-TSCRIPT-131113-3089,trim13-002,OTTDART00000059690,NMD,ENSDART00000157265,,
ZDB-TSCRIPT-131113-3152,dhrs13a.1-002,OTTDART00000059953,retained intron,ENSDART00000154179.2,dhrs13a.1-202,
ZDB-TSCRIPT-131113-1619,si:ch211-149e23.3-002,OTTDART00000031087,,ENSDART00000153755.2,rrp8-201,
ZDB-TSCRIPT-131113-3219,si:ch211-149e23.3-003,OTTDART00000031088,retained intron,ENSDART00000153857.2,rrp8-202,
