tscriptid,ottdartid,ensdartid,comments
ZDB-TSCRIPT-090929-310,OTTDART00000004681,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-315,OTTDART00000004687,ENSDART00000133670.2,,
ZDB-TSCRIPT-090929-317,OTTDART00000004690,,,
ZDB-TSCRIPT-090929-321,OTTDART00000004695,ENSDART00000146334.2,,
ZDB-TSCRIPT-090929-322,OTTDART00000004697,,,
ZDB-TSCRIPT-090929-330,OTTDART00000004706,ENSDART00000142616.2,,
ZDB-TSCRIPT-090929-339,OTTDART00000004717,,,
ZDB-TSCRIPT-090929-344,OTTDART00000004724,ENSDART00000146599.2,,
ZDB-TSCRIPT-090929-350,OTTDART00000004733,,,
ZDB-TSCRIPT-090929-354,OTTDART00000004738,ENSDART00000138092.2,,
ZDB-TSCRIPT-090929-355,OTTDART00000004739,ENSDART00000131464.2,,
ZDB-TSCRIPT-090929-356,OTTDART00000004740,ENSDART00000147828.2,,
ZDB-TSCRIPT-090929-357,OTTDART00000004741,ENSDART00000134110.2,,
ZDB-TSCRIPT-090929-358,OTTDART00000004742,,,
ZDB-TSCRIPT-090929-412,OTTDART00000004981,ENSDART00000144112.2,,
ZDB-TSCRIPT-090929-413,OTTDART00000004982,ENSDART00000142724.2,,
ZDB-TSCRIPT-090929-425,OTTDART00000005049,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-430,OTTDART00000005086,ENSDART00000138379.2,,
ZDB-TSCRIPT-090929-437,OTTDART00000005108,ENSDART00000146899.2,,
ZDB-TSCRIPT-090929-439,OTTDART00000005112,ENSDART00000146130.2,,
ZDB-TSCRIPT-090929-444,OTTDART00000005129,ENSDART00000132576.4,,
ZDB-TSCRIPT-090929-448,OTTDART00000005158,ENSDART00000146229.3,,
ZDB-TSCRIPT-090929-449,OTTDART00000005159,ENSDART00000145422.2,,
ZDB-TSCRIPT-090929-450,OTTDART00000005160,ENSDART00000141939.3,,
ZDB-TSCRIPT-090929-458,OTTDART00000005185,ENSDART00000138093.2,,
ZDB-TSCRIPT-090929-460,OTTDART00000005189,ENSDART00000147162.2,,
ZDB-TSCRIPT-090929-468,OTTDART00000005224,ENSDART00000152783.3,,
ZDB-TSCRIPT-090929-479,OTTDART00000005305,ENSDART00000131907.2,,
ZDB-TSCRIPT-090929-496,OTTDART00000005340,ENSDART00000147801.2,,
ZDB-TSCRIPT-090929-516,OTTDART00000005677,ENSDART00000138987.3,,
ZDB-TSCRIPT-090929-517,OTTDART00000005678,ENSDART00000146057.2,,
ZDB-TSCRIPT-090929-522,OTTDART00000005684,ENSDART00000133235.2,,
ZDB-TSCRIPT-090929-527,OTTDART00000005690,ENSDART00000132441.2,,
ZDB-TSCRIPT-090929-589,OTTDART00000005962,ENSDART00000145671.2,,
ZDB-TSCRIPT-090929-596,OTTDART00000005992,ENSDART00000138977.2,,
ZDB-TSCRIPT-090929-598,OTTDART00000005995,ENSDART00000130500.3,,
ZDB-TSCRIPT-090929-605,OTTDART00000006014,ENSDART00000139791.2,,
ZDB-TSCRIPT-090929-683,OTTDART00000006252,ENSDART00000137927.3,,
ZDB-TSCRIPT-090929-690,OTTDART00000006259,ENSDART00000006954.9,,
ZDB-TSCRIPT-090929-756,OTTDART00000006528,ENSDART00000125007.3,,
ZDB-TSCRIPT-090929-806,OTTDART00000006675,ENSDART00000142778.3,,
ZDB-TSCRIPT-131113-1599,OTTDART00000006865,ENSDART00000155071.2,,
ZDB-TSCRIPT-131113-3198,OTTDART00000006866,ENSDART00000156815.2,,
ZDB-TSCRIPT-090929-882,OTTDART00000006964,ENSDART00000139082.2,,
ZDB-TSCRIPT-090929-893,OTTDART00000006984,ENSDART00000143272.3,,
ZDB-TSCRIPT-090929-912,OTTDART00000007164,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-914,OTTDART00000007166,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-22769,OTTDART00000007170,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-916,OTTDART00000007172,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-23056,OTTDART00000007173,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-922,OTTDART00000007200,ENSDART00000165360.2,,
ZDB-TSCRIPT-090929-938,OTTDART00000007298,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-945,OTTDART00000007305,ENSDART00000141352.2,,
ZDB-TSCRIPT-090929-971,OTTDART00000007431,ENSDART00000138238.2,,
ZDB-TSCRIPT-090929-990,OTTDART00000007557,ENSDART00000143268.4,,
ZDB-TSCRIPT-090929-991,OTTDART00000007558,ENSDART00000131265.3,,
ZDB-TSCRIPT-090929-1174,OTTDART00000008187,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-1179,OTTDART00000008209,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-1200,OTTDART00000008414,ENSDART00000148016.2,,
ZDB-TSCRIPT-090929-1232,OTTDART00000008537,ENSDART00000142286.3,,
ZDB-TSCRIPT-090929-1233,OTTDART00000008538,ENSDART00000138173.2,,
ZDB-TSCRIPT-090929-1234,OTTDART00000008539,ENSDART00000140950.3,,
ZDB-TSCRIPT-090929-1235,OTTDART00000008540,ENSDART00000136283.2,,
ZDB-TSCRIPT-090929-1252,OTTDART00000008617,ENSDART00000139395.3,,
ZDB-TSCRIPT-090929-1253,OTTDART00000008618,ENSDART00000148291.3,,
ZDB-TSCRIPT-090929-1254,OTTDART00000008619,ENSDART00000141589.2,,
ZDB-TSCRIPT-090929-1304,OTTDART00000008783,ENSDART00000131746.2,,
ZDB-TSCRIPT-090929-1378,OTTDART00000009018,ENSDART00000139793.2,,
ZDB-TSCRIPT-090929-1383,OTTDART00000009023,ENSDART00000150355.2,,
ZDB-TSCRIPT-090929-1384,OTTDART00000009024,ENSDART00000150332.2,,
ZDB-TSCRIPT-090929-1406,OTTDART00000009152,ENSDART00000143208.2,,
ZDB-TSCRIPT-090929-1414,OTTDART00000009165,ENSDART00000145578.2,,
ZDB-TSCRIPT-090929-1447,OTTDART00000009270,ENSDART00000147220.2,,
ZDB-TSCRIPT-091110-731,OTTDART00000009312,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-1472,OTTDART00000009399,ENSDART00000131433.2,,
ZDB-TSCRIPT-090929-1511,OTTDART00000009502,ENSDART00000132855.2,,
ZDB-TSCRIPT-090929-1523,OTTDART00000009539,ENSDART00000139573.2,,
ZDB-TSCRIPT-090929-1382,OTTDART00000009022,ENSDART00000139799.2,,
ZDB-TSCRIPT-090929-1555,OTTDART00000009643,ENSDART00000135900.2,,
ZDB-TSCRIPT-090929-1577,OTTDART00000009688,ENSDART00000125142.3,,
ZDB-TSCRIPT-120702-250,OTTDART00000009791,ENSDART00000151985.2,,
ZDB-TSCRIPT-120702-1,OTTDART00000009794,ENSDART00000151837.2,,
ZDB-TSCRIPT-090929-1611,OTTDART00000009849,ENSDART00000133347.2,,
ZDB-TSCRIPT-090929-1615,OTTDART00000009878,ENSDART00000162436.2,,
ZDB-TSCRIPT-090929-1616,OTTDART00000009879,ENSDART00000145411.3,,
ZDB-TSCRIPT-090929-1617,OTTDART00000009880,ENSDART00000139453.3,,
ZDB-TSCRIPT-090929-1618,OTTDART00000009881,ENSDART00000160891.2,,
ZDB-TSCRIPT-090929-1624,OTTDART00000009889,ENSDART00000162264.2,,
ZDB-TSCRIPT-090929-1626,OTTDART00000009892,ENSDART00000063334.7,,
ZDB-TSCRIPT-090929-1652,OTTDART00000009970,ENSDART00000160119.2,,
ZDB-TSCRIPT-090929-1653,OTTDART00000009971,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-1656,OTTDART00000010045,ENSDART00000169989.2,,
ZDB-TSCRIPT-090929-1677,OTTDART00000010139,ENSDART00000137209.4,,
ZDB-TSCRIPT-090929-1695,OTTDART00000010340,ENSDART00000138565.2,,
ZDB-TSCRIPT-090929-1696,OTTDART00000010341,ENSDART00000143159.2,,
ZDB-TSCRIPT-090929-1697,OTTDART00000010342,ENSDART00000135866.3,,
ZDB-TSCRIPT-090929-1698,OTTDART00000010343,ENSDART00000106082.6,,
ZDB-TSCRIPT-090929-1705,OTTDART00000010359,ENSDART00000141271.2,,
ZDB-TSCRIPT-090929-1715,OTTDART00000010386,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-1731,OTTDART00000010429,ENSDART00000135531.2,,
ZDB-TSCRIPT-090929-1741,OTTDART00000010464,ENSDART00000139571.3,,
ZDB-TSCRIPT-090929-1742,OTTDART00000010465,ENSDART00000141003.2,,
ZDB-TSCRIPT-090929-1755,OTTDART00000010519,ENSDART00000144395.2,,
ZDB-TSCRIPT-090929-1759,OTTDART00000010523,ENSDART00000144077.2,,
ZDB-TSCRIPT-090929-1763,OTTDART00000010527,ENSDART00000139809.2,,
ZDB-TSCRIPT-090929-1794,OTTDART00000010682,ENSDART00000161555.3,,
ZDB-TSCRIPT-090929-1796,OTTDART00000010692,ENSDART00000144665.2,,
ZDB-TSCRIPT-090929-1799,OTTDART00000010716,ENSDART00000132049.2,,
ZDB-TSCRIPT-090929-1800,OTTDART00000010717,ENSDART00000034545.6,,
ZDB-TSCRIPT-090929-1801,OTTDART00000010718,ENSDART00000034586.7,,
ZDB-TSCRIPT-090929-22771,OTTDART00000010719,ENSDART00000034564.6,,
ZDB-TSCRIPT-090929-1806,OTTDART00000010746,ENSDART00000139163.2,,
ZDB-TSCRIPT-090929-1828,OTTDART00000010807,ENSDART00000135378.2,,
ZDB-TSCRIPT-090929-1863,OTTDART00000010920,ENSDART00000146603.2,,
ZDB-TSCRIPT-090929-1893,OTTDART00000011106,ENSDART00000136742.2,,
ZDB-TSCRIPT-090929-1894,OTTDART00000011107,ENSDART00000134300.2,,
ZDB-TSCRIPT-090929-1905,OTTDART00000011130,ENSDART00000133752.2,,
ZDB-TSCRIPT-090929-1907,OTTDART00000011132,ENSDART00000143429.2,,
ZDB-TSCRIPT-131113-3199,OTTDART00000011142,ENSDART00000156884.2,,
ZDB-TSCRIPT-090929-1911,OTTDART00000011160,ENSDART00000142542.3,,
ZDB-TSCRIPT-090929-1913,OTTDART00000011162,ENSDART00000171913.2,,
ZDB-TSCRIPT-090929-1928,OTTDART00000011224,ENSDART00000136960.3,,
ZDB-TSCRIPT-110325-907,OTTDART00000011391,ENSDART00000165997.2,,
ZDB-TSCRIPT-090929-1967,OTTDART00000011414,ENSDART00000139716.2,,
ZDB-TSCRIPT-090929-1968,OTTDART00000011415,ENSDART00000136224.2,,
ZDB-TSCRIPT-090929-1969,OTTDART00000011416,ENSDART00000140289.2,,
ZDB-TSCRIPT-090929-1970,OTTDART00000011417,ENSDART00000140538.2,,
ZDB-TSCRIPT-090929-1971,OTTDART00000011418,ENSDART00000136867.2,,
ZDB-TSCRIPT-090929-1975,OTTDART00000011450,ENSDART00000135133.2,,
ZDB-TSCRIPT-090929-1999,OTTDART00000011512,ENSDART00000134118.3,,
ZDB-TSCRIPT-090929-2000,OTTDART00000011513,ENSDART00000142299.3,,
ZDB-TSCRIPT-090929-2001,OTTDART00000011514,ENSDART00000147088.3,,
ZDB-TSCRIPT-090929-2002,OTTDART00000011515,ENSDART00000111696.4,,
ZDB-TSCRIPT-090929-2003,OTTDART00000011516,ENSDART00000145372.3,,
ZDB-TSCRIPT-090929-2004,OTTDART00000011517,ENSDART00000136121.3,,
ZDB-TSCRIPT-090929-2005,OTTDART00000011518,ENSDART00000142183.3,,
ZDB-TSCRIPT-090929-2006,OTTDART00000011519,ENSDART00000139651.2,,
ZDB-TSCRIPT-090929-2007,OTTDART00000011520,ENSDART00000142994.3,,
ZDB-TSCRIPT-090929-2008,OTTDART00000011521,ENSDART00000112764.4,,
ZDB-TSCRIPT-090929-2020,OTTDART00000011608,ENSDART00000131589.2,,
ZDB-TSCRIPT-090929-2024,OTTDART00000011612,ENSDART00000142206.2,,
ZDB-TSCRIPT-090929-2028,OTTDART00000011620,ENSDART00000147028.2,,
ZDB-TSCRIPT-090929-2034,OTTDART00000011637,ENSDART00000144505.2,,
ZDB-TSCRIPT-090929-2056,OTTDART00000011742,ENSDART00000167887.2,,
ZDB-TSCRIPT-090929-2081,OTTDART00000011828,ENSDART00000188401.1,,
ZDB-TSCRIPT-090929-2114,OTTDART00000011924,ENSDART00000128023.3,,
ZDB-TSCRIPT-090929-2115,OTTDART00000011925,ENSDART00000128710.3,,
ZDB-TSCRIPT-090929-2120,OTTDART00000011937,ENSDART00000134485.2,,
ZDB-TSCRIPT-091110-1458,OTTDART00000011967,ENSDART00000137881.3,,
ZDB-TSCRIPT-091110-4,OTTDART00000011968,ENSDART00000142176.2,,
ZDB-TSCRIPT-091110-734,OTTDART00000011969,ENSDART00000143602.3,,
ZDB-TSCRIPT-091110-1461,OTTDART00000011976,ENSDART00000169004.2,,
ZDB-TSCRIPT-141209-2444,OTTDART00000012094,ENSDART00000159164.2,,
ZDB-TSCRIPT-141209-8,OTTDART00000012095,ENSDART00000158575.2,,
ZDB-TSCRIPT-090929-2141,OTTDART00000012146,ENSDART00000138915.2,,
ZDB-TSCRIPT-091110-750,OTTDART00000012165,ENSDART00000136635.2,,
ZDB-TSCRIPT-090929-2156,OTTDART00000012189,ENSDART00000139275.3,,
ZDB-TSCRIPT-090929-2157,OTTDART00000012190,ENSDART00000137585.2,,
ZDB-TSCRIPT-090929-2172,OTTDART00000012224,ENSDART00000141535.2,,
ZDB-TSCRIPT-090929-2173,OTTDART00000012225,ENSDART00000148357.3,,
ZDB-TSCRIPT-091110-19,OTTDART00000012280,ENSDART00000135779.3,,
ZDB-TSCRIPT-091110-753,OTTDART00000012281,ENSDART00000140928.2,,
ZDB-TSCRIPT-091110-1476,OTTDART00000012282,ENSDART00000135588.2,,
ZDB-TSCRIPT-091110-20,OTTDART00000012296,ENSDART00000137221.2,,
ZDB-TSCRIPT-091110-1477,OTTDART00000012298,ENSDART00000139171.2,,
ZDB-TSCRIPT-091110-21,OTTDART00000012299,ENSDART00000135433.3,,
ZDB-TSCRIPT-091110-755,OTTDART00000012300,ENSDART00000144787.2,,
ZDB-TSCRIPT-091110-756,OTTDART00000012408,ENSDART00000144619.3,,
ZDB-TSCRIPT-091110-1479,OTTDART00000012409,ENSDART00000134511.2,,
ZDB-TSCRIPT-091110-23,OTTDART00000012410,ENSDART00000145475.2,,
ZDB-TSCRIPT-091110-757,OTTDART00000012412,ENSDART00000144969.3,,
ZDB-TSCRIPT-091110-1480,OTTDART00000012413,ENSDART00000113682.4,,
ZDB-TSCRIPT-090929-2202,OTTDART00000012424,ENSDART00000136352.2,,
ZDB-TSCRIPT-090929-2204,OTTDART00000012426,ENSDART00000135609.2,,
ZDB-TSCRIPT-090929-2209,OTTDART00000012431,ENSDART00000138340.2,,
ZDB-TSCRIPT-090929-2231,OTTDART00000012519,ENSDART00000143753.2,,
ZDB-TSCRIPT-090929-2240,OTTDART00000012561,ENSDART00000134834.2,,
ZDB-TSCRIPT-090929-2268,OTTDART00000012628,ENSDART00000133030.2,,
ZDB-TSCRIPT-090929-2273,OTTDART00000012642,ENSDART00000137277.2,,
ZDB-TSCRIPT-090929-2285,OTTDART00000012670,ENSDART00000135414.2,,
ZDB-TSCRIPT-100915-517,OTTDART00000012684,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2295,OTTDART00000012706,ENSDART00000165984.2,,
ZDB-TSCRIPT-090929-2297,OTTDART00000012736,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2298,OTTDART00000012738,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2305,OTTDART00000012763,ENSDART00000140901.2,,
ZDB-TSCRIPT-090929-2311,OTTDART00000012791,ENSDART00000161313.2,,
ZDB-TSCRIPT-090929-2315,OTTDART00000012807,ENSDART00000171051.2,,
ZDB-TSCRIPT-090929-2334,OTTDART00000012858,ENSDART00000135862.4,,
ZDB-TSCRIPT-090929-2340,OTTDART00000012874,ENSDART00000143850.2,,
ZDB-TSCRIPT-090929-2342,OTTDART00000012876,ENSDART00000139761.3,,
ZDB-TSCRIPT-090929-2348,OTTDART00000012887,ENSDART00000146459.2,,
ZDB-TSCRIPT-090929-2361,OTTDART00000012917,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2367,OTTDART00000012933,ENSDART00000131535.2,,
ZDB-TSCRIPT-090929-2376,OTTDART00000012972,ENSDART00000146478.3,,
ZDB-TSCRIPT-090929-2378,OTTDART00000012999,ENSDART00000145910.3,,
ZDB-TSCRIPT-090929-2406,OTTDART00000013065,ENSDART00000144656.3,,
ZDB-TSCRIPT-090929-2407,OTTDART00000013066,ENSDART00000137401.2,,
ZDB-TSCRIPT-090929-2408,OTTDART00000013067,ENSDART00000141383.2,,
ZDB-TSCRIPT-090929-2410,OTTDART00000013069,ENSDART00000134425.2,,
ZDB-TSCRIPT-090929-2411,OTTDART00000013070,ENSDART00000145455.2,,
ZDB-TSCRIPT-090929-2416,OTTDART00000013083,ENSDART00000157984.2,,
ZDB-TSCRIPT-090929-2422,OTTDART00000013121,ENSDART00000137787.3,,
ZDB-TSCRIPT-090929-2423,OTTDART00000013122,ENSDART00000141830.3,,
ZDB-TSCRIPT-090929-2424,OTTDART00000013123,ENSDART00000146239.3,,
ZDB-TSCRIPT-090929-2425,OTTDART00000013124,ENSDART00000137076.3,,
ZDB-TSCRIPT-090929-2426,OTTDART00000013125,ENSDART00000147029.3,,
ZDB-TSCRIPT-090929-2429,OTTDART00000013131,ENSDART00000168302.2,,
ZDB-TSCRIPT-090929-2440,OTTDART00000013177,ENSDART00000148049.2,,
ZDB-TSCRIPT-090929-2441,OTTDART00000013178,ENSDART00000143463.2,,
ZDB-TSCRIPT-100915-1034,OTTDART00000013188,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2452,OTTDART00000013239,ENSDART00000134290.3,,
ZDB-TSCRIPT-090929-2453,OTTDART00000013240,ENSDART00000147647.3,,
ZDB-TSCRIPT-090929-2468,OTTDART00000013302,ENSDART00000137727.2,,
ZDB-TSCRIPT-090929-2470,OTTDART00000013317,ENSDART00000143646.2,,
ZDB-TSCRIPT-090929-2476,OTTDART00000013329,ENSDART00000161551.2,,
ZDB-TSCRIPT-090929-2478,OTTDART00000013331,ENSDART00000160854.2,,
ZDB-TSCRIPT-090929-2482,OTTDART00000013340,ENSDART00000141059.2,,
ZDB-TSCRIPT-090929-2492,OTTDART00000013378,ENSDART00000133111.2,,
ZDB-TSCRIPT-090929-2505,OTTDART00000013404,ENSDART00000147312.2,,
ZDB-TSCRIPT-090929-2506,OTTDART00000013405,ENSDART00000141296.2,,
ZDB-TSCRIPT-090929-2508,OTTDART00000013418,ENSDART00000146652.3,,
ZDB-TSCRIPT-090929-2511,OTTDART00000013421,ENSDART00000138789.3,,
ZDB-TSCRIPT-090929-2514,OTTDART00000013424,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2525,OTTDART00000013454,ENSDART00000131462.2,,
ZDB-TSCRIPT-090929-2544,OTTDART00000013515,ENSDART00000160036.2,,
ZDB-TSCRIPT-090929-2551,OTTDART00000013530,ENSDART00000169280.2,,
ZDB-TSCRIPT-090929-2552,OTTDART00000013531,ENSDART00000171907.2,,
ZDB-TSCRIPT-090929-2567,OTTDART00000013563,ENSDART00000137623.2,,
ZDB-TSCRIPT-090929-2580,OTTDART00000013606,ENSDART00000140251.3,,
ZDB-TSCRIPT-090929-2596,OTTDART00000013647,ENSDART00000141430.2,,
ZDB-TSCRIPT-090929-2604,OTTDART00000013678,ENSDART00000143905.2,,
ZDB-TSCRIPT-090929-2616,OTTDART00000013707,ENSDART00000132475.3,,
ZDB-TSCRIPT-090929-2645,OTTDART00000013853,ENSDART00000170310.2,,
ZDB-TSCRIPT-090929-2649,OTTDART00000013860,ENSDART00000158048.2,,
ZDB-TSCRIPT-141209-1224,OTTDART00000013870,ENSDART00000158085.2,,
ZDB-TSCRIPT-141209-2446,OTTDART00000013871,ENSDART00000159129.2,,
ZDB-TSCRIPT-141209-9,OTTDART00000013872,ENSDART00000161328.2,,
ZDB-TSCRIPT-090929-2670,OTTDART00000013964,ENSDART00000137754.2,,
ZDB-TSCRIPT-090929-2673,OTTDART00000013968,ENSDART00000133944.2,,
ZDB-TSCRIPT-090929-2674,OTTDART00000013969,ENSDART00000135499.2,,
ZDB-TSCRIPT-090929-2686,OTTDART00000013981,ENSDART00000141743.2,,
ZDB-TSCRIPT-090929-2687,OTTDART00000013982,ENSDART00000145173.2,,
ZDB-TSCRIPT-090929-2693,OTTDART00000014011,ENSDART00000166166.2,,
ZDB-TSCRIPT-090929-2700,OTTDART00000014039,ENSDART00000136843.2,,
ZDB-TSCRIPT-090929-2709,OTTDART00000014065,ENSDART00000168571.2,,
ZDB-TSCRIPT-090929-2716,OTTDART00000014117,ENSDART00000167767.2,,
ZDB-TSCRIPT-090929-2721,OTTDART00000014122,ENSDART00000158189.2,,
ZDB-TSCRIPT-090929-2722,OTTDART00000014123,ENSDART00000171791.2,,
ZDB-TSCRIPT-090929-2723,OTTDART00000014124,ENSDART00000166636.2,,
ZDB-TSCRIPT-090929-2737,OTTDART00000014138,ENSDART00000171734.2,,
ZDB-TSCRIPT-090929-2740,OTTDART00000014141,ENSDART00000168948.2,,
ZDB-TSCRIPT-091110-1484,OTTDART00000014167,ENSDART00000145717.2,,
ZDB-TSCRIPT-091110-28,OTTDART00000014171,ENSDART00000144773.2,,
ZDB-TSCRIPT-091110-762,OTTDART00000014174,ENSDART00000140670.2,,
ZDB-TSCRIPT-091110-1486,OTTDART00000014180,ENSDART00000136223.2,,
ZDB-TSCRIPT-090929-2758,OTTDART00000014214,ENSDART00000136951.2,,
ZDB-TSCRIPT-090929-2759,OTTDART00000014239,ENSDART00000140671.3,,
ZDB-TSCRIPT-090929-2760,OTTDART00000014240,ENSDART00000131986.3,,
ZDB-TSCRIPT-090929-2761,OTTDART00000014241,ENSDART00000133299.2,,
ZDB-TSCRIPT-090929-2770,OTTDART00000014298,ENSDART00000168564.2,,
ZDB-TSCRIPT-090929-2778,OTTDART00000014323,ENSDART00000144162.2,,
ZDB-TSCRIPT-090929-2781,OTTDART00000014337,ENSDART00000171747.2,,
ZDB-TSCRIPT-141209-10,OTTDART00000014357,ENSDART00000169428.2,,
ZDB-TSCRIPT-090929-2794,OTTDART00000014373,ENSDART00000133244.2,,
ZDB-TSCRIPT-090929-2799,OTTDART00000014382,ENSDART00000138949.2,,
ZDB-TSCRIPT-090929-2801,OTTDART00000014385,ENSDART00000134774.2,,
ZDB-TSCRIPT-090929-2802,OTTDART00000014387,ENSDART00000133764.2,,
ZDB-TSCRIPT-090929-2813,OTTDART00000014437,ENSDART00000170436.2,,
ZDB-TSCRIPT-090929-2814,OTTDART00000014438,ENSDART00000163567.2,,
ZDB-TSCRIPT-091110-1487,OTTDART00000014460,ENSDART00000141854.2,,
ZDB-TSCRIPT-100915-1035,OTTDART00000014476,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-100915-4,OTTDART00000014477,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2828,OTTDART00000014568,ENSDART00000169446.2,,
ZDB-TSCRIPT-090929-2830,OTTDART00000014570,ENSDART00000157508.2,,
ZDB-TSCRIPT-090929-2831,OTTDART00000014571,ENSDART00000159049.2,,
ZDB-TSCRIPT-090929-2835,OTTDART00000014577,ENSDART00000172085.2,,
ZDB-TSCRIPT-090929-2836,OTTDART00000014578,ENSDART00000165094.2,,
ZDB-TSCRIPT-090929-2837,OTTDART00000014579,ENSDART00000162140.2,,
ZDB-TSCRIPT-090929-2844,OTTDART00000014606,ENSDART00000161658.2,,
ZDB-TSCRIPT-090929-2850,OTTDART00000014614,ENSDART00000161418.2,,
ZDB-TSCRIPT-141209-2451,OTTDART00000014617,ENSDART00000165738.2,,
ZDB-TSCRIPT-141209-1233,OTTDART00000014639,ENSDART00000172601.2,,
ZDB-TSCRIPT-090929-2862,OTTDART00000014657,ENSDART00000164875.2,,
ZDB-TSCRIPT-090929-2863,OTTDART00000014658,ENSDART00000166753.2,,
ZDB-TSCRIPT-090929-2864,OTTDART00000014659,ENSDART00000172055.2,,
ZDB-TSCRIPT-090929-2866,OTTDART00000014661,ENSDART00000162504.2,,
ZDB-TSCRIPT-090929-2867,OTTDART00000014662,ENSDART00000160416.2,,
ZDB-TSCRIPT-141209-2453,OTTDART00000014667,ENSDART00000158203.2,,
ZDB-TSCRIPT-090929-2881,OTTDART00000014696,ENSDART00000145403.2,,
ZDB-TSCRIPT-090929-2885,OTTDART00000014700,ENSDART00000146550.2,,
ZDB-TSCRIPT-090929-2893,OTTDART00000014739,ENSDART00000134852.3,,
ZDB-TSCRIPT-090929-2894,OTTDART00000014740,ENSDART00000137163.2,,
ZDB-TSCRIPT-090929-2898,OTTDART00000014744,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-2905,OTTDART00000014751,ENSDART00000137553.2,,
ZDB-TSCRIPT-090929-2910,OTTDART00000014763,ENSDART00000143281.2,,
ZDB-TSCRIPT-090929-2911,OTTDART00000014764,ENSDART00000137161.2,,
ZDB-TSCRIPT-090929-2920,OTTDART00000014820,ENSDART00000160496.2,,
ZDB-TSCRIPT-090929-2926,OTTDART00000014833,ENSDART00000134496.2,,
ZDB-TSCRIPT-090929-2937,OTTDART00000014857,ENSDART00000135139.2,,
ZDB-TSCRIPT-090929-2941,OTTDART00000014884,ENSDART00000164313.2,,
ZDB-TSCRIPT-090929-2949,OTTDART00000014892,ENSDART00000168328.2,,
