tscriptid,ottdartid,ensdartid,comments
ZDB-TSCRIPT-090929-20098,OTTDART00000039854,ENSDART00000131344.2,
ZDB-TSCRIPT-090929-20099,OTTDART00000039855,ENSDART00000133853.2,
ZDB-TSCRIPT-090929-20100,OTTDART00000039856,ENSDART00000144857.3,
ZDB-TSCRIPT-090929-20101,OTTDART00000039857,ENSDART00000138984.2,
ZDB-TSCRIPT-090929-20106,OTTDART00000039862,ENSDART00000146381.3,
ZDB-TSCRIPT-090929-20126,OTTDART00000039885,ENSDART00000137051.2,
ZDB-TSCRIPT-090929-20131,OTTDART00000039890,ENSDART00000145961.3,
ZDB-TSCRIPT-090929-20132,OTTDART00000039891,ENSDART00000131801.2,
ZDB-TSCRIPT-090929-20157,OTTDART00000039916,ENSDART00000140559.2,
ZDB-TSCRIPT-090929-20189,OTTDART00000039948,ENSDART00000142303.2,
ZDB-TSCRIPT-090929-20198,OTTDART00000039958,ENSDART00000140497.2,
ZDB-TSCRIPT-090929-20199,OTTDART00000039959,ENSDART00000137545.3,
ZDB-TSCRIPT-090929-20204,OTTDART00000039971,ENSDART00000166332.2,
ZDB-TSCRIPT-141209-1398,OTTDART00000040052,ENSDART00000076491.5,
ZDB-TSCRIPT-141209-1403,OTTDART00000040069,ENSDART00000172532.2,
ZDB-TSCRIPT-090929-20262,OTTDART00000040079,ENSDART00000132537.2,
ZDB-TSCRIPT-090929-20265,OTTDART00000040082,ENSDART00000131799.2,
ZDB-TSCRIPT-090929-20293,OTTDART00000040112,ENSDART00000169644.2,
ZDB-TSCRIPT-090929-20294,OTTDART00000040113,ENSDART00000159906.2,
ZDB-TSCRIPT-090929-20312,OTTDART00000040134,ENSDART00000114947.4,
ZDB-TSCRIPT-090929-20338,OTTDART00000040160,ENSDART00000170240.2,
ZDB-TSCRIPT-090929-11305,OTTDART00000028864,ENSDART00000141511.2,
ZDB-TSCRIPT-090929-20395,OTTDART00000040219,ENSDART00000133331.2,
ZDB-TSCRIPT-090929-20423,OTTDART00000040258,ENSDART00000143717.2,
ZDB-TSCRIPT-090929-20424,OTTDART00000040259,ENSDART00000139714.2,
ZDB-TSCRIPT-090929-20427,OTTDART00000040262,ENSDART00000138926.2,
ZDB-TSCRIPT-090929-20434,OTTDART00000040269,ENSDART00000131470.2,
ZDB-TSCRIPT-090929-1133,OTTDART00000008034,ENSDART00000160035.2,
ZDB-TSCRIPT-090929-11327,OTTDART00000028889,ENSDART00000136114.2,
ZDB-TSCRIPT-090929-20456,OTTDART00000040301,ENSDART00000140757.2,
ZDB-TSCRIPT-090929-20457,OTTDART00000040302,ENSDART00000135141.2,
ZDB-TSCRIPT-090929-20465,OTTDART00000040312,ENSDART00000146158.2,
ZDB-TSCRIPT-090929-20468,OTTDART00000040315,ENSDART00000167330.2,
ZDB-TSCRIPT-090929-20489,OTTDART00000040336,ENSDART00000135747.2,
ZDB-TSCRIPT-090929-20492,OTTDART00000040339,ENSDART00000137750.2,
ZDB-TSCRIPT-090929-20495,OTTDART00000040342,ENSDART00000146693.2,
ZDB-TSCRIPT-090929-20535,OTTDART00000040382,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-20536,OTTDART00000040383,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-20537,OTTDART00000040384,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-20538,OTTDART00000040385,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-20547,OTTDART00000040394,ENSDART00000139985.2,
ZDB-TSCRIPT-090929-20555,OTTDART00000040403,ENSDART00000133503.2,
ZDB-TSCRIPT-090929-20562,OTTDART00000040411,ENSDART00000141381.2,
ZDB-TSCRIPT-090929-20565,OTTDART00000040414,ENSDART00000141228.2,
ZDB-TSCRIPT-090929-20571,OTTDART00000040420,ENSDART00000142697.3,
ZDB-TSCRIPT-090929-20572,OTTDART00000040421,ENSDART00000131956.3,
ZDB-TSCRIPT-090929-20573,OTTDART00000040422,ENSDART00000140150.2,
ZDB-TSCRIPT-090929-20574,OTTDART00000040423,ENSDART00000135289.3,
ZDB-TSCRIPT-090929-20575,OTTDART00000040424,ENSDART00000132630.3,
ZDB-TSCRIPT-090929-20576,OTTDART00000040425,ENSDART00000136309.3,
ZDB-TSCRIPT-090929-20577,OTTDART00000040426,ENSDART00000142597.3,
ZDB-TSCRIPT-090929-20578,OTTDART00000040427,ENSDART00000147176.2,
ZDB-TSCRIPT-090929-20580,OTTDART00000040429,ENSDART00000140319.3,
ZDB-TSCRIPT-090929-20581,OTTDART00000040430,ENSDART00000139861.3,
ZDB-TSCRIPT-090929-20582,OTTDART00000040431,ENSDART00000140524.2,
ZDB-TSCRIPT-090929-20583,OTTDART00000040432,ENSDART00000133815.3,
ZDB-TSCRIPT-090929-20584,OTTDART00000040433,ENSDART00000142540.3,
ZDB-TSCRIPT-090929-20585,OTTDART00000040434,ENSDART00000145985.3,
ZDB-TSCRIPT-090929-20586,OTTDART00000040435,ENSDART00000132764.2,
ZDB-TSCRIPT-090929-20589,OTTDART00000040438,ENSDART00000099619.6,
ZDB-TSCRIPT-090929-20590,OTTDART00000040439,ENSDART00000135088.3,
ZDB-TSCRIPT-090929-20592,OTTDART00000040441,ENSDART00000135922.2,
ZDB-TSCRIPT-090929-20602,OTTDART00000040452,ENSDART00000137626.2,
ZDB-TSCRIPT-090929-20603,OTTDART00000040453,ENSDART00000139007.2,
ZDB-TSCRIPT-090929-20605,OTTDART00000040455,ENSDART00000147243.2,
ZDB-TSCRIPT-090929-20606,OTTDART00000040456,ENSDART00000141602.2,
ZDB-TSCRIPT-090929-20608,OTTDART00000040458,ENSDART00000132231.2,
ZDB-TSCRIPT-090929-20609,OTTDART00000040459,ENSDART00000140235.2,
ZDB-TSCRIPT-090929-20610,OTTDART00000040460,ENSDART00000134629.2,
ZDB-TSCRIPT-090929-20616,OTTDART00000040468,ENSDART00000171638.2,
ZDB-TSCRIPT-090929-20624,OTTDART00000040476,ENSDART00000143937.2,
ZDB-TSCRIPT-090929-20628,OTTDART00000040482,ENSDART00000138008.2,
ZDB-TSCRIPT-090929-11346,OTTDART00000028912,ENSDART00000139628.2,
ZDB-TSCRIPT-090929-20647,OTTDART00000040517,ENSDART00000141768.3,
ZDB-TSCRIPT-090929-20648,OTTDART00000040518,ENSDART00000143051.3,
ZDB-TSCRIPT-090929-20649,OTTDART00000040519,ENSDART00000135518.3,
ZDB-TSCRIPT-090929-20650,OTTDART00000040520,ENSDART00000140090.2,
ZDB-TSCRIPT-090929-20673,OTTDART00000040548,ENSDART00000147047.2,
ZDB-TSCRIPT-090929-20679,OTTDART00000040554,ENSDART00000134838.2,
ZDB-TSCRIPT-090929-20689,OTTDART00000040564,ENSDART00000135615.3,
ZDB-TSCRIPT-090929-20690,OTTDART00000040565,ENSDART00000141291.2,
ZDB-TSCRIPT-090929-20708,OTTDART00000040583,ENSDART00000165485.2,
ZDB-TSCRIPT-090929-11353,OTTDART00000028919,ENSDART00000127831.3,
ZDB-TSCRIPT-110912-5,OTTDART00000040590,ENSDART00000150748.2,
ZDB-TSCRIPT-110912-303,OTTDART00000040591,ENSDART00000150782.2,
ZDB-TSCRIPT-090929-20749,OTTDART00000040634,ENSDART00000133732.2,
ZDB-TSCRIPT-090929-20751,OTTDART00000040636,ENSDART00000141295.2,
ZDB-TSCRIPT-090929-1136,OTTDART00000008041,ENSDART00000160594.2,
ZDB-TSCRIPT-090929-20797,OTTDART00000040685,ENSDART00000146998.2,
ZDB-TSCRIPT-090929-20809,OTTDART00000040698,ENSDART00000170106.2,
ZDB-TSCRIPT-090929-20819,OTTDART00000040711,ENSDART00000140692.2,
ZDB-TSCRIPT-090929-20833,OTTDART00000040726,ENSDART00000140529.2,
ZDB-TSCRIPT-090929-20842,OTTDART00000040737,ENSDART00000144593.2,
ZDB-TSCRIPT-090929-20847,OTTDART00000040742,ENSDART00000147560.2,
ZDB-TSCRIPT-090929-20864,OTTDART00000040759,ENSDART00000161884.2,
ZDB-TSCRIPT-090929-20865,OTTDART00000040760,ENSDART00000136464.2,
ZDB-TSCRIPT-090929-20866,OTTDART00000040761,ENSDART00000137831.2,
ZDB-TSCRIPT-090929-20873,OTTDART00000040768,ENSDART00000147685.2,
ZDB-TSCRIPT-090929-20875,OTTDART00000040770,ENSDART00000144783.2,
ZDB-TSCRIPT-090929-20910,OTTDART00000040806,ENSDART00000132444.2,
ZDB-TSCRIPT-090929-20918,OTTDART00000040814,ENSDART00000139872.3,
ZDB-TSCRIPT-090929-20919,OTTDART00000040815,ENSDART00000138096.2,
ZDB-TSCRIPT-090929-20933,OTTDART00000040829,ENSDART00000148221.3,
ZDB-TSCRIPT-090929-20934,OTTDART00000040830,ENSDART00000144134.3,
ZDB-TSCRIPT-090929-20935,OTTDART00000040831,ENSDART00000139322.2,
ZDB-TSCRIPT-090929-11388,OTTDART00000028954,ENSDART00000141832.2,
ZDB-TSCRIPT-090929-11389,OTTDART00000028955,ENSDART00000138146.2,
ZDB-TSCRIPT-090929-11395,OTTDART00000028961,ENSDART00000122249.3,
ZDB-TSCRIPT-090929-20955,OTTDART00000040857,ENSDART00000147765.2,
ZDB-TSCRIPT-090929-20972,OTTDART00000040874,ENSDART00000142094.2,
ZDB-TSCRIPT-090929-20981,OTTDART00000040886,ENSDART00000145901.2,
ZDB-TSCRIPT-090929-20982,OTTDART00000040887,ENSDART00000146809.2,
ZDB-TSCRIPT-090929-20983,OTTDART00000040888,ENSDART00000172079.2,
ZDB-TSCRIPT-090929-20984,OTTDART00000040889,ENSDART00000146064.2,
ZDB-TSCRIPT-090929-20994,OTTDART00000040900,ENSDART00000146051.2,
ZDB-TSCRIPT-090929-20998,OTTDART00000040906,ENSDART00000147293.2,
ZDB-TSCRIPT-090929-21002,OTTDART00000040910,ENSDART00000142535.2,
ZDB-TSCRIPT-090929-21016,OTTDART00000040924,ENSDART00000140898.2,
ZDB-TSCRIPT-090929-21021,OTTDART00000040929,ENSDART00000139773.2,
ZDB-TSCRIPT-090929-21022,OTTDART00000040930,ENSDART00000134676.2,
ZDB-TSCRIPT-090929-21060,OTTDART00000040968,ENSDART00000132385.2,
ZDB-TSCRIPT-090929-21067,OTTDART00000040975,ENSDART00000135994.2,
ZDB-TSCRIPT-090929-21078,OTTDART00000040986,ENSDART00000137332.3,
ZDB-TSCRIPT-090929-21079,OTTDART00000040987,ENSDART00000143337.3,
ZDB-TSCRIPT-090929-21080,OTTDART00000040988,ENSDART00000135193.3,
ZDB-TSCRIPT-090929-21081,OTTDART00000040989,ENSDART00000143790.3,
ZDB-TSCRIPT-090929-21082,OTTDART00000040990,ENSDART00000138723.3,
ZDB-TSCRIPT-090929-21083,OTTDART00000040991,ENSDART00000136696.2,
ZDB-TSCRIPT-090929-21084,OTTDART00000040992,ENSDART00000147773.3,
ZDB-TSCRIPT-090929-21088,OTTDART00000040996,ENSDART00000136680.2,
ZDB-TSCRIPT-090929-21090,OTTDART00000040998,ENSDART00000146095.2,
ZDB-TSCRIPT-090929-21091,OTTDART00000040999,ENSDART00000140507.2,
ZDB-TSCRIPT-090929-21092,OTTDART00000041000,ENSDART00000143008.2,
ZDB-TSCRIPT-090929-21098,OTTDART00000041008,ENSDART00000148229.2,
ZDB-TSCRIPT-090929-21099,OTTDART00000041009,ENSDART00000139915.2,
ZDB-TSCRIPT-090929-21110,OTTDART00000041020,ENSDART00000139807.2,
ZDB-TSCRIPT-090929-21112,OTTDART00000041022,ENSDART00000133377.3,
ZDB-TSCRIPT-110325-46,OTTDART00000041034,ENSDART00000149401.3,
ZDB-TSCRIPT-090929-21125,OTTDART00000041037,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-21161,OTTDART00000041078,ENSDART00000135926.2,
ZDB-TSCRIPT-090929-21223,OTTDART00000041145,ENSDART00000149792.2,
ZDB-TSCRIPT-090929-21235,OTTDART00000041161,ENSDART00000146020.2,
ZDB-TSCRIPT-090929-21265,OTTDART00000041194,ENSDART00000135263.2,
ZDB-TSCRIPT-090929-21271,OTTDART00000041200,ENSDART00000134641.2,
ZDB-TSCRIPT-090929-21272,OTTDART00000041201,ENSDART00000134641.2,
ZDB-TSCRIPT-090929-21276,OTTDART00000041207,ENSDART00000135012.3,
ZDB-TSCRIPT-090929-21340,OTTDART00000041274,ENSDART00000136508.3,
ZDB-TSCRIPT-090929-21342,OTTDART00000041276,ENSDART00000142521.2,
ZDB-TSCRIPT-090929-21352,OTTDART00000041286,ENSDART00000162996.2,
ZDB-TSCRIPT-090929-21369,OTTDART00000041310,ENSDART00000141773.2,
ZDB-TSCRIPT-090929-21399,OTTDART00000041343,ENSDART00000137827.2,
ZDB-TSCRIPT-090929-21408,OTTDART00000041352,ENSDART00000133392.3,
ZDB-TSCRIPT-090929-21411,OTTDART00000041356,ENSDART00000135780.2,
ZDB-TSCRIPT-110912-600,OTTDART00000041357,ENSDART00000150471.2,
ZDB-TSCRIPT-090929-22545,OTTDART00000041370,ENSDART00000144777.2,
ZDB-TSCRIPT-090929-21426,OTTDART00000041373,ENSDART00000132566.2,
ZDB-TSCRIPT-090929-21452,OTTDART00000041399,ENSDART00000136481.2,
ZDB-TSCRIPT-090929-21480,OTTDART00000041428,ENSDART00000145224.2,
ZDB-TSCRIPT-090929-21486,OTTDART00000041434,ENSDART00000135644.2,
ZDB-TSCRIPT-090929-21497,OTTDART00000041445,ENSDART00000146718.2,
ZDB-TSCRIPT-090929-21505,OTTDART00000041454,ENSDART00000142880.2,
ZDB-TSCRIPT-090929-21508,OTTDART00000041457,ENSDART00000134291.2,
ZDB-TSCRIPT-090929-21532,OTTDART00000041485,ENSDART00000146739.3,
ZDB-TSCRIPT-090929-21554,OTTDART00000041696,ENSDART00000146739.3,
ZDB-TSCRIPT-090929-21559,OTTDART00000041701,ENSDART00000171614.2,
ZDB-TSCRIPT-090929-21565,OTTDART00000041707,ENSDART00000162879.2,
ZDB-TSCRIPT-090929-21576,OTTDART00000041718,ENSDART00000143303.4,
ZDB-TSCRIPT-090929-21577,OTTDART00000041719,ENSDART00000142561.2,
ZDB-TSCRIPT-090929-21586,OTTDART00000041729,ENSDART00000143559.2,
ZDB-TSCRIPT-090929-21606,OTTDART00000041750,ENSDART00000170396.2,
ZDB-TSCRIPT-090929-21616,OTTDART00000041761,ENSDART00000147025.2,
ZDB-TSCRIPT-090929-21617,OTTDART00000041762,ENSDART00000134618.2,
ZDB-TSCRIPT-090929-21633,OTTDART00000041784,ENSDART00000134609.2,
ZDB-TSCRIPT-090929-21640,OTTDART00000041792,ENSDART00000142570.2,
ZDB-TSCRIPT-090929-21641,OTTDART00000041793,ENSDART00000191858.1,
ZDB-TSCRIPT-090929-21642,OTTDART00000041794,ENSDART00000190049.1,
ZDB-TSCRIPT-090929-21643,OTTDART00000041795,ENSDART00000184750.1,
ZDB-TSCRIPT-090929-21645,OTTDART00000041797,ENSDART00000184866.1,
ZDB-TSCRIPT-090929-21646,OTTDART00000041798,ENSDART00000181354.1,
ZDB-TSCRIPT-090929-21647,OTTDART00000041799,ENSDART00000192082.1,
ZDB-TSCRIPT-090929-21648,OTTDART00000041800,ENSDART00000185122.1,
ZDB-TSCRIPT-090929-21649,OTTDART00000041801,ENSDART00000187225.1,
ZDB-TSCRIPT-090929-21650,OTTDART00000041802,ENSDART00000185299.1,
ZDB-TSCRIPT-090929-21651,OTTDART00000041803,ENSDART00000145941.2,
ZDB-TSCRIPT-090929-21652,OTTDART00000041804,ENSDART00000133226.2,
ZDB-TSCRIPT-090929-21653,OTTDART00000041805,ENSDART00000136206.3,
ZDB-TSCRIPT-090929-21694,OTTDART00000041880,ENSDART00000144085.3,
ZDB-TSCRIPT-090929-21699,OTTDART00000041904,ENSDART00000132877.2,
ZDB-TSCRIPT-110912-601,OTTDART00000041911,ENSDART00000169082.2,
ZDB-TSCRIPT-110912-7,OTTDART00000041912,ENSDART00000164341.2,
ZDB-TSCRIPT-110912-304,OTTDART00000041928,ENSDART00000164527.2,
ZDB-TSCRIPT-110912-305,OTTDART00000041931,ENSDART00000150881.3,
ZDB-TSCRIPT-110912-603,OTTDART00000041932,ENSDART00000150431.2,
ZDB-TSCRIPT-110912-8,OTTDART00000041933,ENSDART00000150442.2,
ZDB-TSCRIPT-110912-306,OTTDART00000041934,ENSDART00000135767.3,
ZDB-TSCRIPT-090929-21727,OTTDART00000041955,ENSDART00000142045.2,
ZDB-TSCRIPT-090929-21752,OTTDART00000041983,ENSDART00000139699.2,
ZDB-TSCRIPT-090929-21761,OTTDART00000041992,ENSDART00000133496.2,
ZDB-TSCRIPT-110912-9,OTTDART00000042040,ENSDART00000160022.2,
ZDB-TSCRIPT-090929-21796,OTTDART00000042045,ENSDART00000138415.2,
ZDB-TSCRIPT-090929-21801,OTTDART00000042050,ENSDART00000146572.2,
ZDB-TSCRIPT-090929-21811,OTTDART00000042060,ENSDART00000146709.2,
ZDB-TSCRIPT-090929-21838,OTTDART00000042092,ENSDART00000147957.2,
ZDB-TSCRIPT-090929-21844,OTTDART00000042098,ENSDART00000139729.2,
ZDB-TSCRIPT-090929-21845,OTTDART00000042099,ENSDART00000141391.3,
ZDB-TSCRIPT-090929-21871,OTTDART00000042130,ENSDART00000139406.2,
ZDB-TSCRIPT-090929-21872,OTTDART00000042131,ENSDART00000145928.2,
ZDB-TSCRIPT-090929-21878,OTTDART00000042137,ENSDART00000144979.2,
ZDB-TSCRIPT-090929-21881,OTTDART00000042141,ENSDART00000144362.2,
ZDB-TSCRIPT-090929-21885,OTTDART00000042146,ENSDART00000143985.2,
ZDB-TSCRIPT-090929-21890,OTTDART00000042151,ENSDART00000132842.2,
ZDB-TSCRIPT-090929-21891,OTTDART00000042152,ENSDART00000135173.2,
ZDB-TSCRIPT-090929-21894,OTTDART00000042155,ENSDART00000142599.2,
ZDB-TSCRIPT-090929-21895,OTTDART00000042156,ENSDART00000136012.3,
ZDB-TSCRIPT-090929-21896,OTTDART00000042157,ENSDART00000138704.2,
ZDB-TSCRIPT-090929-21915,OTTDART00000042176,ENSDART00000141880.3,
ZDB-TSCRIPT-090929-21922,OTTDART00000042184,ENSDART00000142318.2,
ZDB-TSCRIPT-090929-21924,OTTDART00000042186,ENSDART00000140812.2,
ZDB-TSCRIPT-090929-21925,OTTDART00000042187,ENSDART00000143035.2,
ZDB-TSCRIPT-090929-21929,OTTDART00000042191,ENSDART00000143330.2,
ZDB-TSCRIPT-090929-21936,OTTDART00000042198,ENSDART00000143106.2,
ZDB-TSCRIPT-090929-21938,OTTDART00000042201,ENSDART00000147369.2,
ZDB-TSCRIPT-090929-21942,OTTDART00000042205,ENSDART00000141870.2,
ZDB-TSCRIPT-090929-21943,OTTDART00000042207,ENSDART00000140956.2,
ZDB-TSCRIPT-090929-21945,OTTDART00000042209,ENSDART00000143551.2,
ZDB-TSCRIPT-090929-21952,OTTDART00000042216,ENSDART00000135976.2,
ZDB-TSCRIPT-090929-21976,OTTDART00000042242,ENSDART00000166830.2,
ZDB-TSCRIPT-090929-21984,OTTDART00000042250,ENSDART00000138731.2,
ZDB-TSCRIPT-090929-21986,OTTDART00000042252,ENSDART00000138370.2,
ZDB-TSCRIPT-090929-22000,OTTDART00000042266,ENSDART00000137318.2,
ZDB-TSCRIPT-090929-22001,OTTDART00000042267,ENSDART00000141772.2,
ZDB-TSCRIPT-090929-22002,OTTDART00000042268,ENSDART00000138248.2,
ZDB-TSCRIPT-090929-22006,OTTDART00000042272,ENSDART00000128528.4,
ZDB-TSCRIPT-090929-22012,OTTDART00000042278,ENSDART00000164455.2,
ZDB-TSCRIPT-090929-22027,OTTDART00000042294,ENSDART00000134406.2,
ZDB-TSCRIPT-090929-22030,OTTDART00000042297,ENSDART00000132001.2,
ZDB-TSCRIPT-090929-22051,OTTDART00000042318,ENSDART00000137682.2,
ZDB-TSCRIPT-090929-22052,OTTDART00000042319,ENSDART00000143420.2,
ZDB-TSCRIPT-090929-22053,OTTDART00000042320,ENSDART00000146922.2,
ZDB-TSCRIPT-110325-48,OTTDART00000042321,ENSDART00000150196.2,
ZDB-TSCRIPT-090929-22079,OTTDART00000042348,ENSDART00000143288.2,
ZDB-TSCRIPT-090929-22089,OTTDART00000042363,ENSDART00000135009.2,
ZDB-TSCRIPT-090929-22102,OTTDART00000042378,ENSDART00000143119.2,
ZDB-TSCRIPT-090929-22103,OTTDART00000042379,ENSDART00000147434.2,
ZDB-TSCRIPT-090929-22116,OTTDART00000042392,ENSDART00000138616.2,
ZDB-TSCRIPT-090929-22122,OTTDART00000042398,ENSDART00000144602.2,
ZDB-TSCRIPT-090929-22131,OTTDART00000042407,ENSDART00000054479.7,
ZDB-TSCRIPT-090929-22152,OTTDART00000042430,ENSDART00000132424.2,
ZDB-TSCRIPT-090929-22160,OTTDART00000042438,ENSDART00000132769.2,
ZDB-TSCRIPT-090929-22161,OTTDART00000042439,ENSDART00000136204.2,
ZDB-TSCRIPT-090929-22171,OTTDART00000042455,ENSDART00000133685.2,
ZDB-TSCRIPT-090929-22177,OTTDART00000042461,ENSDART00000140485.2,
ZDB-TSCRIPT-090929-22187,OTTDART00000042472,ENSDART00000133107.2,
ZDB-TSCRIPT-090929-22190,OTTDART00000042479,ENSDART00000137294.2,
ZDB-TSCRIPT-090929-22195,OTTDART00000042486,ENSDART00000142479.2,
ZDB-TSCRIPT-090929-22204,OTTDART00000042497,ENSDART00000131416.2,
ZDB-TSCRIPT-090929-22205,OTTDART00000042498,ENSDART00000139328.2,
ZDB-TSCRIPT-090929-22206,OTTDART00000042499,ENSDART00000144072.4,
ZDB-TSCRIPT-090929-22207,OTTDART00000042500,ENSDART00000140493.3,
ZDB-TSCRIPT-090929-22219,OTTDART00000042512,ENSDART00000143707.2,
ZDB-TSCRIPT-090929-22225,OTTDART00000042519,ENSDART00000143339.3,
ZDB-TSCRIPT-090929-22226,OTTDART00000042520,ENSDART00000138142.2,
ZDB-TSCRIPT-090929-22835,OTTDART00000042526,ENSDART00000136246.2,
ZDB-TSCRIPT-090929-22233,OTTDART00000042527,ENSDART00000136652.2,
ZDB-TSCRIPT-090929-22252,OTTDART00000042549,ENSDART00000133177.2,
ZDB-TSCRIPT-090929-22255,OTTDART00000042552,ENSDART00000139280.2,
ZDB-TSCRIPT-090929-22256,OTTDART00000042553,ENSDART00000139910.2,
ZDB-TSCRIPT-090929-22260,OTTDART00000042557,ENSDART00000135622.2,
ZDB-TSCRIPT-131113-1647,OTTDART00000042560,ENSDART00000155457.3,
ZDB-TSCRIPT-090929-22266,OTTDART00000042564,ENSDART00000143362.3,
ZDB-TSCRIPT-090929-22267,OTTDART00000042565,ENSDART00000141370.2,
ZDB-TSCRIPT-090929-22269,OTTDART00000042567,ENSDART00000139908.3,
ZDB-TSCRIPT-090929-22270,OTTDART00000042568,ENSDART00000140589.2,
ZDB-TSCRIPT-090929-22271,OTTDART00000042569,ENSDART00000136086.2,
ZDB-TSCRIPT-090929-22273,OTTDART00000042571,ENSDART00000133736.2,
ZDB-TSCRIPT-090929-22274,OTTDART00000042572,ENSDART00000135033.2,
ZDB-TSCRIPT-090929-22282,OTTDART00000042582,ENSDART00000139006.2,
ZDB-TSCRIPT-090929-22296,OTTDART00000042596,ENSDART00000140291.3,
ZDB-TSCRIPT-090929-22297,OTTDART00000042597,ENSDART00000145296.2,
ZDB-TSCRIPT-090929-22298,OTTDART00000042598,ENSDART00000141585.3,
ZDB-TSCRIPT-090929-22299,OTTDART00000042599,ENSDART00000142658.2,
ZDB-TSCRIPT-090929-22302,OTTDART00000042602,ENSDART00000147248.2,
ZDB-TSCRIPT-090929-22306,OTTDART00000042606,ENSDART00000133001.3,
ZDB-TSCRIPT-090929-22307,OTTDART00000042607,ENSDART00000138024.2,
ZDB-TSCRIPT-090929-22308,OTTDART00000042609,ENSDART00000133419.2,
ZDB-TSCRIPT-090929-22309,OTTDART00000042610,ENSDART00000133826.2,
ZDB-TSCRIPT-090929-22317,OTTDART00000042618,ENSDART00000132640.2,
ZDB-TSCRIPT-090929-22323,OTTDART00000042624,ENSDART00000132981.2,
ZDB-TSCRIPT-090929-22334,OTTDART00000042636,ENSDART00000138156.2,
ZDB-TSCRIPT-090929-22336,OTTDART00000042640,ENSDART00000164117.2,
ZDB-TSCRIPT-090929-22338,OTTDART00000042642,ENSDART00000134843.2,
