FishmiR Gene ID,Other Databases
"FMDANRERM0122,FMDANRERM0372",ZDB-MIRNAG-150107-8
"FMDANRERM0123,FMDANRERM0373",ZDB-MIRNAG-041217-8
"FMDANRERM0125,FMDANRERM0374",ZDB-MIRNAG-041228-5
"FMDANRERM0127,FMDANRERM0375",ZDB-MIRNAG-041228-12
"FMDANRERM0128,FMDANRERM0376",ZDB-MIRNAG-091023-1
"FMDANRERM0129,FMDANRERM0378",ZDB-MIRNAG-091023-8
"FMDANRERM0131,FMDANRERM0379",ZDB-MIRNAG-091023-9
"FMDANRERM0132,FMDANRERM0380",ZDB-MIRNAG-091023-10
"FMDANRERM0133,FMDANRERM0381",ZDB-MIRNAG-081208-25
"FMDANRERM0133,FMDANRERM0382",ZDB-MIRNAG-041228-1
"FMDANRERM0135,FMDANRERM0384",ZDB-MIRNAG-091023-12
"FMDANRERM0137,FMDANRERM0383",ZDB-MIRNAG-081208-20
"FMDANRERM0137,FMDANRERM0383",ZDB-MIRNAG-081208-21
"FMDANRERM0137,FMDANRERM0386",ZDB-MIRNAG-081208-22
"FMDANRERM0137,FMDANRERM0388",ZDB-MIRNAG-150108-1
"FMDANRERM0124,FMDANRERM0391",ZDB-MIRNAG-050103-8
"FMDANRERM0124,FMDANRERM0392",ZDB-MIRNAG-081209-2
"FMDANRERM0139,FMDANRERM0393",ZDB-MIRNAG-041217-16
"FMDANRERM0140,FMDANRERM0394",ZDB-MIRNAG-041217-17
"FMDANRERM0141,FMDANRERM0395",ZDB-MIRNAG-091026-2
"FMDANRERM0142,FMDANRERM0396",ZDB-MIRNAG-150108-3
"FMDANRERM0143,FMDANRERM0397",ZDB-MIRNAG-041228-10
"FMDANRERM0144,FMDANRERM0398",ZDB-MIRNAG-050103-9
"FMDANRERM0145,FMDANRERM0398",ZDB-MIRNAG-141230-3
"FMDANRERM0146,FMDANRERM0399",ZDB-MIRNAG-081209-4
"FMDANRERM0147,FMDANRERM0400",ZDB-MIRNAG-050103-10
"FMDANRERM0148,FMDANRERM0400",ZDB-MIRNAG-081209-5
"FMDANRERM0149,FMDANRERM0400",ZDB-MIRNAG-081209-6
"FMDANRERM0150,FMDANRERM0401",ZDB-MIRNAG-081209-7
"FMDANRERM0151,FMDANRERM0401",ZDB-MIRNAG-141230-4
"FMDANRERM0152,FMDANRERM0402",ZDB-MIRNAG-050103-11
"FMDANRERM0153,FMDANRERM0402",ZDB-MIRNAG-081209-8
"FMDANRERM0154,FMDANRERM0402",ZDB-MIRNAG-081209-9
"FMDANRERM0155,FMDANRERM0402",ZDB-MIRNAG-081209-10
"FMDANRERM0156,FMDANRERM0402",ZDB-MIRNAG-141230-5
"FMDANRERM0157,FMDANRERM0403",ZDB-MIRNAG-041228-18
"FMDANRERM0158,FMDANRERM0404",ZDB-MIRNAG-050103-12
"FMDANRERM0158,FMDANRERM0405",ZDB-MIRNAG-081210-4
"FMDANRERM0158,FMDANRERM0406",ZDB-MIRNAG-081210-5
"FMDANRERM0159,FMDANRERM0407",ZDB-MIRNAG-081210-6
"FMDANRERM0160,FMDANRERM0408",ZDB-MIRNAG-050103-13
"FMDANRERM0161,FMDANRERM0409",ZDB-MIRNAG-081210-8
"FMDANRERM0162,FMDANRERM0410",ZDB-MIRNAG-081210-9
"FMDANRERM0163,FMDANRERM0411",ZDB-MIRNAG-081210-10
"FMDANRERM0164,FMDANRERM0412",ZDB-MIRNAG-081210-11
"FMDANRERM0165,FMDANRERM0413",ZDB-MIRNAG-050103-14
"FMDANRERM0166,FMDANRERM0413",ZDB-MIRNAG-220207-2
"FMDANRERM0167,FMDANRERM0413",ZDB-MIRNAG-081210-12
"FMDANRERM0168,FMDANRERM0414",ZDB-MIRNAG-081210-14
"FMDANRERM0169,FMDANRERM0414",ZDB-MIRNAG-081210-13
"FMDANRERM0170,FMDANRERM0414",ZDB-MIRNAG-081210-15
"FMDANRERM0171,FMDANRERM0415",ZDB-MIRNAG-090929-196
"FMDANRERM0172,FMDANRERM0416",ZDB-MIRNAG-090929-198
"FMDANRERM0173,FMDANRERM0417",ZDB-MIRNAG-090929-199
"FMDANRERM0174,FMDANRERM0418",ZDB-MIRNAG-081210-16
"FMDANRERM0175,FMDANRERM0419",ZDB-MIRNAG-081210-17
"FMDANRERM0176,FMDANRERM0420",ZDB-MIRNAG-081210-18
"FMDANRERM0176,FMDANRERM0421",ZDB-MIRNAG-220204-1
"FMDANRERM0177,FMDANRERM0422",ZDB-MIRNAG-081210-19
"FMDANRERM0178,FMDANRERM0423",ZDB-MIRNAG-220207-1
"FMDANRERM0178,FMDANRERM0423",ZDB-MIRNAG-090929-100
"FMDANRERM0179,FMDANRERM0424",ZDB-MIRNAG-150109-9
"FMDANRERM0180,FMDANRERM0425",ZDB-MIRNAG-090929-295
"FMDANRERM0181,FMDANRERM0426",ZDB-MIRNAG-090929-200
"FMDANRERM0182,FMDANRERM0426",ZDB-MIRNAG-150108-4
"FMDANRERM0183,FMDANRERM0426",ZDB-MIRNAG-090929-201
"FMDANRERM0184,FMDANRERM0427",ZDB-MIRNAG-041217-1
"FMDANRERM0185,FMDANRERM0428",ZDB-MIRNAG-071012-2
"FMDANRERM0186,FMDANRERM0429",ZDB-MIRNAG-071012-3
"FMDANRERM0188,FMDANRERM0430",ZDB-MIRNAG-090929-204
"FMDANRERM0189,FMDANRERM0431",ZDB-MIRNAG-090929-206
"FMDANRERM0189,FMDANRERM0431",ZDB-MIRNAG-090929-207
"FMDANRERM0190,FMDANRERM0432",ZDB-MIRNAG-071107-2
"FMDANRERM0190,FMDANRERM0432",ZDB-MIRNAG-071107-1
"FMDANRERM0191,FMDANRERM0434",ZDB-MIRNAG-090929-310
"FMDANRERM0192,FMDANRERM0436",ZDB-MIRNAG-091023-5
"FMDANRERM0194,FMDANRERM0437",ZDB-MIRNAG-081204-1
"FMDANRERM0195,FMDANRERM0438",ZDB-MIRNAG-090929-212
"FMDANRERM0196,FMDANRERM0439",ZDB-MIRNAG-090929-213
"FMDANRERM0197,FMDANRERM0439",ZDB-MIRNAG-091023-15
"FMDANRERM0198,FMDANRERM0440",ZDB-MIRNAG-090929-282
"FMDANRERM0199,FMDANRERM0441",ZDB-MIRNAG-090929-283
"FMDANRERM0200,FMDANRERM0442",ZDB-MIRNAG-090929-284
"FMDANRERM0201,FMDANRERM0443",ZDB-MIRNAG-090929-285
"FMDANRERM0202,FMDANRERM0444",ZDB-MIRNAG-090929-286
"FMDANRERM0203,FMDANRERM0445",ZDB-MIRNAG-090929-287
"FMDANRERM0205,FMDANRERM0446",ZDB-MIRNAG-090929-290
"FMDANRERM0206,FMDANRERM0447",ZDB-MIRNAG-090929-300
"FMDANRERM0206,FMDANRERM0447",ZDB-MIRNAG-131218-2
"FMDANRERM0207,FMDANRERM0449",ZDB-MIRNAG-150109-1
"FMDANRERM0208,FMDANRERM0450",ZDB-MIRNAG-150109-2
"FMDANRERM0209,FMDANRERM0452",ZDB-MIRNAG-120906-3
"FMDANRERM0210,FMDANRERM0453",ZDB-MIRNAG-120906-4
"FMDANRERM0211,FMDANRERM0454",ZDB-MIRNAG-120906-5
"FMDANRERM0212,FMDANRERM0455",ZDB-MIRNAG-120906-6
"FMDANRERM0213,FMDANRERM0456",ZDB-MIRNAG-090929-299
"FMDANRERM0214,FMDANRERM0456",ZDB-MIRNAG-150108-8
"FMDANRERM0215,FMDANRERM0457",ZDB-MIRNAG-090929-301
"FMDANRERM0216,FMDANRERM0458",ZDB-MIRNAG-090929-302
"FMDANRERM0216,FMDANRERM0458",ZDB-MIRNAG-150108-9
"FMDANRERM0217,FMDANRERM0459",ZDB-MIRNAG-090929-303
"FMDANRERM0218,FMDANRERM0460",ZDB-MIRNAG-090929-304
"FMDANRERM0219,FMDANRERM0461",ZDB-MIRNAG-090929-305
"FMDANRERM0219,FMDANRERM0462",ZDB-MIRNAG-150108-10
"FMDANRERM0220,FMDANRERM0463",ZDB-MIRNAG-090929-306
"FMDANRERM0221,FMDANRERM0463",ZDB-MIRNAG-150108-11
"FMDANRERM0222,FMDANRERM0465",ZDB-MIRNAG-090929-309
"FMDANRERM0223,FMDANRERM0468",ZDB-MIRNAG-090929-316
"FMDANRERM0224,FMDANRERM0469",ZDB-MIRNAG-090929-317
"FMDANRERM0226,FMDANRERM0470",ZDB-MIRNAG-150109-12
"FMDANRERM0227,FMDANRERM0471",ZDB-MIRNAG-150109-10
"FMDANRERM0228,FMDANRERM0472",ZDB-MIRNAG-150109-13
"FMDANRERM0229,FMDANRERM0473",ZDB-MIRNAG-071204-1
"FMDANRERM0229,FMDANRERM0474",ZDB-MIRNAG-081205-7
"FMDANRERM0229,FMDANRERM0475",ZDB-MIRNAG-081208-1
"FMDANRERM0229,FMDANRERM0476",ZDB-MIRNAG-141229-3
"FMDANRERM0230,FMDANRERM0477",ZDB-MIRNAG-081208-4
"FMDANRERM0235,FMDANRERM0478",ZDB-MIRNAG-070720-1
"FMDANRERM0235,FMDANRERM0478",ZDB-MIRNAG-081013-1
"FMDANRERM0231,FMDANRERM0479",ZDB-MIRNAG-090929-101
"FMDANRERM0232,FMDANRERM0479",ZDB-MIRNAG-090929-102
"FMDANRERM0233,FMDANRERM0480",ZDB-MIRNAG-081203-9
"FMDANRERM0234,FMDANRERM0481",ZDB-MIRNAG-050609-34
"FMDANRERM0235,FMDANRERM0478",ZDB-MIRNAG-081013-2
"FMDANRERM0235,FMDANRERM0482",ZDB-MIRNAG-081013-3
"FMDANRERM0235,FMDANRERM0478",ZDB-MIRNAG-070720-2
"FMDANRERM0235,FMDANRERM0478",ZDB-MIRNAG-081013-4
"FMDANRERM0236,FMDANRERM0483",ZDB-MIRNAG-070111-4
"FMDANRERM0235,FMDANRERM0484",ZDB-MIRNAG-081013-5
"FMDANRERM0237,FMDANRERM0485",ZDB-MIRNAG-081205-2
"FMDANRERM0238,FMDANRERM0486",ZDB-MIRNAG-081203-10
FMDANRERM0492,ZDB-MIRNAG-090929-33
FMDANRERM0492,ZDB-MIRNAG-090929-250
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-236
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-246
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-247
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-244
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-245
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-248
FMDANRERM0488,ZDB-MIRNAG-090929-256
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-243
FMDANRERM0488,ZDB-MIRNAG-090929-257
"FMDANRERM0488,FMDANRERM0492",ZDB-MIRNAG-090929-249
FMDANRERM0488,ZDB-MIRNAG-090929-258
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-090929-234
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-090929-235
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-050608-6
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-090929-238
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-090929-239
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-090929-240
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-090929-241
"FMDANRERM0489,FMDANRERM0492",ZDB-MIRNAG-090929-242
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-261
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-263
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-269
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-274
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-270
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-277
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-271
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-276
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-272
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-260
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-264
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-275
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-273
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-050608-7
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-34
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-262
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-267
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-265
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-268
"FMDANRERM0490,FMDANRERM0493",ZDB-MIRNAG-090929-259
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-050608-8
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-221
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-222
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-223
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-224
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-225
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-226
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-227
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-228
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-229
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-214
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-230
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-215
"FMDANRERM0491,FMDANRERM0494",ZDB-MIRNAG-090929-216
