NOMENCLATURE,NAME,size bp,genbank #,old name,vector,PCR,VL #
NR1F2,RORbeta,740,DQ017626,ROR béta A (VL32),pBS-KS,PU-RP/T3,VL32
NR1F3-A,RORgamma-A,,DQ017627,ROR X (VL75),pBS-SK+,PU-RP/T3,VL75
NR1F3-B,RORgamma-B,950,DQ017628,ROR gamma (VL33),pBS-KS,PU-RP/T7,VL33
NR1H3,LXRalpha,,BC092160,LXR alpha (VL52),pBS-KS,PU-RP/T7,VL52
NR1H4,FXRalpha,584,BC076220,FXR alpha (VL53),pBS-SK+,PU-RP/T7,VL53
NR1H5,FXRbeta,350,DQ017614,FXR Béta (VL111),pBS-SK+,PU-RP/T7,VL111
NR1I1-A,VDR-A,966,AF164512,VDR-A (VL34),pCRII-Topo,AGP214/PU-T7,VL34
NR1I1-B,VDR-B,,DQ017633,VDR-B (VL73),pBS-SK+,PU-RP/T7,VL73
NR1I2,PXR,1008,AF502918,PXR (VL43),pBS-KS,PU-RP/T7,VL43
NR2A1,HNF4alpha,,AF473824,HNF4 alpha (VL35),pCRII-Topo,AGP214/PU-T7,VL35
NR2A3,HNF4beta,857,BC065657,HNF4 béta ? (VL85),pBK-CMV ,ABJ249/250-T7,VL85
NR2A2,HNF4gamma,407,DQ017616,HNF4 gamma (VL55),pBS-KS,PU-RP/T7,VL55
NR2B1-A,RXRalpha-A,1333/FL,NM_131153,RXR alpha  (VL44),pBS-SK+,PU-RP/T3,VL44
NR2B1-B,RXRalpha-B,,DQ017629,RXR alpha B (VL98),pBS-KS,PU-RP/T3,VL98
NR2B2-A,RXRbeta-A,1000,U29942,RXR béta A (VL5),pBS-KS,PU-RP/T3,VL05
NR2B2-B,RXRbeta-B,1000,U29941,RXR béta B (VL6),pBS-KS,PU-RP/T3,VL06
NR2B3,RXRgamma,1000,U29940,RXR gamma (VL7),pBS-KS,PU-RP/T3,VL07
NR2C1,TR2,1000,DQ017631,TR2 (VL28),pBS-SK+,PU-RP/T3,VL28
NR2C2,TR4,1000,DQ017625,TR4 (VL27),pBS-SK+,PU-RP/T3,VL27
NR2D1,TLL,325,BC077146,TLL (VL57),pBS-KS,PU-RP/T7,VL57
NR2D2,PNR,519,BC085568,PNR (VL56),pBS-SK+,PU-RP/T7,VL56
NR2F1-A,COUPTFalpha-A,586,BC066671,SVP44 (VL42),pCRII-Topo,AGP214/PU-T7,VL42
NR2F1-B,COUPTFalpha-B,1000,BC056748,SVP40 (VL26),pBS-KS,PU-RP/T3,VL26
NR2F2,COUPTFbeta,1072,NM_131183,COUPTFX (VL70),pBS-SK+,PU-RP/T7,VL70
NR2F5,COUTFgamma,613,NM_131186,SVP46,pBS-KS,PU-RP/T7,VL36
NR2F6-A,EAR2-A,654,BC065330,EAR2 (VL37),pBS-KS,PU-RP/T7,VL37
NR2F6-B,EAR2-B,570,BC065332,EAR2-B (VL71),pCRII-Topo,AGP214/PU-T7,VL71
NR3A1,ERalpha,616,NM_152959,ER alpha  (VL12),pBS-KS,PU-RP/T3,VL12
NR3A2-A,ERbeta-A,747,AJ414566,ER béta A  (VL13),pBS-KS,PU-RP/T3,VL13
NR3A2-B,ERbeta-B,645,NM_180966,ER Béta B (VL59),pBS-KS,PU-RP/T7,VL59
NR3B1,ERRalpha,1042,AY556395,ERR alpha (VL14),pBS-KS,PU-RP/T3,VL14
NR3B2,ERRbeta,854,AY556396,ERR béta  (VL15),pBS-KS,PU-RP/T7,VL15
NR3B3,ERRgamma,850,AY556397,ERR gamma  (VL16),pBS-KS,PU-RP/T3,VL16
NR3B4,ERRdelta,,AY556398,ERR X  (VL17),pBS-KS,PU-RP/T7,VL17
NR3B2/3,ERRbeta/gamma,400,AY556399,ERR béta/gamma (VL72),pBS-SK+,PU-RP/T3,VL72
NR3C1,GR,1000,DQ017615,GR,pBS-KS,PU-RP/T3,VL29
NR3C2,MR,1000,DQ017617,MR (VL30),pCRII-Topo,AGP214/PU-T7,VL30
NR3C3,PR,307,DQ017620,PR (VL58),pBS-SK+,PU-RP/T3,VL58
NR3C4,AR,741,AY510448,AR  (VL46),pBS-SK+,PU-RP/T3,VL46
NR4A1,NGFIB,410,NM_001002173,NGFIB (VL51),pBS-SK+,PU-RP/T7,VL51
NR4A2,NURR1,,BC076176,NURR1 - n°2 (VL22),pCRII-Topo,AGP214/PU-T7,VL22
NR4A3,NOR1,556,DQ017611,NOR1 (VL50),pBS-SK+,PU-RP/T3,VL50
NR5A1-A,SF1-A,,AF198086,FXR alpha (VL53),pBS-SK+,PU-RP/T7,VL53
NR5A1-B,SF1-B,,AY212920,FXR Béta (VL111),pBS-SK+,PU-RP/T7,VL111
NR5A2,LRH1,1360,AY034061,FF1aE (VL54),pBS-SK+,PU-RP/T7,VL54
NR5A5,ff1C,,AF327373,FF1C  (VL48),pBS,PU-RP/T3ou7?,VL48
NR6A1-A,GCNF-A,999,AJ007703,GCNF  (VL18),pBS-KS,PU-RP/T3,VL18
NR6A1-B,GCNF-B,,DQ017610,GCNF-B (VL92),pBS-SK+,PU-RP/T3,VL102
NR0B1,DAX,,DQ017613,DAX (VL102),pBS-SK+,PU-RP/T3,VL102
NR0B2-A,SHP-A,,BC058069,SHP-A (VL90),pBS-SK+,PU-RP/T7,VL90
NR0B2-B,SHP-B,,DQ017630,SHP-B (VL91),pBS-SK+,PU-RP/T7,VL91
COACTIVATOR,BRG1,,AY205256,BRG1 (VL60),pCRII-Topo,AGP214/PU-T3,VL60
COACTIVATOR,BAF53a,,BC045889,Baf53 (VL64),pCRII-Topo,AGP214/PU-T3,VL64
COACTIVATOR,BAF60a,,NM_198358,Baf60 (VL82),pBS-SK+,PU-RP/T7,VL82
COACTIVATOR,PCAF,,DQ017634,PCAF (VL61),pCRII-Topo,AGP214/PU-T3,VL61
COACTIVATOR,P300-A,,DQ017643,P300-A (VL103),pBS-SK+,PU-RP/T3,VL103
COACTIVATOR,P300-B,,DQ017642,P-300-B (VL101),pBS-SK+,PU-RP/T3,VL101
COACTIVATOR,CBP-A,,DQ017638,CBP (VL49),pBS-KS,PU-RP/T7,VL49
COACTIVATOR,CBP-B,,DQ017641,CBP-B (VL100),pBS-SK+,PU-RP/T3,VL100
COACTIVATOR,CITED3,,NM_200078,Cited3 (VL81),pBS-SK+,PU-RP/T7,VL81
COACTIVATOR,SRC1,,DQ017644,SRC1 (VL107),pBS-SK+,PU-RP/T3,VL107
COACTIVATOR,SRC2,,NM_131777,SRC2 (VL65),pBS-SK+,PU-RP/T7,VL65
COACTIVATOR,SRC3,,DQ017645,SRC3 (VL38),pBS-KS,PU-RP/T3,VL38
COACTIVATOR,CARM1,,NM_001003645,CARM1 (VL62),pCRII-Topo,AGP214/PU-T7,VL62
COACTIVATOR,NCOA6,,DQ017635,NcoA6 (VL63),pCRII-Topo,AGP214/PU-T7,VL63
COACTIVATOR,RIP140-A,,DQ017640,RIP140-A (VL106),pBS-SK+,PU-RP/T3,VL106
COACTIVATOR,RIP140-B,,DQ017639,RIP140-B(VL99),pBS-SK+,PU-RP/T3,VL99
COACTIVATOR,TRAP220,,DQ017635,TRAP220 (VL66),pCRII-Topo,AGP214/PU-T7,VL66
COACTIVATOR,TRIP13,,NM_200582,TRIP13 (VL76),pDNR-LIB,ADX298/299-T3,VL76
COACTIVATOR,ARA54,,NM_001002087,ARA54 (VL77),pDNR-LIB,ADX298/299-T3,VL77
COACTIVATOR,MYST-HAT2,,BC075772,LYST-HAT2 (VL79),pDNR-LIB,ADX298/299-T3,VL79
COACTIVATOR,TIF1ALPHA,,AY598454,TIF1 alpha (VL104),pBS-SK+,PU-RP/T3,VL104
COACTIVATOR,TIF1GAMMA,,AY598453,TIF1 gamma (VL84),pBK-CMV ,ABJ249/250-T7,VL84
COACTIVATOR,NCOA4,,BC065638,NCoA4 (VL86),pBK-CMV ,ABJ249/250-T7,VL86
COACTIVATOR,PGC1,,DQ017637,PGC1 (VL87),pBK-CMV ,ABJ249/250-T7,VL87
COACTIVATOR,TRIP7,,BC085665,TRIP7 (VL88),pBS-SK+,PU-RP/T7,VL88
COREPRESSOR,HDAC1,,BC085375,HDAC1 (VL78),pDNR-LIB,ADX298/299-T3,VL78
COREPRESSOR,HDAC3,,BC044543,HDAC3 (VL67),pCRII-Topo,AGP214/PU-T3,VL67
COREPRESSOR,HDAC4,,DQ017636,HDAC4 (VL68),pCRII-Topo,AGP214/PU-T3,VL68
COREPRESSOR,SMRT,,AL590153,SMRT (VL69),pBS-SK+,PU-RP/T3,VL69
COREPRESSOR,NCOR,,BC049302,NCOR (VL105),pBS-SK+,PU-RP/T7,VL105
COREPRESSOR,Alien,,NM_001002055,Alien (VL39),pBS-KS,PU-RP/T7,VL39
