ENSDARG ID,Gene Abbreviation
ENSDARG00000074563,CR759921.2
ENSDARG00000014113,wasla
ENSDARG00000051814,ptprz1a
ENSDARG00000051749,C25H12orf5 (2 of 2)
ENSDARG00000051746,cecr1a
ENSDARG00000024874,dock4b
ENSDARG00000070314,cald1l
ENSDARG00000039392,wnk1b
ENSDARG00000039681,samm50l
ENSDARG00000075803,SLC41A2 (2 of 2)
ENSDARG00000058042,kitlgb
ENSDARG00000022550,gxylt1b
ENSDARG00000062797,nell2b
ENSDARG00000032919,chchd3
ENSDARG00000059308,golt1bb
ENSDARG00000019644,ldhba
ENSDARG00000007315,tmpoa
ENSDARG00000022858,wnt7ba
ENSDARG00000045483,lrtm2
ENSDARG00000045485,rassf8b
ENSDARG00000021647,gnai1
ENSDARG00000021590,magi2
ENSDARG00000013596,brd1a
ENSDARG00000062942,kcna1
ENSDARG00000019306,lmx1ba
ENSDARG00000068760,tnks1bp1
ENSDARG00000035471,MEGF9 (1 of 2)
ENSDARG00000016866,fam102ab
ENSDARG00000076632,zdhhc12a
ENSDARG00000074640,FIBCD1 (2 of 2)
ENSDARG00000035415,ptger4b
ENSDARG00000007034,hnrpkl
ENSDARG00000059645,ntrk2b
ENSDARG00000026218,slc1a3a
ENSDARG00000005600,bmpr1ba
ENSDARG00000062906,kcnv2b
ENSDARG00000078245,GAL3ST1 (2 of 2)
ENSDARG00000017391,unc13ba
ENSDARG00000075376,SGSM1 (2 of 2)
ENSDARG00000053487,osbp2
ENSDARG00000061641,ankrd34bb
ENSDARG00000014962,ppp3cca
ENSDARG00000044253,paqr3b
ENSDARG00000063011,antxr2b
ENSDARG00000044251,rasgef1bb
ENSDARG00000007720,sub1b
ENSDARG00000073665,rasa1b
ENSDARG00000009418,mef2cb
ENSDARG00000014105,apba1a
ENSDARG00000044261,si:ch211-243g18.2
ENSDARG00000018958,nrarpb
ENSDARG00000060627,HIP1R (2 of 2)
ENSDARG00000094708,sftpba
ENSDARG00000037121,mat2ab
ENSDARG00000037498,gria3b
ENSDARG00000035553,cx27.5
ENSDARG00000012219,dpf2
ENSDARG00000026926,rom1b
ENSDARG00000067626,ywhag1
ENSDARG00000063539,slc25a15a
ENSDARG00000077399,UBASH3B (2 of 2)
ENSDARG00000007709,adamts8a
ENSDARG00000033544,ADAMTS15 (2 of 2)
ENSDARG00000079931,SNX19
ENSDARG00000008840,hmbsa
ENSDARG00000011239,ppp1r14aa
ENSDARG00000008414,exoc3l2a
ENSDARG00000024966,MARK4 (2 of 2)
ENSDARG00000040565,ckmb
ENSDARG00000043483,otx5
ENSDARG00000033466,tagln2
ENSDARG00000061579,myo1c
ENSDARG00000025285,panx1a
ENSDARG00000062577,ARHGAP35 (2 of 2)
ENSDARG00000062416,scn4ba
ENSDARG00000027345,mpzl2b
ENSDARG00000012076,apoa1a
ENSDARG00000004455,p2rx5
ENSDARG00000069774,flot2b
ENSDARG00000014018,lhx1a
ENSDARG00000035169,layna
ENSDARG00000011091,drd2b
ENSDARG00000076650,PDE9A (3 of 4)
ENSDARG00000006491,agpat9l
ENSDARG00000077650,tnks
ENSDARG00000062986,pnpla7a
ENSDARG00000016396,fam219aa
ENSDARG00000004451,tnfrsfa
ENSDARG00000074697,npdc1
ENSDARG00000021735,cacna1ba
ENSDARG00000025728,grin1b
ENSDARG00000031345,RTKN (1 of 2)
ENSDARG00000044808,slc4a4b
ENSDARG00000059997,sv2c
ENSDARG00000024325,col4a3bpa
ENSDARG00000059301,hmgcrb
ENSDARG00000059678,si:ch211-117c19.1
ENSDARG00000059978,cplx4a
ENSDARG00000074777,ANK1 (2 of 2)
ENSDARG00000018782,KDM4A (1 of 2)
ENSDARG00000062078,hs2st1a
ENSDARG00000002210,stk25a
ENSDARG00000061817,KIF1A
ENSDARG00000061948,amotl2b
ENSDARG00000079352,sap130b
ENSDARG00000044441,MYO7B (1 of 2)
ENSDARG00000010958,glmnb
ENSDARG00000061362,FAM69A (1 of 2)
ENSDARG00000074403,PEX5L (2 of 2)
ENSDARG00000073768,CABZ01069519.1
ENSDARG00000036619,CABZ01084569.1
ENSDARG00000055175,c1qtnf6a
ENSDARG00000023624,fam83fb
ENSDARG00000037057,gcdh
ENSDARG00000060632,usp43a
ENSDARG00000014709,grb2a
ENSDARG00000058987,GGA3 (2 of 2)
ENSDARG00000052022,suz12b
ENSDARG00000052591,ppp1r27
ENSDARG00000088026,PIK3R6 (1 of 2)
ENSDARG00000012338,zgc:158654
ENSDARG00000039240,CACNG5 (2 of 2)
ENSDARG00000008772,cacng1
ENSDARG00000039238,CACNG4 (1 of 2)
ENSDARG00000056091,cttnbp2nl
ENSDARG00000005050,wnt2ba
ENSDARG00000078187,slc12a5b
ENSDARG00000074731,COL28A1 (1 of 4)
ENSDARG00000068888,klhl41a
ENSDARG00000093411,gad1a
ENSDARG00000006260,tuba8l4
ENSDARG00000060004,fzd7a
ENSDARG00000063538,kalrnb
ENSDARG00000089235,tspear
ENSDARG00000014875,abi2b
ENSDARG00000041505,itm2bb
ENSDARG00000091090,xirp2b
ENSDARG00000071086,gpr155b
ENSDARG00000063646,lnpa
ENSDARG00000024847,col5a2b
ENSDARG00000057782,BAZ2B (1 of 2)
ENSDARG00000031413,stk24a
ENSDARG00000077192,slc15a1a
ENSDARG00000079069,DOCK9 (2 of 2)
ENSDARG00000020057,bmpr2b
ENSDARG00000090534,TMBIM1 (2 of 2)
ENSDARG00000062323,adam23a
ENSDARG00000024006,rprmb
ENSDARG00000004243,asic4b
ENSDARG00000034685,tmem198b
ENSDARG00000005221,desmb
ENSDARG00000044511,etv5b
ENSDARG00000042018,fhl2a
ENSDARG00000086685,TRIM63 (2 of 2)
ENSDARG00000058179,cxcr7b
ENSDARG00000091163,ndufa4l2
ENSDARG00000035103,CASK (1 of 2)
ENSDARG00000035367,CABZ01080075.1
ENSDARG00000014655,itpr1a
ENSDARG00000055540,pfkfb4
ENSDARG00000009208,prkcda
ENSDARG00000059327,gata2a
ENSDARG00000054026,CR847954.1
ENSDARG00000012496,BX248230.1
ENSDARG00000007195,GRM2 (2 of 2)
ENSDARG00000006207,gpx1b
ENSDARG00000011163,sema3fa
ENSDARG00000070318,arl8bb
ENSDARG00000017294,gnai2b
ENSDARG00000006202,erbb3a
ENSDARG00000039578,pa2g4a
ENSDARG00000075821,plxnb1a
ENSDARG00000026907,slc48a1a
ENSDARG00000068397,TENC1 (1 of 2)
ENSDARG00000017439,eif4ba
ENSDARG00000014465,arhgef25b
ENSDARG00000055638,ankrd33aa
ENSDARG00000058371,krt5
ENSDARG00000078401,larp4aa
ENSDARG00000075670,rereb
ENSDARG00000074599,FRMD4B (1 of 2)
ENSDARG00000003732,mitfa
ENSDARG00000077881,chl1a
ENSDARG00000062880,
ENSDARG00000022727,EPHA2 (2 of 2)
ENSDARG00000091906,rbp7a
ENSDARG00000025974,MAGI3 (2 of 3)
ENSDARG00000013224,phc2b
ENSDARG00000003754,tspan2
ENSDARG00000058961,ntf7
ENSDARG00000002241,KCNA2 (1 of 2)
ENSDARG00000059935,KCNA10 (1 of 2)
ENSDARG00000034714,esyt1a
ENSDARG00000003081,mybphb
ENSDARG00000025206,syt2a
ENSDARG00000076239,C7H20orf27 (1 of 2)
ENSDARG00000009610,rgs12a
ENSDARG00000056806,PDE5A (2 of 2)
ENSDARG00000074867,STIM2 (2 of 2)
ENSDARG00000012311,myoz2a
ENSDARG00000046085,CLDND1 (1 of 2)
ENSDARG00000029204,TYRP1 (1 of 2)
ENSDARG00000053810,hnrnpc
ENSDARG00000056998,kirrelb
ENSDARG00000076995,SHARPIN (2 of 2)
ENSDARG00000068562,RBM33 (1 of 2)
ENSDARG00000038786,smarcd3a
ENSDARG00000059950,ZPLXDC2
ENSDARG00000025326,myl12.2
ENSDARG00000038716,casq1a
ENSDARG00000073844,ENDOD1 (10 of 15)
ENSDARG00000077329,nlgn2a
ENSDARG00000012499,per1b
ENSDARG00000052057,PCOLCE (1 of 2)
ENSDARG00000041062,calb2a
ENSDARG00000069368,nrn1la
ENSDARG00000060860,pstpip1a
ENSDARG00000005549,ZNF710 (1 of 2)
ENSDARG00000036094,PIAS1 (1 of 2)
ENSDARG00000003553,gnrhr2
ENSDARG00000051892,KCNG4 (1 of 2)
ENSDARG00000057167,eif4g2b
ENSDARG00000032469,ampd3b
ENSDARG00000051819,swap70a
ENSDARG00000041581,znf143b
ENSDARG00000055338,CAPN1 (2 of 2)
ENSDARG00000044556,pacs1a
ENSDARG00000069495,tmem179b
ENSDARG00000013317,pygmb
ENSDARG00000060400,si:ch73-362m14.3
ENSDARG00000044591,CT025910.1
ENSDARG00000015780,ankrd46b
ENSDARG00000052065,IRS4 (1 of 2)
ENSDARG00000055154,slc8a4a
ENSDARG00000045804,abhd2b
ENSDARG00000045808,rlbp1b
ENSDARG00000062909,furina
ENSDARG00000006889,mpped2a
ENSDARG00000075986,RIC3 (1 of 2)
ENSDARG00000061399,trpm1b
ENSDARG00000044271,TLN2 (2 of 2)
ENSDARG00000090486,LIPC (2 of 2)
ENSDARG00000077506,tjp1a
ENSDARG00000060586,ctdspl2b
ENSDARG00000070560,nap1l4a
ENSDARG00000090002,CU183952.2
ENSDARG00000051730,slc7a10b
ENSDARG00000014439,dgkza
ENSDARG00000008322,AMBRA1 (1 of 2)
ENSDARG00000035904,crabp1b
ENSDARG00000079716,sin3aa
ENSDARG00000010878,cdkn1c
ENSDARG00000045799,acanb
ENSDARG00000015349,mfge8a
ENSDARG00000011088,si:ch211-288d18.1
ENSDARG00000062000,ABTB2 (2 of 2)
ENSDARG00000045832,cart2
ENSDARG00000013582,ck2a2b
ENSDARG00000035820,drd4b
ENSDARG00000091191,MAPK8IP1 (2 of 2)
ENSDARG00000074491,HIST1H2BA (1 of 2)
ENSDARG00000061797,zgc:154006
ENSDARG00000062346,cacna1r
ENSDARG00000042122,acot11b
ENSDARG00000030155,ssbp3b
ENSDARG00000068551,zgc:153394
ENSDARG00000067958,sh3gl1a
ENSDARG00000014670,colgalt2
ENSDARG00000013222,SLC35A3 (1 of 2)
ENSDARG00000063018,FP102157.1
ENSDARG00000022213,uck2b
ENSDARG00000035470,sh3glb2b
ENSDARG00000089856,CIT (2 of 2)
ENSDARG00000040248,crata
ENSDARG00000016255,CHMP4B (2 of 2)
ENSDARG00000062823,pi4kab
ENSDARG00000011122,pptc7a
ENSDARG00000010408,igsf9b
ENSDARG00000025468,bnip3la
ENSDARG00000059535,LRRTM4 (1 of 4)
ENSDARG00000077562,lrrtm4l2
ENSDARG00000013685,vsig8b
ENSDARG00000044295,pip5k1ba
ENSDARG00000023443,tjp2b
ENSDARG00000014041,smarcad1
ENSDARG00000033411,cabp1b
ENSDARG00000091128,BX005006.2
ENSDARG00000038300,rnf34a
ENSDARG00000041008,FP236542.1
ENSDARG00000036593,kdm2ba
ENSDARG00000042723,gfra2a
ENSDARG00000087271,DOK2 (2 of 2)
ENSDARG00000077686,aak1
ENSDARG00000003303,stc1
ENSDARG00000025672,antxr1a
ENSDARG00000017234,npy8ar
ENSDARG00000007369,tcf7l1b
ENSDARG00000025718,cxxc1
ENSDARG00000004729,tfe3a
ENSDARG00000032856,ccdc120
ENSDARG00000025671,grm6b
ENSDARG00000077434,MON1B (2 of 2)
ENSDARG00000000857,mapk14a
ENSDARG00000061466,
ENSDARG00000000690,sypl2b
ENSDARG00000012553,rap1a
ENSDARG00000056111,lmod1
ENSDARG00000057093,kdm5ba
ENSDARG00000075343,csf1a
ENSDARG00000010294,fmodb
ENSDARG00000007275,si:ch211-251b21.1
ENSDARG00000070666,rhol
ENSDARG00000078760,cacna2d3
ENSDARG00000074886,CRELD1 (2 of 2)
ENSDARG00000074638,loxhd1b
ENSDARG00000057223,efna5b
ENSDARG00000060106,crb2a
ENSDARG00000012426,neflb
ENSDARG00000033706,adora2aa
ENSDARG00000042452,p2rx4b
ENSDARG00000020702,ODF2 (1 of 2)
ENSDARG00000074087,AL929453.1
ENSDARG00000013063,oxct1a
ENSDARG00000042172,c7a
ENSDARG00000058725,rfesd
ENSDARG00000062518,ulk1a
ENSDARG00000060065,UBAP2 (1 of 2)
ENSDARG00000012534,slc6a6a
ENSDARG00000044241,dram2b
ENSDARG00000012247,def6a
ENSDARG00000077296,EPS8L3 (2 of 2)
ENSDARG00000095774,emd
ENSDARG00000060182,pdzd4
ENSDARG00000094377,samd10b
ENSDARG00000001686,uckl1a
ENSDARG00000037589,gid8b
ENSDARG00000031317,ppdpfb
ENSDARG00000017947,ptk6a
ENSDARG00000033567,fkbp1ab
ENSDARG00000075375,zgc:171501
ENSDARG00000060912,SLC5A7 (1 of 2)
ENSDARG00000063695,FARP1 (1 of 2)
ENSDARG00000004771,ankrd10b
ENSDARG00000010946,cbsb
ENSDARG00000017803,gsk3b
ENSDARG00000063509,lrrc58b
ENSDARG00000091513,C1H3orf70 (2 of 2)
ENSDARG00000003421,igf2bp2a
ENSDARG00000006301,raph1
ENSDARG00000017537,prkag3a
ENSDARG00000034555,PARD3B (1 of 2)
ENSDARG00000069910,gtf2f2a
ENSDARG00000053580,htf1fb
ENSDARG00000073848,arhgef7b
ENSDARG00000062447,hecw2a
ENSDARG00000070558,si:ch211-93g23.2
ENSDARG00000069450,cx41.8
ENSDARG00000024478,mpc2
ENSDARG00000040910,ildr1b
ENSDARG00000096600,ILDR2 (2 of 2)
ENSDARG00000041592,dcun1d2
ENSDARG00000055437,METTL21C (1 of 2)
ENSDARG00000055543,appb
ENSDARG00000017441,mylz3
ENSDARG00000086960,GPC6 (2 of 3)
ENSDARG00000077761,nlgn4b
ENSDARG00000059818,KIF5A (2 of 2)
ENSDARG00000058937,cldn10
ENSDARG00000007812,sp3b
ENSDARG00000044615,zak
ENSDARG00000059190,tlk1b
ENSDARG00000075041,fmnl2b
ENSDARG00000017007,nr4a2a
ENSDARG00000088515,st6gal2l
ENSDARG00000027822,si:ch211-259i2.2
ENSDARG00000040374,tmem182
ENSDARG00000070995,inpp4ab
ENSDARG00000058815,ihhb
ENSDARG00000041959,cxcr4b
ENSDARG00000090156,pttg1ipa
ENSDARG00000074723,myo10l1
ENSDARG00000009839,FAM117B (1 of 2)
ENSDARG00000074248,tmem237b
ENSDARG00000019185,slain1a
ENSDARG00000062481,mlphb
ENSDARG00000030012,lrrfip1a
ENSDARG00000027611,sdpra
ENSDARG00000058699,tmeff2b
ENSDARG00000079944,acvr2ab
ENSDARG00000062338,zeb2a
ENSDARG00000071217,hs6st3a
ENSDARG00000030975,CCDC80 (2 of 3)
ENSDARG00000055659,gpr161
ENSDARG00000075648,SEMA5B (2 of 2)
ENSDARG00000009738,cacnb4a
ENSDARG00000039256,speg
ENSDARG00000011473,calcrla
ENSDARG00000031422,igfbp2b
ENSDARG00000078842,TNS1 (2 of 2)
ENSDARG00000092148,GPBAR1 (2 of 2)
ENSDARG00000089858,COBLL1 (2 of 2)
ENSDARG00000007396,rnd3b
ENSDARG00000005870,mmadhc
ENSDARG00000088227,tmem163b
ENSDARG00000041171,crygs2
ENSDARG00000062156,ABI3BP (1 of 2)
ENSDARG00000057975,plcd4a
ENSDARG00000040705,glsb
ENSDARG00000040700,nab1b
ENSDARG00000041609,adarb1a
ENSDARG00000078468,fap
ENSDARG00000040907,gcgb
ENSDARG00000045632,BMP10 (1 of 2)
ENSDARG00000038267,pdlim5a
ENSDARG00000061651,marveld2b
ENSDARG00000027141,ube2l3b
ENSDARG00000076529,mn1a
ENSDARG00000093359,inpp5jb
ENSDARG00000020258,ewsr1a
ENSDARG00000035565,atp6v0a2b
ENSDARG00000052851,golph3
ENSDARG00000076040,arl15a
ENSDARG00000044246,snx18b
ENSDARG00000076735,si:dkey-193c22.2
ENSDARG00000002271,zfand5b
ENSDARG00000076858,C10H8orf4 (1 of 2)
ENSDARG00000060871,mctp1b
