ENSDARG ID,Gene Abbreviation
ENSDARG00000090315,CU929052.1
ENSDARG00000040085,ccsapb
ENSDARG00000010791,dla
ENSDARG00000018997,cplx2l
ENSDARG00000056797,ppp2r2c
ENSDARG00000062341,BX530018.3
ENSDARG00000007356,fgf20a
ENSDARG00000034105,MTUS1 (1 of 2)
ENSDARG00000034817,asah1b
ENSDARG00000019063,FAT1 (2 of 2)
ENSDARG00000017905,casp3a
ENSDARG00000014248,pdlim3b
ENSDARG00000003046,sorbs2a
ENSDARG00000039964,fgfbp2
ENSDARG00000034007,prom1b
ENSDARG00000073999,TAPT1 (2 of 2)
ENSDARG00000089055,ube2ka
ENSDARG00000055455,gpm6aa
ENSDARG00000007387,irf2a
ENSDARG00000070162,stox2a
ENSDARG00000052277,cabp2b
ENSDARG00000087417,ZDHHC5 (2 of 2)
ENSDARG00000007786,tmx2b
ENSDARG00000009472,med19b
ENSDARG00000079009,abca1b
ENSDARG00000061758,SH3PXD2A (2 of 2)
ENSDARG00000075865,CABZ01076351.1
ENSDARG00000030703,otx1a
ENSDARG00000005578,ugp2a
ENSDARG00000052376,b3gnt2a
ENSDARG00000036864,slc34a2b
ENSDARG00000061021,fam160a1
ENSDARG00000023600,sh3gl2
ENSDARG00000062262,ednrab
ENSDARG00000043037,abcg2a
ENSDARG00000001447,mier1b
ENSDARG00000076351,fam5ca
ENSDARG00000040177,rgs16
ENSDARG00000078725,nos1apa
ENSDARG00000070966,insl5a
ENSDARG00000069991,gadd45ab
ENSDARG00000005754,ptprfb
ENSDARG00000018478,agxtb
ENSDARG00000037341,ghrhra
ENSDARG00000029989,adcyap1r1a
ENSDARG00000036045,penkb
ENSDARG00000038867,shhb
ENSDARG00000020953,dnajb6b
ENSDARG00000038855,chmp5a
ENSDARG00000061249,myom1a
ENSDARG00000091550,EMILIN2 (2 of 2)
ENSDARG00000088437,CR376779.2
ENSDARG00000038709,MYADM (1 of 2)
ENSDARG00000023185,APOLD1 (2 of 5)
ENSDARG00000054343,SLC7A8 (1 of 2)
ENSDARG00000019553,pnp5b
ENSDARG00000029671,XPR1 (1 of 2)
ENSDARG00000039220,st6galnac5a
ENSDARG00000017398,slc44a5a
ENSDARG00000011373,mknk2a
ENSDARG00000057368,rps8b
ENSDARG00000036626,SEMA6B (1 of 2)
ENSDARG00000017780,rorcb
ENSDARG00000004396,b3gnt5b
ENSDARG00000077229,ANO8
ENSDARG00000076076,crtc1
ENSDARG00000086505,BX004890.2
ENSDARG00000056378,ifi30
ENSDARG00000005364,grin3b
ENSDARG00000031907,ptbp1b
ENSDARG00000031372,efna2
ENSDARG00000013576,gadd45bb
ENSDARG00000028066,diras1a
ENSDARG00000032465,slc1a8b
ENSDARG00000012071,angptl1
ENSDARG00000006560,irf4a
ENSDARG00000076673,DSP (2 of 2)
ENSDARG00000059939,dab1a
ENSDARG00000028163,prg4b
ENSDARG00000011886,pdca
ENSDARG00000010276,ptgs2b
ENSDARG00000008639,kifap3a
ENSDARG00000023053,fam129ab
ENSDARG00000031100,ivns1abpa
ENSDARG00000008109,eef1da
ENSDARG00000060458,CABZ01078515.1
ENSDARG00000061602,SSX2IP (2 of 3)
ENSDARG00000057016,cdc14ab
ENSDARG00000087525,CABZ01045212.1
ENSDARG00000033589,EPHB3 (2 of 2)
ENSDARG00000093021,FAM163A (2 of 2)
ENSDARG00000060326,MAP1S (1 of 2)
ENSDARG00000042308,arhgef18b
ENSDARG00000071524,insrb
ENSDARG00000062173,camsap2
ENSDARG00000079876,C2CD4C (2 of 2)
ENSDARG00000061846,rxfp3.2b
ENSDARG00000071377,hsd11b3a
ENSDARG00000043276,calr
ENSDARG00000071684,rx1
ENSDARG00000031387,cers4a
ENSDARG00000009442,pip5k1cb
ENSDARG00000005915,tcf3a
ENSDARG00000008450,pcolce2a
ENSDARG00000055629,C24H3orf58 (2 of 2)
ENSDARG00000013976,anxa13
ENSDARG00000074528,PRTFDC1 (2 of 2)
ENSDARG00000024744,dpp6b
ENSDARG00000012625,PRKAG2 (2 of 2)
ENSDARG00000021013,f3a
ENSDARG00000015167,abcd3a
ENSDARG00000026329,CT955984.1
ENSDARG00000089485,
ENSDARG00000039174,olfm3b
ENSDARG00000009014,col11a1b
ENSDARG00000001913,palmda
ENSDARG00000071860,nrn1a
ENSDARG00000093044,si:ch211-161h7.5
ENSDARG00000028878,vipr1a
ENSDARG00000071673,ctdspla
ENSDARG00000034080,plcd1b
ENSDARG00000031426,csrnp1a
ENSDARG00000018616,agtr1a
ENSDARG00000011934,gyg1a
ENSDARG00000075369,nck1b
ENSDARG00000056228,pld1a
ENSDARG00000010816,slc7a14a
ENSDARG00000030723,cldn11b
ENSDARG00000014488,ca2
ENSDARG00000037415,dlgap1b
ENSDARG00000059333,si:ch211-285f17.1
ENSDARG00000016699,trpa1a
ENSDARG00000088842,KCNB2 (2 of 2)
ENSDARG00000012369,rdh10b
ENSDARG00000058603,jph1a
ENSDARG00000077275,crispld1a
ENSDARG00000058565,BX640518.1
ENSDARG00000074601,cbln2a
ENSDARG00000068483,neto1
ENSDARG00000058357,ankrd33ba
ENSDARG00000062415,ctnnd2a
ENSDARG00000088514,and1
ENSDARG00000014969,ankhb
ENSDARG00000045695,myca
ENSDARG00000028173,slc4a2a
ENSDARG00000040310,prpf4bb
ENSDARG00000074604,phc3
ENSDARG00000020080,ek1
ENSDARG00000058158,trim55b
ENSDARG00000056743,murcb
ENSDARG00000023217,CREM (1 of 2)
ENSDARG00000010583,pard3
ENSDARG00000071865,nrp1a
ENSDARG00000090424,camk2n2
ENSDARG00000028000,pfkpa
ENSDARG00000044422,acvr2b
ENSDARG00000075870,TRIOBP (2 of 2)
ENSDARG00000042887,TNPO2 (2 of 2)
ENSDARG00000038095,socs1a
ENSDARG00000034493,grin2aa
ENSDARG00000014915,ndufab1b
ENSDARG00000005414,grapa
ENSDARG00000060496,CACNA1H (1 of 2)
ENSDARG00000078474,myo15ab
ENSDARG00000025034,syngr3b
ENSDARG00000079873,SLC29A4 (2 of 2)
ENSDARG00000059654,eif3ba
ENSDARG00000090320,MSLNL (2 of 2)
ENSDARG00000041394,dnajb1b
ENSDARG00000059598,samd1a
ENSDARG00000006240,slc27a1a
ENSDARG00000059475,SI:DKEY-209E8.1
ENSDARG00000075015,soul5
ENSDARG00000028524,col5a3b
ENSDARG00000005679,TRIP10 (1 of 2)
ENSDARG00000086761,WIZ (1 of 2)
ENSDARG00000077061,ptger1b
ENSDARG00000074533,slc25a38b
ENSDARG00000063295,myh9a
ENSDARG00000054002,hn1a
ENSDARG00000063062,ubn2
ENSDARG00000071213,rgl3a
ENSDARG00000038141,atf4b2
ENSDARG00000037048,mchr1a
ENSDARG00000033733,ntn1a
ENSDARG00000039932,cyth4b
ENSDARG00000015538,znf207a
ENSDARG00000020235,sept9a
ENSDARG00000009782,myh11a
ENSDARG00000070319,rab11fip4b
ENSDARG00000086918,si:dkey-237i9.8
ENSDARG00000014320,gucy2c
ENSDARG00000056059,rangap1b
ENSDARG00000039117,tefa
ENSDARG00000063583,map2k4a
ENSDARG00000055652,aclyb
ENSDARG00000013460,wfikkn2a
ENSDARG00000078142,CABZ01073118.1
ENSDARG00000095603,grid2ipb
ENSDARG00000029331,atxn7l3
ENSDARG00000024560,slc4a1b
ENSDARG00000090895,kansl1a
ENSDARG00000089314,mapta
ENSDARG00000090603,ifnphi4
ENSDARG00000061798,BX908793.1
ENSDARG00000089997,gngt2b
ENSDARG00000035809,col1a1b
ENSDARG00000090223,MSL1 (2 of 2)
ENSDARG00000054030,hoxb5b
ENSDARG00000004189,cbx1a
ENSDARG00000076229,mkl1b
ENSDARG00000076430,ep300a
ENSDARG00000001803,kcnh6
ENSDARG00000063283,ABI3 (2 of 2)
ENSDARG00000061255,dusp3a
ENSDARG00000038991,nsfb
ENSDARG00000045087,cdk5r1b
ENSDARG00000060246,slc16a6b
ENSDARG00000037924,gna13b
ENSDARG00000014123,gspt1l
ENSDARG00000096722,si:dkey-16i5.8
ENSDARG00000015184,MPP3 (1 of 2)
ENSDARG00000000567,CR936437.1
ENSDARG00000038138,SVIL (2 of 3)
ENSDARG00000052957,plcd3a
ENSDARG00000059257,RCVRN (4 of 4)
ENSDARG00000088969,CABZ01102038.1
ENSDARG00000045036,cdc42ep4b
ENSDARG00000032724,pmp22a
ENSDARG00000030472,slc16a5
ENSDARG00000010433,ARHGAP44 (1 of 2)
ENSDARG00000010727,ttyh2l
ENSDARG00000076079,ush1g
ENSDARG00000059574,fscn2a
ENSDARG00000014794,uqcrc2a
ENSDARG00000037359,CDR2 (2 of 2)
ENSDARG00000090142,si:dkey-94l16.4
ENSDARG00000071877,dhrs7c
ENSDARG00000079791,si:ch211-176g6.2
ENSDARG00000010906,srsf2b
ENSDARG00000037790,pvalb8
ENSDARG00000037794,nptx2a
ENSDARG00000041294,noxo1a
ENSDARG00000016293,vasnb
ENSDARG00000073861,OTTDARG00000032278
ENSDARG00000058494,dnaja3a
ENSDARG00000060933,baiap2l2
ENSDARG00000031116,dnal4a
ENSDARG00000090106,SLC17A7 (3 of 3)
ENSDARG00000075249,CR387996.2
ENSDARG00000004597,lrrc4ba
ENSDARG00000028521,c1ql3b
ENSDARG00000055713,fmnl1a
ENSDARG00000045878,nudt4b
ENSDARG00000079496,bicd1a
ENSDARG00000014395,si:dkey-14d8.2
ENSDARG00000042021,mapk12a
ENSDARG00000042214,tmem243a
ENSDARG00000042213,si:ch211-233h19.2
ENSDARG00000063008,si:dkeyp-27e10.3
ENSDARG00000068231,CABZ01062083.1
ENSDARG00000042210,sema3ab
ENSDARG00000069654,ppp6r2b
ENSDARG00000042350,syt1b
ENSDARG00000004592,gpr22
ENSDARG00000033296,gpr37b
ENSDARG00000006283,waslb
ENSDARG00000020871,ptprz1b
ENSDARG00000045858,C4H12orf5 (1 of 2)
ENSDARG00000015623,cecr1b
ENSDARG00000076213,DOCK4 (2 of 2)
ENSDARG00000086391,cald1
ENSDARG00000078992,CR354611.2
ENSDARG00000045814,samm50
ENSDARG00000073881,SLC41A2 (1 of 2)
ENSDARG00000070917,kitlga
ENSDARG00000076111,CABZ01072254.1
ENSDARG00000090690,NELL2A
ENSDARG00000034933,CHCHD3 (2 of 2)
ENSDARG00000022795,golt1ba
ENSDARG00000071076,ldhbb
ENSDARG00000022978,tmpob
ENSDARG00000071107,wnt7bb
ENSDARG00000045811,BX897714.3
ENSDARG00000045596,CABZ01003826.1
ENSDARG00000044760,gnaia
ENSDARG00000073769,MAGI2 (2 of 2)
ENSDARG00000051798,brd1b
ENSDARG00000017108,KCNA1 (1 of 2)
ENSDARG00000068365,lmx1bb
ENSDARG00000075349,si:ch73-138n13.1
ENSDARG00000078536,MEGF9 (2 of 2)
ENSDARG00000025846,fam102aa
ENSDARG00000052787,zdhhc12b
ENSDARG00000060393,fibcd1
ENSDARG00000059236,ptger4a
ENSDARG00000018914,hnrnpk
ENSDARG00000059897,ntrk2a
ENSDARG00000043148,slc1a3b
ENSDARG00000031219,bmpr1bb
ENSDARG00000076644,kcnv2a
ENSDARG00000062711,gal3st1
ENSDARG00000086274,CR855996.2
ENSDARG00000028857,SGSM1 (1 of 2)
ENSDARG00000022772,OSBP2 (1 of 2)
ENSDARG00000077086,ankrd34ba
ENSDARG00000057456,ppp3ccb
ENSDARG00000017703,paqr3a
ENSDARG00000060520,antxr2a
ENSDARG00000033614,rasgef1ba
ENSDARG00000053446,sub1a
ENSDARG00000035535,rasa1a
ENSDARG00000029764,mef2ca
ENSDARG00000074328,apba1b
ENSDARG00000026979,krt1-c5
ENSDARG00000091419,nrarpa
ENSDARG00000059484,HIP1R (1 of 2)
ENSDARG00000067566,sftpbb
ENSDARG00000040334,mat2aa
ENSDARG00000032737,gria3a
ENSDARG00000058064,cx31.7
ENSDARG00000037291,dpf2l
ENSDARG00000019752,rom1a
ENSDARG00000071658,ywhag2
ENSDARG00000062271,slc25a15b
ENSDARG00000061243,UBASH3B (1 of 2)
ENSDARG00000058252,ADAMTS15
ENSDARG00000029124,adamts15a
ENSDARG00000061101,snx19a
ENSDARG00000055991,hmbsb
ENSDARG00000017710,ppp1r14ab
ENSDARG00000030782,AL928724.1
ENSDARG00000023914,mark4a
ENSDARG00000035327,ckma
ENSDARG00000011989,crx
ENSDARG00000045408,tagln
ENSDARG00000020924,MYO1C (1 of 2)
ENSDARG00000014910,panx1b
ENSDARG00000060297,arhgap35
ENSDARG00000060319,scn4bb
ENSDARG00000088742,MPZL2 (2 of 2)
ENSDARG00000086583,apoa1b
ENSDARG00000024139,p2rx8
ENSDARG00000004830,flot2a
ENSDARG00000007944,lhx1b
ENSDARG00000056835,LAYN (2 of 2)
ENSDARG00000056926,drd2a
ENSDARG00000074439,CABZ01044346.1
ENSDARG00000016048,agpat9
ENSDARG00000062897,TNKS (1 of 2)
ENSDARG00000040002,pnpla7b
ENSDARG00000013813,fam219ab
ENSDARG00000004392,hdr
ENSDARG00000056156,NPDC1 (1 of 2)
ENSDARG00000079295,cacna1bb
ENSDARG00000027828,grin1a
ENSDARG00000052903,RTKN (2 of 2)
ENSDARG00000013730,slc4a4a
ENSDARG00000086965,SV2C (2 of 2)
ENSDARG00000063542,COL4A3BP (2 of 2)
ENSDARG00000052734,hmgcra
ENSDARG00000074894,si:dkey-228b2.5
ENSDARG00000059486,cplx4b
ENSDARG00000059093,ANK1 (1 of 2)
ENSDARG00000019103,kdm4ab
ENSDARG00000062008,CU019652.1
ENSDARG00000039022,stk25b
ENSDARG00000062024,kif1ab
ENSDARG00000061923,amotl2a
ENSDARG00000056924,sap130a
ENSDARG00000077201,myo7bb
ENSDARG00000058267,glmna
ENSDARG00000062955,fam69a
ENSDARG00000022518,pex5la
ENSDARG00000075980,tmem125b
ENSDARG00000038069,mgat3
ENSDARG00000006544,C1QTNF6 (1 of 2)
ENSDARG00000038012,FAM83F (2 of 2)
ENSDARG00000038361,gcdhl
ENSDARG00000088072,USP43 (2 of 2)
ENSDARG00000038059,grb2b
ENSDARG00000013479,gga3
ENSDARG00000070256,suz12a
ENSDARG00000060265,PPP1R27 (2 of 2)
ENSDARG00000091140,PIK3R6 (2 of 2)
ENSDARG00000067813,zgc:171844
ENSDARG00000003326,cacng5a
ENSDARG00000052360,CU855899.1
ENSDARG00000074669,CACNG4 (2 of 2)
ENSDARG00000053179,CTTNBP2NL (1 of 2)
ENSDARG00000032234,wnt2bb
ENSDARG00000075815,slc12a5a
ENSDARG00000076321,COL28A1 (2 of 4)
ENSDARG00000006757,klhl41b
ENSDARG00000027419,gad1b
ENSDARG00000070155,tuba8l3
ENSDARG00000027589,fzd7b
ENSDARG00000078117,kalrna
ENSDARG00000077580,TSPEAR (1 of 2)
ENSDARG00000058207,abi2a
ENSDARG00000007098,itm2ba
ENSDARG00000071113,xirp2a
ENSDARG00000090804,gpr155a
ENSDARG00000006639,lnpb
ENSDARG00000031678,col5a2a
ENSDARG00000082979,CABZ01028287.1
ENSDARG00000023878,stk24b
ENSDARG00000044528,slc15a1b
ENSDARG00000016311,dock9b
ENSDARG00000011941,bmpr2a
ENSDARG00000058323,tmbim1
ENSDARG00000074197,ADAM23 (2 of 2)
ENSDARG00000053383,rprma
ENSDARG00000025162,asic4a
ENSDARG00000042115,tmem198a
ENSDARG00000058656,desma
ENSDARG00000069763,etv5a
ENSDARG00000003991,fhl2b
ENSDARG00000028027,trim63
ENSDARG00000062478,ACKR3 (2 of 2)
ENSDARG00000087907,NDUFA4L2 (1 of 2)
ENSDARG00000059809,cask
ENSDARG00000015964,zgc:153311
ENSDARG00000074149,ITPR1 (2 of 2)
ENSDARG00000029075,pfkfb4l
ENSDARG00000070651,BX005175.1
ENSDARG00000009094,gata2b
ENSDARG00000089086,MUSTN1
ENSDARG00000003900,BX664752.1
ENSDARG00000004150,grm2a
ENSDARG00000018146,gpx1a
ENSDARG00000055373,sema3fb
ENSDARG00000006915,arl8ba
ENSDARG00000018174,gnai2a
ENSDARG00000036993,erbb3b
ENSDARG00000070657,pa2g4b
ENSDARG00000017211,plxnb1b
ENSDARG00000026109,slc48a1b
ENSDARG00000076292,tenc1a
ENSDARG00000010194,eif4bb
ENSDARG00000030766,ARHGEF25 (2 of 2)
ENSDARG00000002508,CR753817.1
ENSDARG00000017624,krt4
ENSDARG00000074979,LARP4 (1 of 2)
ENSDARG00000077353,rerea
ENSDARG00000076496,frmd4bb
ENSDARG00000037833,mitfb
ENSDARG00000076233,CHL1 (1 of 2)
ENSDARG00000019405,cntn4
ENSDARG00000017354,epha2
ENSDARG00000070486,rbp7b
ENSDARG00000076916,magi3
ENSDARG00000056695,phc2a
ENSDARG00000059202,TSPAN2 (2 of 2)
ENSDARG00000014050,ngf
ENSDARG00000091458,KCNA2 (2 of 2)
ENSDARG00000076854,KCNA10 (2 of 2)
ENSDARG00000014239,esyt1b
ENSDARG00000058799,mybpha
ENSDARG00000014169,SYT2 (1 of 2)
ENSDARG00000087426,C1H20orf27 (2 of 2)
ENSDARG00000036774,rgs12b
ENSDARG00000051915,pde5ab
ENSDARG00000001776,stim2
ENSDARG00000037266,myoz2b
ENSDARG00000052386,CLDND1 (2 of 2)
ENSDARG00000056151,tyrp1b
ENSDARG00000022579,zgc:55733
ENSDARG00000001634,kirrela
ENSDARG00000059871,shrprbck1r
ENSDARG00000094896,RBM33 (2 of 2)
ENSDARG00000019969,smarcd3b
ENSDARG00000077219,PLXDC2 (2 of 2)
ENSDARG00000014433,myl12.1
ENSDARG00000018105,casq1b
ENSDARG00000088309,CT573337.1
ENSDARG00000079251,nlgn2b
ENSDARG00000056885,per1a
ENSDARG00000056913,PCOLCE (2 of 2)
ENSDARG00000036344,calb2b
ENSDARG00000061149,nrn1lb
ENSDARG00000053568,pstpip1b
ENSDARG00000014680,znf710a
ENSDARG00000062445,pias1b
ENSDARG00000038116,gnrhr4
ENSDARG00000062967,kcng4
ENSDARG00000020377,eif4g2a
ENSDARG00000005800,ampd3a
ENSDARG00000057286,swap70b
ENSDARG00000012887,znf143a
ENSDARG00000045199,CAPN1 (1 of 2)
ENSDARG00000019800,PACS1 (1 of 6)
ENSDARG00000056233,TMEM179B (1 of 2)
ENSDARG00000055518,pygma
ENSDARG00000036560,si:dkey-24g18.3
ENSDARG00000029170,si:ch211-200p22.4
ENSDARG00000044328,ankrd46a
ENSDARG00000086551,irs4a
ENSDARG00000037145,slc8a4b
ENSDARG00000025797,abhd2a
ENSDARG00000012504,rlbp1a
ENSDARG00000070971,furinb
ENSDARG00000034443,mpped2
ENSDARG00000077459,RIC3 (2 of 2)
ENSDARG00000011259,trpm1a
ENSDARG00000017901,tln2a
ENSDARG00000053476,lipca
ENSDARG00000079374,TJP1 (2 of 2)
ENSDARG00000061587,ctdspl2a
ENSDARG00000068868,nap1l4b
ENSDARG00000077584,cln6a
ENSDARG00000008100,slc7a10a
ENSDARG00000076025,CU181898.3
ENSDARG00000039878,AMBRA1 (2 of 2)
ENSDARG00000045926,crabp1a
ENSDARG00000059812,sin3ab
ENSDARG00000089854,CDKN1C (2 of 2)
ENSDARG00000035891,acana
ENSDARG00000045803,mfge8b
ENSDARG00000051836,si:dkeyp-19e1.3
ENSDARG00000059751,BX511065.1
ENSDARG00000035852,CU469544.1
ENSDARG00000012818,ck2a2a
ENSDARG00000038363,drd4a
ENSDARG00000090326,MAPK8IP1 (1 of 2)
ENSDARG00000089039,HIST1H2BA (2 of 2)
ENSDARG00000057826,si:ch73-61d6.3
ENSDARG00000095614,CACNA1E (2 of 2)
ENSDARG00000058229,acot11a
ENSDARG00000058237,ssbp3a
ENSDARG00000057365,zgc:112263
ENSDARG00000002642,sh3gl1b
ENSDARG00000078299,COLGALT2 (2 of 2)
ENSDARG00000020981,SLC35A3 (2 of 2)
ENSDARG00000062889,FAM78B (1 of 2)
ENSDARG00000006074,uck2a
ENSDARG00000008983,sh3glb2a
ENSDARG00000088825,CIT (1 of 2)
ENSDARG00000016545,CRAT (2 of 3)
ENSDARG00000007323,chmp4b
ENSDARG00000076724,pi4kaa
ENSDARG00000052658,pptc7b
ENSDARG00000075864,igsf9a
ENSDARG00000028067,bnip3lb
ENSDARG00000078839,LRRTM4 (3 of 4)
ENSDARG00000080015,lrrtm4l1
ENSDARG00000054050,vsig8a
ENSDARG00000006508,pip5k1bb
ENSDARG00000063309,tjp2a
ENSDARG00000073721,SMARCAD1 (2 of 2)
ENSDARG00000019990,cabp1a
ENSDARG00000074308,fam211ba
ENSDARG00000054036,rnf34b
ENSDARG00000019819,adra2b
ENSDARG00000046010,kdm2bb
ENSDARG00000044015,gfra2b
ENSDARG00000075818,dok2
ENSDARG00000011855,AAK1 (1 of 2)
ENSDARG00000058476,stc1l
ENSDARG00000074075,antxr1b
ENSDARG00000005780,npy8br
ENSDARG00000038159,tcf7l1a
ENSDARG00000016187,cxxc1l
ENSDARG00000019457,tfe3b
ENSDARG00000012449,CCDC120 (1 of 2)
ENSDARG00000017742,grm6a
ENSDARG00000035686,MON1B (1 of 2)
ENSDARG00000028721,mapk14b
ENSDARG00000070919,cpne5
ENSDARG00000055307,sypl2a
ENSDARG00000087346,RAP1A (2 of 2)
ENSDARG00000077261,CR628365.1
ENSDARG00000003098,kdm5bb
ENSDARG00000068263,csf1b
ENSDARG00000044895,fmoda
ENSDARG00000070511,CR933820.2
ENSDARG00000002193,rho
ENSDARG00000045204,CACNA2D3 (1 of 2)
ENSDARG00000006990,CABZ01112331.1
ENSDARG00000094738,loxhd1a
ENSDARG00000089790,efna5a
ENSDARG00000060081,crb2b
ENSDARG00000057568,nefla
ENSDARG00000058488,adora2ab
ENSDARG00000044752,p2rx4a
ENSDARG00000028900,odf2
ENSDARG00000079031,si:ch211-22d5.2
ENSDARG00000054319,oxct1b
ENSDARG00000057121,C7 (2 of 2)
ENSDARG00000042159,RFESD (2 of 4)
ENSDARG00000074481,ulk1b
ENSDARG00000088318,ubap2
ENSDARG00000058440,slc6a6b
ENSDARG00000043569,dram2a
ENSDARG00000044524,def6b
ENSDARG00000005704,eps8l3
ENSDARG00000092746,si:ch211-150o23.2
ENSDARG00000090564,PDZD4 (2 of 2)
ENSDARG00000079978,samd10a
ENSDARG00000078973,uckl1b
ENSDARG00000022768,gid8a
ENSDARG00000007682,ppdpfa
ENSDARG00000059956,ptk6b
ENSDARG00000022684,fkbp1aa
ENSDARG00000088762,si:ch211-224l10.4
ENSDARG00000074860,SLC5A7 (2 of 2)
ENSDARG00000074381,farp1
ENSDARG00000037100,ankrd10a
ENSDARG00000053500,cbsa
ENSDARG00000052468,GSK3B (2 of 2)
ENSDARG00000076773,lrrc58a
ENSDARG00000061664,C9H3orf70 (1 of 2)
ENSDARG00000061661,igf2bp2b
ENSDARG00000061732,RAPH1 (2 of 2)
ENSDARG00000000369,prkag3b
ENSDARG00000067785,PARD3B (2 of 2)
ENSDARG00000006816,gtf2f2b
ENSDARG00000002773,htr1fa
ENSDARG00000006299,arhgef7a
ENSDARG00000063253,HECW2 (2 of 2)
ENSDARG00000069548,zgc:162780
ENSDARG00000040065,cx45.6
ENSDARG00000037679,MPC2 (2 of 2)
ENSDARG00000090704,ildr1a
ENSDARG00000014180,ildr2
ENSDARG00000040838,rp42-pen
ENSDARG00000078878,METTL21C (2 of 2)
ENSDARG00000059036,appa
ENSDARG00000014196,myl1
ENSDARG00000036468,GPC6 (1 of 3)
ENSDARG00000079455,nlgn4a
ENSDARG00000005470,kif5aa
ENSDARG00000005377,CLDN10 (1 of 5)
ENSDARG00000001549,sp3a
ENSDARG00000006978,zak
ENSDARG00000042467,tlk1a
ENSDARG00000012586,fmnl2a
ENSDARG00000044532,nr4a2b
ENSDARG00000039335,st6gal2
ENSDARG00000061515,CU468896.1
ENSDARG00000087285,TMEM182 (2 of 2)
ENSDARG00000063352,inpp4aa
ENSDARG00000058733,ihha
ENSDARG00000057633,cxcr4a
ENSDARG00000040039,pttg1ipb
ENSDARG00000074143,myo10l3
ENSDARG00000074921,BX957337.1
ENSDARG00000041735,tmem237a
ENSDARG00000077888,slain1b
ENSDARG00000070991,mlpha
ENSDARG00000095170,lrrfip1b
ENSDARG00000071196,sdprb
ENSDARG00000051824,tmeff2a
ENSDARG00000011188,acvr2aa
ENSDARG00000078416,zeb2b
ENSDARG00000069500,hs6st3b
ENSDARG00000000002,ccdc80
ENSDARG00000058903,GPR161 (2 of 2)
ENSDARG00000061471,sema5b
ENSDARG00000062174,cacnb4b
ENSDARG00000009567,SPEG (1 of 2)
ENSDARG00000011571,calcrlb
ENSDARG00000052470,igfbp2a
ENSDARG00000020845,tns1
ENSDARG00000023302,GPBAR1 (1 of 2)
ENSDARG00000088979,COBLL1 (1 of 2)
ENSDARG00000076799,rnd3a
ENSDARG00000041602,MMADHC (2 of 2)
ENSDARG00000079858,tmem163a
ENSDARG00000042992,crygs1
ENSDARG00000071095,abi3bp
ENSDARG00000040684,plcd4b
ENSDARG00000062812,glsa
ENSDARG00000042940,nab1a
ENSDARG00000003544,adarb1b
ENSDARG00000079420,dpp4
ENSDARG00000079296,gcga
ENSDARG00000061769,bmp10
ENSDARG00000027600,pdlim5b
ENSDARG00000025076,marveld2a
ENSDARG00000019188,ube2l3a
ENSDARG00000079248,mn1b
ENSDARG00000078542,inpp5ja
ENSDARG00000020465,ewsr1b
ENSDARG00000035538,atp6v0a2a
ENSDARG00000044225,GOLPH3 (1 of 2)
ENSDARG00000057995,arl15b
ENSDARG00000067713,snx18a
ENSDARG00000075600,si:dkeyp-41f9.3
ENSDARG00000018898,zfand5a
ENSDARG00000079497,C5H8orf4 (2 of 2)
ENSDARG00000076404,MCTP1 (2 of 2)
ENSDARG00000076551,setd8b
ENSDARG00000076712,RPH3A (2 of 2)
ENSDARG00000008948,PLA2G3 (1 of 2)
