Box1,Box2,cDNA Name,Gene symbol,Biblio data,comments,Complexes,ENSDARG,Epigenetic,Function,Gene Name,GO component,GO function,GO process,Modification,NR-NS,Original Name,ovaries,pattern,PMID,polymerase,primers,Sequence,size,star,submission ZFIN,target entity,Target moleculres,Vector,ZDB_gene,ZFIN probe ID
V110,,FR_6372,bola3,,,,,,,bolA family member 3,cellular_component,NA,biological_process,,NR,GS6202 ,,NR,,T3,ADX299-M13F or PU,CK696278,2,,20 th sending ,,,pDNR-LIB,ZDB-GENE-040801-32,
V111,,FR_5961,polr2eb,,,,ENSDARG00000026183,,,"polymerase (RNA) II (DNA directed) polypeptide E, b","DNA-directed RNA polymerase I complex ; DNA-directed RNA polymerase III complex ; DNA-directed RNA polymerase II, core complex ; nucleus",DNA-directed RNA polymerase activity ; RNA polymerase III activity ; RNA polymerase II activity ; RNA polymerase I activity ; DNA binding,"transcription, DNA-templated",,NR,GS5653 ,,"NR more in eye, tectum, branchial arches",,T3,ADX299-M13F or PU,CK691396,13,,14 th sending,,,pDNR-LIB,ZDB-GENE-040801-83, ZDB-EST-060810-217
V112,,FR_5994,sptlc1,,,,,,,"serine palmitoyltransferase, long chain base subunit 1",membrane ; integral component of membrane,catalytic activity ; pyridoxal phosphate binding,biosynthetic process,,,GS5701,,"G : ECL
ES : ± Ø (EVL)
MS : pronephric ducts
24 h : ± NR, more in pronephric ducts
36 - 48 h : gut",,T3,ADX299-M13F or PU,CK691867,3,1,18 th sending,,,pDNR-LIB,ZDB-GENE-050522-61,
V113,,FR_6489,sh3d19,,,,,,,SH3 domain containing 19,cellular_component,molecular_function,biological_process,,,GS6354,,"G - ES : NR
MS - 24 h : NR, myotomes
36 - 48 h : NR",,T3,ADX299-M13F or PU,CK697612,18,1,,,,pDNR-LIB,ZDB-GENE-050522-481,
V114,,FR_6522,mdc1,,,,ENSDARG00000086764,,,mediator of DNA damage checkpoint 1,,,,,NR,GS6402 ,,NR,,T3,ADX299-M13F or PU,CK698050,18,,14 th sending,,,pDNR-LIB,ZDB-GENE-060810-185, ZDB-EST-060810-475
V115,,FR_6573,barx1,,,,,,,BARX homeobox 1,nucleus,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding ; RNA polymerase II regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; DNA binding","positive regulation of mesenchymal cell proliferation ; pharyngeal system development ; transcription, DNA-templated ; digestive system development ; regulation of transcription, DNA-templated ; cartilage development",,NR,GS6469 ,,NR,,T3,ADX299-M13F or PU,CK699038,3,,20 th sending ,,,pDNR-LIB,ZDB-GENE-050522-28,
V116,,FR_6603,hddc3,,,,,,,HD domain containing 3,cellular_component,"GTP diphosphokinase activity ; metal ion binding ; hydrolase activity ; guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity",response to starvation ; guanosine tetraphosphate metabolic process,,,GS6505,,"G - 5 d: periderm
24 h - 5 d: same + nose, mucous cells
48 h- 5 d: lateral line neuromasts
5 d: + branchial arches, swim bladder",,T3,ADX299-M13F or PU,CK699343,26,1,,,,pDNR-LIB,ZDB-GENE-050417-377,
V117,,FR_6655,abcb11b,,,,,,,"ATP-binding cassette, sub-family B (MDR/TAP), member 11b",membrane ; integral component of membrane,"nucleotide binding ; canalicular bile acid transmembrane transporter activity ; ATP binding ; ATPase activity ; ATPase activity, coupled to transmembrane movement of substances",bile acid and bile salt transport ; transport ; canalicular bile acid transport ; transmembrane transport,,,GS6581,,"G : Ø
ES : pronephric ducts
MS : pronephric ducts, mucous cells, cranial ganglia
24 - 36 h : pronephric ducts, mucous cells, cranial ganglia, neurons in telencephalon, diencephalon, tegmentum, hindbrain, spinal chord, epiphysis, nose
48 h : brain, cranial ganglia, epiphysis, nose, habenula (symetrical or stronger on R)

same as GS6580",,T3,ADX299-M13F or PU,CK699995,23,3,,,,pDNR-LIB,ZDB-GENE-050517-14,
V118,,FR_6788,atp6ap2,,,,,,,"ATPase, H+ transporting, lysosomal accessory protein 2",membrane ; integral component of membrane,receptor activity,intrahepatic bile duct development,,NR,GS6601 ,,NR,,T3,ADX299-M13F or PU,CK700114,2.8,,20 th sending ,,,pDNR-LIB,ZDB-GENE-040426-1960,
V12,V433,CB368,txnipa,,,,,,,thioredoxin interacting protein a,,,,,,CG822,,ventral mesoderm/blood,,T7,PU-RP,CD808433CD808434,2.3,1,sending CB,,,pBSIISK+,ZDB-GENE-030804-10,
V120,,FR_3482,zbtb21,,,,ENSDARG00000043285,,,zinc finger and BTB domain containing 21,,,,,NS,GS459 ,,no staining,,T3,ADX299-M13F or PU,CB351845,4,,9 th sending,,,pDNR-LIB,ZDB-GENE-050411-7, ZDB-EST-050411-150
V121,,FR_3544,zgc:86609,,,,ENSDARG00000029479,,,zgc:86609,ER membrane protein complex ; membrane ; integral component of membrane,molecular_function,protein folding in endoplasmic reticulum,,NR,GS571 ,,NR weak,,T3,ADX299-M13F or PU,CB352265,2.2,,9 th sending,,,pDNR-LIB,ZDB-GENE-050102-7, ZDB-EST-050411-173
V122,,FR_3611,cpsf1,,,,,,,cleavage and polyadenylation specific factor 1,mRNA cleavage and polyadenylation specificity factor complex ; nucleus,nucleic acid binding ; mRNA binding,definitive hemopoiesis ; mRNA cleavage ; mRNA polyadenylation,,NR,GS694 ,,NR,,T3,ADX299-M13F or PU,"CB353490	",1.9,,10 th sending,,,pDNR-LIB,ZDB-GENE-040709-2,
V123,,FR_3710,h2afx,,,,,,,"H2A histone family, member X",nucleosome ; chromosome ; nuclear chromatin ; nucleus,protein heterodimerization activity ; DNA binding,meiotic cell cycle ; cell cycle ; DNA recombination ; chromatin silencing ; cellular response to DNA damage stimulus ; DNA repair,,NR,GS826 ,,NR strong,,T3,ADX299-M13F or PU,"CB355340	",1.3,,10 th sending,,,pDNR-LIB,ZDB-GENE-040426-987,
V124,,FR_3817,tmed4,,,,,,,transmembrane p24 trafficking protein 4,membrane ; integral component of membrane,NA,transport,,NR,GS1006 ,,NR,,T3,ADX299-M13F or PU,"CB357561	",2,,10 th sending,,,pDNR-LIB,ZDB-GENE-040625-140,
V125,,FR_3916,glyr1,"N-PAC=GLYR1, MSH-6, and NSD1 as well as NSD2 were identified as H3K36me3 interactors (Figure 1C; Table S2). Interestingly, these four proteins share a PWWP domain which is part of the Tudor domain “Royal Family” and includes the Tudor, chromo and MBT domains that can interact with methylated lysine residues.",,#,,epi,Histone modification read,glyoxylate reductase 1 homolog (Arabidopsis),nucleus,epoxyqueuosine reductase activity ; malolactic enzyme activity ; reduced coenzyme F420 dehydrogenase activity ; N-ethylmaleimide reductase activity ; sulfur oxygenase reductase activity ; phosphogluconate dehydrogenase (decarboxylating) activity ; NADPH:sulfur oxidoreductase activity ; methylated histone binding ; oxidoreductase activity ; NAD binding,oxidation-reduction process,#,NR,GS1096 ,,"NR, > 24 h more in retina, tectum and mytomes ++",20850016,T3,ADX299-M13F or PU,"CB359425	",3,,10 th sending,#,H3K4me3,pDNR-LIB,ZDB-GENE-041121-5,
V126,,FR_4008,ndufa9a,,,,,,,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9a",NA,coenzyme binding ; catalytic activity ; NADH dehydrogenase activity,response to hypoxia ; ubiquinone-6 biosynthetic process,,NR,GS1209 ,,NR,,T3,ADX299-M13F or PU,"CB360696	",1.55,,10 th sending,,,pDNR-LIB,ZDB-GENE-050320-20,
V127,,FR_4111,c1galt1c1,,,,,,,C1GALT1-specific chaperone 1,NA,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity,"O-glycan processing, core 1",,NS,GS1333 ,,no staining,,T3,ADX299-M13F or PU,"CB361839	",1.6,,10 th sending,,,pDNR-LIB,ZDB-GENE-030131-2772,
V128,,FR_4210,rbm19,,,,,,,RNA binding motif protein 19,NA,nucleotide binding ; nucleic acid binding ; RNA binding,digestive tract morphogenesis,,NR,GS1461 ,,NR,,T3,ADX299-M13F or PU,"CB363021	",3,,10 th sending,,,pDNR-LIB,ZDB-GENE-031125-3,
V129,,FR_4292,zgc:112964,,,,,,,zgc:112964,cellular_component,molecular_function,cell-matrix adhesion,,NR,GS1566 ,,NR,,T3,ADX299-M13F or PU,"CB363826	",2.3,,11 th sending,,,pDNR-LIB,ZDB-GENE-050306-47,
V13,V434,CB675,ved,,,,,,,ventrally expressed dharma/bozozok antagonist,nucleus,"DNA binding ; transcription factor activity, sequence-specific DNA binding",regulation of mesodermal cell fate specification ; regulation of endodermal cell fate specification ; post-anal tail morphogenesis ; Spemann organizer formation ; endocrine pancreas development ; spinal cord motor neuron cell fate specification ; neuron projection morphogenesis ; regulation of transcription from RNA polymerase II promoter ; dorsal/ventral pattern formation,,,CG982,,"G : ventral half, marginal evl, Es : ventral epidermis, tail bud, MS : posterior retina, lateral most part of the heart primordium, small dorsal region of somites, 24h : tail bud, aer dorsa and caudal somites, 36-48 h : same",,T7,PU-RP,CF269265 ,1.1,4,sending CB,,,pBSIISK+,ZDB-GENE-030813-1,
V130,,FR_4392,armc8,,,,,,,armadillo repeat containing 8,cellular_component,NA,biological_process,,NS,GS1690 ,,no staining,,T3,ADX299-M13F or PU,"CB364652	",2.1,,11 th sending,,,pDNR-LIB,ZDB-GENE-061027-88,
V131,,FR_1101,eif2b3,,,,ENSDARG00000018106,,,"eukaryotic translation initiation factor 2B, subunit 3 gamma",NA,nucleotidyltransferase activity ; translation initiation factor activity,biosynthetic process ; translational initiation ; translation,,NR,GS1845 ,,NR,,T3,ADX299-M13F or PU,CB365731,2.1,,2 nd sending,,,pDNR-LIB,ZDB-GENE-040426-1039, ZDB-EST-040914-53
V132,,FR_1178,rap1aa,,,,ENSDARG00000012553,,,"RAP1A, member of RAS oncogene family a",membrane,MAP kinase kinase activity ; nucleotide binding ; GTP binding,chondrocyte intercalation involved in growth plate cartilage morphogenesis ; convergent extension ; small GTPase mediated signal transduction ; signal transduction ; cartilage morphogenesis ; heart development,,NR,GS1930 ,,NR,,T3,ADX299-M13F or PU,CK674244,1.5,,2 nd sending,,,pDNR-LIB,ZDB-GENE-040625-167, ZDB-EST-040914-101
V133,,FR_1275,dexi,,,,,,,Dexi homolog (mouse),cellular_component,molecular_function,biological_process,,NS,GS2057 ,,no staining,,T3,ADX299-M13F or PU,CK675464,1.5,,2 nd sending,,,pDNR-LIB,ZDB-GENE-040808-20,
V134,,FR_1359,prpf8,,,,ENSDARG00000026180,,,pre-mRNA processing factor 8,U5 snRNP ; spliceosomal complex ; catalytic step 2 spliceosome,U5 snRNA binding ; U2 snRNA binding ; nucleic acid binding ; U1 snRNA binding ; second spliceosomal transesterification activity ; U6 snRNA binding ; pre-mRNA intronic binding ; RNA binding,"spliceosomal tri-snRNP complex assembly ; mRNA splicing, via spliceosome",,NR,GS2174 ,,NR,,T3,ADX299-M13F or PU,CK676397,3,,3 rd sending,,,pDNR-LIB,ZDB-GENE-030131-577, ZDB-EST-041008-78
V135,,FR_1399,txndc11,,,,ENSDARG00000101291,,,thioredoxin domain containing 11,membrane ; integral component of membrane,protein disulfide isomerase activity,cell redox homeostasis ; response to endoplasmic reticulum stress,,NR,GS2222,,NR,,T3,ADX299-M13F or PU,CK676747,1.9,,3 rd sending,,,pDNR-LIB,ZDB-GENE-041008-112, ZDB-EST-041008-104
V136,,FR_1479,gtf3c4,hTFIIIC90=GTF3C4 has an intrinsic histone acetyltransferase activity with a substrate specificity for histone H3.,,#,ENSDARG00000069538,epi,Histone modification write,"general transcription factor IIIC, polypeptide 4",cellular_component,molecular_function,biological_process,Histone acetylation,NR,GS2322 ,,NR strong,10523658,T3,ADX299-M13F or PU,CK677362,2,,3 rd sending,#,H3,pDNR-LIB,ZDB-GENE-041008-147, ZDB-EST-041008-160
V137,,FR_1576,sf3a3,,,,ENSDARG00000100114,,,"splicing factor 3a, subunit 1",U2 snRNP ; U2-type prespliceosome ; catalytic step 2 spliceosome,RNA binding,mRNA 3'-splice site recognition ; RNA processing,,NR,GS2447 ,,NR,,T3,ADX299-M13F or PU,CK678242,2.8,,3 rd sending,,,pDNR-LIB,ZDB-GENE-030616-156, ZDB-EST-041008-224
V138,,FR_1682,ube3a,,,,,,,ubiquitin protein ligase E3A,NA,ligase activity ; ubiquitin protein ligase activity ; ubiquitin-protein transferase activity,androgen receptor signaling pathway ; protein ubiquitination involved in ubiquitin-dependent protein catabolic process,,NR,GS2589  ,,NR,,T3,ADX299-M13F or PU,CK679369,2.1,,3 rd sending,,,pDNR-LIB,ZDB-GENE-041114-190,
V139,,FR_1770,timm44,,,,,,,translocase of inner mitochondrial membrane 44 homolog (yeast),mitochondrial inner membrane ; membrane ; mitochondrion,chaperone binding,protein transport ; transport ; protein import into mitochondrial matrix,,NS,GS2727 ,,no staining,,T3,ADX299-M13F or PU,CK680583,2,,3 rd sending,,,pDNR-LIB,ZDB-GENE-030131-145,
V14,V435,CB747,vgll4l,,,,,,,vestigial like 4 like,cellular_component,molecular_function,"embryonic cranial skeleton morphogenesis ; regulation of transcription, DNA-templated",,,CG1279,,"G : forerunner cells, ES, MS : Ø, 24 hrs : pharyngeal endoderm, ear",,T7,PU-RP,CF269289 ,1.7,2,sending CB,,,pBSIISK+,ZDB-GENE-070112-1682,
V140,,FR_1821,im:6911658,,,,,,,im:6911658,,,,,NR,GS2823 ,,weak NR,,T3,ADX299-M13F or PU,CK674530,0.95,,3 rd sending,,,pDNR-LIB,ZDB-GENE-041008-33,
V141,,FR_1889,im:7136452,,,,,,,im:7136452,,,,,NR,GS2922 ,,"NR, + liver",,T3,ADX299-M13F or PU,CK675816,2.2,,3 rd sending,,,pDNR-LIB,ZDB-GENE-041008-85,
V142,,FR_1972,im:7138388,,,,,,,im:7138388,,,,,NR,GS3040 ,,NR more in pancreas,,T3,ADX299-M13F or PU,CK677465,2.5,,4 th sending,,,pDNR-LIB,ZDB-GENE-041111-44,
V143,,FR_2021,ckap5,,,,,,,cytoskeleton associated protein 5,cellular_component,NA,biological_process,,NR,GS3134 ,,NR linked to cell proliferation,,T3,ADX299-M13F or PU,CK681527,2.2,,4 th sending,,,pDNR-LIB,ZDB-GENE-051120-174,
V144,,FR_2106,zfr,,,,ENSDARG00000027109,,,zinc finger RNA binding protein,cytoplasm ; nucleus,metal ion binding ; nucleic acid binding ; RNA binding ; zinc ion binding ; DNA binding,multicellular organism development,,NR,GS3246 ,,± NR,,T3,ADX299-M13F or PU,CK682341,2.3,,4 th sending,,,pDNR-LIB,ZDB-GENE-030131-378, ZDB-EST-041111-123
V145,,FR_2125,pcsk6,,,,,,,proprotein convertase subtilisin/kexin type 6,cellular_component,molecular_function,biological_process,,NR,GS3345 ,,NR,,T3,ADX299-M13F or PU,CK679194,1.6,,4 th sending,,,pDNR-LIB,ZDB-GENE-100908-1,
V146,,FR_2135,im:7140695,,,,,,,im:7140695,,,,,NR,GS3530 ,,NR,,T3,ADX299-M13F or PU,CK679336,1.5,,4 th sending,,,pDNR-LIB,ZDB-GENE-041111-118,
V147,,FR_2154,nr1h3,,,,,,,"nuclear receptor subfamily 1, group H, member 3",nucleus,"metal ion binding ; RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding ; steroid hormone receptor activity ; zinc ion binding ; sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","steroid hormone mediated signaling pathway ; embryonic viscerocranium morphogenesis ; transcription, DNA-templated ; lipid homeostasis ; regulation of transcription, DNA-templated ; regulation of transcription from RNA polymerase II promoter",,NR,GS3559 ,,NR,,T3,ADX299-M13F or PU,CK679793,4,,4 th sending,,,pDNR-LIB,ZDB-GENE-050410-7,
V148,,FR_2409,si:dkeyp-93d12.1,,,,ENSDARG00000014039,,,si:dkeyp-93d12.1,,,,,NS,GS3673 ,,no staining,,T3,ADX299-M13F or PU,CK681706,2.2,,"7 th sending
",,,pDNR-LIB,ZDB-GENE-041014-303, ZDB-EST-050208-232
V149,,FR_2442,im:7144531,,,,,,,im:7144531,,,,,NR,GS3806 ,,NR,,T3,ADX299-M13F or PU,CK682497,2,,"7 th sending
",,,pDNR-LIB,ZDB-GENE-050208-166,
V15,V404,CB17,znfl1,,,,,,,zinc finger-like gene 1,NA,metal ion binding ; nucleic acid binding ; zinc ion binding,NA,,,AS 56,,"G : margin excepted in the axis in both epiblast and hypoblast. 
ES : paraxial mesoderm of the segmental plate, posterior neural plate.
MS : same disappearing anteriorly from ventral and axial to dorsal and lateral
24 hrs : same observation at the tip of the tail
36 hrs : Ø
48 hrs : Ø",,T7,PU-RP,BI325089BI325090,22,4,sending CB,,,pBSIISK+,ZDB-GENE-030828-6,
V150,,FR_2544,im:7145328,,,,,,,im:7145328,,,,,NR,GS3862 ,,NR,,T3,ADX299-M13F or PU,CK683121,1.4,,"7 th sending
",,,pDNR-LIB,ZDB-GENE-050208-198,
V151,,FR_2639,im:7146137,,,,,,,im:7146137,,,,,NS,GS3996 ,,NS,,T3,ADX299-M13F or PU,CK683789,1.9,,7 th sending,,,pDNR-LIB,ZDB-GENE-050208-223,
V152,,FR_2679,im:7147555,,,,,,,im:7147555,,,,,NR,GS4064 ,,NR,,T3,ADX299-M13F or PU,CK685022,0.95,,7 th sending,,,pDNR-LIB,ZDB-GENE-050208-289,
V153,,FR_2697,mib1,,,,,,,mindbomb E3 ubiquitin protein ligase 1,protein complex ; microtubule organizing center ; endocytic vesicle ; cytoskeleton ; cytoplasmic vesicle ; membrane ; perinuclear region of cytoplasm ; plasma membrane ; ubiquitin ligase complex ; cytoplasm,"protein-glycine ligase activity, elongating ; coenzyme F420-2 alpha-glutamyl ligase activity ; protein-glutamic acid ligase activity ; coenzyme F420-0 gamma-glutamyl ligase activity ; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity ; protein-glycine ligase activity ; ribosomal S6-glutamic acid ligase activity ; protein-glycine ligase activity, initiating ; tubulin-glutamic acid ligase activity ; tubulin-glycine ligase activity ; ligase activity ; metal ion binding ; protein homodimerization activity ; zinc ion binding ; ubiquitin-protein transferase activity ; protein binding",taste bud formation ; inner ear receptor cell differentiation ; optic cup formation involved in camera-type eye development ; trigeminal ganglion development ; lateral line nerve development ; rhombomere development ; formation of anatomical boundary ; regulation of glial cell differentiation ; positive regulation of protein ubiquitination ; spinal cord development ; embryonic camera-type eye development ; anterior lateral line development ; regulation of receptor-mediated endocytosis ; ventral spinal cord interneuron differentiation ; spinal cord association neuron specification ; ventral spinal cord interneuron specification ; neuron fate commitment ; epithelial cell development ; regulation of receptor internalization ; glial cell differentiation ; floor plate formation ; neuron fate specification ; endothelial cell development ; habenula development ; notochord cell development ; otic vesicle development ; diencephalon development ; pronephric duct development ; hair cell differentiation ; posterior lateral line development ; notochord development ; Notch signaling pathway ; ubiquitin-dependent endocytosis ; digestive tract morphogenesis ; blood vessel development ; neural retina development ; melanocyte differentiation ; rhombomere boundary formation ; hindbrain development ; regulation of Notch signaling pathway ; protein autoubiquitination ; embryonic pattern specification ; positive regulation of Notch signaling pathway ; hemopoiesis ; regulation of neuron differentiation ; central nervous system development ; brain development ; spinal cord motor neuron cell fate specification ; neuron development ; multicellular organism development ; protein ubiquitination ; blood vessel morphogenesis ; neuron differentiation ; positive regulation of cell proliferation ; generation of neurons ; determination of left/right symmetry ; vasculogenesis ; hematopoietic stem cell differentiation ; somitogenesis ; pronephros development ; heart development,,NS,GS4178 ,,NS,,T3,ADX299-M13F or PU,CK685510,1.9,,7 th sending,,,pDNR-LIB,ZDB-GENE-030404-2,
V154,,FR_2880,im:7149561,,,,,,,im:7149561,,,,,NR,GS4356 ,,"NR, more in somites at MS",,T3,ADX299-M13F or PU,CK686801,2.5,,8 th sending,,,pDNR-LIB,ZDB-GENE-050309-119,
V155,,FR_2924,im:7150699,,,,,,,im:7150699,,,,,NR,GS4420 ,,NR,,T3,ADX299-M13F or PU,CK687718,1.3,,8 th sending,,,pDNR-LIB,ZDB-GENE-050309-154,
V156,,FR_3006,prob1,,,,ENSDARG00000086705,,,proline-rich basic protein 1,cellular_component,molecular_function,biological_process,,NR,GS4528 ,,NR,,T3,ADX299-M13F or PU,CK688149,1.9,,8 th sending,,,pDNR-LIB,ZDB-GENE-050309-179, ZDB-EST-050309-182
V157,,FR_3139,ppp1r3ab,,,,ENSDARG00000088813,,,"protein phosphatase 1, regulatory subunit 13Bb",NA,transcription factor binding,negative regulation of cell cycle ; apoptotic process,,NS,GS4724 ,,NS,,T3,ADX299-M13F or PU,CK689862,3.1,,8 th sending,,,pDNR-LIB,ZDB-GENE-030131-4327, ZDB-EST-050309-257
V158,,FR_3158,im:7153709,,,,,,,im:7153709,,,,,NR,GS4763 ,,NR,,T3,ADX299-M13F or PU,CK690371,2.5,,8 th sending,,,pDNR-LIB,ZDB-GENE-050309-259,
