si:ch211-64i20.6 [Source:ZFIN;Acc:ZDB-GENE-141212-85]
microRNA 140 [Source:ZFIN;Acc:ZDB-GENE-081006-2]
microRNA 24-4 [Source:ZFIN;Acc:ZDB-GENE-081209-10]
microRNA 196d [Source:ZFIN;Acc:ZDB-GENE-050712-2]
si:dkey-5o10.1 [Source:ZFIN;Acc:ZDB-GENE-141216-453]
si:dkey-205l13.1 [Source:ZFIN;Acc:ZDB-GENE-141216-445]
si:ch211-89i1.3 [Source:ZFIN;Acc:ZDB-GENE-131127-140]
si:dkey-48o4.1 [Source:ZFIN;Acc:ZDB-GENE-131125-25]
si:dkey-207j16.8 [Source:ZFIN;Acc:ZDB-GENE-041210-361]
si:dkey-207j16.4 [Source:ZFIN;Acc:ZDB-GENE-041210-334]
si:dkey-207j16.4 [Source:ZFIN;Acc:ZDB-GENE-041210-334]
si:dkey-207j16.11 [Source:ZFIN;Acc:ZDB-GENE-131121-618]
si:dkey-207j16.7 [Source:ZFIN;Acc:ZDB-GENE-041210-362]
si:ch211-145h19.2 [Source:ZFIN;Acc:ZDB-GENE-110914-65]
si:dkey-33i22.1 [Source:ZFIN;Acc:ZDB-GENE-040724-154]
si:dkey-48o4.3 [Source:ZFIN;Acc:ZDB-GENE-131121-483]
si:ch211-197b11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-255]
si:ch211-179l5.5 [Source:ZFIN;Acc:ZDB-GENE-110914-105]
si:ch211-179l5.5 [Source:ZFIN;Acc:ZDB-GENE-110914-105]
si:dkey-69p21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-535]
si:dkey-69p21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-535]
si:dkey-166k12.6 [Source:ZFIN;Acc:ZDB-GENE-141216-234]
si:dkey-193d10.9 [Source:ZFIN;Acc:ZDB-GENE-131122-24]
si:dkey-29l4.4 [Source:ZFIN;Acc:ZDB-GENE-131122-41]
si:dkey-230e6.3 [Source:ZFIN;Acc:ZDB-GENE-131121-156]
si:dkeyp-98f5.1 [Source:ZFIN;Acc:ZDB-GENE-131120-75]
si:dkeyp-98f5.1 [Source:ZFIN;Acc:ZDB-GENE-131120-75]
si:dkeyp-98f5.1 [Source:ZFIN;Acc:ZDB-GENE-131120-75]
si:ch211-287n14.5 [Source:ZFIN;Acc:ZDB-GENE-131121-502]
si:ch211-87l8.4 [Source:ZFIN;Acc:ZDB-GENE-130531-60]
si:dkey-193d10.1 [Source:ZFIN;Acc:ZDB-GENE-131122-46]
si:dkey-220o21.5 [Source:ZFIN;Acc:ZDB-GENE-110913-95]
si:dkey-157e10.7 [Source:ZFIN;Acc:ZDB-GENE-110914-224]
si:dkey-74i1.5 [Source:ZFIN;Acc:ZDB-GENE-131120-68]
si:dkey-74i1.5 [Source:ZFIN;Acc:ZDB-GENE-131120-68]
si:dkey-74i1.5 [Source:ZFIN;Acc:ZDB-GENE-131120-68]
si:ch73-156l6.2 [Source:ZFIN;Acc:ZDB-GENE-131121-453]
si:ch211-76l23.6 [Source:ZFIN;Acc:ZDB-GENE-120215-113]
si:dkey-74i1.3 [Source:ZFIN;Acc:ZDB-GENE-131125-74]
si:dkey-222o15.1 [Source:ZFIN;Acc:ZDB-GENE-110914-170]
si:dkey-147f20.9 [Source:ZFIN;Acc:ZDB-GENE-141216-333]
si:dkey-222o15.2 [Source:ZFIN;Acc:ZDB-GENE-110914-116]
si:dkey-222o15.3 [Source:ZFIN;Acc:ZDB-GENE-110914-138]
si:dkey-288d17.2 [Source:ZFIN;Acc:ZDB-GENE-131121-407]
si:dkey-257e4.6 [Source:ZFIN;Acc:ZDB-GENE-131121-258]
si:ch73-91k6.8 [Source:ZFIN;Acc:ZDB-GENE-130603-80]
si:ch211-68a17.5 [Source:ZFIN;Acc:ZDB-GENE-131127-348]
si:ch73-91k6.7 [Source:ZFIN;Acc:ZDB-GENE-130531-61]
si:ch73-384n10.7 [Source:ZFIN;Acc:ZDB-GENE-141212-379]
si:ch211-270h14.1 [Source:ZFIN;Acc:ZDB-GENE-130603-105]
si:ch211-270h14.1 [Source:ZFIN;Acc:ZDB-GENE-130603-105]
si:ch211-270h14.1 [Source:ZFIN;Acc:ZDB-GENE-130603-105]
si:ch211-270h14.1 [Source:ZFIN;Acc:ZDB-GENE-130603-105]
si:ch211-194e18.1 [Source:ZFIN;Acc:ZDB-GENE-131121-597]
si:ch211-194e18.1 [Source:ZFIN;Acc:ZDB-GENE-131121-597]
si:dkey-3n7.6 [Source:ZFIN;Acc:ZDB-GENE-050420-4]
si:dkey-117p18.2 [Source:ZFIN;Acc:ZDB-GENE-130603-10]
si:dkey-9i5.1 [Source:ZFIN;Acc:ZDB-GENE-110914-220]
si:ch73-91k6.6 [Source:ZFIN;Acc:ZDB-GENE-130603-26]
si:dkey-1p9.4 [Source:ZFIN;Acc:ZDB-GENE-070912-427]
si:ch73-91k6.1 [Source:ZFIN;Acc:ZDB-GENE-130530-1046]
si:dkey-236a14.14 [Source:ZFIN;Acc:ZDB-GENE-131121-107]
si:dkey-273g18.4 [Source:ZFIN;Acc:ZDB-GENE-131121-164]
si:dkey-9p20.19 [Source:ZFIN;Acc:ZDB-GENE-070705-516]
si:dkey-23k6.2 [Source:ZFIN;Acc:ZDB-GENE-130603-50]
si:zfos-1056b4.1 [Source:ZFIN;Acc:ZDB-GENE-121214-281]
si:ch211-117o2.2 [Source:ZFIN;Acc:ZDB-GENE-160728-72]
si:ch211-209n20.60 [Source:ZFIN;Acc:ZDB-GENE-131121-168]
si:dkey-220a11.5 [Source:ZFIN;Acc:ZDB-GENE-070705-383]
si:dkey-220a11.5 [Source:ZFIN;Acc:ZDB-GENE-070705-383]
si:ch211-194h1.1 [Source:ZFIN;Acc:ZDB-GENE-110913-69]
si:dkeyp-3b12.11 [Source:ZFIN;Acc:ZDB-GENE-141216-214]
si:dkey-77p23.8 [Source:ZFIN;Acc:ZDB-GENE-141216-418]
si:ch211-69i3.3 [Source:ZFIN;Acc:ZDB-GENE-070424-191]
si:ch211-69i3.3 [Source:ZFIN;Acc:ZDB-GENE-070424-191]
si:dkeyp-72g8.1 [Source:ZFIN;Acc:ZDB-GENE-120215-260]
si:ch1073-84g19.1 [Source:ZFIN;Acc:ZDB-GENE-131127-82]
si:dkey-77p23.6 [Source:ZFIN;Acc:ZDB-GENE-141216-76]
si:dkeyp-3b12.5 [Source:ZFIN;Acc:ZDB-GENE-141216-74]
si:dkeyp-3b12.12 [Source:ZFIN;Acc:ZDB-GENE-141216-300]
si:dkeyp-3b12.8 [Source:ZFIN;Acc:ZDB-GENE-141216-174]
si:dkey-16f21.2 [Source:ZFIN;Acc:ZDB-GENE-141216-163]
si:dkeyp-3b12.6 [Source:ZFIN;Acc:ZDB-GENE-141216-73]
si:dkeyp-3b12.13 [Source:ZFIN;Acc:ZDB-GENE-141216-412]
si:dkeyp-3b12.9 [Source:ZFIN;Acc:ZDB-GENE-141216-175]
si:dkeyp-3b12.7 [Source:ZFIN;Acc:ZDB-GENE-141216-75]
si:dkey-62j22.4 [Source:ZFIN;Acc:ZDB-GENE-131127-497]
si:dkeyp-3b12.15 [Source:ZFIN;Acc:ZDB-GENE-141216-422]
si:dkeyp-3b12.10 [Source:ZFIN;Acc:ZDB-GENE-141216-177]
si:ch73-17k20.1 [Source:ZFIN;Acc:ZDB-GENE-090313-138]
si:dkey-54i3.5 [Source:ZFIN;Acc:ZDB-GENE-141216-232]
si:dkey-54i3.2 [Source:ZFIN;Acc:ZDB-GENE-060531-146]
si:dkey-23a17.3 [Source:ZFIN;Acc:ZDB-GENE-060531-118]
si:dkey-45l12.3 [Source:ZFIN;Acc:ZDB-GENE-131120-157]
si:dkey-45l12.2 [Source:ZFIN;Acc:ZDB-GENE-131119-73]
si:dkey-199k11.8 [Source:ZFIN;Acc:ZDB-GENE-060526-240]
si:dkey-199k11.8 [Source:ZFIN;Acc:ZDB-GENE-060526-240]
si:dkey-199k11.8 [Source:ZFIN;Acc:ZDB-GENE-060526-240]
si:ch73-277m3.2 [Source:ZFIN;Acc:ZDB-GENE-160114-29]
si:dkey-14a7.3 [Source:ZFIN;Acc:ZDB-GENE-041014-305]
si:dkey-14a7.7 [Source:ZFIN;Acc:ZDB-GENE-130603-16]
si:cabz01083815.1 [Source:ZFIN;Acc:ZDB-GENE-160114-50]
si:dkey-22h13.7 [Source:ZFIN;Acc:ZDB-GENE-120709-64]
si:dkey-22h13.5 [Source:ZFIN;Acc:ZDB-GENE-120709-23]
si:dkey-22h13.5 [Source:ZFIN;Acc:ZDB-GENE-120709-23]
si:dkey-22h13.6 [Source:ZFIN;Acc:ZDB-GENE-120709-65]
si:dkey-22h13.4 [Source:ZFIN;Acc:ZDB-GENE-120709-42]
si:dkey-241l7.10 [Source:ZFIN;Acc:ZDB-GENE-041014-236]
si:dkey-241l7.10 [Source:ZFIN;Acc:ZDB-GENE-041014-236]
si:dkey-241l7.10 [Source:ZFIN;Acc:ZDB-GENE-041014-236]
si:ch211-254p5.2 [Source:ZFIN;Acc:ZDB-GENE-131127-208]
si:ch211-254p5.2 [Source:ZFIN;Acc:ZDB-GENE-131127-208]
si:dkey-40j3.4 [Source:ZFIN;Acc:ZDB-GENE-131121-91]
si:ch73-301c19.3 [Source:ZFIN;Acc:ZDB-GENE-081104-278]
si:ch211-73m21.3 [Source:ZFIN;Acc:ZDB-GENE-120709-8]
si:ch211-73m21.2 [Source:ZFIN;Acc:ZDB-GENE-120709-68]
si:ch211-73m21.2 [Source:ZFIN;Acc:ZDB-GENE-120709-68]
si:ch211-73m21.2 [Source:ZFIN;Acc:ZDB-GENE-120709-68]
si:ch211-195b15.9 [Source:ZFIN;Acc:ZDB-GENE-131121-167]
si:zfos-1505d6.7 [Source:ZFIN;Acc:ZDB-GENE-130531-29]
si:dkey-238o14.4 [Source:ZFIN;Acc:ZDB-GENE-110914-86]
si:ch211-203o8.5 [Source:ZFIN;Acc:ZDB-GENE-060503-116]
si:zfos-1537b9.2 [Source:ZFIN;Acc:ZDB-GENE-131127-448]
si:dkey-26o16.4 [Source:ZFIN;Acc:ZDB-GENE-131127-290]
si:ch211-14j20.2 [Source:ZFIN;Acc:ZDB-GENE-131126-42]
si:ch211-282f6.1 [Source:ZFIN;Acc:ZDB-GENE-131127-360]
si:ch211-193l2.8 [Source:ZFIN;Acc:ZDB-GENE-160114-32]
si:ch211-212k5.2 [Source:ZFIN;Acc:ZDB-GENE-110913-71]
si:ch211-212k5.2 [Source:ZFIN;Acc:ZDB-GENE-110913-71]
si:ch211-199m9.3 [Source:ZFIN;Acc:ZDB-GENE-110914-18]
si:dkey-15f23.2 [Source:ZFIN;Acc:ZDB-GENE-130531-54]
si:dkey-153m14.1 [Source:ZFIN;Acc:ZDB-GENE-120215-41]
si:dkey-197m7.1 [Source:ZFIN;Acc:ZDB-GENE-131118-19]
si:ch211-129o13.2 [Source:ZFIN;Acc:ZDB-GENE-131120-110]
si:dkey-54h16.1 [Source:ZFIN;Acc:ZDB-GENE-131121-383]
si:dkey-221l21.2 [Source:ZFIN;Acc:ZDB-GENE-030804-19]
si:ch73-14o21.1 [Source:ZFIN;Acc:ZDB-GENE-131127-634]
si:ch211-225h9.2 [Source:ZFIN;Acc:ZDB-GENE-130531-30]
si:ch211-225h9.2 [Source:ZFIN;Acc:ZDB-GENE-130531-30]
zgc:194207 [Source:ZFIN;Acc:ZDB-GENE-081022-74]
si:ch211-125h11.1 [Source:ZFIN;Acc:ZDB-GENE-141216-69]
si:ch211-207d24.1 [Source:ZFIN;Acc:ZDB-GENE-121214-242]
si:dkey-29h14.11 [Source:ZFIN;Acc:ZDB-GENE-131121-359]
si:ch211-59d2.2 [Source:ZFIN;Acc:ZDB-GENE-160114-6]
si:dkey-225n22.7 [Source:ZFIN;Acc:ZDB-GENE-131121-357]
si:dkeyp-91b5.1 [Source:ZFIN;Acc:ZDB-GENE-131120-190]
si:ch73-376k6.1 [Source:ZFIN;Acc:ZDB-GENE-131127-516]
si:cabz01012857.1 [Source:ZFIN;Acc:ZDB-GENE-160113-55]
si:cabz01012857.1 [Source:ZFIN;Acc:ZDB-GENE-160113-55]
si:ch211-104f13.3 [Source:ZFIN;Acc:ZDB-GENE-131127-301]
si:ch73-223k16.1 [Source:ZFIN;Acc:ZDB-GENE-160114-42]
si:ch73-148i8.2 [Source:ZFIN;Acc:ZDB-GENE-131125-56]
si:dkey-155d18.1 [Source:ZFIN;Acc:ZDB-GENE-040724-195]
si:dkey-205f16.2 [Source:ZFIN;Acc:ZDB-GENE-141216-171]
si:dkey-49o11.2 [Source:ZFIN;Acc:ZDB-GENE-060531-143]
si:dkey-49o11.2 [Source:ZFIN;Acc:ZDB-GENE-060531-143]
si:dkey-81i14.5 [Source:ZFIN;Acc:ZDB-GENE-120709-28]
si:ch211-265g21.1 [Source:ZFIN;Acc:ZDB-GENE-121214-158]
si:ch211-272f15.5 [Source:ZFIN;Acc:ZDB-GENE-091118-11]
si:dkey-29b5.3 [Source:ZFIN;Acc:ZDB-GENE-130603-78]
si:ch211-69p5.1 [Source:ZFIN;Acc:ZDB-GENE-121214-330]
si:ch1073-172f18.2 [Source:ZFIN;Acc:ZDB-GENE-070912-3]
si:ch211-226h8.16 [Source:ZFIN;Acc:ZDB-GENE-141216-199]
si:dkey-61o18.2 [Source:ZFIN;Acc:ZDB-GENE-131127-321]
si:ch211-278b7.7 [Source:ZFIN;Acc:ZDB-GENE-081104-221]
si:ch211-265g21.2 [Source:ZFIN;Acc:ZDB-GENE-121214-304]
si:ch211-278b7.9 [Source:ZFIN;Acc:ZDB-GENE-131121-312]
si:ch211-247g11.2 [Source:ZFIN;Acc:ZDB-GENE-131127-367]
si:ch211-261i24.2 [Source:ZFIN;Acc:ZDB-GENE-141216-267]
si:dkey-41e15.4 [Source:ZFIN;Acc:ZDB-GENE-130603-6]
si:ch211-261o3.5 [Source:ZFIN;Acc:ZDB-GENE-131119-23]
si:ch73-264i18.3 [Source:ZFIN;Acc:ZDB-GENE-141216-184]
si:dkey-284m18.1 [Source:ZFIN;Acc:ZDB-GENE-130603-97]
si:dkey-78a14.7 [Source:ZFIN;Acc:ZDB-GENE-160728-29]
si:dkey-78a14.6 [Source:ZFIN;Acc:ZDB-GENE-160728-71]
si:ch211-163f17.1 [Source:ZFIN;Acc:ZDB-GENE-141216-291]
si:ch211-261o3.3 [Source:ZFIN;Acc:ZDB-GENE-131127-628]
si:dkey-87o1.3 [Source:ZFIN;Acc:ZDB-GENE-160113-63]
si:ch1073-425j19.2 [Source:ZFIN;Acc:ZDB-GENE-131127-522]
si:ch211-253b8.6 [Source:ZFIN;Acc:ZDB-GENE-141215-67]
si:ch211-194e2.5 [Source:ZFIN;Acc:ZDB-GENE-141216-397]
si:dkey-62k3.4 [Source:ZFIN;Acc:ZDB-GENE-141216-208]
si:dkey-219e20.3 [Source:ZFIN;Acc:ZDB-GENE-121214-260]
si:ch211-136k14.3 [Source:ZFIN;Acc:ZDB-GENE-141216-357]
si:dkey-61o18.3 [Source:ZFIN;Acc:ZDB-GENE-141222-45]
si:dkey-61o18.3 [Source:ZFIN;Acc:ZDB-GENE-141222-45]
si:ch211-72a16.11 [Source:ZFIN;Acc:ZDB-GENE-131127-241]
si:ch211-247l22.4 [Source:ZFIN;Acc:ZDB-GENE-131127-159]
si:dkey-108f8.9 [Source:ZFIN;Acc:ZDB-GENE-131121-172]
si:dkey-54g2.3 [Source:ZFIN;Acc:ZDB-GENE-041014-141]
si:ch73-240m14.2 [Source:ZFIN;Acc:ZDB-GENE-131120-159]
si:ch73-208g21.1 [Source:ZFIN;Acc:ZDB-GENE-131121-248]
si:ch73-21k16.6 [Source:ZFIN;Acc:ZDB-GENE-130603-35]
si:dkey-201g16.6 [Source:ZFIN;Acc:ZDB-GENE-120703-26]
si:dkey-146m20.1 [Source:ZFIN;Acc:ZDB-GENE-041210-341]
si:ch211-66o10.5 [Source:ZFIN;Acc:ZDB-GENE-131120-132]
si:ch211-152f2.5 [Source:ZFIN;Acc:ZDB-GENE-121214-299]
si:dkey-15k16.3 [Source:ZFIN;Acc:ZDB-GENE-131121-203]
si:dkey-15k16.1 [Source:ZFIN;Acc:ZDB-GENE-131120-17]
si:dkey-15k16.1 [Source:ZFIN;Acc:ZDB-GENE-131120-17]
si:dkey-15k16.1 [Source:ZFIN;Acc:ZDB-GENE-131120-17]
si:ch211-218p16.1 [Source:ZFIN;Acc:ZDB-GENE-141216-472]
si:dkey-10f21.19 [Source:ZFIN;Acc:ZDB-GENE-131126-65]
si:dkey-146n1.4 [Source:ZFIN;Acc:ZDB-GENE-110914-201]
si:dkey-146n1.4 [Source:ZFIN;Acc:ZDB-GENE-110914-201]
si:ch211-132i7.2 [Source:ZFIN;Acc:ZDB-GENE-131120-163]
si:ch211-66o10.6 [Source:ZFIN;Acc:ZDB-GENE-131125-33]
si:dkey-104i23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-103]
si:dkey-104i23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-103]
si:dkey-104i23.1 [Source:ZFIN;Acc:ZDB-GENE-141222-103]
si:ch211-15o14.2 [Source:ZFIN;Acc:ZDB-GENE-060526-56]
si:dkeyp-104f11.2 [Source:ZFIN;Acc:ZDB-GENE-130603-46]
si:dkeyp-104f11.3 [Source:ZFIN;Acc:ZDB-GENE-130531-17]
si:ch211-71k24.8 [Source:ZFIN;Acc:ZDB-GENE-141216-447]
si:ch211-162h21.1 [Source:ZFIN;Acc:ZDB-GENE-131121-286]
si:dkeyp-104f11.4 [Source:ZFIN;Acc:ZDB-GENE-130603-33]
si:ch73-118m16.2 [Source:ZFIN;Acc:ZDB-GENE-121214-353]
si:ch211-103f14.4 [Source:ZFIN;Acc:ZDB-GENE-131127-608]
si:dkey-285j18.2 [Source:ZFIN;Acc:ZDB-GENE-141216-490]
si:dkey-250k10.3 [Source:ZFIN;Acc:ZDB-GENE-120709-102]
si:dkey-3h23.2 [Source:ZFIN;Acc:ZDB-GENE-091204-34]
si:ch73-200d4.2 [Source:ZFIN;Acc:ZDB-GENE-141216-165]
si:dkey-146c18.6 [Source:ZFIN;Acc:ZDB-GENE-131120-62]
si:dkey-146c18.6 [Source:ZFIN;Acc:ZDB-GENE-131120-62]
si:dkey-146c18.6 [Source:ZFIN;Acc:ZDB-GENE-131120-62]
si:dkey-146c18.6 [Source:ZFIN;Acc:ZDB-GENE-131120-62]
si:dkey-146c18.6 [Source:ZFIN;Acc:ZDB-GENE-131120-62]
si:ch73-191k20.4 [Source:ZFIN;Acc:ZDB-GENE-090313-142]
si:ch211-262n1.3 [Source:ZFIN;Acc:ZDB-GENE-070705-161]
si:dkey-195m1.4 [Source:ZFIN;Acc:ZDB-GENE-060526-238]
si:ch1073-219h3.1 [Source:ZFIN;Acc:ZDB-GENE-131127-599]
si:ch1073-219h3.1 [Source:ZFIN;Acc:ZDB-GENE-131127-599]
si:dkeyp-113d7.11 [Source:ZFIN;Acc:ZDB-GENE-120215-127]
si:ch211-154h20.9 [Source:ZFIN;Acc:ZDB-GENE-131121-399]
si:dkey-20d21.6 [Source:ZFIN;Acc:ZDB-GENE-081104-367]
si:ch211-252f13.6 [Source:ZFIN;Acc:ZDB-GENE-131127-312]
si:ch1073-307h15.1 [Source:ZFIN;Acc:ZDB-GENE-130603-95]
si:dkey-13m3.1 [Source:ZFIN;Acc:ZDB-GENE-121214-185]
si:ch73-361k9.2 [Source:ZFIN;Acc:ZDB-GENE-141212-276]
si:ch1073-133p4.2 [Source:ZFIN;Acc:ZDB-GENE-131127-639]
si:dkey-115f9.3 [Source:ZFIN;Acc:ZDB-GENE-110914-240]
si:dkey-115f9.3 [Source:ZFIN;Acc:ZDB-GENE-110914-240]
si:dkey-115f9.3 [Source:ZFIN;Acc:ZDB-GENE-110914-240]
sarcolipin [Source:ZFIN;Acc:ZDB-GENE-131121-265]
si:ch211-141i4.3 [Source:ZFIN;Acc:ZDB-GENE-131122-65]
si:ch211-141i4.3 [Source:ZFIN;Acc:ZDB-GENE-131122-65]
si:ch211-141i4.4 [Source:ZFIN;Acc:ZDB-GENE-131119-36]
si:dkey-18j14.5 [Source:ZFIN;Acc:ZDB-GENE-121214-285]
si:dkey-18j14.5 [Source:ZFIN;Acc:ZDB-GENE-121214-285]
si:ch211-198e20.5 [Source:ZFIN;Acc:ZDB-GENE-131121-531]
si:ch211-198e20.6 [Source:ZFIN;Acc:ZDB-GENE-131121-566]
si:dkey-18j14.4 [Source:ZFIN;Acc:ZDB-GENE-090313-213]
si:ch211-42i9.5 [Source:ZFIN;Acc:ZDB-GENE-030131-3146]
si:ch211-42i9.5 [Source:ZFIN;Acc:ZDB-GENE-030131-3146]
si:ch211-63i2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-481]
si:ch73-302a4.4 [Source:ZFIN;Acc:ZDB-GENE-141216-167]
si:ch73-295i22.5 [Source:ZFIN;Acc:ZDB-GENE-141212-280]
si:ch73-295i22.4 [Source:ZFIN;Acc:ZDB-GENE-141212-257]
si:ch211-212j20.1 [Source:ZFIN;Acc:ZDB-GENE-141216-351]
si:ch73-80e5.4 [Source:ZFIN;Acc:ZDB-GENE-131126-40]
si:dkey-167o9.3 [Source:ZFIN;Acc:ZDB-GENE-131125-29]
si:ch211-51n3.1 [Source:ZFIN;Acc:ZDB-GENE-061207-38]
si:ch211-51n3.1 [Source:ZFIN;Acc:ZDB-GENE-061207-38]
si:ch73-111k20.3 [Source:ZFIN;Acc:ZDB-GENE-131121-554]
si:ch211-250o16.4 [Source:ZFIN;Acc:ZDB-GENE-141212-23]
si:dkey-265j8.1 [Source:ZFIN;Acc:ZDB-GENE-090313-290]
si:dkey-265j8.3 [Source:ZFIN;Acc:ZDB-GENE-131127-55]
si:dkey-159n16.3 [Source:ZFIN;Acc:ZDB-GENE-131127-470]
si:ch73-204m7.3 [Source:ZFIN;Acc:ZDB-GENE-141216-141]
si:dkey-6d21.2 [Source:ZFIN;Acc:ZDB-GENE-160114-83]
si:ch211-170d12.2 [Source:ZFIN;Acc:ZDB-GENE-130603-27]
si:ch211-226m13.1 [Source:ZFIN;Acc:ZDB-GENE-091204-38]
si:zfos-480g10.2 [Source:ZFIN;Acc:ZDB-GENE-131127-444]
si:dkey-113d16.4 [Source:ZFIN;Acc:ZDB-GENE-130603-73]
si:rp71-24b12.4 [Source:ZFIN;Acc:ZDB-GENE-160113-51]
si:zfos-480g10.1 [Source:ZFIN;Acc:ZDB-GENE-131121-96]
si:dkey-119g10.3 [Source:ZFIN;Acc:ZDB-GENE-110411-109]
si:dkeyp-118e10.6 [Source:ZFIN;Acc:ZDB-GENE-131121-288]
si:dkey-159n16.1 [Source:ZFIN;Acc:ZDB-GENE-131121-134]
si:dkey-5i16.2 [Source:ZFIN;Acc:ZDB-GENE-131127-107]
si:ch73-39o22.3 [Source:ZFIN;Acc:ZDB-GENE-131127-402]
si:dkey-5i16.3 [Source:ZFIN;Acc:ZDB-GENE-131125-41]
transducer of ERBB2, 2 [Source:ZFIN;Acc:ZDB-GENE-110419-3]
transducer of ERBB2, 2 [Source:ZFIN;Acc:ZDB-GENE-110419-3]
si:dkey-73n10.12 [Source:ZFIN;Acc:ZDB-GENE-120215-207]
si:dkey-119g10.4 [Source:ZFIN;Acc:ZDB-GENE-110411-192]
si:ch211-138m24.1 [Source:ZFIN;Acc:ZDB-GENE-131127-203]
si:dkey-158n23.2 [Source:ZFIN;Acc:ZDB-GENE-141216-373]
si:ch211-113h16.1 [Source:ZFIN;Acc:ZDB-GENE-131127-374]
si:dkey-208c12.2 [Source:ZFIN;Acc:ZDB-GENE-131121-325]
si:dkey-6n3.3 [Source:ZFIN;Acc:ZDB-GENE-110411-105]
si:ch73-322f21.2 [Source:ZFIN;Acc:ZDB-GENE-131127-637]
si:dkeyp-92c5.2 [Source:ZFIN;Acc:ZDB-GENE-130603-9]
si:ch73-49k17.5 [Source:ZFIN;Acc:ZDB-GENE-141216-77]
si:dkey-14d8.23 [Source:ZFIN;Acc:ZDB-GENE-131120-52]
si:ch211-3n24.1 [Source:ZFIN;Acc:ZDB-GENE-141215-71]
si:ch211-133d24.25 [Source:ZFIN;Acc:ZDB-GENE-131119-101]
si:ch211-133d24.25 [Source:ZFIN;Acc:ZDB-GENE-131119-101]
si:ch211-133d24.25 [Source:ZFIN;Acc:ZDB-GENE-131119-101]
si:dkey-278g4.11 [Source:ZFIN;Acc:ZDB-GENE-131122-38]
si:dkey-208k4.10 [Source:ZFIN;Acc:ZDB-GENE-120215-7]
si:dkey-75l11.2 [Source:ZFIN;Acc:ZDB-GENE-141216-216]
si:ch73-204m7.4 [Source:ZFIN;Acc:ZDB-GENE-141216-462]
si:dkey-261m5.1 [Source:ZFIN;Acc:ZDB-GENE-131125-109]
si:dkey-119g10.5 [Source:ZFIN;Acc:ZDB-GENE-110411-278]
si:dkey-75l11.1 [Source:ZFIN;Acc:ZDB-GENE-141216-117]
si:zfos-496c3.2 [Source:ZFIN;Acc:ZDB-GENE-131119-16]
si:dkey-119g10.6 [Source:ZFIN;Acc:ZDB-GENE-110411-286]
si:cabz01061351.1 [Source:ZFIN;Acc:ZDB-GENE-160113-72]
si:ch73-365k7.1 [Source:ZFIN;Acc:ZDB-GENE-131121-304]
si:ch73-365k7.1 [Source:ZFIN;Acc:ZDB-GENE-131121-304]
si:ch73-365k7.1 [Source:ZFIN;Acc:ZDB-GENE-131121-304]
